"Masters_PLAYER_NAME_2009","Masters_Finish_2009","year"
"Angel Cabrera",1,2009
"Chad Campbell",2,2009
"Kenny Perry",2,2009
"Shingo Katayama",4,2009
"Phil Mickelson",5,2009
"John Merrick",6,2009
"Steve Flesch",6,2009
"Tiger Woods",6,2009
"Steve Stricker",6,2009
"Hunter Mahan",10,2009
"Sean OHair",10,2009
"Jim Furyk",10,2009
"Camilo Villegas",13,2009
"Tim Clark",13,2009
"Geoff Ogilvy",15,2009
"Todd Hamilton",15,2009
"Aaron Baddeley",17,2009
"Graeme McDowell",17,2009
"Nick Watney",19,2009
"Paul Casey",20,2009
"Ryuji Imada",20,2009
"Trevor Immelman",20,2009
"Rory McIlroy",20,2009
"Sandy Lyle",20,2009
"Justin Rose",20,2009
"Anthony Kim",20,2009
"Stephen Ames",20,2009
"Ian Poulter",20,2009
"Rory Sabbatini",20,2009
"Ross Fisher",30,2009
"Stuart Appleby",30,2009
"Larry Mize",30,2009
"Vijay Singh",30,2009
"Dustin Johnson",30,2009
"Ben Curtis",35,2009
"Ken Duke",35,2009
"Padraig Harrington",35,2009
"Robert Allenby",38,2009
"Henrik Stenson",38,2009
"Luke Donald",38,2009
"Sergio Garcia",38,2009
"Bubba Watson",42,2009
"Lee Westwood",43,2009
"Dudley Hart",44,2009
"DJ Trahan",44,2009
"Kevin Sutherland",46,2009
"Mike Weir",46,2009
"Miguel Angel Jimenez",46,2009
"Rocco Mediate",49,2009
"Andres Romero",49,2009
"Fred Couples",50,2009
"Richard Sterne",50,2009
"Jose Maria Olazabal",50,2009
"Adam Scott",50,2009
"Jeev Milkha Singh",50,2009
"Retief Goosen",50,2009
"Ernie Els",50,2009
"Soren Kjeldsen",57,2009
"YE Yang",57,2009
"Robert Karlsson",57,2009
"Martin Kaymer",57,2009
"Stewart Cink",57,2009
"Reinier Saxton",57,2009
"Greg Norman",57,2009
"Jack Newman",64,2009
"KJ Choi",64,2009
"Briny Baird",64,2009
"Justin Leonard",64,2009
"Soren Hansen",64,2009
"Oliver Wilson",64,2009
"Boo Weekley",70,2009
"Ian Woosnam",70,2009
"Drew Kittleson",72,2009
"Zach Johnson",72,2009
"Brandt Snedeker",72,2009
"Ryo Ishikawa",72,2009
"Louis Oosthuizen",72,2009
"Bernhard Langer",72,2009
"Mathew Goggin",78,2009
"Mark OMeara",78,2009
"We Tang Lin",78,2009
"Chez Reavie",78,2009
"Craig Stadler",78,2009
"Billy Mayfair",83,2009
"Alvaro Quiros",84,2009
"Steve Wilson",85,2009
"Pat Perez",85,2009
"Prayad Marksaeng",85,2009
"Carl Pettersson",85,2009
"Danny Lee",89,2009
"Fuzzy Zoeller",89,2009
"Michael Campbell",89,2009
"Ben Crenshaw",92,2009
"Tom Watson",93,2009
"Raymond Floyd",94,2009
"Gary Player",95,2009
