"OpenChamp_PLAYER_NAME_2013","OpenChamp_Finish_2013","year"
"Phil Mickelson",1,2013
"Henrik Stenson",2,2013
"Ian Poulter",3,2013
"Adam Scott",3,2013
"Lee Westwood",3,2013
"Hideki Matsuyama",6,2013
"Zach Johnson",6,2013
"Tiger Woods",6,2013
"Francesco Molinari",9,2013
"Hunter Mahan",9,2013
"Brandt Snedeker",11,2013
"Angel Cabrera",11,2013
"Justin Leonard",13,2013
"Miguel Angel Jimenez",13,2013
"Eduardo De La Riva",15,2013
"Harris English",15,2013
"Charl Schwartzel",15,2013
"Danny Willett",15,2013
"Matt Kuchar",15,2013
"Keegan Bradley",15,2013
"Stephen Gallacher",21,2013
"Darren Clarke",21,2013
"Richard Sterne",21,2013
"Rafael Cabrera Bello",21,2013
"Sergio Garcia",21,2013
"Jason Dufner",26,2013
"Stewart Cink",26,2013
"Jonas Blixt",26,2013
"Steven Tiley",26,2013
"Paul Lawrie",26,2013
"Ernie Els",26,2013
"Oliver Fisher",32,2013
"Shane Lowry",32,2013
"Fred Couples",32,2013
"YE Yang",32,2013
"Thongchai Jaidee",32,2013
"Bubba Watson",32,2013
"Bud Cauley",32,2013
"Martin Kaymer",32,2013
"Jason Day",32,2013
"Dustin Johnson",32,2013
"Jamie Donaldson",32,2013
"Ryan Moore",32,2013
"Bo Van Pelt",44,2013
"Tim Clark",44,2013
"Martin Laird",44,2013
"Freddie Jacobson",44,2013
"Geoff Ogilvy",44,2013
"Mark Brown",44,2013
"KJ Choi",44,2013
"Jordan Spieth",44,2013
"Shingo Katayama",44,2013
"Matthew Fitzpatrick",44,2013
"Padraig Harrington",54,2013
"Marcus Fraser",54,2013
"Gonzalo Fernande Castano",54,2013
"Carl Pettersson",54,2013
"Mark OMeara",58,2013
"Richie Ramsay",58,2013
"Boo Weekley",58,2013
"Tom Lehman",58,2013
"Graeme McDowell",58,2013
"Johnson Wagner",58,2013
"Ben Curtis",64,2013
"Chris Wood",64,2013
"Branden Grace",64,2013
"Webb Simpson",64,2013
"Bernd Wiesberger",64,2013
"Gregory Bourdy",64,2013
"Ken Duke",64,2013
"Gareth Wright",71,2013
"George Coetzee",71,2013
"Shiv Kapur",73,2013
"Kyungtae Kim",73,2013
"Russell Henley",73,2013
"Todd Hamilton",73,2013
"Thomas Bjorn",73,2013
"Jimmy Mullen",73,2013
"Kevin Streelman",79,2013
"Mikko Ilonen",79,2013
"Peter Senior",79,2013
"Josh Teater",82,2013
"Graham DeLaet",83,2013
"Sandy Lyle",84,2013
"Oscar Floren",86,2013
"Marc Leishman",86,2013
"Kyle Stanley",86,2013
"Alvaro Quiros",86,2013
"Michael Thompson",86,2013
"Bill Haas",86,2013
"Marcel Siem",86,2013
"George Murray",86,2013
"Thomas Aiken",86,2013
"Jimmy Walker",86,2013
"Nicolas Colsaerts",86,2013
"Camilo Villegas",86,2013
"Niclas Fasth",98,2013
"Jim Furyk",98,2013
"Luke Donald",98,2013
"Hiroyuki Fujita",98,2013
"Justin Harding",98,2013
"Steve Dartnall",98,2013
"Marc Warren",98,2013
"Justin Rose",98,2013
"Nick Watney",98,2013
"Mark Calcavecchia",98,2013
"Hyun Sung Kim",98,2013
"Toru Taniguchi",109,2013
"DA Points",109,2013
"Ben Stow",109,2013
"AShun Wu",109,2013
"Robert Garrigus",109,2013
"John Senden",109,2013
"Garrick Porteous",109,2013
"Tom Watson",109,2013
"Vijay Singh",117,2013
"Thorbjorn Olesen",117,2013
"Rickie Fowler",117,2013
"Gareth Maybin",117,2013
"Robert Karlsson",117,2013
"Scott Stallings",117,2013
"David Lynn",117,2013
"Billy Horschel",117,2013
"Rory McIlroy",117,2013
"John Huh",117,2013
"Kenichi Kuboya",127,2013
"Darryn Lloyd",127,2013
"David Duval",127,2013
"Richard McEvoy",127,2013
"Steven Jeffress",127,2013
"John Wade",127,2013
"Thaworn Wiratchant",133,2013
"Lucas Glover",133,2013
"Brett Rumford",133,2013
"Scott Jamieson",133,2013
"Lloyd Saltman",133,2013
"Brooks Koepka",133,2013
"Estanislao Goya",133,2013
"Brendan Jones",133,2013
"Steven Fox",141,2013
"Matteo Manassero",141,2013
"Daisuke Maruyama",141,2013
"Kiradech Aphibarnrat",141,2013
"Brian Davis",141,2013
"Nick Faldo",141,2013
"Luke Guthrie",147,2013
"Grant Forrest",148,2013
"Makoto Inoue",148,2013
"Scott Brown",150,2013
"Rhys Pugh",151,2013
"Satoshi Kodaira",151,2013
"Tyrrell Hatton",151,2013
"Scott Piercy",154,2013
"Peter Hanson",155,2013
"Louis Oosthuizen",156,2013
"Alexander Noren",85,2013
