"PGAChamp_PLAYER_NAME_2011","PGAChamp_Finish_2011","year"
"Keegan Bradley",1,2011
"Jason Dufner",2,2011
"Anders Hansen",3,2011
"Robert Karlsson",4,2011
"David Toms",4,2011
"Scott Verplank",4,2011
"Adam Scott",7,2011
"Lee Westwood",8,2011
"Luke Donald",8,2011
"Kevin Na",10,2011
"DA Points",10,2011
"Gary Woodland",12,2011
"Trevor Immelman",12,2011
"Sergio Garcia",12,2011
"Bill Haas",12,2011
"Nick Watney",12,2011
"Charl Schwartzel",12,2011
"Steve Stricker",12,2011
"Brian Davis",19,2011
"Ryan Palmer",19,2011
"Phil Mickelson",19,2011
"Matt Kuchar",19,2011
"Hunter Mahan",19,2011
"John Senden",19,2011
"Brendan Steele",19,2011
"Charles Howell III",26,2011
"Robert Allenby",26,2011
"Jerry Kelly",26,2011
"Bubba Watson",26,2011
"Mark Wilson",26,2011
"Scott Piercy",26,2011
"Brendon de Jonge",26,2011
"Spencer Levin",26,2011
"Chris Kirk",34,2011
"Alexander Noren",34,2011
"Francesco Molinari",34,2011
"Matteo Manassero",37,2011
"Ben Crane",37,2011
"Johan Edfors",39,2011
"Harrison Frazar",39,2011
"Ian Poulter",39,2011
"KJ Choi",39,2011
"Bill Lunde",39,2011
"Jim Furyk",39,2011
"Seungyul Noh",45,2011
"Pablo Larrazabal",45,2011
"Ross Fisher",45,2011
"Andres Romero",45,2011
"Yuta Ikeda",45,2011
"Brandt Jobe",45,2011
"Rickie Fowler",51,2011
"John Rollins",51,2011
"Jhonattan Vegas",51,2011
"Johnson Wagner",51,2011
"Simon Dyson",51,2011
"Ryan Moore",56,2011
"Ricky Barnes",56,2011
"Bryce Molder",56,2011
"Michael Bradley",59,2011
"Zach Johnson",59,2011
"Kyung Kim",59,2011
"Robert Garrigus",62,2011
"Kevin Streelman",62,2011
"Sean OHair",64,2011
"Peter Hanson",64,2011
"Padraig Harrington",64,2011
"Rory McIlroy",64,2011
"Miguel Angel Jimenez",64,2011
"Edoardo Molinari",69,2011
"YE Yang",69,2011
"Mike Small",69,2011
"Paul Casey",72,2011
"Davis Love III",72,2011
"Shaun Micheel",74,2011
"Rory Sabbatini",74,2011
"Anthony Kim",79,2011
"Brian Gay",79,2011
"Martin Kaymer",79,2011
"Justin Rose",79,2011
"Jason Day",79,2011
"Jonathan Byrd",79,2011
"Bob Sowards",79,2011
"Tetsuji Hiratsuka",79,2011
"Angel Cabrera",79,2011
"Bo Van Pelt",79,2011
"Thomas Bjorn",79,2011
"Aaron Baddeley",79,2011
"Ernie Els",91,2011
"Geoff Ogilvy",91,2011
"Camilo Villegas",91,2011
"Cameron Tringale",91,2011
"Alvaro Quiros",91,2011
"Jeff Overton",91,2011
"Steve Marino",97,2011
"Hiroyuki Fujita",97,2011
"Brandt Snedeker",97,2011
"Dustin Johnson",97,2011
"Heath Slocum",97,2011
"Stewart Cink",97,2011
"Martin Laird",97,2011
"Scott Stallings",97,2011
"JJ Henry",97,2011
"Charley Hoffman",106,2011
"Steve Elkington",106,2011
"Tom Gillis",106,2011
"Steve Schneiter",106,2011
"Sean Dougherty",106,2011
"Gregory Bourdy",106,2011
"David Horsey",112,2011
"Richard Green",112,2011
"Freddie Jacobson",112,2011
"Thomas Aiken",112,2011
"Jeff Coston",112,2011
"Mark Brooks",112,2011
"Webb Simpson",112,2011
"WC Liang",75,2011
"Louis Oosthuizen",119,2011
"Robert McClellan",119,2011
"Raphael Jacquelin",119,2011
"Charlie Wi",119,2011
"Vijay Singh",119,2011
"Tiger Woods",119,2011
"Jamie Donaldson",119,2011
"Stephen Gallacher",126,2011
"Mike Northern",126,2011
"Arjun Atwal",126,2011
"Ryuji Imada",129,2011
"Graeme McDowell",129,2011
"Larry Nelson",131,2011
"DJ Trahan",131,2011
"Craig Stevens",131,2011
"John Daly",131,2011
"Stuart Smith",131,2011
"Darren Clarke",136,2011
"Brendan Jones",136,2011
"Rob Moss",136,2011
"Rich Beem",139,2011
"Lucas Glover",139,2011
"Tommy Gainey",139,2011
"Faber Jamerson",139,2011
"Dan Olsen",139,2011
"Fredrik Andersson Hed",139,2011
"Brad Lardon",145,2011
"Jose Maria Olazabal",145,2011
"David Hutsell",145,2011
"Jerry Pate",145,2011
"Ryo Ishikawa",149,2011
"Jeff Sorenson",150,2011
"Marty Jertson",151,2011
"Danny Balin",152,2011
"Scott Erdmann",153,2011
"Todd Camplin",153,2011
"Brian Cairns",155,2011
"Retief Goosen",78,2011
"Rocco Mediate",76,2011
"JB Holmes",77,2011
