"USOpen_PLAYER_NAME_2006","USOpen_Finish_2006","year"
"Geoff Ogilvy",1,2006
"Jim Furyk",2,2006
"Colin Montgomerie",2,2006
"Phil Mickelson",2,2006
"Padraig Harrington",5,2006
"Nick OHern",6,2006
"Jeff Sluman",6,2006
"Steve Stricker",6,2006
"Mike Weir",6,2006
"Vijay Singh",6,2006
"Kenneth Ferrie",6,2006
"Ryuji Imada",12,2006
"Luke Donald",12,2006
"Ian Poulter",12,2006
"Paul Casey",15,2006
"David Howell",16,2006
"David Duval",16,2006
"Miguel Angel Jimenez",16,2006
"Robert Allenby",16,2006
"Arron Oberholser",16,2006
"Jose Maria Olazabal",21,2006
"Tom Pernice Jr",21,2006
"Adam Scott",21,2006
"Peter Hedblom",21,2006
"Trevor Immelman",21,2006
"Sean OHair",26,2006
"Ernie Els",26,2006
"Angel Cabrera",26,2006
"Ted Purdy",26,2006
"Henrik Stenson",26,2006
"Craig Barlow",26,2006
"Rod Pampling",32,2006
"Woody Austin",32,2006
"Scott Hend",32,2006
"Steve Jones",32,2006
"Bart Bryant",32,2006
"Stewart Cink",37,2006
"Jay Haas",37,2006
"Charles Howell III",37,2006
"Stephen Gangluff",40,2006
"Tommy Armour III",40,2006
"John Cook",40,2006
"Jason Dufner",40,2006
"Lee Williams",40,2006
"Bo Van Pelt",40,2006
"Fred Funk",40,2006
"Chad Collins",40,2006
"Charley Hoffman",48,2006
"Charl Schwartzel",48,2006
"JB Holmes",48,2006
"Kent Jones",48,2006
"Philip Archer",48,2006
"Thomas Bjorn",48,2006
"Graeme McDowell",48,2006
"Fred Couples",48,2006
"Darren Clarke",56,2006
"Ben Curtis",57,2006
"Kenny Perry",58,2006
"Jeev Milkha Singh",59,2006
"Camilo Villegas",59,2006
"Skip Kendall",59,2006
"Ben Crane",62,2006
"Tim Herron",63,2006
"Jay Delsing",65,2006
"Stephen Ames",65,2006
"Andrew Svoboda",65,2006
"Paul McGinley",65,2006
"Rory Sabbatini",65,2006
"Zach Johnson",65,2006
"Andy Morse",65,2006
"Alex Coe",65,2006
"Duffy Waldorf",74,2006
"Corey Pavin",74,2006
"Stuart Appleby",74,2006
"Mark Hensby",74,2006
"KJ Choi",74,2006
"John Mallinger",74,2006
"Shaun Micheel",74,2006
"Tim Clark",74,2006
"Dean Wilson",74,2006
"Tadahiro Takayama",83,2006
"Bob Estes",83,2006
"Michael Campbell",83,2006
"Tiger Woods",83,2006
"Olin Browne",83,2006
"Chris DiMarco",83,2006
"Peter Jacobsen",83,2006
"Kevin Stadler",83,2006
"Taylor Wood",83,2006
"Nathan Green",83,2006
"Billy Horschel",83,2006
"Brandt Jobe",83,2006
"Scott Verplank",83,2006
"Lucas Glover",83,2006
"Justin Leonard",83,2006
"Jyoti Randhawa",83,2006
"Brett Quigley",99,2006
"Mark Brooks",99,2006
"Edoardo Molinari",99,2006
"Carl Pettersson",99,2006
"Tag Ridings",99,2006
"Greg Kraft",99,2006
"Dustin White",99,2006
"Chris Nallen",99,2006
"Nick Dougherty",99,2006
"Billy Mayfair",99,2006
"Chad Campbell",99,2006
"Rocco Mediate",99,2006
"Rich Beem",99,2006
"John Koskinen",99,2006
"Benjamin Hayes",99,2006
"Matt Kuchar",114,2006
"Tom Lehman",114,2006
"Niclas Fasth",114,2006
"Lee Janzen",114,2006
"JJ Henry",114,2006
"Steve Lowery",114,2006
"Keiichiro Fukabori",114,2006
"Davis Love III",114,2006
"Joey Sindelar",122,2006
"Todd Hamilton",122,2006
"Nicholas Thompson",122,2006
"Richard Green",122,2006
"Retief Goosen",122,2006
"Jonathan Moore",122,2006
"David Berganio Jr",122,2006
"Oliver Wilson",129,2006
"Sergio Garcia",129,2006
"Jason Allred",129,2006
"Travis Hurst",129,2006
"DJ Trahan",129,2006
"Shingo Katayama",129,2006
"Patrick Nagle",129,2006
"Stephen Woodard",129,2006
"Brad Fritsch",129,2006
"Graeme Storm",139,2006
"Toru Taniguchi",139,2006
"Michael Harris",139,2006
"Tadd Fujikawa",142,2006
"Maarten Lafeber",143,2006
"Mark Calcavecchia",143,2006
"George McNeill",143,2006
"Mathew Goggin",143,2006
"Nick Price",143,2006
"Phil Tataurangi",143,2006
"David Oh",149,2006
"Dillon Dougherty",149,2006
"Ryan Baca",151,2006
"Michael Derminio",151,2006
"Madalitso Muthiya",151,2006
"Ryan Posey",154,2006
"Andy Bare",154,2006
"John Rollins",156,2006
"Rob Johnson",157,2006
"Allen Doyle",65,2006
"Brad Fritch",129,2006
"David Toms",64,2006
