"FairwayBunkerTendency_RANKTHISWEEK_2015","FairwayBunkerTendency_RANKLASTWEEK_2015","FairwayBunkerTendency_PLAYERNAME_2015","FairwayBunkerTendency_ROUNDS_2015","FairwayBunkerTendency_Pct_2015","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2015","FairwayBunkerTendency_POSSIBLEFWYS_2015","FairwayBunkerTendency_RELATIVETOPAR_2015","stat_name","year"
1,1,"Will Wilcox",58,2.8,16,568,0.25,"FairwayBunkerTendency",2015
2,2,"Steven Alker",62,4,28,696,0.107,"FairwayBunkerTendency",2015
3,3,"David Toms",62,4.1,31,765,0.065,"FairwayBunkerTendency",2015
4,4,"Jerry Kelly",79,4.2,39,920,0.256,"FairwayBunkerTendency",2015
4,4,"Kevin Streelman",95,4.2,43,1016,0.372,"FairwayBunkerTendency",2015
6,6,"Ken Duke",93,4.3,46,1080,0.13,"FairwayBunkerTendency",2015
6,6,"Justin Leonard",61,4.3,32,751,0.031,"FairwayBunkerTendency",2015
8,8,"Jon Curran",83,4.4,40,901,0.3,"FairwayBunkerTendency",2015
9,9,"Ryan Moore",81,4.5,38,850,0.132,"FairwayBunkerTendency",2015
10,10,"Charlie Beljan",76,4.6,36,788,0.25,"FairwayBunkerTendency",2015
10,10,"Ben Crane",62,4.6,33,721,0.182,"FairwayBunkerTendency",2015
10,10,"Adam Hadwin",95,4.6,51,1119,0.255,"FairwayBunkerTendency",2015
13,13,"Zac Blair",108,4.7,57,1225,0.158,"FairwayBunkerTendency",2015
14,14,"Chad Campbell",97,4.8,61,1264,0.23,"FairwayBunkerTendency",2015
14,14,"Alex Cejka",94,4.8,52,1093,0.269,"FairwayBunkerTendency",2015
14,14,"Chad Collins",79,4.8,42,875,0,"FairwayBunkerTendency",2015
14,14,"David Hearn",97,4.8,56,1178,0.179,"FairwayBunkerTendency",2015
14,14,"Davis Love III",51,4.8,28,585,0.5,"FairwayBunkerTendency",2015
14,14,"Ben Martin",93,4.8,52,1075,0.231,"FairwayBunkerTendency",2015
14,14,"Bo Van Pelt",81,4.8,43,897,0.395,"FairwayBunkerTendency",2015
14,14,"Mark Wilson",89,4.8,54,1123,0.13,"FairwayBunkerTendency",2015
22,22,"Jim Herman",88,4.9,53,1071,0.151,"FairwayBunkerTendency",2015
22,22,"Billy Hurley III",83,4.9,43,871,0.116,"FairwayBunkerTendency",2015
22,22,"Hudson Swafford",97,4.9,56,1151,0.196,"FairwayBunkerTendency",2015
25,25,"John Merrick",78,5,40,808,0.4,"FairwayBunkerTendency",2015
25,25,"Bryce Molder",91,5,54,1070,0.167,"FairwayBunkerTendency",2015
25,25,"Francesco Molinari",56,5,30,595,0.067,"FairwayBunkerTendency",2015
