"AverageApproachShotDistance_RANKTHISWEEK_2005","AverageApproachShotDistance_RANKLASTWEEK_2005","AverageApproachShotDistance_PLAYERNAME_2005","AverageApproachShotDistance_ROUNDS_2005","AverageApproachShotDistance_AVG_2005","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2005","AverageApproachShotDistance_TOTALHOLES_2005","stat_name","year"
1,1,"Bill Glasson",54,155.4,4402571,787,"AverageApproachShotDistance",2005
2,2,"JP Hayes",63,156.1,5338307,950,"AverageApproachShotDistance",2005
3,3,"Kirk Triplett",55,157.7,4469242,787,"AverageApproachShotDistance",2005
4,4,"Bob Heintz",67,157.8,6271965,1104,"AverageApproachShotDistance",2005
5,5,"Glen Day",80,158.4,7481115,1312,"AverageApproachShotDistance",2005
5,5,"Jeff Hart",63,158.4,5869159,1029,"AverageApproachShotDistance",2005
5,5,"Phillip Price",77,158.4,6484951,1137,"AverageApproachShotDistance",2005
8,8,"Brendan Jones",81,158.5,7375945,1293,"AverageApproachShotDistance",2005
9,9,"Loren Roberts",54,158.6,4926503,863,"AverageApproachShotDistance",2005
10,10,"Len Mattiace",86,158.7,7763311,1359,"AverageApproachShotDistance",2005
11,11,"Marco Dawson",82,159.1,8019159,1400,"AverageApproachShotDistance",2005
11,11,"Brian Gay",101,159.1,9469867,1653,"AverageApproachShotDistance",2005
13,13,"Will Ma Kenzie",75,159.2,6972812,1217,"AverageApproachShotDistance",2005
13,13,"Mark OMeara",66,159.2,5279048,921,"AverageApproachShotDistance",2005
15,15,"Mark Brooks",72,159.3,6417442,1119,"AverageApproachShotDistance",2005
15,15,"Olin Browne",99,159.3,8554950,1492,"AverageApproachShotDistance",2005
15,15,"Jonathan Kaye",77,159.3,6589747,1149,"AverageApproachShotDistance",2005
15,15,"Darron Stiles",78,159.3,7128736,1243,"AverageApproachShotDistance",2005
19,19,"Michael Allen",90,159.5,7901303,1376,"AverageApproachShotDistance",2005
19,19,"Stuart Appleby",84,159.5,6481871,1129,"AverageApproachShotDistance",2005
19,19,"Rory Sabbatini",81,159.5,6179457,1076,"AverageApproachShotDistance",2005
22,22,"Chris Anderson",66,159.6,5971383,1039,"AverageApproachShotDistance",2005
22,22,"Fred Couples",72,159.6,4457752,776,"AverageApproachShotDistance",2005
22,22,"Todd Hamilton",94,159.6,7664982,1334,"AverageApproachShotDistance",2005
25,25,"Gavin Coles",70,159.8,6505588,1131,"AverageApproachShotDistance",2005
26,26,"Larry Mize",54,160,4763421,827,"AverageApproachShotDistance",2005
27,27,"Freddie Jacobson",72,160.1,5724326,993,"AverageApproachShotDistance",2005
27,27,"Joe Ogilvie",103,160.1,8066988,1400,"AverageApproachShotDistance",2005
29,29,"Geoff Ogilvy",97,160.2,7661115,1328,"AverageApproachShotDistance",2005
29,29,"Mark Wilson",74,160.2,6545220,1135,"AverageApproachShotDistance",2005
31,31,"Zach Johnson",96,160.3,8577727,1486,"AverageApproachShotDistance",2005
31,31,"Franklin Langham",91,160.3,7884964,1366,"AverageApproachShotDistance",2005
33,33,"Dan Forsman",52,160.4,4872080,844,"AverageApproachShotDistance",2005
33,33,"Brenden Pappas",51,160.4,5047007,874,"AverageApproachShotDistance",2005
33,33,"Steve Stricker",62,160.4,6091320,1055,"AverageApproachShotDistance",2005
36,36,"Ben Curtis",65,160.5,5107869,884,"AverageApproachShotDistance",2005
37,37,"Brent Geiberger",61,160.6,5370691,929,"AverageApproachShotDistance",2005
37,37,"Glen Hnatiuk",59,160.6,5186235,897,"AverageApproachShotDistance",2005
37,37,"Bob Tway",87,160.6,6832646,1182,"AverageApproachShotDistance",2005
40,40,"KJ Choi",78,160.7,5600941,968,"AverageApproachShotDistance",2005
41,41,"Tommy Armour III",103,160.8,9469225,1636,"AverageApproachShotDistance",2005
41,41,"David Hearn",68,160.8,6314402,1091,"AverageApproachShotDistance",2005
41,41,"Matt Kuchar",60,160.8,5731885,990,"AverageApproachShotDistance",2005
44,44,"Jim Carter",62,160.9,5631328,972,"AverageApproachShotDistance",2005
44,44,"Rocco Mediate",73,160.9,6749118,1165,"AverageApproachShotDistance",2005
44,44,"Mike Weir",71,160.9,4883618,843,"AverageApproachShotDistance",2005
47,47,"Kenny Perry",82,161,6236584,1076,"AverageApproachShotDistance",2005
48,48,"Justin Bolli",65,161.1,6131843,1057,"AverageApproachShotDistance",2005
48,48,"Heath Slocum",103,161.1,9379517,1617,"AverageApproachShotDistance",2005
48,48,"David Toms",87,161.1,6581445,1135,"AverageApproachShotDistance",2005
48,48,"Jay Williamson",53,161.1,4818896,831,"AverageApproachShotDistance",2005
52,52,"Craig Barlow",81,161.2,6571200,1132,"AverageApproachShotDistance",2005
53,53,"Robert Gamez",91,161.3,8348285,1438,"AverageApproachShotDistance",2005
53,53,"Skip Kendall",80,161.3,7304246,1258,"AverageApproachShotDistance",2005
55,55,"Paul Azinger",66,161.5,6052037,1041,"AverageApproachShotDistance",2005
55,55,"Andrew Magee",82,161.5,7313839,1258,"AverageApproachShotDistance",2005
55,55,"Shigeki Maruyama",99,161.5,8874426,1526,"AverageApproachShotDistance",2005
55,55,"Adam Scott",72,161.5,5396610,928,"AverageApproachShotDistance",2005
59,59,"Brian Bateman",98,161.6,8884760,1527,"AverageApproachShotDistance",2005
59,59,"Matt Davidson",53,161.6,5217199,897,"AverageApproachShotDistance",2005
59,59,"Todd Fischer",99,161.6,9095157,1563,"AverageApproachShotDistance",2005
59,59,"Kent Jones",99,161.6,9161797,1575,"AverageApproachShotDistance",2005
63,63,"Doug Barron",70,161.7,6694127,1150,"AverageApproachShotDistance",2005
63,63,"Justin Leonard",78,161.7,5682507,976,"AverageApproachShotDistance",2005
65,65,"Fred Funk",102,161.8,8587756,1474,"AverageApproachShotDistance",2005
65,65,"Peter Lonard",85,161.8,6895399,1184,"AverageApproachShotDistance",2005
65,65,"Hunter Mahan",103,161.8,9670881,1660,"AverageApproachShotDistance",2005
65,65,"Arron Oberholser",65,161.8,5307295,911,"AverageApproachShotDistance",2005
69,69,"JL Lewis",98,161.9,8495267,1458,"AverageApproachShotDistance",2005
69,69,"Ian Poulter",62,161.9,3764665,646,"AverageApproachShotDistance",2005
69,69,"Omar Uresti",84,161.9,7658207,1314,"AverageApproachShotDistance",2005
72,72,"Tim Herron",100,162,8103004,1389,"AverageApproachShotDistance",2005
72,72,"Mario Tiziani",67,162,6297628,1080,"AverageApproachShotDistance",2005
74,74,"Luke Donald",67,162.1,4172883,715,"AverageApproachShotDistance",2005
74,74,"Matt Gogel",78,162.1,7037653,1206,"AverageApproachShotDistance",2005
76,76,"Stewart Cink",98,162.2,7407998,1269,"AverageApproachShotDistance",2005
76,76,"John Elliott",58,162.2,5354594,917,"AverageApproachShotDistance",2005
76,76,"Lee Janzen",75,162.2,6199417,1062,"AverageApproachShotDistance",2005
76,76,"Jose Maria Olazabal",55,162.2,4280462,733,"AverageApproachShotDistance",2005
80,80,"Briny Baird",98,162.3,9323738,1596,"AverageApproachShotDistance",2005
80,80,"Tom Byrum",83,162.3,7952197,1361,"AverageApproachShotDistance",2005
80,80,"Lee Westwood",50,162.3,3463941,593,"AverageApproachShotDistance",2005
83,83,"Rich Beem",66,162.4,5027260,860,"AverageApproachShotDistance",2005
83,83,"Chris DiMarco",83,162.4,6190040,1059,"AverageApproachShotDistance",2005
83,83,"Rod Pampling",89,162.4,7260323,1242,"AverageApproachShotDistance",2005
83,83,"Vaughn Taylor",99,162.4,9357061,1600,"AverageApproachShotDistance",2005
83,83,"Roland Thatcher",75,162.4,7061508,1208,"AverageApproachShotDistance",2005
88,88,"Tim Clark",92,162.6,6753956,1154,"AverageApproachShotDistance",2005
