"Approachesfrominside100yards_RANKTHISWEEK_2007","Approachesfrominside100yards_RANKLASTWEEK_2007","Approachesfrominside100yards_PLAYERNAME_2007","Approachesfrominside100yards_ROUNDS_2007","Approachesfrominside100yards_AVG_2007","Approachesfrominside100yards_TOTALDISTANCEFEET_2007","Approachesfrominside100yards_OFATTEMPTS_2007","Approachesfrominside100yards_RELATIVETOPAR_2007","stat_name","year"
1,1,"Padraig Harrington",64,NA,612.917,47,-0.02,"Approachesfrominside100yards",2007
2,2,"Phil Mickelson",73,NA,759,58,-0.14,"Approachesfrominside100yards",2007
3,3,"Steve Stricker",81,NA,1717.25,130,-0.18,"Approachesfrominside100yards",2007
4,4,"Justin Rose",63,NA,770.25,57,0.02,"Approachesfrominside100yards",2007
5,5,"Bob Heintz",85,NA,1242.917,87,-0.16,"Approachesfrominside100yards",2007
6,6,"Stuart Appleby",74,NA,1227.25,85,-0.02,"Approachesfrominside100yards",2007
6,6,"Stewart Cink",91,NA,1443.667,100,-0.17,"Approachesfrominside100yards",2007
6,6,"Rocco Mediate",72,NA,1439.583,100,-0.28,"Approachesfrominside100yards",2007
9,9,"Billy Mayfair",98,NA,1336.417,92,-0.01,"Approachesfrominside100yards",2007
10,10,"Jim Furyk",84,NA,1255.167,86,-0.2,"Approachesfrominside100yards",2007
11,11,"Shigeki Maruyama",84,NA,1946.5,132,-0.14,"Approachesfrominside100yards",2007
12,12,"Corey Pavin",81,NA,1738.167,117,-0.21,"Approachesfrominside100yards",2007
13,13,"Mark Calcavecchia",93,NA,1434.167,96,-0.28,"Approachesfrominside100yards",2007
13,13,"Jeff Sluman",60,NA,849.25,57,-0.19,"Approachesfrominside100yards",2007
15,15,"Glen Day",85,NA,1815.333,121,-0.14,"Approachesfrominside100yards",2007
16,16,"Alex Cejka",80,NA,1641.917,109,-0.27,"Approachesfrominside100yards",2007
16,16,"Chris DiMarco",79,NA,1340.917,89,-0.08,"Approachesfrominside100yards",2007
16,16,"Jeff Gove",103,NA,1822.5,121,-0.01,"Approachesfrominside100yards",2007
16,16,"Justin Leonard",95,NA,2015.833,134,-0.01,"Approachesfrominside100yards",2007
20,20,"Bob Estes",88,NA,1991.25,131,-0.17,"Approachesfrominside100yards",2007
20,20,"Brian Gay",107,NA,2954,195,-0.23,"Approachesfrominside100yards",2007
22,22,"Jerry Kelly",101,NA,1306.167,85,-0.14,"Approachesfrominside100yards",2007
22,22,"Jose Maria Olazabal",52,NA,782.917,51,-0.04,"Approachesfrominside100yards",2007
22,22,"Rory Sabbatini",81,NA,1040.417,68,-0.13,"Approachesfrominside100yards",2007
25,25,"Darron Stiles",65,NA,1467,95,-0.21,"Approachesfrominside100yards",2007
26,26,"Nathan Green",103,NA,1181.083,76,-0.12,"Approachesfrominside100yards",2007
26,26,"Jarrod Lyle",77,NA,1907.083,123,-0.18,"Approachesfrominside100yards",2007
26,26,"Jeff Maggert",79,NA,1953.167,126,-0.22,"Approachesfrominside100yards",2007
26,26,"Mike Weir",82,NA,1021.667,66,0.08,"Approachesfrominside100yards",2007
30,30,"Daniel Chopra",106,NA,1960.25,126,-0.17,"Approachesfrominside100yards",2007
30,30,"Nick OHern",72,NA,1198.417,77,-0.06,"Approachesfrominside100yards",2007
30,30,"Jaco Van Zyl",51,NA,901.583,58,-0.12,"Approachesfrominside100yards",2007
30,30,"Camilo Villegas",82,NA,921.417,59,0.03,"Approachesfrominside100yards",2007
30,30,"Jay Williamson",50,NA,1228.75,79,-0.2,"Approachesfrominside100yards",2007
35,35,"Craig Bowden",78,NA,1987.917,127,-0.31,"Approachesfrominside100yards",2007
35,35,"Robert Garrigus",95,NA,1444.417,92,-0.14,"Approachesfrominside100yards",2007
35,35,"Lee Janzen",66,NA,1314.917,84,-0.08,"Approachesfrominside100yards",2007
35,35,"Matt Kuchar",85,NA,1629.417,104,-0.14,"Approachesfrominside100yards",2007
35,35,"Kirk Triplett",77,NA,1939.167,124,-0.12,"Approachesfrominside100yards",2007
40,40,"Bart Bryant",87,NA,1587,101,-0.22,"Approachesfrominside100yards",2007
40,40,"Ernie Els",59,NA,644.5,41,0.02,"Approachesfrominside100yards",2007
40,40,"Steve Flesch",100,NA,1998.25,127,-0.06,"Approachesfrominside100yards",2007
40,40,"Craig Kanada",109,NA,2036.083,129,-0.05,"Approachesfrominside100yards",2007
40,40,"Tom Lehman",62,NA,978.917,62,-0.13,"Approachesfrominside100yards",2007
40,40,"Kevin Na",84,NA,1195.667,76,-0.11,"Approachesfrominside100yards",2007
46,46,"Robert Allenby",90,NA,793.25,50,-0.1,"Approachesfrominside100yards",2007
46,46,"Brendon de Jonge",76,NA,1647.083,104,-0.14,"Approachesfrominside100yards",2007
46,46,"Tim Petrovic",106,NA,1485.667,94,-0.19,"Approachesfrominside100yards",2007
46,46,"Tiger Woods",63,NA,522.833,33,-0.18,"Approachesfrominside100yards",2007
50,50,"Bill Haas",93,NA,1573.667,99,-0.08,"Approachesfrominside100yards",2007
50,50,"Tripp Isenhour",86,NA,1591.75,100,-0.2,"Approachesfrominside100yards",2007
50,50,"Geoff Ogilvy",84,NA,1702.917,107,-0.07,"Approachesfrominside100yards",2007
53,53,"Bubba Dickerson",51,NA,1121.417,70,-0.19,"Approachesfrominside100yards",2007
53,53,"Ian Poulter",63,NA,911.833,57,-0.14,"Approachesfrominside100yards",2007
55,55,"Woody Austin",95,NA,1770.833,110,-0.18,"Approachesfrominside100yards",2007
55,55,"Tim Clark",66,NA,1834.667,114,-0.17,"Approachesfrominside100yards",2007
