"BirdieorBetterPercentageFairway_RANKTHISWEEK_2015","BirdieorBetterPercentageFairway_RANKLASTWEEK_2015","BirdieorBetterPercentageFairway_PLAYERNAME_2015","BirdieorBetterPercentageFairway_ROUNDS_2015","BirdieorBetterPercentageFairway_Pct_2015","BirdieorBetterPercentageFairway_TOTALBIRDIES_2015","BirdieorBetterPercentageFairway_TOTALHOLES_2015","stat_name","year"
1,1,"Jason Day",75,28.85,195,676,"BirdieorBetterPercentageFairway",2015
2,2,"Justin Rose",69,28.75,188,654,"BirdieorBetterPercentageFairway",2015
3,3,"Jimmy Walker",89,27.32,209,765,"BirdieorBetterPercentageFairway",2015
4,4,"Lee Westwood",56,26.87,108,402,"BirdieorBetterPercentageFairway",2015
5,5,"Robert Streb",110,26.74,327,1223,"BirdieorBetterPercentageFairway",2015
6,6,"Dustin Johnson",75,26.73,174,651,"BirdieorBetterPercentageFairway",2015
7,7,"Rickie Fowler",76,26.48,197,744,"BirdieorBetterPercentageFairway",2015
8,8,"Hideki Matsuyama",95,26.39,247,936,"BirdieorBetterPercentageFairway",2015
9,9,"JB Holmes",89,26.3,207,787,"BirdieorBetterPercentageFairway",2015
10,10,"Jordan Spieth",91,26.24,227,865,"BirdieorBetterPercentageFairway",2015
11,11,"Will Wilcox",58,25.3,147,581,"BirdieorBetterPercentageFairway",2015
12,12,"Bubba Watson",71,25.23,168,666,"BirdieorBetterPercentageFairway",2015
13,13,"Steve Wheatcroft",87,25.21,238,944,"BirdieorBetterPercentageFairway",2015
14,14,"Justin Thomas",106,25.2,311,1234,"BirdieorBetterPercentageFairway",2015
15,15,"Russell Henley",87,25.17,222,882,"BirdieorBetterPercentageFairway",2015
16,16,"Matt Jones",89,25.03,209,835,"BirdieorBetterPercentageFairway",2015
17,17,"Henrik Stenson",63,24.96,152,609,"BirdieorBetterPercentageFairway",2015
18,18,"Billy Horschel",99,24.74,236,954,"BirdieorBetterPercentageFairway",2015
19,19,"Patrick Rodgers",57,24.73,140,566,"BirdieorBetterPercentageFairway",2015
20,20,"Patrick Reed",103,24.62,227,922,"BirdieorBetterPercentageFairway",2015
21,21,"Danny Lee",120,24.61,334,1357,"BirdieorBetterPercentageFairway",2015
22,22,"Carlos Ortiz",100,24.52,257,1048,"BirdieorBetterPercentageFairway",2015
