"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2008","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2008","BirdieorBetterPercentageLeftRough_PLAYERNAME_2008","BirdieorBetterPercentageLeftRough_ROUNDS_2008","BirdieorBetterPercentageLeftRough_Pct_2008","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2008","BirdieorBetterPercentageLeftRough_TOTALHOLES_2008","stat_name","year"
1,1,"Padraig Harrington",52,21.21,14,66,"BirdieorBetterPercentageLeftRough",2008
2,2,"Parker McLachlin",88,20.48,17,83,"BirdieorBetterPercentageLeftRough",2008
3,3,"Vijay Singh",82,20.34,24,118,"BirdieorBetterPercentageLeftRough",2008
4,4,"Steve Stricker",75,20.31,26,128,"BirdieorBetterPercentageLeftRough",2008
5,5,"Anthony Kim",81,20.17,24,119,"BirdieorBetterPercentageLeftRough",2008
6,6,"Brett Rumford",72,19.81,21,106,"BirdieorBetterPercentageLeftRough",2008
7,7,"Stewart Cink",87,19.8,20,101,"BirdieorBetterPercentageLeftRough",2008
8,8,"Stephen Ames",83,19.64,22,112,"BirdieorBetterPercentageLeftRough",2008
9,9,"JP Hayes",67,19.32,17,88,"BirdieorBetterPercentageLeftRough",2008
10,10,"Bubba Watson",97,19.21,29,151,"BirdieorBetterPercentageLeftRough",2008
11,11,"Joe Ogilvie",100,19.14,31,162,"BirdieorBetterPercentageLeftRough",2008
12,12,"Gavin Coles",54,19.12,13,68,"BirdieorBetterPercentageLeftRough",2008
13,13,"Kevin Stadler",90,19.08,25,131,"BirdieorBetterPercentageLeftRough",2008
14,14,"Bill Haas",99,18.9,31,164,"BirdieorBetterPercentageLeftRough",2008
15,15,"Carl Pettersson",110,18.81,38,202,"BirdieorBetterPercentageLeftRough",2008
16,16,"Steve Elkington",84,18.75,21,112,"BirdieorBetterPercentageLeftRough",2008
16,16,"Tom Lehman",51,18.75,9,48,"BirdieorBetterPercentageLeftRough",2008
18,18,"Brenden Pappas",66,18.45,19,103,"BirdieorBetterPercentageLeftRough",2008
19,19,"Tom Scherrer",56,18.31,13,71,"BirdieorBetterPercentageLeftRough",2008
20,20,"Mark Calcavecchia",67,17.86,15,84,"BirdieorBetterPercentageLeftRough",2008
21,21,"Ryan Armour",87,17.71,17,96,"BirdieorBetterPercentageLeftRough",2008
22,22,"Jason Gore",94,17.7,20,113,"BirdieorBetterPercentageLeftRough",2008
23,23,"Carlos Franco",73,17.69,23,130,"BirdieorBetterPercentageLeftRough",2008
24,24,"Travis Perkins",53,17.57,13,74,"BirdieorBetterPercentageLeftRough",2008
25,25,"Steve Lowery",74,17.54,20,114,"BirdieorBetterPercentageLeftRough",2008
26,26,"Daniel Chopra",84,17.48,25,143,"BirdieorBetterPercentageLeftRough",2008
26,26,"Ryan Moore",72,17.48,18,103,"BirdieorBetterPercentageLeftRough",2008
28,28,"Pat Perez",93,17.39,20,115,"BirdieorBetterPercentageLeftRough",2008
29,29,"Rory Sabbatini",77,17.31,18,104,"BirdieorBetterPercentageLeftRough",2008
30,30,"Phil Mickelson",80,17.29,23,133,"BirdieorBetterPercentageLeftRough",2008
31,31,"Martin Laird",98,17.19,22,128,"BirdieorBetterPercentageLeftRough",2008
