"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2005","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2005","BirdieorBetterPercentageRightRough_PLAYERNAME_2005","BirdieorBetterPercentageRightRough_ROUNDS_2005","BirdieorBetterPercentageRightRough_Pct_2005","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2005","BirdieorBetterPercentageRightRough_TOTALHOLES_2005","stat_name","year"
1,1,"Phil Mickelson",81,23.08,21,91,"BirdieorBetterPercentageRightRough",2005
2,2,"Joe Durant",81,21.55,25,116,"BirdieorBetterPercentageRightRough",2005
3,3,"Justin Rose",99,20.78,32,154,"BirdieorBetterPercentageRightRough",2005
4,4,"Joey Snyder III",102,20.55,30,146,"BirdieorBetterPercentageRightRough",2005
5,5,"Tiger Woods",76,20.53,31,151,"BirdieorBetterPercentageRightRough",2005
6,6,"Kirk Triplett",55,20.51,16,78,"BirdieorBetterPercentageRightRough",2005
7,7,"Kevin Na",88,20.41,30,147,"BirdieorBetterPercentageRightRough",2005
8,8,"Geoff Ogilvy",97,20.37,33,162,"BirdieorBetterPercentageRightRough",2005
9,9,"Tag Ridings",93,19.62,31,158,"BirdieorBetterPercentageRightRough",2005
10,10,"Danny Briggs",70,19.57,18,92,"BirdieorBetterPercentageRightRough",2005
11,11,"Billy Mayfair",114,19.51,32,164,"BirdieorBetterPercentageRightRough",2005
12,12,"Scott Gutschewski",86,19.31,28,145,"BirdieorBetterPercentageRightRough",2005
13,13,"Fred Couples",72,19.05,20,105,"BirdieorBetterPercentageRightRough",2005
14,14,"DJ Brigman",76,18.92,21,111,"BirdieorBetterPercentageRightRough",2005
14,14,"Dan Forsman",52,18.92,14,74,"BirdieorBetterPercentageRightRough",2005
16,16,"Arjun Atwal",65,18.81,19,101,"BirdieorBetterPercentageRightRough",2005
17,17,"Roland Thatcher",75,18.69,20,107,"BirdieorBetterPercentageRightRough",2005
18,18,"Steve Allan",102,18.64,33,177,"BirdieorBetterPercentageRightRough",2005
19,19,"Franklin Langham",91,18.6,24,129,"BirdieorBetterPercentageRightRough",2005
20,20,"Mario Tiziani",67,18.49,22,119,"BirdieorBetterPercentageRightRough",2005
21,21,"Brenden Pappas",51,18.48,17,92,"BirdieorBetterPercentageRightRough",2005
22,22,"Ted Purdy",122,18.13,29,160,"BirdieorBetterPercentageRightRough",2005
23,23,"Steve Lowery",100,18.11,23,127,"BirdieorBetterPercentageRightRough",2005
24,24,"Ryan Palmer",101,17.86,25,140,"BirdieorBetterPercentageRightRough",2005
25,25,"Steve Stricker",62,17.74,22,124,"BirdieorBetterPercentageRightRough",2005
26,26,"Vijay Singh",111,17.71,31,175,"BirdieorBetterPercentageRightRough",2005
27,27,"Mark Calcavecchia",92,17.69,23,130,"BirdieorBetterPercentageRightRough",2005
27,27,"Tim Herron",100,17.69,23,130,"BirdieorBetterPercentageRightRough",2005
29,29,"Rich Beem",66,17.59,19,108,"BirdieorBetterPercentageRightRough",2005
30,30,"DJ Trahan",81,17.32,22,127,"BirdieorBetterPercentageRightRough",2005
31,31,"Sergio Garcia",73,17.17,17,99,"BirdieorBetterPercentageRightRough",2005
32,32,"Ryuji Imada",78,16.95,20,118,"BirdieorBetterPercentageRightRough",2005
33,33,"John Elliott",58,16.91,23,136,"BirdieorBetterPercentageRightRough",2005
34,34,"Glen Day",80,16.81,20,119,"BirdieorBetterPercentageRightRough",2005
