"BirdieorBetterPercentageRough_RANKTHISWEEK_2016","BirdieorBetterPercentageRough_RANKLASTWEEK_2016","BirdieorBetterPercentageRough_PLAYERNAME_2016","BirdieorBetterPercentageRough_ROUNDS_2016","BirdieorBetterPercentageRough_Pct_2016","BirdieorBetterPercentageRough_TOTALBIRDIES_2016","BirdieorBetterPercentageRough_TOTALHOLES_2016","stat_name","year"
1,1,"Brooks Koepka",39,28.21,33,117,"BirdieorBetterPercentageRough",2016
2,2,"Rory McIlroy",37,27.06,23,85,"BirdieorBetterPercentageRough",2016
3,4,"Bubba Watson",30,26.87,18,67,"BirdieorBetterPercentageRough",2016
4,5,"Cameron Percy",22,26,13,50,"BirdieorBetterPercentageRough",2016
5,3,"Gary Woodland",45,24.5,37,151,"BirdieorBetterPercentageRough",2016
6,6,"Marc Leishman",41,24.42,21,86,"BirdieorBetterPercentageRough",2016
7,8,"Henrik Stenson",30,24.07,13,54,"BirdieorBetterPercentageRough",2016
8,21,"Chris Stroud",52,22.01,35,159,"BirdieorBetterPercentageRough",2016
9,10,"Brandt Snedeker",47,21.95,27,123,"BirdieorBetterPercentageRough",2016
10,9,"DA Points",32,21.92,16,73,"BirdieorBetterPercentageRough",2016
11,11,"Jordan Spieth",34,21.74,15,69,"BirdieorBetterPercentageRough",2016
12,12,"Andrew Loupe",50,21.57,44,204,"BirdieorBetterPercentageRough",2016
13,28,"Vaughn Taylor",30,21.43,15,70,"BirdieorBetterPercentageRough",2016
14,15,"Jimmy Walker",43,21.37,28,131,"BirdieorBetterPercentageRough",2016
15,16,"Dustin Johnson",37,21.35,19,89,"BirdieorBetterPercentageRough",2016
16,17,"Wes Roach",33,21.25,17,80,"BirdieorBetterPercentageRough",2016
17,7,"Vijay Singh",42,21.13,30,142,"BirdieorBetterPercentageRough",2016
18,20,"Jason Day",36,20.99,17,81,"BirdieorBetterPercentageRough",2016
19,13,"Jamie Lovemark",57,20.95,44,210,"BirdieorBetterPercentageRough",2016
20,68,"Phil Mickelson",37,20.83,25,120,"BirdieorBetterPercentageRough",2016
21,22,"Ryan Palmer",46,20.69,30,145,"BirdieorBetterPercentageRough",2016
22,18,"Justin Thomas",53,20.65,32,155,"BirdieorBetterPercentageRough",2016
23,23,"Louis Oosthuizen",25,20.59,7,34,"BirdieorBetterPercentageRough",2016
24,34,"Hideki Matsuyama",40,20.41,20,98,"BirdieorBetterPercentageRough",2016
25,24,"Thomas Aiken",42,20,14,70,"BirdieorBetterPercentageRough",2016
25,28,"Branden Grace",31,20,15,75,"BirdieorBetterPercentageRough",2016
25,19,"Francesco Molinari",36,20,23,115,"BirdieorBetterPercentageRough",2016
25,28,"Seung Yul Noh",54,20,40,200,"BirdieorBetterPercentageRough",2016
25,35,"Jhonattan Vegas",49,20,27,135,"BirdieorBetterPercentageRough",2016
30,25,"Martin Piller",37,19.77,17,86,"BirdieorBetterPercentageRough",2016
30,27,"Patrick Rodgers",49,19.77,34,172,"BirdieorBetterPercentageRough",2016
32,13,"Paul Casey",39,19.74,15,76,"BirdieorBetterPercentageRough",2016
33,36,"Andrew Landry",24,19.44,7,36,"BirdieorBetterPercentageRough",2016
34,73,"Johnson Wagner",44,19.38,25,129,"BirdieorBetterPercentageRough",2016
35,39,"Kevin Na",52,19.33,23,119,"BirdieorBetterPercentageRough",2016
36,48,"Matt Jones",45,19.27,21,109,"BirdieorBetterPercentageRough",2016
36,38,"Luke List",51,19.27,37,192,"BirdieorBetterPercentageRough",2016
38,40,"Miguel Angel Carballo",24,19.18,14,73,"BirdieorBetterPercentageRough",2016
39,28,"Kevin Chappell",49,19.14,31,162,"BirdieorBetterPercentageRough",2016
40,32,"Tony Finau",49,19.13,35,183,"BirdieorBetterPercentageRough",2016
40,41,"Smylie Kaufman",57,19.13,35,183,"BirdieorBetterPercentageRough",2016
42,42,"John Huh",51,19.12,26,136,"BirdieorBetterPercentageRough",2016
43,43,"Hudson Swafford",52,19.08,29,152,"BirdieorBetterPercentageRough",2016
