"PercentageofAvailablePurseWon_RANKTHISWEEK_2007","PercentageofAvailablePurseWon_RANKLASTWEEK_2007","PercentageofAvailablePurseWon_PLAYERNAME_2007","PercentageofAvailablePurseWon_EVENTS_2007","PercentageofAvailablePurseWon_Pct_2007","PercentageofAvailablePurseWon_OFFICIALMONEYWON_2007","PercentageofAvailablePurseWon_TOTALPURSEAVAILABLE_2007","stat_name","year"
1,1,"Tiger Woods",16,9.69,10867051,112177452,"PercentageofAvailablePurseWon",2007
2,2,"Phil Mickelson",22,4.01,5819987,145177452,"PercentageofAvailablePurseWon",2007
3,3,"Andres Romero",3,3.44,798414,23177452,"PercentageofAvailablePurseWon",2007
4,4,"Simon Dyson",1,3.25,227500,7e+06,"PercentageofAvailablePurseWon",2007
5,5,"Steve Stricker",23,3.04,4663076,153277452,"PercentageofAvailablePurseWon",2007
6,6,"Rory Sabbatini",23,2.99,4550040,152277452,"PercentageofAvailablePurseWon",2007
7,7,"Sergio Garcia",19,2.85,3721184,130777452,"PercentageofAvailablePurseWon",2007
8,8,"KJ Choi",25,2.79,4587857,164477452,"PercentageofAvailablePurseWon",2007
8,8,"Jim Furyk",23,2.79,4154046,148677452,"PercentageofAvailablePurseWon",2007
10,10,"Vijay Singh",27,2.7,4728375,175177452,"PercentageofAvailablePurseWon",2007
11,11,"Adam Scott",19,2.61,3413184,130677452,"PercentageofAvailablePurseWon",2007
12,12,"Zach Johnson",23,2.6,3922336,150577452,"PercentageofAvailablePurseWon",2007
13,13,"Justin Rose",16,2.54,2705874,106577452,"PercentageofAvailablePurseWon",2007
14,14,"Ernie Els",16,2.42,2705715,111577452,"PercentageofAvailablePurseWon",2007
15,15,"Aaron Baddeley",23,2.27,3441118,151777452,"PercentageofAvailablePurseWon",2007
16,16,"Padraig Harrington",18,2.16,2658281,123177452,"PercentageofAvailablePurseWon",2007
17,17,"Tim Clark",19,2.14,2615151,1.22e+08,"PercentageofAvailablePurseWon",2007
18,18,"Scott Verplank",23,2.13,3114287,145877452,"PercentageofAvailablePurseWon",2007
19,19,"Geoff Ogilvy",22,2,2943201,147277452,"PercentageofAvailablePurseWon",2007
20,20,"Henrik Stenson",15,1.78,1897554,106377452,"PercentageofAvailablePurseWon",2007
21,21,"Woody Austin",27,1.77,2887592,163600000,"PercentageofAvailablePurseWon",2007
21,21,"Mark Calcavecchia",28,1.77,2993330,168977452,"PercentageofAvailablePurseWon",2007
23,23,"Angel Cabrera",14,1.73,1661105,95777452,"PercentageofAvailablePurseWon",2007
24,24,"Charles Howell III",26,1.7,2832089,166477452,"PercentageofAvailablePurseWon",2007
24,24,"Hunter Mahan",27,1.7,2858994,168277452,"PercentageofAvailablePurseWon",2007
26,26,"Brandt Snedeker",29,1.67,2836640,170300000,"PercentageofAvailablePurseWon",2007
27,27,"Luke Donald",20,1.63,2190052,134177452,"PercentageofAvailablePurseWon",2007
28,28,"Richard Green",5,1.55,544070,35177452,"PercentageofAvailablePurseWon",2007
29,29,"Stewart Cink",25,1.53,2483145,161977452,"PercentageofAvailablePurseWon",2007
30,30,"Boo Weekley",29,1.5,2613209,174677452,"PercentageofAvailablePurseWon",2007
31,31,"Pelle Edberg",1,1.47,120458,8177452,"PercentageofAvailablePurseWon",2007
32,32,"Stephen Ames",23,1.44,2103425,146377452,"PercentageofAvailablePurseWon",2007
32,32,"David Toms",22,1.44,2095835,145577452,"PercentageofAvailablePurseWon",2007
34,34,"Bernhard Langer",14,1.43,1153603,80900000,"PercentageofAvailablePurseWon",2007
35,35,"Paul Casey",10,1.37,1012770,73677452,"PercentageofAvailablePurseWon",2007
35,35,"Heath Slocum",28,1.37,2184377,1.59e+08,"PercentageofAvailablePurseWon",2007
37,37,"John Rollins",29,1.35,2488889,184577452,"PercentageofAvailablePurseWon",2007
38,38,"Mike Weir",23,1.34,1986050,147977452,"PercentageofAvailablePurseWon",2007
39,39,"Jose Coceres",17,1.33,1287841,97100000,"PercentageofAvailablePurseWon",2007
40,40,"Jonathan Byrd",23,1.32,1854905,140377452,"PercentageofAvailablePurseWon",2007
40,40,"Steve Flesch",31,1.32,2288897,173800000,"PercentageofAvailablePurseWon",2007
42,42,"Trevor Immelman",21,1.3,1801646,139077452,"PercentageofAvailablePurseWon",2007
43,43,"Camilo Villegas",24,1.29,1866959,144400000,"PercentageofAvailablePurseWon",2007
43,43,"Jay Williamson",14,1.29,835514,64600000,"PercentageofAvailablePurseWon",2007
45,45,"Freddie Jacobson",20,1.28,1469540,114500000,"PercentageofAvailablePurseWon",2007
45,45,"Arron Oberholser",21,1.28,1797455,140577452,"PercentageofAvailablePurseWon",2007
47,47,"Robert Allenby",28,1.25,2219537,177377452,"PercentageofAvailablePurseWon",2007
48,48,"Brett Wetterich",28,1.24,2208281,178477452,"PercentageofAvailablePurseWon",2007
49,49,"Justin Leonard",29,1.2,2079246,173177452,"PercentageofAvailablePurseWon",2007
50,50,"John Senden",27,1.18,1899555,161077452,"PercentageofAvailablePurseWon",2007
51,51,"Ian Poulter",18,1.17,1431389,122677452,"PercentageofAvailablePurseWon",2007
52,52,"Jerry Kelly",28,1.16,1978032,169977452,"PercentageofAvailablePurseWon",2007
52,52,"Nick Watney",26,1.16,1838627,158177452,"PercentageofAvailablePurseWon",2007
54,54,"Stuart Appleby",24,1.14,1803383,157977452,"PercentageofAvailablePurseWon",2007
54,54,"Sean OHair",28,1.14,1921224,167977452,"PercentageofAvailablePurseWon",2007
56,56,"Mark Wilson",25,1.12,1637109,1.46e+08,"PercentageofAvailablePurseWon",2007
57,57,"Niclas Fasth",10,1.11,813405,73077452,"PercentageofAvailablePurseWon",2007
58,58,"Ken Duke",31,1.1,1927100,174500000,"PercentageofAvailablePurseWon",2007
58,58,"Bubba Watson",26,1.1,1654805,150900000,"PercentageofAvailablePurseWon",2007
60,60,"Carl Pettersson",31,1.09,2040936,187277452,"PercentageofAvailablePurseWon",2007
61,61,"Jeff Overton",19,1.07,1009629,94200000,"PercentageofAvailablePurseWon",2007
62,62,"Billy Mayfair",30,1.06,1814516,171600000,"PercentageofAvailablePurseWon",2007
63,63,"Paul Broadhurst",2,1.05,169458,16177452,"PercentageofAvailablePurseWon",2007
63,63,"Retief Goosen",14,1.05,1044385,99177452,"PercentageofAvailablePurseWon",2007
63,63,"Pat Perez",27,1.05,1678294,159177452,"PercentageofAvailablePurseWon",2007
66,66,"Andy Bare",1,1.04,52142,5e+06,"PercentageofAvailablePurseWon",2007
66,66,"John Mallinger",29,1.04,1681762,1.61e+08,"PercentageofAvailablePurseWon",2007
68,68,"Nick Dougherty",3,1.03,227921,22177452,"PercentageofAvailablePurseWon",2007
68,68,"Anthony Kim",26,1.03,1545192,150600000,"PercentageofAvailablePurseWon",2007
70,70,"Paul Goydos",19,1.02,1229352,120900000,"PercentageofAvailablePurseWon",2007
71,71,"Brian Bateman",18,1,1022761,102500000,"PercentageofAvailablePurseWon",2007
72,72,"Chad Campbell",28,0.98,1701242,172877452,"PercentageofAvailablePurseWon",2007
72,72,"Jeff Quinney",29,0.98,1612055,164100000,"PercentageofAvailablePurseWon",2007
74,74,"Daniel Chopra",34,0.95,1755108,184200000,"PercentageofAvailablePurseWon",2007
74,74,"Lucas Glover",29,0.95,1664164,174777452,"PercentageofAvailablePurseWon",2007
74,74,"George McNeill",30,0.95,1504623,158600000,"PercentageofAvailablePurseWon",2007
77,77,"Charley Hoffman",30,0.94,1689365,179877452,"PercentageofAvailablePurseWon",2007
77,77,"Kevin Sutherland",25,0.94,1351942,144400000,"PercentageofAvailablePurseWon",2007
79,79,"Michael Allen",22,0.93,1016950,1.09e+08,"PercentageofAvailablePurseWon",2007
79,79,"Fred Funk",22,0.93,1239376,132600000,"PercentageofAvailablePurseWon",2007
79,79,"Ryan Moore",28,0.93,1554900,167977452,"PercentageofAvailablePurseWon",2007
79,79,"Jose Maria Olazabal",16,0.93,979249,105200000,"PercentageofAvailablePurseWon",2007
83,83,"Bo Van Pelt",30,0.92,1559178,169900000,"PercentageofAvailablePurseWon",2007
84,84,"Nick OHern",22,0.91,1342390,147377452,"PercentageofAvailablePurseWon",2007
84,84,"Rod Pampling",25,0.91,1475968,162677452,"PercentageofAvailablePurseWon",2007
86,86,"Rocco Mediate",22,0.89,1166293,130400000,"PercentageofAvailablePurseWon",2007
87,87,"Troy Matteson",26,0.84,1282421,1.53e+08,"PercentageofAvailablePurseWon",2007
87,87,"Kenny Perry",24,0.84,1197615,143200000,"PercentageofAvailablePurseWon",2007
89,89,"Brian Davis",28,0.82,1289205,157477452,"PercentageofAvailablePurseWon",2007
89,89,"Nathan Green",29,0.82,1380316,168600000,"PercentageofAvailablePurseWon",2007
91,91,"Robert Garrigus",28,0.81,1260009,156400000,"PercentageofAvailablePurseWon",2007
91,91,"Peter Lonard",27,0.81,1259879,156400000,"PercentageofAvailablePurseWon",2007
91,91,"Charlie Wi",27,0.81,1145971,142300000,"PercentageofAvailablePurseWon",2007
94,94,"Markus Brier",2,0.79,120458,15177452,"PercentageofAvailablePurseWon",2007
94,94,"Bart Bryant",25,0.79,1167872,147800000,"PercentageofAvailablePurseWon",2007
94,94,"Ryuji Imada",32,0.79,1414862,179500000,"PercentageofAvailablePurseWon",2007
94,94,"Vaughn Taylor",28,0.79,1313350,167077452,"PercentageofAvailablePurseWon",2007
98,98,"Tom Lehman",19,0.78,880823,113277452,"PercentageofAvailablePurseWon",2007
98,98,"Joe Ogilvie",31,0.78,1339150,171300000,"PercentageofAvailablePurseWon",2007
98,98,"Kyle Thompson",1,0.78,42900,5500000,"PercentageofAvailablePurseWon",2007
98,98,"Dean Wilson",28,0.78,1258504,162300000,"PercentageofAvailablePurseWon",2007
102,102,"Alejandro Canizares",3,0.75,111900,1.5e+07,"PercentageofAvailablePurseWon",2007
103,103,"Jesper Parnevik",27,0.74,1075214,144900000,"PercentageofAvailablePurseWon",2007
103,103,"Fabrizio Zanotti",1,0.74,25900,3500000,"PercentageofAvailablePurseWon",2007
105,105,"Jason Gore",27,0.73,1105984,150600000,"PercentageofAvailablePurseWon",2007
105,105,"Davis Love III",21,0.73,1016488,139077452,"PercentageofAvailablePurseWon",2007
107,107,"Tommy Armour III",24,0.72,919132,127500000,"PercentageofAvailablePurseWon",2007
108,108,"Russ Cochran",1,0.7,31275,4500000,"PercentageofAvailablePurseWon",2007
108,108,"Mark Hensby",25,0.7,969728,139177452,"PercentageofAvailablePurseWon",2007
110,110,"Stephen Leaney",26,0.69,1015200,147100000,"PercentageofAvailablePurseWon",2007
111,111,"Steve Marino",31,0.68,1179162,173300000,"PercentageofAvailablePurseWon",2007
112,112,"Alex Cejka",25,0.67,868301,1.29e+08,"PercentageofAvailablePurseWon",2007
112,112,"Robert Karlsson",13,0.67,609370,90977452,"PercentageofAvailablePurseWon",2007
112,112,"Will Ma Kenzie",30,0.67,1116504,167500000,"PercentageofAvailablePurseWon",2007
112,112,"DJ Trahan",30,0.67,1106371,165500000,"PercentageofAvailablePurseWon",2007
112,112,"Charles Warren",29,0.67,1068438,160500000,"PercentageofAvailablePurseWon",2007
117,117,"Brian Gay",32,0.66,1114569,1.69e+08,"PercentageofAvailablePurseWon",2007
117,117,"JJ Henry",26,0.66,1088659,163777452,"PercentageofAvailablePurseWon",2007
119,119,"Steve Elkington",25,0.65,911873,140100000,"PercentageofAvailablePurseWon",2007
120,120,"Nick Flanagan",4,0.64,122028,1.9e+07,"PercentageofAvailablePurseWon",2007
120,120,"JB Holmes",24,0.64,874215,137200000,"PercentageofAvailablePurseWon",2007
122,122,"Greg Kraft",10,0.63,278590,44500000,"PercentageofAvailablePurseWon",2007
123,123,"Cameron Beckman",29,0.62,902255,1.46e+08,"PercentageofAvailablePurseWon",2007
123,123,"Matt Kuchar",26,0.62,886146,143277452,"PercentageofAvailablePurseWon",2007
125,125,"Chris DiMarco",24,0.61,950413,155577452,"PercentageofAvailablePurseWon",2007
125,125,"Bill Haas",30,0.61,967441,1.59e+08,"PercentageofAvailablePurseWon",2007
125,125,"Tim Herron",27,0.61,951197,155100000,"PercentageofAvailablePurseWon",2007
125,125,"Kevin Na",27,0.61,856668,140200000,"PercentageofAvailablePurseWon",2007
125,125,"Tim Petrovic",32,0.61,1052445,1.73e+08,"PercentageofAvailablePurseWon",2007
130,130,"Steve Allan",18,0.6,568058,9.4e+07,"PercentageofAvailablePurseWon",2007
130,130,"JP Hayes",28,0.6,890813,148400000,"PercentageofAvailablePurseWon",2007
132,132,"Briny Baird",31,0.59,985448,1.68e+08,"PercentageofAvailablePurseWon",2007
132,132,"Anton Haig",2,0.59,94750,1.6e+07,"PercentageofAvailablePurseWon",2007
