"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2012","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2012","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2012","AverageApproachDistanceBirdieorBetter_ROUNDS_2012","AverageApproachDistanceBirdieorBetter_AVGYARDS_2012","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2012","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2012","stat_name","year"
1,1,"Brian Gay",91,152.4,1426340,260,"AverageApproachDistanceBirdieorBetter",2012
2,2,"Billy Hurley III",70,156.2,933458,166,"AverageApproachDistanceBirdieorBetter",2012
3,3,"Tim Clark",60,158.8,948717,166,"AverageApproachDistanceBirdieorBetter",2012
3,3,"Gavin Coles",72,158.8,1120143,196,"AverageApproachDistanceBirdieorBetter",2012
5,5,"Nick OHern",78,160.4,1206911,209,"AverageApproachDistanceBirdieorBetter",2012
6,6,"David Toms",60,161,874937,151,"AverageApproachDistanceBirdieorBetter",2012
7,7,"Vaughn Taylor",81,161.4,1359858,234,"AverageApproachDistanceBirdieorBetter",2012
8,8,"Bryce Molder",83,161.6,1431112,246,"AverageApproachDistanceBirdieorBetter",2012
9,9,"Colt Knost",79,162.4,1204631,206,"AverageApproachDistanceBirdieorBetter",2012
10,10,"Justin Leonard",79,162.5,1210732,207,"AverageApproachDistanceBirdieorBetter",2012
11,11,"Ted Potter Jr",77,163.4,1135557,193,"AverageApproachDistanceBirdieorBetter",2012
12,12,"David Mathis",83,163.6,1343227,228,"AverageApproachDistanceBirdieorBetter",2012
13,13,"Brendon Todd",78,163.8,1149748,195,"AverageApproachDistanceBirdieorBetter",2012
14,14,"Michael Bradley",63,164.1,963000,163,"AverageApproachDistanceBirdieorBetter",2012
15,15,"Daniel Chopra",55,164.6,906680,153,"AverageApproachDistanceBirdieorBetter",2012
16,16,"Graeme McDowell",55,164.7,865414,146,"AverageApproachDistanceBirdieorBetter",2012
16,16,"Kyle Reifers",86,164.7,1404856,237,"AverageApproachDistanceBirdieorBetter",2012
18,18,"Cameron Beckman",81,164.8,1435404,242,"AverageApproachDistanceBirdieorBetter",2012
19,19,"Scott Dunlap",57,165.4,899215,151,"AverageApproachDistanceBirdieorBetter",2012
20,20,"Heath Slocum",93,165.6,1436683,241,"AverageApproachDistanceBirdieorBetter",2012
21,21,"Jim Furyk",85,165.7,1371969,230,"AverageApproachDistanceBirdieorBetter",2012
22,22,"Kyle Thompson",51,165.8,686489,115,"AverageApproachDistanceBirdieorBetter",2012
23,23,"Alexandre Rocha",62,166.5,923290,154,"AverageApproachDistanceBirdieorBetter",2012
24,24,"Charlie Beljan",61,166.6,953533,159,"AverageApproachDistanceBirdieorBetter",2012
