"AverageApproachDistancePar_RANKTHISWEEK_2008","AverageApproachDistancePar_RANKLASTWEEK_2008","AverageApproachDistancePar_PLAYERNAME_2008","AverageApproachDistancePar_ROUNDS_2008","AverageApproachDistancePar_AVGYARDS_2008","AverageApproachDistancePar_TOTALDISTANCEINCHES_2008","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2008","stat_name","year"
1,1,"Kyle Thompson",70,155.7,3587389,640,"AverageApproachDistancePar",2008
2,2,"Greg Kraft",63,155.8,3146886,561,"AverageApproachDistancePar",2008
3,3,"Mark Hensby",71,156.7,3835258,680,"AverageApproachDistancePar",2008
4,4,"Fred Couples",60,157.6,3244602,572,"AverageApproachDistancePar",2008
5,5,"Tommy Armour III",77,157.7,4264401,751,"AverageApproachDistancePar",2008
6,6,"Dustin Johnson",92,158.4,5079777,891,"AverageApproachDistancePar",2008
6,6,"Doug LaBelle II",65,158.4,3455665,606,"AverageApproachDistancePar",2008
8,8,"Jason Allred",63,158.5,3092962,542,"AverageApproachDistancePar",2008
8,8,"John Huston",56,158.5,3144354,551,"AverageApproachDistancePar",2008
10,10,"Brenden Pappas",66,158.8,3629598,635,"AverageApproachDistancePar",2008
11,11,"Shane Bertsch",96,159,5976534,1044,"AverageApproachDistancePar",2008
11,11,"Tom Scherrer",56,159,2890498,505,"AverageApproachDistancePar",2008
11,11,"Ron Whittaker",54,159,2673226,467,"AverageApproachDistancePar",2008
14,14,"Stephen Ames",83,159.1,4414675,771,"AverageApproachDistancePar",2008
14,14,"Daniel Chopra",84,159.1,4416335,771,"AverageApproachDistancePar",2008
14,14,"Rory Sabbatini",77,159.1,3929202,686,"AverageApproachDistancePar",2008
17,17,"JP Hayes",67,159.4,4227987,737,"AverageApproachDistancePar",2008
18,18,"Chris DiMarco",87,159.5,4926408,858,"AverageApproachDistancePar",2008
19,19,"Steve Flesch",95,159.7,5283556,919,"AverageApproachDistancePar",2008
20,20,"John Riegger",73,159.9,4346252,755,"AverageApproachDistancePar",2008
21,21,"Jim McGovern",75,160,4106990,713,"AverageApproachDistancePar",2008
21,21,"Parker McLachlin",88,160,5167310,897,"AverageApproachDistancePar",2008
21,21,"John Merrick",98,160,5168228,897,"AverageApproachDistancePar",2008
21,21,"Boo Weekley",86,160,4163267,723,"AverageApproachDistancePar",2008
25,25,"Harrison Frazar",73,160.1,4029874,699,"AverageApproachDistancePar",2008
25,25,"Travis Perkins",53,160.1,2501785,434,"AverageApproachDistancePar",2008
27,27,"Marco Dawson",64,160.2,3436822,596,"AverageApproachDistancePar",2008
27,27,"Joe Ogilvie",100,160.2,5582546,968,"AverageApproachDistancePar",2008
29,29,"Robert Gamez",79,160.4,4579896,793,"AverageApproachDistancePar",2008
29,29,"Tim Petrovic",97,160.4,5312466,920,"AverageApproachDistancePar",2008
31,31,"Cameron Beckman",87,160.6,4817263,833,"AverageApproachDistancePar",2008
32,32,"Todd Hamilton",92,160.7,4935006,853,"AverageApproachDistancePar",2008
32,32,"Lee Janzen",89,160.7,4910340,849,"AverageApproachDistancePar",2008
32,32,"Kevin Stadler",90,160.7,4569995,790,"AverageApproachDistancePar",2008
35,35,"David Toms",70,160.8,3622859,626,"AverageApproachDistancePar",2008
35,35,"Jay Williamson",96,160.8,5376216,929,"AverageApproachDistancePar",2008
37,37,"George McNeill",97,160.9,5775453,997,"AverageApproachDistancePar",2008
38,38,"Glen Day",64,161.1,3878917,669,"AverageApproachDistancePar",2008
38,38,"Tim Herron",97,161.1,5845813,1008,"AverageApproachDistancePar",2008
38,38,"Scott Sterling",89,161.1,5166119,891,"AverageApproachDistancePar",2008
41,41,"Ryan Armour",87,161.2,4868141,839,"AverageApproachDistancePar",2008
42,42,"Jeff Gove",50,161.3,3049029,525,"AverageApproachDistancePar",2008
42,42,"JB Holmes",86,161.3,4226294,728,"AverageApproachDistancePar",2008
42,42,"Brandt Jobe",52,161.3,3146965,542,"AverageApproachDistancePar",2008
42,42,"Richard Johnson",60,161.3,3408242,587,"AverageApproachDistancePar",2008
42,42,"Stephen Leaney",53,161.3,3135055,540,"AverageApproachDistancePar",2008
47,47,"Tim Clark",90,161.4,4851626,835,"AverageApproachDistancePar",2008
47,47,"Craig Kanada",65,161.4,3748431,645,"AverageApproachDistancePar",2008
49,49,"Ryan Palmer",69,161.5,3715716,639,"AverageApproachDistancePar",2008
49,49,"Ian Poulter",51,161.5,2396003,412,"AverageApproachDistancePar",2008
51,51,"JJ Henry",108,161.6,7011865,1205,"AverageApproachDistancePar",2008
51,51,"Brett Rumford",72,161.6,3840225,660,"AverageApproachDistancePar",2008
53,53,"Steve Elkington",84,161.7,4906376,843,"AverageApproachDistancePar",2008
53,53,"Cody Freeman",66,161.7,3632571,624,"AverageApproachDistancePar",2008
53,53,"Zach Johnson",85,161.7,4807424,826,"AverageApproachDistancePar",2008
53,53,"Davis Love III",78,161.7,4127145,709,"AverageApproachDistancePar",2008
57,57,"Olin Browne",77,161.8,4886789,839,"AverageApproachDistancePar",2008
57,57,"David Lutterus",59,161.8,3180570,546,"AverageApproachDistancePar",2008
57,57,"Brandt Snedeker",85,161.8,4548604,781,"AverageApproachDistancePar",2008
60,60,"Michael Allen",91,161.9,5130050,880,"AverageApproachDistancePar",2008
60,60,"Heath Slocum",104,161.9,6003520,1030,"AverageApproachDistancePar",2008
62,62,"Steve Stricker",75,162,3966155,680,"AverageApproachDistancePar",2008
62,62,"Mark Wilson",107,162,6982789,1197,"AverageApproachDistancePar",2008
64,64,"Lucas Glover",91,162.1,5555888,952,"AverageApproachDistancePar",2008
64,64,"Sean OHair",81,162.1,4622706,792,"AverageApproachDistancePar",2008
64,64,"Andres Romero",69,162.1,3145792,539,"AverageApproachDistancePar",2008
67,67,"Justin Bolli",87,162.2,4841522,829,"AverageApproachDistancePar",2008
67,67,"Alex Cejka",75,162.2,4004815,686,"AverageApproachDistancePar",2008
67,67,"Patrick Sheehan",124,162.2,7192871,1232,"AverageApproachDistancePar",2008
67,67,"Vaughn Taylor",103,162.2,6165555,1056,"AverageApproachDistancePar",2008
67,67,"Bo Van Pelt",101,162.2,6183889,1059,"AverageApproachDistancePar",2008
72,72,"Carlos Franco",73,162.3,4100477,702,"AverageApproachDistancePar",2008
72,72,"Vijay Singh",82,162.3,4282327,733,"AverageApproachDistancePar",2008
72,72,"Bob Sowards",61,162.3,3446303,590,"AverageApproachDistancePar",2008
75,75,"Eric Axley",113,162.4,6528894,1117,"AverageApproachDistancePar",2008
75,75,"Mark Calcavecchia",67,162.4,3472912,594,"AverageApproachDistancePar",2008
75,75,"Tag Ridings",88,162.4,5179452,886,"AverageApproachDistancePar",2008
75,75,"Kevin Streelman",114,162.4,6427018,1099,"AverageApproachDistancePar",2008
75,75,"Omar Uresti",74,162.4,4313683,738,"AverageApproachDistancePar",2008
75,75,"Tim Wilkinson",95,162.4,5606667,959,"AverageApproachDistancePar",2008
81,81,"Billy Andrade",71,162.5,4152235,710,"AverageApproachDistancePar",2008
81,81,"Todd Demsey",80,162.5,4768513,815,"AverageApproachDistancePar",2008
81,81,"Tommy Gainey",60,162.5,2785251,476,"AverageApproachDistancePar",2008
81,81,"Kent Jones",68,162.5,3680045,629,"AverageApproachDistancePar",2008
81,81,"Will Ma Kenzie",62,162.5,3843314,657,"AverageApproachDistancePar",2008
81,81,"Steve Marino",119,162.5,7008396,1198,"AverageApproachDistancePar",2008
81,81,"Geoff Ogilvy",65,162.5,3404968,582,"AverageApproachDistancePar",2008
81,81,"Ted Purdy",68,162.5,4112005,703,"AverageApproachDistancePar",2008
89,89,"Woody Austin",109,162.6,5900396,1008,"AverageApproachDistancePar",2008
90,90,"Rich Beem",90,162.7,5237676,894,"AverageApproachDistancePar",2008
90,90,"Freddie Jacobson",78,162.7,4256898,727,"AverageApproachDistancePar",2008
90,90,"Jerry Kelly",89,162.7,5182572,885,"AverageApproachDistancePar",2008
90,90,"Matt Kuchar",88,162.7,4948963,845,"AverageApproachDistancePar",2008
90,90,"Justin Leonard",101,162.7,4968376,848,"AverageApproachDistancePar",2008
95,95,"Stuart Appleby",87,162.8,4536814,774,"AverageApproachDistancePar",2008
95,95,"Charles Howell III",101,162.8,5924675,1011,"AverageApproachDistancePar",2008
95,95,"Jeff Maggert",86,162.8,5191432,886,"AverageApproachDistancePar",2008
98,98,"Charley Hoffman",94,162.9,5675802,968,"AverageApproachDistancePar",2008
98,98,"Trevor Immelman",70,162.9,3612654,616,"AverageApproachDistancePar",2008
98,98,"Michael Letzig",88,162.9,4815112,821,"AverageApproachDistancePar",2008
98,98,"Jeff Overton",103,162.9,5950776,1015,"AverageApproachDistancePar",2008
102,102,"Brad Elder",67,163,3780009,644,"AverageApproachDistancePar",2008
102,102,"Ernie Els",51,163,2323496,396,"AverageApproachDistancePar",2008
104,104,"Cliff Kresge",84,163.1,4909555,836,"AverageApproachDistancePar",2008
104,104,"John Rollins",94,163.1,5373417,915,"AverageApproachDistancePar",2008
106,106,"Bob Estes",90,163.2,6031999,1027,"AverageApproachDistancePar",2008
106,106,"Chris Stroud",81,163.2,4518564,769,"AverageApproachDistancePar",2008
106,106,"Nick Watney",96,163.2,5618006,956,"AverageApproachDistancePar",2008
106,106,"Mike Weir",88,163.2,4589580,781,"AverageApproachDistancePar",2008
110,110,"Mathias Gronberg",87,163.3,5003755,851,"AverageApproachDistancePar",2008
110,110,"Matt Jones",95,163.3,5566346,947,"AverageApproachDistancePar",2008
110,110,"Nick OHern",82,163.3,4954521,843,"AverageApproachDistancePar",2008
113,113,"Ben Curtis",80,163.4,4393827,747,"AverageApproachDistancePar",2008
113,113,"Bill Haas",99,163.4,5999776,1020,"AverageApproachDistancePar",2008
113,113,"Frank Lickliter II",107,163.4,6590191,1120,"AverageApproachDistancePar",2008
113,113,"Kevin Na",97,163.4,6153920,1046,"AverageApproachDistancePar",2008
113,113,"Bob Tway",70,163.4,3864488,657,"AverageApproachDistancePar",2008
113,113,"Charlie Wi",97,163.4,6124414,1041,"AverageApproachDistancePar",2008
119,119,"Stewart Cink",87,163.5,4214210,716,"AverageApproachDistancePar",2008
119,119,"Paul Goydos",78,163.5,4562001,775,"AverageApproachDistancePar",2008
119,119,"Anthony Kim",81,163.5,4267071,725,"AverageApproachDistancePar",2008
119,119,"Troy Matteson",94,163.5,5858279,995,"AverageApproachDistancePar",2008
119,119,"Tom Pernice Jr",104,163.5,6580358,1118,"AverageApproachDistancePar",2008
119,119,"Jeff Quinney",87,163.5,4892430,831,"AverageApproachDistancePar",2008
125,125,"Joe Durant",92,163.6,5172073,878,"AverageApproachDistancePar",2008
125,125,"Padraig Harrington",52,163.6,2096062,356,"AverageApproachDistancePar",2008
125,125,"Jon Mills",95,163.6,5276245,896,"AverageApproachDistancePar",2008
125,125,"Rod Pampling",83,163.6,4539860,771,"AverageApproachDistancePar",2008
125,125,"Jin Park",85,163.6,4711851,800,"AverageApproachDistancePar",2008
125,125,"Marc Turnesa",87,163.6,5065102,860,"AverageApproachDistancePar",2008
131,131,"Brian Gay",102,163.7,6027457,1023,"AverageApproachDistancePar",2008
131,131,"Jason Gore",94,163.7,5533113,939,"AverageApproachDistancePar",2008
131,131,"John Mallinger",95,163.7,5603976,951,"AverageApproachDistancePar",2008
131,131,"Chris Riley",51,163.7,2829061,480,"AverageApproachDistancePar",2008
135,135,"Steve Allan",58,163.8,3072901,521,"AverageApproachDistancePar",2008
135,135,"Dudley Hart",74,163.8,4547128,771,"AverageApproachDistancePar",2008
137,137,"Brad Adamonis",87,163.9,5069598,859,"AverageApproachDistancePar",2008
137,137,"Ken Duke",116,163.9,6946438,1177,"AverageApproachDistancePar",2008
137,137,"Chez Reavie",102,163.9,6203101,1051,"AverageApproachDistancePar",2008
140,140,"Mathew Goggin",91,164,5655657,958,"AverageApproachDistancePar",2008
140,140,"Brett Quigley",80,164,5090430,862,"AverageApproachDistancePar",2008
140,140,"Adam Scott",51,164,2232173,378,"AverageApproachDistancePar",2008
140,140,"YE Yang",89,164,5377413,911,"AverageApproachDistancePar",2008
144,144,"Bart Bryant",81,164.1,4756009,805,"AverageApproachDistancePar",2008
144,144,"Chad Campbell",94,164.1,5570873,943,"AverageApproachDistancePar",2008
144,144,"Gavin Coles",54,164.1,3107254,526,"AverageApproachDistancePar",2008
144,144,"Ben Crane",86,164.1,5109541,865,"AverageApproachDistancePar",2008
144,144,"Ryuji Imada",80,164.1,4708136,797,"AverageApproachDistancePar",2008
144,144,"Peter Lonard",92,164.1,5445895,922,"AverageApproachDistancePar",2008
144,144,"Dean Wilson",109,164.1,6337022,1073,"AverageApproachDistancePar",2008
151,151,"Kenny Perry",97,164.2,6153356,1041,"AverageApproachDistancePar",2008
152,152,"Kenneth Ferrie",72,164.3,4028202,681,"AverageApproachDistancePar",2008
153,153,"David Duval",51,164.4,2627887,444,"AverageApproachDistancePar",2008
153,153,"Scott Verplank",82,164.4,4481097,757,"AverageApproachDistancePar",2008
156,156,"Paul Casey",55,164.5,2285462,386,"AverageApproachDistancePar",2008
156,156,"Tom Lehman",51,164.5,2611658,441,"AverageApproachDistancePar",2008
156,156,"Carl Pettersson",110,164.5,6524537,1102,"AverageApproachDistancePar",2008
159,159,"Briny Baird",113,164.6,6884356,1162,"AverageApproachDistancePar",2008
159,159,"Alejandro Canizares",52,164.6,2766873,467,"AverageApproachDistancePar",2008
159,159,"Pat Perez",93,164.6,5149890,869,"AverageApproachDistancePar",2008
162,162,"Angel Cabrera",55,164.7,2561904,432,"AverageApproachDistancePar",2008
162,162,"Jason Day",81,164.7,5175665,873,"AverageApproachDistancePar",2008
162,162,"Nick Flanagan",89,164.7,5200256,877,"AverageApproachDistancePar",2008
162,162,"Phil Mickelson",80,164.7,3949437,666,"AverageApproachDistancePar",2008
166,166,"Robert Garrigus",90,165,5475374,922,"AverageApproachDistancePar",2008
166,166,"Shigeki Maruyama",50,165,2951849,497,"AverageApproachDistancePar",2008
166,166,"Bubba Watson",97,165,5237847,882,"AverageApproachDistancePar",2008
169,169,"Retief Goosen",59,165.1,2906436,489,"AverageApproachDistancePar",2008
170,170,"Brian Davis",108,165.2,6929913,1165,"AverageApproachDistancePar",2008
170,170,"Scott McCarron",63,165.2,3639402,612,"AverageApproachDistancePar",2008
172,172,"Martin Laird",98,165.3,5588008,939,"AverageApproachDistancePar",2008
172,172,"John Senden",93,165.3,5719386,961,"AverageApproachDistancePar",2008
174,174,"Jim Furyk",95,165.5,5285969,887,"AverageApproachDistancePar",2008
175,175,"KJ Choi",74,165.6,3880634,651,"AverageApproachDistancePar",2008
176,176,"Jonathan Byrd",88,165.7,5184437,869,"AverageApproachDistancePar",2008
177,177,"James Driscoll",85,165.8,5114972,857,"AverageApproachDistancePar",2008
177,177,"Charles Warren",79,165.8,4859702,814,"AverageApproachDistancePar",2008
179,179,"Chad Collins",72,165.9,4276421,716,"AverageApproachDistancePar",2008
179,179,"Steve Lowery",74,165.9,4492078,752,"AverageApproachDistancePar",2008
181,181,"Nathan Green",95,166,6065266,1015,"AverageApproachDistancePar",2008
181,181,"Ryan Moore",72,166,4224346,707,"AverageApproachDistancePar",2008
183,183,"Kevin Sutherland",98,166.1,6217651,1040,"AverageApproachDistancePar",2008
184,184,"Camilo Villegas",79,166.2,4075443,681,"AverageApproachDistancePar",2008
185,185,"Aaron Baddeley",76,166.4,4032534,673,"AverageApproachDistancePar",2008
185,185,"Billy Mayfair",103,166.4,6860663,1145,"AverageApproachDistancePar",2008
185,185,"Jesper Parnevik",88,166.4,4971203,830,"AverageApproachDistancePar",2008
185,185,"Nicholas Thompson",113,166.4,6265376,1046,"AverageApproachDistancePar",2008
189,189,"Rocco Mediate",87,166.5,4856547,810,"AverageApproachDistancePar",2008
190,190,"Johnson Wagner",83,166.6,4504796,751,"AverageApproachDistancePar",2008
191,191,"Paul Claxton",63,166.7,3480423,580,"AverageApproachDistancePar",2008
192,192,"Hunter Mahan",87,167,4960015,825,"AverageApproachDistancePar",2008
193,193,"Jimmy Walker",73,167.1,4210960,700,"AverageApproachDistancePar",2008
194,194,"Sergio Garcia",72,167.4,3790931,629,"AverageApproachDistancePar",2008
195,195,"DJ Trahan",94,167.6,5308693,880,"AverageApproachDistancePar",2008
196,196,"Corey Pavin",69,168.4,3940989,650,"AverageApproachDistancePar",2008
197,197,"Robert Allenby",108,171.1,6161369,1000,"AverageApproachDistancePar",2008
