"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2012","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2012","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2012","AverageApproachDistanceBogeyorWorse_ROUNDS_2012","AverageApproachDistanceBogeyorWorse_AVGYARDS_2012","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2012","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2012","stat_name","year"
1,1,"Rory McIlroy",60,151.7,535174,98,"AverageApproachDistanceBogeyorWorse",2012
1,1,"Geoff Ogilvy",73,151.7,808262,148,"AverageApproachDistanceBogeyorWorse",2012
3,3,"Jason Kokrak",79,152.8,1171737,213,"AverageApproachDistanceBogeyorWorse",2012
4,4,"Marco Dawson",60,154.2,916000,165,"AverageApproachDistanceBogeyorWorse",2012
5,5,"JJ Henry",93,155.3,1090186,195,"AverageApproachDistanceBogeyorWorse",2012
6,6,"Brandt Jobe",57,156,814417,145,"AverageApproachDistanceBogeyorWorse",2012
7,7,"Freddie Jacobson",61,156.2,798329,142,"AverageApproachDistanceBogeyorWorse",2012
7,7,"Matt Kuchar",86,156.2,916376,163,"AverageApproachDistanceBogeyorWorse",2012
7,7,"Louis Oosthuizen",65,156.2,759266,135,"AverageApproachDistanceBogeyorWorse",2012
10,10,"Mark Anderson",75,156.6,1246135,221,"AverageApproachDistanceBogeyorWorse",2012
10,10,"Bud Cauley",99,156.6,1358954,241,"AverageApproachDistanceBogeyorWorse",2012
12,12,"JB Holmes",90,156.8,1377505,244,"AverageApproachDistanceBogeyorWorse",2012
13,13,"Brian Harman",101,157,1424104,252,"AverageApproachDistanceBogeyorWorse",2012
13,13,"Edward Loar",59,157,910028,161,"AverageApproachDistanceBogeyorWorse",2012
15,15,"Ryan Moore",89,157.2,1324419,234,"AverageApproachDistanceBogeyorWorse",2012
15,15,"Cameron Tringale",88,157.2,1278889,226,"AverageApproachDistanceBogeyorWorse",2012
