"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2010","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2010","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2010","PercentageofYardagecoveredbyTeeShots_ROUNDS_2010","PercentageofYardagecoveredbyTeeShots_AVGPct_2010","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2010","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2010","stat_name","year"
1,1,"John Daly",63,66.09,194358.5,294090,"PercentageofYardagecoveredbyTeeShots",2010
2,2,"Robert Garrigus",71,66,255407,386982,"PercentageofYardagecoveredbyTeeShots",2010
3,3,"Dustin Johnson",83,65.48,265423.2,405361,"PercentageofYardagecoveredbyTeeShots",2010
4,4,"JB Holmes",100,65.38,366196.5,560104,"PercentageofYardagecoveredbyTeeShots",2010
5,5,"Bubba Watson",77,64.97,277607.9,427295,"PercentageofYardagecoveredbyTeeShots",2010
6,6,"Graham DeLaet",88,64.81,310447.3,478993,"PercentageofYardagecoveredbyTeeShots",2010
7,7,"Brett Wetterich",54,64.66,217213.3,335907,"PercentageofYardagecoveredbyTeeShots",2010
8,8,"Angel Cabrera",64,64.57,212224.1,328679,"PercentageofYardagecoveredbyTeeShots",2010
9,9,"Charles Warren",64,64.26,224613.4,349517,"PercentageofYardagecoveredbyTeeShots",2010
10,10,"DJ Trahan",92,64.09,335121.6,522889,"PercentageofYardagecoveredbyTeeShots",2010
11,11,"Martin Flores",75,64.07,260750.3,406982,"PercentageofYardagecoveredbyTeeShots",2010
12,12,"Phil Mickelson",76,63.97,235430.3,368026,"PercentageofYardagecoveredbyTeeShots",2010
13,13,"Troy Matteson",84,63.94,318248.5,497711,"PercentageofYardagecoveredbyTeeShots",2010
14,14,"Alex Prugh",88,63.88,323379.1,506239,"PercentageofYardagecoveredbyTeeShots",2010
15,15,"Charley Hoffman",85,63.77,312588.8,490173,"PercentageofYardagecoveredbyTeeShots",2010
16,16,"Scott Piercy",88,63.71,327871.1,514622,"PercentageofYardagecoveredbyTeeShots",2010
17,17,"Rory McIlroy",54,63.7,164258.6,257855,"PercentageofYardagecoveredbyTeeShots",2010
18,18,"Martin Laird",91,63.67,321231.6,504521,"PercentageofYardagecoveredbyTeeShots",2010
19,19,"Aaron Baddeley",94,63.62,354004,556422,"PercentageofYardagecoveredbyTeeShots",2010
20,20,"Jeff Overton",89,63.6,287187.6,451539,"PercentageofYardagecoveredbyTeeShots",2010
21,21,"Cameron Tringale",55,63.5,181436.2,285742,"PercentageofYardagecoveredbyTeeShots",2010
22,22,"Nick Watney",91,63.41,281205.2,443500,"PercentageofYardagecoveredbyTeeShots",2010
23,23,"Marc Leishman",87,63.39,289687.7,457025,"PercentageofYardagecoveredbyTeeShots",2010
24,24,"Daniel Chopra",74,63.34,267807.1,422798,"PercentageofYardagecoveredbyTeeShots",2010
25,25,"John Rollins",81,63.33,303032.3,478471,"PercentageofYardagecoveredbyTeeShots",2010
26,26,"Boo Weekley",88,63.2,295542.6,467633,"PercentageofYardagecoveredbyTeeShots",2010
27,27,"Jarrod Lyle",54,63.19,183751.6,290798,"PercentageofYardagecoveredbyTeeShots",2010
28,28,"Jason Day",82,63.18,285807.8,452342,"PercentageofYardagecoveredbyTeeShots",2010
29,29,"Ryan Palmer",84,63.16,286291.7,453310,"PercentageofYardagecoveredbyTeeShots",2010
30,30,"Vijay Singh",75,63.15,228842.9,362394,"PercentageofYardagecoveredbyTeeShots",2010
31,31,"Mathias Gronberg",61,63.13,199612.8,316206,"PercentageofYardagecoveredbyTeeShots",2010
32,32,"Garth Mulroy",53,63.12,168794,267422,"PercentageofYardagecoveredbyTeeShots",2010
33,33,"Bo Van Pelt",104,63.06,348727,552967,"PercentageofYardagecoveredbyTeeShots",2010
34,34,"Davis Love III",79,63.05,264066.1,418807,"PercentageofYardagecoveredbyTeeShots",2010
35,35,"Andres Romero",73,63.01,290143.4,460441,"PercentageofYardagecoveredbyTeeShots",2010
36,36,"James Driscoll",78,63,294440.5,467334,"PercentageofYardagecoveredbyTeeShots",2010
37,37,"Cameron Percy",73,62.9,235858.2,374952,"PercentageofYardagecoveredbyTeeShots",2010
38,38,"Josh Teater",101,62.87,367592.7,584711,"PercentageofYardagecoveredbyTeeShots",2010
39,39,"Kenny Perry",69,62.79,224142.8,356973,"PercentageofYardagecoveredbyTeeShots",2010
40,40,"Matt Every",60,62.77,202319.8,322299,"PercentageofYardagecoveredbyTeeShots",2010
40,40,"Charles Howell III",103,62.77,357666.8,569768,"PercentageofYardagecoveredbyTeeShots",2010
42,42,"Stewart Cink",84,62.76,260479.7,415041,"PercentageofYardagecoveredbyTeeShots",2010
42,42,"Chris Couch",66,62.76,235151.5,374698,"PercentageofYardagecoveredbyTeeShots",2010
42,42,"Derek Lamely",81,62.76,254130.5,404894,"PercentageofYardagecoveredbyTeeShots",2010
45,45,"Matt Bettencourt",91,62.72,278531.2,444118,"PercentageofYardagecoveredbyTeeShots",2010
46,46,"Lucas Glover",75,62.65,236295.4,377168,"PercentageofYardagecoveredbyTeeShots",2010
47,47,"Paul Casey",64,62.64,176229.5,281320,"PercentageofYardagecoveredbyTeeShots",2010
48,48,"Chris Wilson",65,62.61,206388,329657,"PercentageofYardagecoveredbyTeeShots",2010
49,49,"Rory Sabbatini",79,62.58,268695.2,429354,"PercentageofYardagecoveredbyTeeShots",2010
50,50,"Retief Goosen",75,62.54,211039.7,337458,"PercentageofYardagecoveredbyTeeShots",2010
51,51,"Rickie Fowler",98,62.53,330476.9,528499,"PercentageofYardagecoveredbyTeeShots",2010
