"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2005","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2005","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2005","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2005","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2005","stat_name","year"
1,1,"Scott Hend",75,56.6,69460.8,122724,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
2,2,"Brett Wetterich",76,56.12,69655.6,124110,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
3,3,"Tiger Woods",76,55.78,57302,102735,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
4,4,"Brenden Pappas",51,55.39,51017.2,92109,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
5,5,"Scott Gutschewski",86,55.26,74466.4,134748,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
6,6,"John Daly",78,54.76,58634.2,107083,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
7,7,"Hank Kuehne",84,54.67,76744.3,140375,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
8,8,"Davis Love III",80,54.54,54706.2,100303,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
9,9,"John Elliott",58,54.47,49157.6,90255,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
10,10,"Brendan Jones",81,54.17,73337.5,135390,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
11,11,"Kenny Perry",82,54.16,52975.4,97805,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
12,12,"Sergio Garcia",73,54.09,50007.5,92447,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
12,12,"Lucas Glover",88,54.09,80284.3,148440,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
14,14,"Tag Ridings",93,54.04,87396.8,161726,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
15,15,"Jason Allred",75,53.97,64163.3,118885,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
16,16,"Mathias Gronberg",60,53.92,53942.2,100050,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
17,17,"Harrison Frazar",105,53.88,94588.5,175544,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
18,18,"Brandt Jobe",96,53.84,79135.6,146971,"PercentageofYardagecoveredbyTeeShotsPar5s",2005
