"ScoringRating_RANKTHISWEEK_2006","ScoringRating_RANKLASTWEEK_2006","ScoringRating_PLAYERNAME_2006","ScoringRating_EVENTS_2006","ScoringRating_RATING_2006","stat_name","year"
1,1,"Tiger Woods",9,9.2,"ScoringRating",2006
2,2,"Jim Furyk",17,8.9,"ScoringRating",2006
3,3,"Roland Thatcher",1,8.8,"ScoringRating",2006
4,4,"Anthony Kim",2,8.7,"ScoringRating",2006
5,5,"Jason Allred",1,8.6,"ScoringRating",2006
5,5,"Michael Campbell",3,8.6,"ScoringRating",2006
5,5,"Luke Donald",11,8.6,"ScoringRating",2006
5,5,"Trevor Immelman",17,8.6,"ScoringRating",2006
5,5,"Thongchai Jaidee",1,8.6,"ScoringRating",2006
5,5,"Adam Scott",12,8.6,"ScoringRating",2006
5,5,"Steve Stricker",13,8.6,"ScoringRating",2006
12,12,"Jonathan Byrd",11,8.5,"ScoringRating",2006
12,12,"David Hearn",1,8.5,"ScoringRating",2006
14,14,"Stephen Ames",9,8.4,"ScoringRating",2006
14,14,"Stewart Cink",17,8.4,"ScoringRating",2006
14,14,"Darren Clarke",3,8.4,"ScoringRating",2006
14,14,"Jose Coceres",6,8.4,"ScoringRating",2006
14,14,"Ken Duke",2,8.4,"ScoringRating",2006
14,14,"Stephen Gangluff",1,8.4,"ScoringRating",2006
14,14,"Lucas Glover",20,8.4,"ScoringRating",2006
14,14,"Jerry Kelly",16,8.4,"ScoringRating",2006
14,14,"Phil Mickelson",13,8.4,"ScoringRating",2006
14,14,"Ian Poulter",10,8.4,"ScoringRating",2006
14,14,"Brett Quigley",20,8.4,"ScoringRating",2006
14,14,"Vijay Singh",22,8.4,"ScoringRating",2006
14,14,"David Toms",14,8.4,"ScoringRating",2006
27,27,"Briny Baird",14,8.3,"ScoringRating",2006
27,27,"Cameron Beckman",7,8.3,"ScoringRating",2006
27,27,"Jason Caron",1,8.3,"ScoringRating",2006
27,27,"Padraig Harrington",9,8.3,"ScoringRating",2006
27,27,"Stephen Leaney",14,8.3,"ScoringRating",2006
27,27,"John Mallinger",1,8.3,"ScoringRating",2006
27,27,"Graeme McDowell",4,8.3,"ScoringRating",2006
27,27,"Yusaku Miyazato",1,8.3,"ScoringRating",2006
27,27,"Jose Maria Olazabal",9,8.3,"ScoringRating",2006
27,27,"Greg Owen",14,8.3,"ScoringRating",2006
27,27,"Tom Pernice Jr",18,8.3,"ScoringRating",2006
27,27,"Loren Roberts",3,8.3,"ScoringRating",2006
27,27,"Vaughn Taylor",17,8.3,"ScoringRating",2006
27,27,"Grant Waite",2,8.3,"ScoringRating",2006
41,41,"Robert Allenby",13,8.2,"ScoringRating",2006
41,41,"Stuart Appleby",16,8.2,"ScoringRating",2006
41,41,"Tommy Armour III",8,8.2,"ScoringRating",2006
41,41,"Daniel Chopra",19,8.2,"ScoringRating",2006
41,41,"David Edwards",1,8.2,"ScoringRating",2006
41,41,"Ernie Els",12,8.2,"ScoringRating",2006
41,41,"Sergio Garcia",9,8.2,"ScoringRating",2006
41,41,"Mathew Goggin",9,8.2,"ScoringRating",2006
41,41,"Jeff Gove",15,8.2,"ScoringRating",2006
41,41,"Frank Lickliter II",18,8.2,"ScoringRating",2006
41,41,"Davis Love III",14,8.2,"ScoringRating",2006
41,41,"Spike McRoy",1,8.2,"ScoringRating",2006
41,41,"Ryan Moore",11,8.2,"ScoringRating",2006
41,41,"Arron Oberholser",16,8.2,"ScoringRating",2006
41,41,"Geoff Ogilvy",12,8.2,"ScoringRating",2006
41,41,"Rod Pampling",16,8.2,"ScoringRating",2006
41,41,"Jesper Parnevik",17,8.2,"ScoringRating",2006
41,41,"Carl Pettersson",17,8.2,"ScoringRating",2006
41,41,"Nick Price",5,8.2,"ScoringRating",2006
41,41,"Ted Purdy",15,8.2,"ScoringRating",2006
41,41,"Jyoti Randhawa",1,8.2,"ScoringRating",2006
41,41,"John Senden",18,8.2,"ScoringRating",2006
41,41,"Nick Watney",19,8.2,"ScoringRating",2006
41,41,"Bubba Watson",14,8.2,"ScoringRating",2006
65,65,"Paul Azinger",16,8.1,"ScoringRating",2006
65,65,"Rich Beem",13,8.1,"ScoringRating",2006
65,65,"Jason Bohn",21,8.1,"ScoringRating",2006
65,65,"Angel Cabrera",5,8.1,"ScoringRating",2006
65,65,"KJ Choi",20,8.1,"ScoringRating",2006
65,65,"Tim Clark",15,8.1,"ScoringRating",2006
65,65,"Michael Connell",3,8.1,"ScoringRating",2006
65,65,"Brian Gay",22,8.1,"ScoringRating",2006
65,65,"Retief Goosen",11,8.1,"ScoringRating",2006
