"Last5EventsShortGame_RANKTHISWEEK_2006","Last5EventsShortGame_RANKLASTWEEK_2006","Last5EventsShortGame_PLAYERNAME_2006","Last5EventsShortGame_EVENTS_2006","Last5EventsShortGame_RATING_2006","stat_name","year"
1,1,"Robin Freeman",1,8.8,"Last5EventsShortGame",2006
1,1,"Thongchai Jaidee",1,8.8,"Last5EventsShortGame",2006
3,3,"Cameron Beckman",1,8.7,"Last5EventsShortGame",2006
4,4,"Brian Gay",2,8.6,"Last5EventsShortGame",2006
5,5,"Marco Dawson",1,8.5,"Last5EventsShortGame",2006
5,5,"David Gossett",1,8.5,"Last5EventsShortGame",2006
7,7,"Joel Edwards",1,8.3,"Last5EventsShortGame",2006
7,7,"Scott Piercy",2,8.3,"Last5EventsShortGame",2006
9,9,"Andrew Magee",1,8.1,"Last5EventsShortGame",2006
9,9,"Scott Miller",1,8.1,"Last5EventsShortGame",2006
9,9,"Jeff Overton",1,8.1,"Last5EventsShortGame",2006
12,12,"Trevor Immelman",3,8,"Last5EventsShortGame",2006
13,13,"Luke Donald",2,7.9,"Last5EventsShortGame",2006
14,14,"Michael Bradley",1,7.8,"Last5EventsShortGame",2006
14,14,"Brian Henninger",2,7.8,"Last5EventsShortGame",2006
14,14,"John Riegger",1,7.8,"Last5EventsShortGame",2006
14,14,"Richard Scott",1,7.8,"Last5EventsShortGame",2006
18,18,"Ian Poulter",2,7.7,"Last5EventsShortGame",2006
18,18,"Phillip Price",1,7.7,"Last5EventsShortGame",2006
18,18,"Jerry Smith",3,7.7,"Last5EventsShortGame",2006
21,21,"Mark OMeara",2,7.6,"Last5EventsShortGame",2006
21,21,"Joe Ogilvie",3,7.6,"Last5EventsShortGame",2006
23,23,"Chad Campbell",4,7.5,"Last5EventsShortGame",2006
23,23,"Bob May",1,7.5,"Last5EventsShortGame",2006
23,23,"Carl Pettersson",1,7.5,"Last5EventsShortGame",2006
23,23,"Mike Small",3,7.5,"Last5EventsShortGame",2006
27,27,"Doug Barron",1,7.4,"Last5EventsShortGame",2006
27,27,"David Branshaw",3,7.4,"Last5EventsShortGame",2006
27,27,"Stephen Gangluff",1,7.4,"Last5EventsShortGame",2006
27,27,"Dudley Hart",2,7.4,"Last5EventsShortGame",2006
27,27,"Charles Howell III",1,7.4,"Last5EventsShortGame",2006
27,27,"John Huston",1,7.4,"Last5EventsShortGame",2006
27,27,"Bernhard Langer",2,7.4,"Last5EventsShortGame",2006
27,27,"Larry Mize",2,7.4,"Last5EventsShortGame",2006
27,27,"Henrik Stenson",1,7.4,"Last5EventsShortGame",2006
27,27,"Garrett Willis",1,7.4,"Last5EventsShortGame",2006
37,37,"Alex Aragon",1,7.3,"Last5EventsShortGame",2006
37,37,"Aaron Baddeley",4,7.3,"Last5EventsShortGame",2006
37,37,"Jim Carter",1,7.3,"Last5EventsShortGame",2006
37,37,"Victor Ciesielski",1,7.3,"Last5EventsShortGame",2006
37,37,"Glen Day",1,7.3,"Last5EventsShortGame",2006
37,37,"Ernie Els",3,7.3,"Last5EventsShortGame",2006
37,37,"Brent Geiberger",1,7.3,"Last5EventsShortGame",2006
