"Last5EventsPutting_RANKTHISWEEK_2016","Last5EventsPutting_RANKLASTWEEK_2016","Last5EventsPutting_PLAYERNAME_2016","Last5EventsPutting_EVENTS_2016","Last5EventsPutting_RATING_2016","stat_name","year"
1,1,"Brian Stuard",2,9.2,"Last5EventsPutting",2016
2,2,"Kiradech Aphibarnrat",2,9.1,"Last5EventsPutting",2016
2,2,"Bryson DeChambeau",2,9.1,"Last5EventsPutting",2016
4,10,"Phil Mickelson",2,9,"Last5EventsPutting",2016
5,5,"Jonas Blixt",3,8.9,"Last5EventsPutting",2016
5,5,"Gonzalo Fdez Castano",1,8.9,"Last5EventsPutting",2016
5,NA,"James Hahn",1,8.9,"Last5EventsPutting",2016
5,5,"KT Kim",1,8.9,"Last5EventsPutting",2016
9,10,"Abraham Ancer",1,8.8,"Last5EventsPutting",2016
9,10,"Bud Cauley",2,8.8,"Last5EventsPutting",2016
9,10,"Luke Guthrie",1,8.8,"Last5EventsPutting",2016
9,10,"Bobby Wyatt",1,8.8,"Last5EventsPutting",2016
13,5,"Erik Compton",3,8.7,"Last5EventsPutting",2016
13,16,"Paul Dunne",1,8.7,"Last5EventsPutting",2016
13,2,"Tom Hoge",2,8.7,"Last5EventsPutting",2016
13,16,"Daisuke Kataoka",1,8.7,"Last5EventsPutting",2016
13,16,"Peter Malnati",1,8.7,"Last5EventsPutting",2016
13,16,"Lee McCoy",1,8.7,"Last5EventsPutting",2016
13,16,"Jordan Spieth",3,8.7,"Last5EventsPutting",2016
20,23,"Chad Collins",2,8.6,"Last5EventsPutting",2016
20,NA,"Trevor Immelman",1,8.6,"Last5EventsPutting",2016
20,23,"Chris Kirk",3,8.6,"Last5EventsPutting",2016
20,23,"Andrew Landry",1,8.6,"Last5EventsPutting",2016
20,23,"Maverick McNealy",1,8.6,"Last5EventsPutting",2016
20,23,"Jimmy Walker",2,8.6,"Last5EventsPutting",2016
26,29,"Ricky Barnes",2,8.5,"Last5EventsPutting",2016
26,NA,"Matt Dobyns",1,8.5,"Last5EventsPutting",2016
26,29,"Charley Hoffman",4,8.5,"Last5EventsPutting",2016
26,29,"Dustin Johnson",3,8.5,"Last5EventsPutting",2016
30,96,"Ernie Els",3,8.4,"Last5EventsPutting",2016
30,34,"Fred Funk",1,8.4,"Last5EventsPutting",2016
30,52,"Fabian Gomez",2,8.4,"Last5EventsPutting",2016
30,16,"Mark Hubbard",4,8.4,"Last5EventsPutting",2016
30,34,"Whee Kim",3,8.4,"Last5EventsPutting",2016
30,80,"Si Woo Kim",3,8.4,"Last5EventsPutting",2016
30,41,"Scott Stallings",3,8.4,"Last5EventsPutting",2016
30,34,"Kyle Stanley",3,8.4,"Last5EventsPutting",2016
30,80,"Tim Wilkinson",3,8.4,"Last5EventsPutting",2016
30,34,"Danny Willett",2,8.4,"Last5EventsPutting",2016
40,41,"Shane Bertsch",3,8.3,"Last5EventsPutting",2016
40,10,"Alex Cejka",2,8.3,"Last5EventsPutting",2016
40,69,"Kevin Chappell",4,8.3,"Last5EventsPutting",2016
40,41,"Charlie Danielson",1,8.3,"Last5EventsPutting",2016
40,41,"Brooks Koepka",1,8.3,"Last5EventsPutting",2016
40,41,"Lucas Lee",1,8.3,"Last5EventsPutting",2016
40,41,"Andrew Loupe",2,8.3,"Last5EventsPutting",2016
40,34,"Rory McIlroy",3,8.3,"Last5EventsPutting",2016
40,41,"Bryce Molder",4,8.3,"Last5EventsPutting",2016
40,80,"Ollie Schniederjans",2,8.3,"Last5EventsPutting",2016
40,41,"Brandt Snedeker",2,8.3,"Last5EventsPutting",2016
51,52,"Stuart Appleby",3,8.2,"Last5EventsPutting",2016
51,52,"Jonathan Byrd",3,8.2,"Last5EventsPutting",2016
51,52,"Rafa Cabrera Bello",2,8.2,"Last5EventsPutting",2016
51,52,"Rafael Campos",1,8.2,"Last5EventsPutting",2016
51,52,"Tim Clark",1,8.2,"Last5EventsPutting",2016
51,52,"Jason Day",3,8.2,"Last5EventsPutting",2016
51,29,"Brian Harman",3,8.2,"Last5EventsPutting",2016
51,52,"Morgan Hoffmann",2,8.2,"Last5EventsPutting",2016
51,121,"JB Holmes",3,8.2,"Last5EventsPutting",2016
51,52,"Ryo Ishikawa",1,8.2,"Last5EventsPutting",2016
51,52,"Sung Kang",3,8.2,"Last5EventsPutting",2016
51,52,"Justin Leonard",4,8.2,"Last5EventsPutting",2016
51,159,"William McGirt",3,8.2,"Last5EventsPutting",2016
51,52,"Dicky Pride",2,8.2,"Last5EventsPutting",2016
51,52,"Steve Stricker",3,8.2,"Last5EventsPutting",2016
51,41,"Daniel Summerhays",4,8.2,"Last5EventsPutting",2016
67,96,"Byeong Hun An",2,8.1,"Last5EventsPutting",2016
67,69,"Ben Crane",2,8.1,"Last5EventsPutting",2016
67,16,"Derek Fathauer",1,8.1,"Last5EventsPutting",2016
67,69,"Brian Gay",2,8.1,"Last5EventsPutting",2016
67,141,"Retief Goosen",4,8.1,"Last5EventsPutting",2016
67,34,"Chesson Hadley",3,8.1,"Last5EventsPutting",2016
67,69,"Soren Kjeldsen",1,8.1,"Last5EventsPutting",2016
67,121,"Scott Langley",3,8.1,"Last5EventsPutting",2016
67,52,"Hideki Matsuyama",3,8.1,"Last5EventsPutting",2016
67,69,"Troy Merritt",2,8.1,"Last5EventsPutting",2016
67,69,"Sean OHair",3,8.1,"Last5EventsPutting",2016
