"Last5EventsScoring_RANKTHISWEEK_2011","Last5EventsScoring_RANKLASTWEEK_2011","Last5EventsScoring_PLAYERNAME_2011","Last5EventsScoring_EVENTS_2011","Last5EventsScoring_RATING_2011","stat_name","year"
1,1,"Rory McIlroy",1,9.1,"Last5EventsScoring",2011
2,2,"Ben Crane",2,9,"Last5EventsScoring",2011
2,2,"Ryo Ishikawa",1,9,"Last5EventsScoring",2011
2,2,"Bryce Molder",3,9,"Last5EventsScoring",2011
5,5,"Chad Collins",1,8.9,"Last5EventsScoring",2011
5,5,"Tommy Gainey",1,8.9,"Last5EventsScoring",2011
7,7,"Kris Blanks",3,8.8,"Last5EventsScoring",2011
7,7,"Scott McCarron",1,8.8,"Last5EventsScoring",2011
7,7,"Kevin Na",2,8.8,"Last5EventsScoring",2011
7,7,"Jordan Spieth",1,8.8,"Last5EventsScoring",2011
7,7,"Kevin Streelman",2,8.8,"Last5EventsScoring",2011
7,7,"Michael Thompson",2,8.8,"Last5EventsScoring",2011
7,7,"Lee Westwood",1,8.8,"Last5EventsScoring",2011
14,14,"Bud Cauley",4,8.7,"Last5EventsScoring",2011
14,14,"KT Kim",2,8.7,"Last5EventsScoring",2011
14,14,"Matt McQuillan",2,8.7,"Last5EventsScoring",2011
17,17,"Luke Donald",4,8.6,"Last5EventsScoring",2011
17,17,"James Driscoll",1,8.6,"Last5EventsScoring",2011
17,17,"Billy Horschel",3,8.6,"Last5EventsScoring",2011
17,17,"Trevor Immelman",4,8.6,"Last5EventsScoring",2011
17,17,"Shigeki Maruyama",1,8.6,"Last5EventsScoring",2011
22,22,"Tim Clark",2,8.5,"Last5EventsScoring",2011
22,22,"Jim Furyk",3,8.5,"Last5EventsScoring",2011
22,22,"David Hearn",4,8.5,"Last5EventsScoring",2011
22,22,"Sung Kang",4,8.5,"Last5EventsScoring",2011
22,22,"Peter Lonard",2,8.5,"Last5EventsScoring",2011
22,22,"Billy Mayfair",4,8.5,"Last5EventsScoring",2011
22,22,"Nick OHern",3,8.5,"Last5EventsScoring",2011
22,22,"Geoff Ogilvy",3,8.5,"Last5EventsScoring",2011
22,22,"Tom Pernice Jr",3,8.5,"Last5EventsScoring",2011
22,22,"Carl Pettersson",4,8.5,"Last5EventsScoring",2011
22,22,"Webb Simpson",3,8.5,"Last5EventsScoring",2011
22,22,"Brett Wetterich",4,8.5,"Last5EventsScoring",2011
22,22,"Charlie Wi",3,8.5,"Last5EventsScoring",2011
35,35,"Shane Bertsch",2,8.4,"Last5EventsScoring",2011
35,35,"KJ Choi",2,8.4,"Last5EventsScoring",2011
35,35,"David Duval",1,8.4,"Last5EventsScoring",2011
35,35,"Michael Letzig",3,8.4,"Last5EventsScoring",2011
35,35,"Spencer Levin",4,8.4,"Last5EventsScoring",2011
35,35,"Francesco Molinari",1,8.4,"Last5EventsScoring",2011
35,35,"Ryan Moore",2,8.4,"Last5EventsScoring",2011
35,35,"Scott Verplank",1,8.4,"Last5EventsScoring",2011
43,43,"Joe Durant",2,8.3,"Last5EventsScoring",2011
43,43,"Todd Fischer",1,8.3,"Last5EventsScoring",2011
43,43,"Tom Gillis",1,8.3,"Last5EventsScoring",2011
43,43,"Lucas Glover",3,8.3,"Last5EventsScoring",2011
43,43,"Mathias Gronberg",1,8.3,"Last5EventsScoring",2011
43,43,"Todd Hamilton",2,8.3,"Last5EventsScoring",2011
