"Last15EventsPower_RANKTHISWEEK_2007","Last15EventsPower_RANKLASTWEEK_2007","Last15EventsPower_PLAYERNAME_2007","Last15EventsPower_EVENTS_2007","Last15EventsPower_RATING_2007","stat_name","year"
1,1,"Tony Finau",1,10,"Last15EventsPower",2007
2,2,"JB Holmes",8,9.9,"Last15EventsPower",2007
3,3,"Bubba Watson",5,9.8,"Last15EventsPower",2007
4,4,"John Daly",4,9.6,"Last15EventsPower",2007
4,5,"Brett Wetterich",6,9.6,"Last15EventsPower",2007
6,5,"Robert Garrigus",10,9.5,"Last15EventsPower",2007
7,7,"Johan Edfors",3,9.4,"Last15EventsPower",2007
8,8,"Chris Baryla",1,9.2,"Last15EventsPower",2007
8,8,"Angel Cabrera",5,9.2,"Last15EventsPower",2007
8,8,"Andres Romero",1,9.2,"Last15EventsPower",2007
11,11,"Chris Couch",4,9.1,"Last15EventsPower",2007
11,11,"Charley Hoffman",8,9.1,"Last15EventsPower",2007
11,11,"Davis Love III",6,9.1,"Last15EventsPower",2007
11,11,"Adam Scott",10,9.1,"Last15EventsPower",2007
11,11,"Nick Watney",8,9.1,"Last15EventsPower",2007
16,16,"Anton Haig",2,8.9,"Last15EventsPower",2007
16,16,"Anthony Kim",9,8.9,"Last15EventsPower",2007
16,16,"Louis Oosthuizen",1,8.9,"Last15EventsPower",2007
16,16,"Jeff Overton",9,8.9,"Last15EventsPower",2007
20,20,"Andy Bare",1,8.8,"Last15EventsPower",2007
20,20,"Bubba Dickerson",5,8.8,"Last15EventsPower",2007
20,20,"Bill Haas",9,8.8,"Last15EventsPower",2007
20,20,"Bronson La Cassie",1,8.8,"Last15EventsPower",2007
20,20,"Tag Ridings",8,8.8,"Last15EventsPower",2007
20,20,"Charles Warren",12,8.8,"Last15EventsPower",2007
26,26,"Daniel Chopra",8,8.7,"Last15EventsPower",2007
26,26,"Ernie Els",10,8.7,"Last15EventsPower",2007
26,26,"Matt Hendrix",5,8.7,"Last15EventsPower",2007
29,29,"Steve Allan",10,8.6,"Last15EventsPower",2007
29,29,"Yusaku Miyazato",1,8.6,"Last15EventsPower",2007
29,29,"Boo Weekley",9,8.6,"Last15EventsPower",2007
29,29,"Lee Westwood",3,8.6,"Last15EventsPower",2007
29,29,"Tiger Woods",10,8.6,"Last15EventsPower",2007
34,34,"Jason Gore",11,8.5,"Last15EventsPower",2007
34,34,"Mathias Gronberg",9,8.5,"Last15EventsPower",2007
34,34,"Scott Gutschewski",8,8.5,"Last15EventsPower",2007
34,41,"Vijay Singh",10,8.5,"Last15EventsPower",2007
38,37,"Matt Every",1,8.4,"Last15EventsPower",2007
38,37,"Harrison Frazar",3,8.4,"Last15EventsPower",2007
38,37,"Sean OHair",12,8.4,"Last15EventsPower",2007
38,37,"Henrik Stenson",8,8.4,"Last15EventsPower",2007
42,41,"Kris Cox",4,8.3,"Last15EventsPower",2007
42,41,"Jamie Lovemark",3,8.3,"Last15EventsPower",2007
42,41,"Troy Matteson",9,8.3,"Last15EventsPower",2007
42,41,"Geoff Ogilvy",10,8.3,"Last15EventsPower",2007
42,41,"Kyle Reifers",5,8.3,"Last15EventsPower",2007
47,47,"Brady Schnell",1,8.2,"Last15EventsPower",2007
48,48,"Nick Flanagan",2,8.1,"Last15EventsPower",2007
