"Last15EventsAccuracy_RANKTHISWEEK_2014","Last15EventsAccuracy_RANKLASTWEEK_2014","Last15EventsAccuracy_PLAYERNAME_2014","Last15EventsAccuracy_EVENTS_2014","Last15EventsAccuracy_RATING_2014","stat_name","year"
1,1,"Josh Broadaway",1,8.7,"Last15EventsAccuracy",2014
2,2,"Kenny Perry",1,8.4,"Last15EventsAccuracy",2014
3,3,"Jim Furyk",12,8.2,"Last15EventsAccuracy",2014
3,3,"Adam Hadwin",1,8.2,"Last15EventsAccuracy",2014
5,5,"Lucas Glover",3,8.1,"Last15EventsAccuracy",2014
6,6,"Graham DeLaet",9,7.9,"Last15EventsAccuracy",2014
6,6,"Robert Karlsson",2,7.9,"Last15EventsAccuracy",2014
6,6,"Nick Watney",6,7.9,"Last15EventsAccuracy",2014
6,6,"Bernd Wiesberger",1,7.9,"Last15EventsAccuracy",2014
10,10,"Joe Durant",5,7.8,"Last15EventsAccuracy",2014
10,10,"Justin Hicks",8,7.8,"Last15EventsAccuracy",2014
12,12,"Chad Campbell",7,7.7,"Last15EventsAccuracy",2014
12,12,"Kevin Chappell",12,7.7,"Last15EventsAccuracy",2014
12,12,"Jason Gore",4,7.7,"Last15EventsAccuracy",2014
12,12,"Branden Grace",3,7.7,"Last15EventsAccuracy",2014
12,12,"Dustin Johnson",9,7.7,"Last15EventsAccuracy",2014
12,12,"Jeff Maggert",5,7.7,"Last15EventsAccuracy",2014
12,12,"Rory McIlroy",12,7.7,"Last15EventsAccuracy",2014
12,12,"Chez Reavie",1,7.7,"Last15EventsAccuracy",2014
12,12,"Jim Renner",5,7.7,"Last15EventsAccuracy",2014
12,12,"Scottie Scheffler",1,7.7,"Last15EventsAccuracy",2014
12,12,"Bo Van Pelt",11,7.7,"Last15EventsAccuracy",2014
23,23,"Tim Clark",8,7.6,"Last15EventsAccuracy",2014
23,23,"Paul Goydos",2,7.6,"Last15EventsAccuracy",2014
23,23,"Ben Martin",8,7.6,"Last15EventsAccuracy",2014
23,23,"Hideki Matsuyama",10,7.6,"Last15EventsAccuracy",2014
23,23,"Bryce Molder",4,7.6,"Last15EventsAccuracy",2014
23,23,"DA Points",3,7.6,"Last15EventsAccuracy",2014
23,23,"Justin Rose",10,7.6,"Last15EventsAccuracy",2014
23,23,"Brian Stuard",5,7.6,"Last15EventsAccuracy",2014
31,31,"Paul Casey",9,7.5,"Last15EventsAccuracy",2014
31,31,"Ken Duke",6,7.5,"Last15EventsAccuracy",2014
31,31,"Fred Funk",2,7.5,"Last15EventsAccuracy",2014
31,31,"Stephen Gallacher",2,7.5,"Last15EventsAccuracy",2014
31,31,"Zach Johnson",11,7.5,"Last15EventsAccuracy",2014
31,31,"Kevin Penner",1,7.5,"Last15EventsAccuracy",2014
31,31,"Nicholas Thompson",4,7.5,"Last15EventsAccuracy",2014
31,31,"David Toms",8,7.5,"Last15EventsAccuracy",2014
39,39,"Robert Allenby",7,7.4,"Last15EventsAccuracy",2014
39,39,"Charlie Beljan",7,7.4,"Last15EventsAccuracy",2014
39,39,"Jose Coceres",1,7.4,"Last15EventsAccuracy",2014
39,39,"Sergio Garcia",10,7.4,"Last15EventsAccuracy",2014
39,39,"Scott Gardiner",3,7.4,"Last15EventsAccuracy",2014
39,39,"David Hearn",10,7.4,"Last15EventsAccuracy",2014
39,39,"Russell Knox",11,7.4,"Last15EventsAccuracy",2014
39,39,"Matteo Manassero",3,7.4,"Last15EventsAccuracy",2014
39,39,"George McNeill",9,7.4,"Last15EventsAccuracy",2014
39,39,"John Merrick",9,7.4,"Last15EventsAccuracy",2014
39,39,"Ted Potter Jr",5,7.4,"Last15EventsAccuracy",2014
39,39,"Alex Prugh",3,7.4,"Last15EventsAccuracy",2014
39,39,"YE Yang",3,7.4,"Last15EventsAccuracy",2014
52,52,"Glen Day",1,7.3,"Last15EventsAccuracy",2014
52,52,"Brendon de Jonge",11,7.3,"Last15EventsAccuracy",2014
52,52,"Victor Dubuisson",6,7.3,"Last15EventsAccuracy",2014
52,52,"Billy Horschel",10,7.3,"Last15EventsAccuracy",2014
52,52,"Miguel Angel Jimenez",2,7.3,"Last15EventsAccuracy",2014
52,52,"Billy Mayfair",1,7.3,"Last15EventsAccuracy",2014
52,52,"Graeme McDowell",11,7.3,"Last15EventsAccuracy",2014
52,52,"Ryan Moore",10,7.3,"Last15EventsAccuracy",2014
52,52,"Adam Scott",12,7.3,"Last15EventsAccuracy",2014
52,52,"Heath Slocum",8,7.3,"Last15EventsAccuracy",2014
52,52,"Kevin Stadler",8,7.3,"Last15EventsAccuracy",2014
52,52,"Andrew Svoboda",11,7.3,"Last15EventsAccuracy",2014
52,52,"Jimmy Walker",8,7.3,"Last15EventsAccuracy",2014
52,52,"Lee Williams",3,7.3,"Last15EventsAccuracy",2014
66,66,"Jason Bohn",8,7.2,"Last15EventsAccuracy",2014
66,66,"Keegan Bradley",8,7.2,"Last15EventsAccuracy",2014
66,66,"Ben Crane",8,7.2,"Last15EventsAccuracy",2014
66,66,"Jason Dufner",8,7.2,"Last15EventsAccuracy",2014
66,66,"Darren Fichardt",1,7.2,"Last15EventsAccuracy",2014
66,66,"Brad Fritsch",6,7.2,"Last15EventsAccuracy",2014
66,66,"Chesson Hadley",5,7.2,"Last15EventsAccuracy",2014
66,66,"Steven Ihm",1,7.2,"Last15EventsAccuracy",2014
66,66,"Martin Kaymer",9,7.2,"Last15EventsAccuracy",2014
66,66,"Jason Kokrak",10,7.2,"Last15EventsAccuracy",2014
66,66,"Matt Kuchar",11,7.2,"Last15EventsAccuracy",2014
66,66,"Troy Merritt",10,7.2,"Last15EventsAccuracy",2014
66,66,"John Peterson",3,7.2,"Last15EventsAccuracy",2014
66,66,"Webb Simpson",9,7.2,"Last15EventsAccuracy",2014
66,66,"Kyle Stanley",8,7.2,"Last15EventsAccuracy",2014
66,66,"Henrik Stenson",9,7.2,"Last15EventsAccuracy",2014
66,66,"Boo Weekley",6,7.2,"Last15EventsAccuracy",2014
66,66,"Will Wilcox",6,7.2,"Last15EventsAccuracy",2014
84,84,"Scott Brown",9,7.1,"Last15EventsAccuracy",2014
84,84,"Bill Haas",12,7.1,"Last15EventsAccuracy",2014
84,84,"Peter Hanson",5,7.1,"Last15EventsAccuracy",2014
84,84,"Billy Hurley III",8,7.1,"Last15EventsAccuracy",2014
84,84,"Jerry Kelly",12,7.1,"Last15EventsAccuracy",2014
84,84,"Phil Mickelson",8,7.1,"Last15EventsAccuracy",2014
84,84,"Francesco Molinari",7,7.1,"Last15EventsAccuracy",2014
84,84,"Wes Roach",7,7.1,"Last15EventsAccuracy",2014
84,84,"Scott Stallings",7,7.1,"Last15EventsAccuracy",2014
84,84,"Hudson Swafford",5,7.1,"Last15EventsAccuracy",2014
84,84,"Vaughn Taylor",1,7.1,"Last15EventsAccuracy",2014
84,84,"Tyrone Van Aswegen",6,7.1,"Last15EventsAccuracy",2014
84,84,"Mark Wilson",4,7.1,"Last15EventsAccuracy",2014
97,97,"Stewart Cink",11,7,"Last15EventsAccuracy",2014
97,97,"Luke Donald",10,7,"Last15EventsAccuracy",2014
97,97,"Rickie Fowler",8,7,"Last15EventsAccuracy",2014
97,97,"Brian Harman",10,7,"Last15EventsAccuracy",2014
97,97,"Charley Hoffman",11,7,"Last15EventsAccuracy",2014
97,97,"Marc Leishman",10,7,"Last15EventsAccuracy",2014
97,97,"Hunter Mahan",9,7,"Last15EventsAccuracy",2014
97,97,"Seung Yul Noh",7,7,"Last15EventsAccuracy",2014
97,97,"Thorbjorn Olesen",2,7,"Last15EventsAccuracy",2014
97,97,"Louis Oosthuizen",5,7,"Last15EventsAccuracy",2014
97,97,"Carl Pettersson",10,7,"Last15EventsAccuracy",2014
97,97,"Hideto Tanihara",1,7,"Last15EventsAccuracy",2014
97,97,"Camilo Villegas",8,7,"Last15EventsAccuracy",2014
97,97,"Johnson Wagner",7,7,"Last15EventsAccuracy",2014
97,97,"Marc Warren",1,7,"Last15EventsAccuracy",2014
97,97,"Tiger Woods",4,7,"Last15EventsAccuracy",2014
113,113,"Stephen Ames",4,6.9,"Last15EventsAccuracy",2014
113,113,"Angel Cabrera",9,6.9,"Last15EventsAccuracy",2014
113,113,"Harris English",6,6.9,"Last15EventsAccuracy",2014
113,113,"James Hahn",7,6.9,"Last15EventsAccuracy",2014
113,113,"Thongchai Jaidee",2,6.9,"Last15EventsAccuracy",2014
113,113,"Brooks Koepka",8,6.9,"Last15EventsAccuracy",2014
113,113,"Scott Langley",11,6.9,"Last15EventsAccuracy",2014
113,113,"Kevin Na",9,6.9,"Last15EventsAccuracy",2014
113,113,"Carlos Ortiz",1,6.9,"Last15EventsAccuracy",2014
113,113,"Pat Perez",8,6.9,"Last15EventsAccuracy",2014
113,113,"Michael Putnam",10,6.9,"Last15EventsAccuracy",2014
113,113,"John Senden",10,6.9,"Last15EventsAccuracy",2014
113,113,"Brandt Snedeker",9,6.9,"Last15EventsAccuracy",2014
113,113,"Brendan Steele",8,6.9,"Last15EventsAccuracy",2014
113,113,"Shawn Stefani",12,6.9,"Last15EventsAccuracy",2014
113,113,"Robert Streb",10,6.9,"Last15EventsAccuracy",2014
113,113,"Kevin Streelman",7,6.9,"Last15EventsAccuracy",2014
113,113,"Michael Thompson",9,6.9,"Last15EventsAccuracy",2014
113,113,"Cameron Tringale",12,6.9,"Last15EventsAccuracy",2014
113,113,"Harold Varner III",1,6.9,"Last15EventsAccuracy",2014
113,113,"Tom Watson",1,6.9,"Last15EventsAccuracy",2014
113,113,"Gary Woodland",11,6.9,"Last15EventsAccuracy",2014
135,135,"Blake Adams",5,6.8,"Last15EventsAccuracy",2014
135,135,"Patrick Cantlay",2,6.8,"Last15EventsAccuracy",2014
135,135,"KJ Choi",8,6.8,"Last15EventsAccuracy",2014
135,135,"Jason Day",7,6.8,"Last15EventsAccuracy",2014
135,135,"Jamie Donaldson",6,6.8,"Last15EventsAccuracy",2014
135,135,"Derek Ernst",5,6.8,"Last15EventsAccuracy",2014
135,135,"Martin Flores",8,6.8,"Last15EventsAccuracy",2014
135,135,"Kevin Foley",3,6.8,"Last15EventsAccuracy",2014
135,135,"Tommy Gainey",8,6.8,"Last15EventsAccuracy",2014
135,135,"Robert Garrigus",8,6.8,"Last15EventsAccuracy",2014
135,135,"Andres Gonzales",1,6.8,"Last15EventsAccuracy",2014
135,135,"Russell Henley",7,6.8,"Last15EventsAccuracy",2014
135,135,"Jim Herman",5,6.8,"Last15EventsAccuracy",2014
135,135,"Kevin Kisner",11,6.8,"Last15EventsAccuracy",2014
135,135,"Ben Kohles",1,6.8,"Last15EventsAccuracy",2014
135,135,"Danny Lee",8,6.8,"Last15EventsAccuracy",2014
135,135,"Joost Luiten",3,6.8,"Last15EventsAccuracy",2014
135,135,"John Mallinger",5,6.8,"Last15EventsAccuracy",2014
135,135,"Dicky Pride",3,6.8,"Last15EventsAccuracy",2014
135,135,"Patrick Reed",8,6.8,"Last15EventsAccuracy",2014
135,135,"Vijay Singh",10,6.8,"Last15EventsAccuracy",2014
135,135,"Jhonattan Vegas",7,6.8,"Last15EventsAccuracy",2014
135,135,"Brady Watt",1,6.8,"Last15EventsAccuracy",2014
158,158,"Roberto Castro",5,6.7,"Last15EventsAccuracy",2014
158,158,"Jon Curran",1,6.7,"Last15EventsAccuracy",2014
158,158,"Harrison Frazar",3,6.7,"Last15EventsAccuracy",2014
158,158,"John Huh",7,6.7,"Last15EventsAccuracy",2014
158,158,"Davis Love III",10,6.7,"Last15EventsAccuracy",2014
158,158,"Will Ma Kenzie",4,6.7,"Last15EventsAccuracy",2014
158,158,"William McGirt",10,6.7,"Last15EventsAccuracy",2014
158,158,"Jeff Overton",8,6.7,"Last15EventsAccuracy",2014
158,158,"Charl Schwartzel",12,6.7,"Last15EventsAccuracy",2014
158,158,"Richard Sterne",4,6.7,"Last15EventsAccuracy",2014
158,158,"Steve Stricker",9,6.7,"Last15EventsAccuracy",2014
158,158,"Josh Teater",8,6.7,"Last15EventsAccuracy",2014
158,158,"Bubba Watson",11,6.7,"Last15EventsAccuracy",2014
171,171,"Benjamin Alvarado",1,6.6,"Last15EventsAccuracy",2014
171,171,"Thomas Bjorn",3,6.6,"Last15EventsAccuracy",2014
171,171,"Kris Blanks",1,6.6,"Last15EventsAccuracy",2014
171,171,"Mark Calcavecchia",3,6.6,"Last15EventsAccuracy",2014
171,171,"Bud Cauley",7,6.6,"Last15EventsAccuracy",2014
171,171,"Gonzalo Fdez Castano",10,6.6,"Last15EventsAccuracy",2014
171,171,"Todd Hamilton",1,6.6,"Last15EventsAccuracy",2014
171,171,"JJ Henry",11,6.6,"Last15EventsAccuracy",2014
171,171,"Mikko Ilonen",2,6.6,"Last15EventsAccuracy",2014
171,171,"Freddie Jacobson",11,6.6,"Last15EventsAccuracy",2014
171,171,"Doug LaBelle II",4,6.6,"Last15EventsAccuracy",2014
171,171,"Martin Laird",8,6.6,"Last15EventsAccuracy",2014
171,171,"Greg Owen",7,6.6,"Last15EventsAccuracy",2014
171,171,"Ryan Palmer",11,6.6,"Last15EventsAccuracy",2014
171,171,"Rod Pampling",2,6.6,"Last15EventsAccuracy",2014
171,171,"Rory Sabbatini",8,6.6,"Last15EventsAccuracy",2014
171,171,"Daniel Summerhays",12,6.6,"Last15EventsAccuracy",2014
171,171,"Lee Westwood",8,6.6,"Last15EventsAccuracy",2014
171,171,"Chris Wood",1,6.6,"Last15EventsAccuracy",2014
190,190,"Justin Bolli",1,6.5,"Last15EventsAccuracy",2014
190,190,"Jonathan Byrd",6,6.5,"Last15EventsAccuracy",2014
190,190,"Will Claxton",3,6.5,"Last15EventsAccuracy",2014
190,190,"Jeff Curl",1,6.5,"Last15EventsAccuracy",2014
190,190,"Ernie Els",10,6.5,"Last15EventsAccuracy",2014
190,190,"Retief Goosen",12,6.5,"Last15EventsAccuracy",2014
190,190,"Scott Hend",1,6.5,"Last15EventsAccuracy",2014
190,190,"JB Holmes",10,6.5,"Last15EventsAccuracy",2014
190,190,"Chris Kirk",11,6.5,"Last15EventsAccuracy",2014
190,190,"Spencer Levin",4,6.5,"Last15EventsAccuracy",2014
190,190,"Geoff Ogilvy",9,6.5,"Last15EventsAccuracy",2014
190,190,"Ian Poulter",8,6.5,"Last15EventsAccuracy",2014
190,190,"Jordan Spieth",12,6.5,"Last15EventsAccuracy",2014
190,190,"Brendon Todd",11,6.5,"Last15EventsAccuracy",2014
204,204,"Stuart Appleby",8,6.4,"Last15EventsAccuracy",2014
204,204,"Woody Austin",5,6.4,"Last15EventsAccuracy",2014
204,204,"Briny Baird",6,6.4,"Last15EventsAccuracy",2014
204,204,"Ricky Barnes",12,6.4,"Last15EventsAccuracy",2014
204,204,"Steven Bowditch",8,6.4,"Last15EventsAccuracy",2014
204,204,"Nicolas Colsaerts",3,6.4,"Last15EventsAccuracy",2014
204,204,"Erik Compton",6,6.4,"Last15EventsAccuracy",2014
204,204,"Ben Curtis",8,6.4,"Last15EventsAccuracy",2014
204,204,"Bob Estes",1,6.4,"Last15EventsAccuracy",2014
204,204,"Matt Every",5,6.4,"Last15EventsAccuracy",2014
204,204,"Brice Garnett",7,6.4,"Last15EventsAccuracy",2014
204,204,"Padraig Harrington",6,6.4,"Last15EventsAccuracy",2014
204,204,"Edward Loar",2,6.4,"Last15EventsAccuracy",2014
204,204,"Koumei Oda",1,6.4,"Last15EventsAccuracy",2014
204,204,"Tag Ridings",2,6.4,"Last15EventsAccuracy",2014
204,204,"Chris Smith",1,6.4,"Last15EventsAccuracy",2014
204,204,"Chris Stroud",11,6.4,"Last15EventsAccuracy",2014
204,204,"Tim Wilkinson",11,6.4,"Last15EventsAccuracy",2014
204,204,"Chris Williams",1,6.4,"Last15EventsAccuracy",2014
204,204,"Fabrizio Zanotti",2,6.4,"Last15EventsAccuracy",2014
224,224,"Sangmoon Bae",6,6.3,"Last15EventsAccuracy",2014
224,224,"James Driscoll",3,6.3,"Last15EventsAccuracy",2014
224,224,"Oliver Goss",2,6.3,"Last15EventsAccuracy",2014
