"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2009","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2009","GoingfortheGreenBirdieorBetter_PLAYERNAME_2009","GoingfortheGreenBirdieorBetter_ROUNDS_2009","GoingfortheGreenBirdieorBetter_Pct_2009","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2009","GoingfortheGreenBirdieorBetter_ATTEMPTS_2009","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2009","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2009","stat_name","year"
1,1,"Tim Clark",81,70.42,50,71,-53,-23,"GoingfortheGreenBirdieorBetter",2009
2,2,"Geoff Ogilvy",78,70.09,82,117,-86,-14,"GoingfortheGreenBirdieorBetter",2009
3,3,"Jim Furyk",86,69.89,65,93,-69,-21,"GoingfortheGreenBirdieorBetter",2009
4,4,"Matt Jones",56,68.69,68,99,-71,-8,"GoingfortheGreenBirdieorBetter",2009
5,5,"Mike Weir",85,68.67,57,83,-63,-31,"GoingfortheGreenBirdieorBetter",2009
6,6,"Stephen Ames",77,68.47,76,111,-80,-14,"GoingfortheGreenBirdieorBetter",2009
7,7,"Bryce Molder",69,68.25,43,63,-46,-19,"GoingfortheGreenBirdieorBetter",2009
8,8,"Kevin Na",91,67.91,91,134,-101,-19,"GoingfortheGreenBirdieorBetter",2009
9,9,"Dean Wilson",81,67.9,55,81,-57,-32,"GoingfortheGreenBirdieorBetter",2009
10,10,"Sean OHair",80,67.19,86,128,-92,-5,"GoingfortheGreenBirdieorBetter",2009
11,11,"Jerry Kelly",90,66.39,81,122,-85,-30,"GoingfortheGreenBirdieorBetter",2009
12,12,"Bob Estes",78,66.3,61,92,-66,-21,"GoingfortheGreenBirdieorBetter",2009
13,13,"Steve Stricker",81,65.26,62,95,-66,-45,"GoingfortheGreenBirdieorBetter",2009
14,14,"Adam Scott",53,65.22,60,92,-63,-2,"GoingfortheGreenBirdieorBetter",2009
15,15,"Padraig Harrington",66,64.84,59,91,-62,-3,"GoingfortheGreenBirdieorBetter",2009
16,16,"Patrick Sheehan",51,64.81,35,54,-36,-17,"GoingfortheGreenBirdieorBetter",2009
17,17,"Tiger Woods",64,64.8,81,125,-89,-10,"GoingfortheGreenBirdieorBetter",2009
18,18,"Retief Goosen",74,64.36,65,101,-77,-13,"GoingfortheGreenBirdieorBetter",2009
19,19,"Nick Watney",86,64.2,113,176,-121,-5,"GoingfortheGreenBirdieorBetter",2009
20,20,"Mark Wilson",99,63.97,87,136,-91,-26,"GoingfortheGreenBirdieorBetter",2009
21,21,"Scott Piercy",85,63.64,119,187,-124,-1,"GoingfortheGreenBirdieorBetter",2009
22,22,"Jimmy Walker",74,63.28,81,128,-90,1,"GoingfortheGreenBirdieorBetter",2009
23,23,"John Senden",100,63.19,115,182,-127,-25,"GoingfortheGreenBirdieorBetter",2009
24,24,"Scott McCarron",91,62.89,100,159,-105,-11,"GoingfortheGreenBirdieorBetter",2009
25,25,"Greg Chalmers",85,62.5,80,128,-84,-18,"GoingfortheGreenBirdieorBetter",2009
26,26,"Justin Leonard",95,62.04,67,108,-70,-40,"GoingfortheGreenBirdieorBetter",2009
27,27,"Luke Donald",79,62.03,49,79,-50,-33,"GoingfortheGreenBirdieorBetter",2009
28,28,"Bob Heintz",59,61.9,39,63,-39,-18,"GoingfortheGreenBirdieorBetter",2009
29,29,"Zach Johnson",94,61.83,81,131,-93,-35,"GoingfortheGreenBirdieorBetter",2009
30,30,"Justin Rose",71,61.76,63,102,-65,-6,"GoingfortheGreenBirdieorBetter",2009
31,31,"Kenny Perry",92,61.7,87,141,-91,-21,"GoingfortheGreenBirdieorBetter",2009
32,32,"Brian Davis",103,61.69,95,154,-100,-35,"GoingfortheGreenBirdieorBetter",2009
33,33,"George McNeill",82,61.64,90,146,-97,-4,"GoingfortheGreenBirdieorBetter",2009
34,34,"Fred Couples",54,61.54,48,78,-51,-9,"GoingfortheGreenBirdieorBetter",2009
34,34,"Chris Stroud",88,61.54,88,143,-99,-12,"GoingfortheGreenBirdieorBetter",2009
36,36,"Davis Love III",89,61.4,105,171,-114,-14,"GoingfortheGreenBirdieorBetter",2009
37,37,"Briny Baird",89,61.34,73,119,-78,-14,"GoingfortheGreenBirdieorBetter",2009
38,38,"Brian Vranesh",51,61.25,49,80,-53,3,"GoingfortheGreenBirdieorBetter",2009
39,39,"YE Yang",83,61.22,90,147,-96,-4,"GoingfortheGreenBirdieorBetter",2009
40,40,"Brad Adamonis",70,61.17,63,103,-69,-4,"GoingfortheGreenBirdieorBetter",2009
41,41,"Chris Riley",77,61.11,55,90,-63,-29,"GoingfortheGreenBirdieorBetter",2009
42,42,"Brandt Snedeker",81,60.92,53,87,-57,-25,"GoingfortheGreenBirdieorBetter",2009
43,43,"Rod Pampling",72,60.8,76,125,-80,-6,"GoingfortheGreenBirdieorBetter",2009
44,44,"Leif Olson",51,60.76,48,79,-51,8,"GoingfortheGreenBirdieorBetter",2009
45,45,"Tom Pernice Jr",82,60.68,71,117,-73,-28,"GoingfortheGreenBirdieorBetter",2009
46,46,"Charles Warren",63,60.58,83,137,-87,-2,"GoingfortheGreenBirdieorBetter",2009
47,47,"Kevin Sutherland",96,60.54,89,147,-92,-5,"GoingfortheGreenBirdieorBetter",2009
48,48,"Phil Mickelson",66,60.48,75,124,-81,8,"GoingfortheGreenBirdieorBetter",2009
49,49,"Kris Blanks",60,60.47,52,86,-56,2,"GoingfortheGreenBirdieorBetter",2009
50,50,"Jason Dufner",90,60.45,81,134,-85,-9,"GoingfortheGreenBirdieorBetter",2009
51,51,"Rich Beem",77,60.4,61,101,-66,-9,"GoingfortheGreenBirdieorBetter",2009
52,52,"Brian Gay",96,60.27,44,73,-45,-56,"GoingfortheGreenBirdieorBetter",2009
53,53,"Brett Quigley",92,60.15,80,133,-86,-12,"GoingfortheGreenBirdieorBetter",2009
54,54,"Harrison Frazar",93,60,111,185,-119,3,"GoingfortheGreenBirdieorBetter",2009
54,54,"Charles Howell III",99,60,99,165,-102,-11,"GoingfortheGreenBirdieorBetter",2009
54,54,"Webb Simpson",94,60,78,130,-83,-18,"GoingfortheGreenBirdieorBetter",2009
