"Approachesfrominside100yardsRgh_RANKTHISWEEK_2008","Approachesfrominside100yardsRgh_RANKLASTWEEK_2008","Approachesfrominside100yardsRgh_PLAYERNAME_2008","Approachesfrominside100yardsRgh_ROUNDS_2008","Approachesfrominside100yardsRgh_AVG_2008","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2008","Approachesfrominside100yardsRgh_OFATTEMPTS_2008","Approachesfrominside100yardsRgh_RELATIVETOPAR_2008","stat_name","year"
1,1,"Padraig Harrington",52,NA,329.167,23,-3,"Approachesfrominside100yardsRgh",2008
2,2,"Greg Kraft",63,NA,262.417,18,0,"Approachesfrominside100yardsRgh",2008
3,3,"Nick OHern",82,NA,310.917,21,2,"Approachesfrominside100yardsRgh",2008
4,4,"Brian Gay",102,NA,420.333,27,0,"Approachesfrominside100yardsRgh",2008
5,5,"Bob Tway",70,NA,275.917,17,0,"Approachesfrominside100yardsRgh",2008
6,6,"Justin Bolli",87,NA,510.333,30,1,"Approachesfrominside100yardsRgh",2008
7,7,"David Lutterus",59,NA,504.25,29,4,"Approachesfrominside100yardsRgh",2008
7,7,"Dean Wilson",109,NA,487.917,28,-3,"Approachesfrominside100yardsRgh",2008
9,9,"Rich Beem",90,NA,694,39,0,"Approachesfrominside100yardsRgh",2008
10,10,"Shigeki Maruyama",50,NA,518.417,29,11,"Approachesfrominside100yardsRgh",2008
11,11,"Scott Verplank",82,NA,378,21,1,"Approachesfrominside100yardsRgh",2008
12,12,"Sergio Garcia",72,NA,325.917,18,-3,"Approachesfrominside100yardsRgh",2008
12,12,"Ron Whittaker",54,NA,360.917,20,-1,"Approachesfrominside100yardsRgh",2008
14,14,"David Duval",51,NA,419.5,23,7,"Approachesfrominside100yardsRgh",2008
14,14,"JP Hayes",67,NA,655.75,36,3,"Approachesfrominside100yardsRgh",2008
16,16,"Pat Perez",93,NA,387.583,21,-5,"Approachesfrominside100yardsRgh",2008
17,17,"Chad Campbell",94,NA,443.083,24,3,"Approachesfrominside100yardsRgh",2008
