"Approachesfrom225250yardsRgh_RANKTHISWEEK_2016","Approachesfrom225250yardsRgh_RANKLASTWEEK_2016","Approachesfrom225250yardsRgh_PLAYERNAME_2016","Approachesfrom225250yardsRgh_ROUNDS_2016","Approachesfrom225250yardsRgh_AVG_2016","Approachesfrom225250yardsRgh_TOTALDISTANCEFEET_2016","Approachesfrom225250yardsRgh_OFATTEMPTS_2016","Approachesfrom225250yardsRgh_RELATIVETOPAR_2016","stat_name","year"
1,3,"Billy Horschel",45,NA,24.75,1,-1,"Approachesfrom225250yardsRgh",2016
2,5,"Chez Reavie",56,NA,102.833,3,-1,"Approachesfrom225250yardsRgh",2016
3,6,"Jerry Kelly",44,NA,70.333,2,0,"Approachesfrom225250yardsRgh",2016
4,1,"Henrik Norlander",41,NA,144.5,4,-1,"Approachesfrom225250yardsRgh",2016
5,7,"Bubba Watson",30,NA,36.25,1,0,"Approachesfrom225250yardsRgh",2016
6,8,"DA Points",32,NA,37.25,1,-1,"Approachesfrom225250yardsRgh",2016
7,9,"Brian Gay",22,NA,74.917,2,0,"Approachesfrom225250yardsRgh",2016
8,10,"Jimmy Walker",43,NA,119.25,3,-2,"Approachesfrom225250yardsRgh",2016
9,NA,"Scott Langley",41,NA,42,1,-1,"Approachesfrom225250yardsRgh",2016
10,11,"Wes Roach",33,NA,128.417,3,-1,"Approachesfrom225250yardsRgh",2016
11,4,"Webb Simpson",34,NA,218.417,5,-4,"Approachesfrom225250yardsRgh",2016
12,12,"Sergio Garcia",28,NA,218.75,5,0,"Approachesfrom225250yardsRgh",2016
13,13,"Alex Cejka",47,NA,88.667,2,1,"Approachesfrom225250yardsRgh",2016
14,31,"Bronson Burgoon",53,NA,177.917,4,-3,"Approachesfrom225250yardsRgh",2016
15,14,"Stuart Appleby",39,NA,222.833,5,-2,"Approachesfrom225250yardsRgh",2016
16,16,"DJ Trahan",23,NA,46.5,1,0,"Approachesfrom225250yardsRgh",2016
17,19,"JJ Henry",44,NA,95.917,2,0,"Approachesfrom225250yardsRgh",2016
18,20,"Shane Lowry",35,NA,246.583,5,-1,"Approachesfrom225250yardsRgh",2016
19,41,"Geoff Ogilvy",37,NA,247,5,-1,"Approachesfrom225250yardsRgh",2016
20,22,"Kevin Chappell",49,NA,301.333,6,-4,"Approachesfrom225250yardsRgh",2016
21,25,"Hiroshi Iwata",51,NA,411.583,8,-3,"Approachesfrom225250yardsRgh",2016
21,17,"Anirban Lahiri",44,NA,308.583,6,-3,"Approachesfrom225250yardsRgh",2016
23,29,"Steve Stricker",25,NA,368,7,0,"Approachesfrom225250yardsRgh",2016
24,40,"Rob Oppenheim",37,NA,212.833,4,1,"Approachesfrom225250yardsRgh",2016
25,30,"Miguel Angel Carballo",24,NA,106.833,2,-2,"Approachesfrom225250yardsRgh",2016
26,28,"Michael Kim",62,NA,268.917,5,-1,"Approachesfrom225250yardsRgh",2016
27,24,"Ben Martin",48,NA,271.333,5,-1,"Approachesfrom225250yardsRgh",2016
28,33,"Charley Hoffman",49,NA,438,8,1,"Approachesfrom225250yardsRgh",2016
29,34,"Shane Bertsch",30,NA,165.833,3,-1,"Approachesfrom225250yardsRgh",2016
30,35,"Keegan Bradley",40,NA,222.083,4,-2,"Approachesfrom225250yardsRgh",2016
31,36,"Jonas Blixt",46,NA,279.5,5,-3,"Approachesfrom225250yardsRgh",2016
32,38,"Carlos Ortiz",47,NA,345.083,6,-2,"Approachesfrom225250yardsRgh",2016
33,15,"Hideki Matsuyama",40,NA,345.583,6,-3,"Approachesfrom225250yardsRgh",2016
34,49,"Jason Kokrak",52,NA,593.667,10,-6,"Approachesfrom225250yardsRgh",2016
35,42,"Andres Gonzales",46,NA,356.833,6,0,"Approachesfrom225250yardsRgh",2016
36,43,"Andrew Loupe",50,NA,656.583,11,-1,"Approachesfrom225250yardsRgh",2016
37,27,"Ollie Schniederjans",23,NA,298.917,5,0,"Approachesfrom225250yardsRgh",2016
38,59,"Rickie Fowler",42,NA,365.417,6,-2,"Approachesfrom225250yardsRgh",2016
39,45,"Luke Donald",49,NA,244.667,4,2,"Approachesfrom225250yardsRgh",2016
40,47,"Morgan Hoffmann",43,NA,184.917,3,1,"Approachesfrom225250yardsRgh",2016
41,48,"Luke List",51,NA,494.25,8,1,"Approachesfrom225250yardsRgh",2016
42,50,"Jamie Lovemark",57,NA,808,13,-8,"Approachesfrom225250yardsRgh",2016
43,18,"Thomas Aiken",42,NA,375.833,6,1,"Approachesfrom225250yardsRgh",2016
44,52,"Branden Grace",31,NA,189.333,3,-2,"Approachesfrom225250yardsRgh",2016
45,37,"Derek Fathauer",58,NA,758.167,12,-2,"Approachesfrom225250yardsRgh",2016
46,74,"Vaughn Taylor",30,NA,189.833,3,-1,"Approachesfrom225250yardsRgh",2016
47,62,"Boo Weekley",53,NA,190.167,3,-2,"Approachesfrom225250yardsRgh",2016
48,54,"Jordan Spieth",34,NA,63.75,1,0,"Approachesfrom225250yardsRgh",2016
49,21,"Jason Bohn",37,NA,191.417,3,-1,"Approachesfrom225250yardsRgh",2016
50,56,"Brooks Koepka",39,NA,644.667,10,-5,"Approachesfrom225250yardsRgh",2016
51,57,"Sam Saunders",40,NA,323.167,5,1,"Approachesfrom225250yardsRgh",2016
52,59,"Marc Leishman",41,NA,327.833,5,-2,"Approachesfrom225250yardsRgh",2016
53,64,"JB Holmes",39,NA,526.083,8,-4,"Approachesfrom225250yardsRgh",2016
53,32,"Patton Kizzire",57,NA,591.5,9,-2,"Approachesfrom225250yardsRgh",2016
55,61,"Justin Hicks",26,NA,131.583,2,0,"Approachesfrom225250yardsRgh",2016
56,95,"Jason Gore",51,NA,330,5,-2,"Approachesfrom225250yardsRgh",2016
57,44,"Jhonattan Vegas",49,NA,265.833,4,-4,"Approachesfrom225250yardsRgh",2016
58,76,"Jamie Donaldson",28,NA,266.833,4,-1,"Approachesfrom225250yardsRgh",2016
59,83,"Steve Wheatcroft",53,NA,668,10,0,"Approachesfrom225250yardsRgh",2016
59,66,"Gary Woodland",45,NA,467.583,7,-4,"Approachesfrom225250yardsRgh",2016
61,67,"Matt Kuchar",46,NA,134.583,2,1,"Approachesfrom225250yardsRgh",2016
62,51,"Brian Harman",60,NA,404.667,6,-2,"Approachesfrom225250yardsRgh",2016
63,68,"James Hahn",45,NA,607.167,9,-2,"Approachesfrom225250yardsRgh",2016
64,101,"John Senden",48,NA,677,10,-6,"Approachesfrom225250yardsRgh",2016
65,69,"Stewart Cink",45,NA,474.167,7,-4,"Approachesfrom225250yardsRgh",2016
66,71,"Dustin Johnson",37,NA,135.833,2,0,"Approachesfrom225250yardsRgh",2016
67,88,"Mark Hubbard",73,NA,682,10,1,"Approachesfrom225250yardsRgh",2016
67,72,"Sean OHair",45,NA,749.583,11,-4,"Approachesfrom225250yardsRgh",2016
69,NA,"Brian Stuard",24,NA,205.25,3,2,"Approachesfrom225250yardsRgh",2016
70,46,"Jeff Overton",51,NA,411,6,1,"Approachesfrom225250yardsRgh",2016
70,77,"Brendan Steele",48,NA,616.583,9,-4,"Approachesfrom225250yardsRgh",2016
72,75,"Charl Schwartzel",29,NA,278.25,4,-2,"Approachesfrom225250yardsRgh",2016
73,65,"David Toms",38,NA,488.833,7,1,"Approachesfrom225250yardsRgh",2016
74,127,"Chris Stroud",52,NA,490.583,7,-2,"Approachesfrom225250yardsRgh",2016
75,79,"Bernd Wiesberger",23,NA,282.167,4,2,"Approachesfrom225250yardsRgh",2016
76,80,"Cameron Percy",22,NA,70.667,1,-1,"Approachesfrom225250yardsRgh",2016
77,81,"Jason Dufner",53,NA,495.5,7,-2,"Approachesfrom225250yardsRgh",2016
77,125,"Johnson Wagner",44,NA,283.083,4,0,"Approachesfrom225250yardsRgh",2016
79,82,"Bill Haas",42,NA,141.667,2,0,"Approachesfrom225250yardsRgh",2016
80,55,"Adam Hadwin",53,NA,496.667,7,-1,"Approachesfrom225250yardsRgh",2016
81,84,"Jason Day",36,NA,426.083,6,-4,"Approachesfrom225250yardsRgh",2016
82,70,"Mark Wilson",42,NA,498.083,7,1,"Approachesfrom225250yardsRgh",2016
83,86,"Dicky Pride",33,NA,143.25,2,2,"Approachesfrom225250yardsRgh",2016
84,39,"Michael Thompson",46,NA,143.583,2,1,"Approachesfrom225250yardsRgh",2016
85,89,"Greg Owen",56,NA,508.75,7,-1,"Approachesfrom225250yardsRgh",2016
86,90,"William McGirt",54,NA,219.333,3,-2,"Approachesfrom225250yardsRgh",2016
87,93,"Ryan Palmer",46,NA,293.417,4,-2,"Approachesfrom225250yardsRgh",2016
88,110,"Spencer Levin",62,NA,367.25,5,1,"Approachesfrom225250yardsRgh",2016
88,126,"Camilo Villegas",50,NA,514.167,7,-1,"Approachesfrom225250yardsRgh",2016
90,94,"Charles Howell III",63,NA,955.167,13,-5,"Approachesfrom225250yardsRgh",2016
91,73,"Martin Piller",37,NA,221.5,3,1,"Approachesfrom225250yardsRgh",2016
92,96,"Carl Pettersson",31,NA,147.917,2,1,"Approachesfrom225250yardsRgh",2016
93,116,"David Lingmerth",54,NA,520.833,7,-4,"Approachesfrom225250yardsRgh",2016
94,97,"Rhein Gibson",36,NA,595.75,8,3,"Approachesfrom225250yardsRgh",2016
94,23,"Lucas Glover",53,NA,223.5,3,-2,"Approachesfrom225250yardsRgh",2016
96,98,"Chris Kirk",51,NA,673.25,9,-2,"Approachesfrom225250yardsRgh",2016
97,62,"Chesson Hadley",51,NA,376.75,5,0,"Approachesfrom225250yardsRgh",2016
97,105,"Danny Lee",53,NA,527.5,7,2,"Approachesfrom225250yardsRgh",2016
99,99,"Graeme McDowell",33,NA,150.75,2,0,"Approachesfrom225250yardsRgh",2016
100,100,"Bryce Molder",50,NA,453.25,6,-1,"Approachesfrom225250yardsRgh",2016
101,78,"Patrick Reed",53,NA,608.25,8,-4,"Approachesfrom225250yardsRgh",2016
101,92,"Tyrone Van Aswegen",67,NA,988,13,3,"Approachesfrom225250yardsRgh",2016
103,136,"Emiliano Grillo",47,NA,456.333,6,-2,"Approachesfrom225250yardsRgh",2016
104,103,"Will Ma Kenzie",54,NA,229,3,2,"Approachesfrom225250yardsRgh",2016
105,106,"Abraham Ancer",26,NA,153.417,2,2,"Approachesfrom225250yardsRgh",2016
106,107,"Freddie Jacobson",54,NA,537.833,7,2,"Approachesfrom225250yardsRgh",2016
106,107,"Russell Knox",48,NA,307.417,4,1,"Approachesfrom225250yardsRgh",2016
108,86,"Kyle Reifers",63,NA,308.25,4,2,"Approachesfrom225250yardsRgh",2016
109,110,"Erik Compton",45,NA,463.25,6,0,"Approachesfrom225250yardsRgh",2016
110,133,"Retief Goosen",37,NA,696.583,9,0,"Approachesfrom225250yardsRgh",2016
110,112,"Shawn Stefani",45,NA,154.75,2,-1,"Approachesfrom225250yardsRgh",2016
112,148,"Francesco Molinari",36,NA,543.5,7,-3,"Approachesfrom225250yardsRgh",2016
113,115,"Davis Love III",40,NA,466.25,6,2,"Approachesfrom225250yardsRgh",2016
114,117,"Tony Finau",49,NA,1479.917,19,-12,"Approachesfrom225250yardsRgh",2016
115,118,"Roberto Castro",55,NA,234.583,3,0,"Approachesfrom225250yardsRgh",2016
116,119,"Aaron Baddeley",51,NA,547.75,7,-3,"Approachesfrom225250yardsRgh",2016
117,121,"Kevin Na",52,NA,785.667,10,-3,"Approachesfrom225250yardsRgh",2016
117,121,"Will Wilcox",47,NA,628.417,8,-2,"Approachesfrom225250yardsRgh",2016
119,123,"Nick Taylor",57,NA,552.167,7,-2,"Approachesfrom225250yardsRgh",2016
120,53,"George McNeill",33,NA,396.083,5,-2,"Approachesfrom225250yardsRgh",2016
120,124,"Pat Perez",28,NA,554.75,7,-2,"Approachesfrom225250yardsRgh",2016
122,165,"Fabian Gomez",49,NA,714.167,9,-4,"Approachesfrom225250yardsRgh",2016
123,144,"Cameron Smith",45,NA,477.25,6,4,"Approachesfrom225250yardsRgh",2016
124,153,"Scott Pinckney",53,NA,558.417,7,-1,"Approachesfrom225250yardsRgh",2016
125,128,"David Hearn",55,NA,560.167,7,0,"Approachesfrom225250yardsRgh",2016
125,114,"Brendon Todd",43,NA,320.083,4,1,"Approachesfrom225250yardsRgh",2016
127,163,"Martin Laird",46,NA,480.583,6,-2,"Approachesfrom225250yardsRgh",2016
128,129,"Zac Blair",56,NA,320.75,4,-1,"Approachesfrom225250yardsRgh",2016
129,120,"Justin Rose",35,NA,562.5,7,-1,"Approachesfrom225250yardsRgh",2016
130,157,"Kelly Kraft",35,NA,482.917,6,2,"Approachesfrom225250yardsRgh",2016
130,102,"Justin Thomas",53,NA,805.083,10,-4,"Approachesfrom225250yardsRgh",2016
132,103,"Patrick Rodgers",49,NA,644.417,8,-5,"Approachesfrom225250yardsRgh",2016
133,130,"Scott Brown",59,NA,325.667,4,-1,"Approachesfrom225250yardsRgh",2016
133,130,"Andres Romero",22,NA,81.417,1,1,"Approachesfrom225250yardsRgh",2016
135,132,"Adam Scott",39,NA,408.417,5,-1,"Approachesfrom225250yardsRgh",2016
136,134,"KJ Choi",47,NA,492.833,6,0,"Approachesfrom225250yardsRgh",2016
136,134,"Justin Leonard",28,NA,82.167,1,-1,"Approachesfrom225250yardsRgh",2016
138,136,"Rory Sabbatini",40,NA,332.833,4,-3,"Approachesfrom225250yardsRgh",2016
