"Approach200225yardsRTP_RANKTHISWEEK_2015","Approach200225yardsRTP_RANKLASTWEEK_2015","Approach200225yardsRTP_PLAYERNAME_2015","Approach200225yardsRTP_ROUNDS_2015","Approach200225yardsRTP_AVGRTP_2015","stat_name","year"
1,1,"Patrick Rodgers",57,-0.238,"Approach200225yardsRTP",2015
2,2,"Dustin Johnson",75,-0.176,"Approach200225yardsRTP",2015
3,3,"Robert Streb",110,-0.171,"Approach200225yardsRTP",2015
4,4,"Seung Yul Noh",65,-0.16,"Approach200225yardsRTP",2015
5,5,"Webb Simpson",81,-0.149,"Approach200225yardsRTP",2015
6,6,"Bubba Watson",71,-0.14,"Approach200225yardsRTP",2015
7,7,"Lee Westwood",56,-0.132,"Approach200225yardsRTP",2015
8,8,"Justin Rose",69,-0.126,"Approach200225yardsRTP",2015
9,9,"Charl Schwartzel",67,-0.12,"Approach200225yardsRTP",2015
9,9,"Jhonattan Vegas",90,-0.12,"Approach200225yardsRTP",2015
11,11,"Jonathan Byrd",69,-0.119,"Approach200225yardsRTP",2015
12,12,"Jason Day",75,-0.118,"Approach200225yardsRTP",2015
13,13,"Hudson Swafford",97,-0.114,"Approach200225yardsRTP",2015
14,14,"Jason Gore",76,-0.111,"Approach200225yardsRTP",2015
15,15,"Martin Laird",77,-0.11,"Approach200225yardsRTP",2015
16,16,"Jordan Spieth",91,-0.108,"Approach200225yardsRTP",2015
17,17,"Aaron Baddeley",76,-0.106,"Approach200225yardsRTP",2015
18,18,"Geoff Ogilvy",50,-0.096,"Approach200225yardsRTP",2015
19,19,"Brendan Steele",88,-0.095,"Approach200225yardsRTP",2015
20,20,"Justin Thomas",106,-0.09,"Approach200225yardsRTP",2015
21,21,"Adam Scott",51,-0.088,"Approach200225yardsRTP",2015
22,22,"Tony Finau",106,-0.083,"Approach200225yardsRTP",2015
23,23,"Jim Furyk",71,-0.08,"Approach200225yardsRTP",2015
23,23,"Andres Gonzales",90,-0.08,"Approach200225yardsRTP",2015
25,25,"Vijay Singh",78,-0.078,"Approach200225yardsRTP",2015
26,26,"Stewart Cink",77,-0.077,"Approach200225yardsRTP",2015
27,27,"Danny Lee",120,-0.072,"Approach200225yardsRTP",2015
28,28,"Will Wilcox",58,-0.071,"Approach200225yardsRTP",2015
29,29,"Davis Love III",51,-0.07,"Approach200225yardsRTP",2015
29,29,"Michael Thompson",83,-0.07,"Approach200225yardsRTP",2015
31,31,"Byron Smith",59,-0.066,"Approach200225yardsRTP",2015
32,32,"Sergio Garcia",59,-0.065,"Approach200225yardsRTP",2015
33,33,"Kevin Chappell",86,-0.063,"Approach200225yardsRTP",2015
34,34,"Ben Martin",93,-0.056,"Approach200225yardsRTP",2015
35,35,"Robert Garrigus",70,-0.055,"Approach200225yardsRTP",2015
36,36,"Matt Jones",89,-0.054,"Approach200225yardsRTP",2015
37,37,"Graham DeLaet",65,-0.052,"Approach200225yardsRTP",2015
38,38,"Sam Saunders",83,-0.051,"Approach200225yardsRTP",2015
39,39,"Henrik Stenson",63,-0.05,"Approach200225yardsRTP",2015
40,40,"Camilo Villegas",83,-0.047,"Approach200225yardsRTP",2015
41,41,"Lucas Glover",79,-0.039,"Approach200225yardsRTP",2015
42,42,"Adam Hadwin",95,-0.038,"Approach200225yardsRTP",2015
42,42,"Charles Howell III",105,-0.038,"Approach200225yardsRTP",2015
42,42,"Carlos Ortiz",100,-0.038,"Approach200225yardsRTP",2015
42,42,"Ryan Palmer",80,-0.038,"Approach200225yardsRTP",2015
