"Approaches150175yardsRghRTP_RANKTHISWEEK_2008","Approaches150175yardsRghRTP_RANKLASTWEEK_2008","Approaches150175yardsRghRTP_PLAYERNAME_2008","Approaches150175yardsRghRTP_ROUNDS_2008","Approaches150175yardsRghRTP_AVGRTP_2008","stat_name","year"
1,1,"Freddie Jacobson",78,0,"Approaches150175yardsRghRTP",2008
2,2,"Scott Sterling",89,0.019,"Approaches150175yardsRghRTP",2008
3,3,"Mike Weir",88,0.041,"Approaches150175yardsRghRTP",2008
4,4,"Davis Love III",78,0.05,"Approaches150175yardsRghRTP",2008
5,5,"Bob Tway",70,0.051,"Approaches150175yardsRghRTP",2008
6,6,"Ben Crane",86,0.055,"Approaches150175yardsRghRTP",2008
7,7,"Tim Clark",90,0.058,"Approaches150175yardsRghRTP",2008
8,8,"Omar Uresti",74,0.059,"Approaches150175yardsRghRTP",2008
9,9,"Brett Quigley",80,0.062,"Approaches150175yardsRghRTP",2008
10,10,"Angel Cabrera",55,0.065,"Approaches150175yardsRghRTP",2008
11,11,"Stewart Cink",87,0.068,"Approaches150175yardsRghRTP",2008
12,12,"Brett Rumford",72,0.071,"Approaches150175yardsRghRTP",2008
12,12,"Johnson Wagner",83,0.071,"Approaches150175yardsRghRTP",2008
14,14,"Steve Allan",58,0.081,"Approaches150175yardsRghRTP",2008
14,14,"Parker McLachlin",88,0.081,"Approaches150175yardsRghRTP",2008
16,16,"Tom Lehman",51,0.083,"Approaches150175yardsRghRTP",2008
17,17,"Alex Cejka",75,0.085,"Approaches150175yardsRghRTP",2008
17,17,"Jon Mills",95,0.085,"Approaches150175yardsRghRTP",2008
19,19,"Gavin Coles",54,0.091,"Approaches150175yardsRghRTP",2008
20,20,"Paul Casey",55,0.094,"Approaches150175yardsRghRTP",2008
21,21,"Eric Axley",113,0.099,"Approaches150175yardsRghRTP",2008
22,22,"Briny Baird",113,0.101,"Approaches150175yardsRghRTP",2008
23,23,"Ken Duke",116,0.104,"Approaches150175yardsRghRTP",2008
24,24,"Scott Verplank",82,0.111,"Approaches150175yardsRghRTP",2008
25,25,"Sean OHair",81,0.118,"Approaches150175yardsRghRTP",2008
26,26,"Richard Johnson",60,0.12,"Approaches150175yardsRghRTP",2008
26,26,"Carl Pettersson",110,0.12,"Approaches150175yardsRghRTP",2008
28,28,"Fred Couples",60,0.122,"Approaches150175yardsRghRTP",2008
28,28,"Trevor Immelman",70,0.122,"Approaches150175yardsRghRTP",2008
28,28,"Jeff Quinney",87,0.122,"Approaches150175yardsRghRTP",2008
28,28,"David Toms",70,0.122,"Approaches150175yardsRghRTP",2008
32,32,"Brad Elder",67,0.125,"Approaches150175yardsRghRTP",2008
33,33,"Charles Howell III",101,0.126,"Approaches150175yardsRghRTP",2008
34,34,"Sergio Garcia",72,0.127,"Approaches150175yardsRghRTP",2008
34,34,"John Merrick",98,0.127,"Approaches150175yardsRghRTP",2008
36,36,"John Mallinger",95,0.129,"Approaches150175yardsRghRTP",2008
37,37,"Anthony Kim",81,0.13,"Approaches150175yardsRghRTP",2008
37,37,"Brandt Snedeker",85,0.13,"Approaches150175yardsRghRTP",2008
