"Approaches_RANKTHISWEEK_2012","Approaches_RANKLASTWEEK_2012","Approaches_PLAYERNAME_2012","Approaches_ROUNDS_2012","Approaches_AVGRTP_2012","stat_name","year"
1,NA,"Mathew Goggin",65,-0.167,"Approaches",2012
2,NA,"John Senden",81,-0.15,"Approaches",2012
3,NA,"Luke Donald",63,-0.143,"Approaches",2012
3,NA,"Billy Horschel",63,-0.143,"Approaches",2012
5,NA,"Webb Simpson",77,-0.138,"Approaches",2012
6,NA,"Steve Stricker",73,-0.125,"Approaches",2012
7,NA,"Tim Clark",60,-0.105,"Approaches",2012
8,NA,"Jason Day",57,-0.1,"Approaches",2012
9,NA,"Charles Howell III",98,-0.091,"Approaches",2012
10,NA,"John Daly",50,-0.077,"Approaches",2012
11,NA,"Matt Jones",53,-0.067,"Approaches",2012
12,NA,"Jerry Kelly",84,-0.063,"Approaches",2012
13,NA,"Stewart Cink",71,-0.053,"Approaches",2012
13,NA,"Jim Furyk",85,-0.053,"Approaches",2012
13,NA,"Robert Karlsson",54,-0.053,"Approaches",2012
16,NA,"Matt Every",80,-0.05,"Approaches",2012
16,NA,"Jhonattan Vegas",77,-0.05,"Approaches",2012
18,NA,"Justin Rose",69,-0.048,"Approaches",2012
19,NA,"Marc Leishman",84,-0.044,"Approaches",2012
20,NA,"Bill Haas",79,-0.043,"Approaches",2012
21,NA,"Matt Kuchar",86,-0.037,"Approaches",2012
22,NA,"John Rollins",81,-0.033,"Approaches",2012
23,NA,"JB Holmes",90,-0.03,"Approaches",2012
24,NA,"Keegan Bradley",90,-0.027,"Approaches",2012
25,NA,"Bubba Watson",68,-0.024,"Approaches",2012
26,NA,"Blake Adams",107,0,"Approaches",2012
26,NA,"Mark Anderson",75,0,"Approaches",2012
26,NA,"Brendon de Jonge",115,0,"Approaches",2012
26,NA,"Ken Duke",104,0,"Approaches",2012
26,NA,"Brandt Jobe",57,0,"Approaches",2012
26,NA,"Ted Potter Jr",77,0,"Approaches",2012
26,NA,"Andres Romero",68,0,"Approaches",2012
26,NA,"David Toms",60,0,"Approaches",2012
26,NA,"DJ Trahan",73,0,"Approaches",2012
26,NA,"Nick Watney",97,0,"Approaches",2012
26,NA,"Mark Wilson",84,0,"Approaches",2012
37,NA,"William McGirt",96,0.026,"Approaches",2012
38,NA,"Roberto Castro",92,0.03,"Approaches",2012
39,NA,"Charlie Beljan",61,0.031,"Approaches",2012
39,NA,"Graham DeLaet",79,0.031,"Approaches",2012
41,NA,"Ben Crane",73,0.032,"Approaches",2012
41,NA,"Bill Lunde",83,0.032,"Approaches",2012
43,NA,"Angel Cabrera",54,0.04,"Approaches",2012
43,NA,"Danny Lee",74,0.04,"Approaches",2012
45,NA,"Brendan Steele",77,0.043,"Approaches",2012
46,NA,"DA Points",88,0.045,"Approaches",2012
46,NA,"Daniel Summerhays",81,0.045,"Approaches",2012
48,NA,"Rory McIlroy",60,0.056,"Approaches",2012
49,NA,"Jeff Overton",101,0.057,"Approaches",2012
50,NA,"Brian Davis",91,0.059,"Approaches",2012
50,NA,"Padraig Harrington",67,0.059,"Approaches",2012
52,NA,"Tim Herron",88,0.061,"Approaches",2012
53,NA,"Roland Thatcher",55,0.067,"Approaches",2012
54,NA,"Spencer Levin",81,0.069,"Approaches",2012
55,NA,"Ian Poulter",57,0.071,"Approaches",2012
55,NA,"Adam Scott",59,0.071,"Approaches",2012
57,NA,"KJ Choi",71,0.077,"Approaches",2012
57,NA,"Harrison Frazar",56,0.077,"Approaches",2012
57,NA,"Ryo Ishikawa",54,0.077,"Approaches",2012
60,NA,"JJ Killeen",101,0.082,"Approaches",2012
61,NA,"Bobby Gates",87,0.083,"Approaches",2012
62,NA,"Brian Gay",91,0.091,"Approaches",2012
63,NA,"Dustin Johnson",70,0.094,"Approaches",2012
64,NA,"Erik Compton",81,0.097,"Approaches",2012
64,NA,"Chris Stroud",86,0.097,"Approaches",2012
66,NA,"Chez Reavie",83,0.1,"Approaches",2012
67,NA,"Patrick Sheehan",58,0.105,"Approaches",2012
68,NA,"Justin Leonard",79,0.111,"Approaches",2012
69,NA,"Bryce Molder",83,0.115,"Approaches",2012
70,NA,"Martin Laird",77,0.12,"Approaches",2012
71,NA,"Daniel Chopra",55,0.125,"Approaches",2012
71,NA,"Ernie Els",80,0.125,"Approaches",2012
71,NA,"Charl Schwartzel",56,0.125,"Approaches",2012
71,NA,"Kyle Thompson",51,0.125,"Approaches",2012
75,NA,"Henrik Stenson",51,0.136,"Approaches",2012
76,NA,"Pat Perez",81,0.15,"Approaches",2012
77,NA,"Matt Bettencourt",80,0.152,"Approaches",2012
77,NA,"Jason Kokrak",79,0.152,"Approaches",2012
79,NA,"Jonathan Byrd",69,0.156,"Approaches",2012
80,NA,"Robert Garrigus",89,0.16,"Approaches",2012
81,NA,"Stuart Appleby",75,0.167,"Approaches",2012
81,NA,"Garth Mulroy",59,0.167,"Approaches",2012
83,NA,"Geoff Ogilvy",73,0.172,"Approaches",2012
84,NA,"James Driscoll",83,0.174,"Approaches",2012
85,NA,"Brian Harman",101,0.175,"Approaches",2012
86,NA,"Aaron Baddeley",73,0.176,"Approaches",2012
87,NA,"Gavin Coles",72,0.179,"Approaches",2012
88,NA,"Stephen Ames",54,0.182,"Approaches",2012
88,NA,"Rickie Fowler",84,0.182,"Approaches",2012
88,NA,"John Merrick",83,0.182,"Approaches",2012
88,NA,"Greg Owen",90,0.182,"Approaches",2012
92,NA,"Michael Bradley",63,0.184,"Approaches",2012
93,NA,"Kris Blanks",65,0.185,"Approaches",2012
94,NA,"Rory Sabbatini",84,0.188,"Approaches",2012
95,NA,"Rocco Mediate",70,0.192,"Approaches",2012
96,NA,"Chris DiMarco",83,0.194,"Approaches",2012
97,NA,"David Hearn",95,0.2,"Approaches",2012
97,NA,"Jeff Maggert",83,0.2,"Approaches",2012
97,NA,"Seung Yul Noh",105,0.2,"Approaches",2012
100,NA,"Johnson Wagner",88,0.206,"Approaches",2012
101,NA,"Chris Couch",61,0.208,"Approaches",2012
102,NA,"Jonas Blixt",72,0.212,"Approaches",2012
103,NA,"Josh Teater",97,0.214,"Approaches",2012
104,NA,"Freddie Jacobson",61,0.217,"Approaches",2012
105,NA,"Nathan Green",73,0.222,"Approaches",2012
105,NA,"Kyle Stanley",86,0.222,"Approaches",2012
105,NA,"Jimmy Walker",101,0.222,"Approaches",2012
108,NA,"Sean OHair",84,0.225,"Approaches",2012
109,NA,"Billy Mayfair",90,0.226,"Approaches",2012
