"FedExCupSeasonPoints_RANKTHISWEEK_2010","FedExCupSeasonPoints_RANKLASTWEEK_2010","FedExCupSeasonPoints_PLAYERNAME_2010","FedExCupSeasonPoints_EVENTS_2010","FedExCupSeasonPoints_POINTS_2010","FedExCupSeasonPoints_OFWINS_2010","FedExCupSeasonPoints_OFTOP10S_2010","FedExCupSeasonPoints_POINTSBEHINDLEAD_2010","FedExCupSeasonPoints_RESETPOINTS_2010","stat_name","year"
1,1,"Ernie Els",16,1846,2,6,NA,NA,"FedExCupSeasonPoints",2010
2,2,"Steve Stricker",15,1697,2,6,149,NA,"FedExCupSeasonPoints",2010
3,3,"Jim Furyk",18,1691,2,6,155,NA,"FedExCupSeasonPoints",2010
4,4,"Phil Mickelson",16,1629,1,5,217,NA,"FedExCupSeasonPoints",2010
5,5,"Justin Rose",18,1593,2,4,253,NA,"FedExCupSeasonPoints",2010
6,6,"Jeff Overton",22,1536,NA,6,310,NA,"FedExCupSeasonPoints",2010
7,7,"Hunter Mahan",20,1528,2,3,318,NA,"FedExCupSeasonPoints",2010
8,8,"Bubba Watson",18,1498,1,4,348,NA,"FedExCupSeasonPoints",2010
9,9,"Matt Kuchar",21,1437,NA,9,409,NA,"FedExCupSeasonPoints",2010
10,10,"Tim Clark",19,1409,1,6,437,NA,"FedExCupSeasonPoints",2010
11,11,"Dustin Johnson",19,1362,1,5,484,NA,"FedExCupSeasonPoints",2010
12,12,"Ben Crane",20,1304,1,5,542,NA,"FedExCupSeasonPoints",2010
13,13,"Bo Van Pelt",22,1272,NA,6,574,NA,"FedExCupSeasonPoints",2010
14,14,"Anthony Kim",11,1216,1,4,630,NA,"FedExCupSeasonPoints",2010
15,15,"Camilo Villegas",16,1213,1,6,633,NA,"FedExCupSeasonPoints",2010
16,16,"Zach Johnson",20,1191,1,2,655,NA,"FedExCupSeasonPoints",2010
17,17,"Robert Allenby",17,1169,NA,4,677,NA,"FedExCupSeasonPoints",2010
18,18,"JB Holmes",20,1153,NA,3,693,NA,"FedExCupSeasonPoints",2010
19,19,"Rickie Fowler",22,1147,NA,5,699,NA,"FedExCupSeasonPoints",2010
20,20,"Carl Pettersson",24,1142,1,4,704,NA,"FedExCupSeasonPoints",2010
21,21,"Rory McIlroy",13,1101,1,5,745,NA,"FedExCupSeasonPoints",2010
22,22,"Luke Donald",16,1089,NA,5,757,NA,"FedExCupSeasonPoints",2010
23,23,"Ryan Palmer",21,1071,1,3,775,NA,"FedExCupSeasonPoints",2010
24,24,"Retief Goosen",15,1068,NA,8,778,NA,"FedExCupSeasonPoints",2010
25,25,"Brendon de Jonge",26,1035,NA,6,811,NA,"FedExCupSeasonPoints",2010
26,26,"Bill Haas",20,1025,1,2,821,NA,"FedExCupSeasonPoints",2010
27,27,"Paul Casey",13,992,NA,5,854,NA,"FedExCupSeasonPoints",2010
28,28,"Jason Day",20,988,1,3,858,NA,"FedExCupSeasonPoints",2010
29,29,"Nick Watney",19,984,NA,6,862,NA,"FedExCupSeasonPoints",2010
30,30,"Stuart Appleby",26,957,1,3,889,NA,"FedExCupSeasonPoints",2010
31,31,"Ricky Barnes",23,947,NA,6,899,NA,"FedExCupSeasonPoints",2010
32,32,"Adam Scott",16,940,1,2,906,NA,"FedExCupSeasonPoints",2010
33,33,"Jason Bohn",19,926,1,2,920,NA,"FedExCupSeasonPoints",2010
34,34,"KJ Choi",18,922,NA,2,924,NA,"FedExCupSeasonPoints",2010
35,35,"Ryan Moore",20,893,NA,4,953,NA,"FedExCupSeasonPoints",2010
36,36,"Sean OHair",20,858,NA,3,988,NA,"FedExCupSeasonPoints",2010
37,37,"Freddie Jacobson",18,826,NA,3,1020,NA,"FedExCupSeasonPoints",2010
38,38,"Vaughn Taylor",20,824,NA,5,1022,NA,"FedExCupSeasonPoints",2010
39,39,"Geoff Ogilvy",15,815,1,1,1031,NA,"FedExCupSeasonPoints",2010
40,40,"Brandt Snedeker",23,813,NA,4,1033,NA,"FedExCupSeasonPoints",2010
41,41,"Kevin Na",21,804,NA,3,1042,NA,"FedExCupSeasonPoints",2010
42,42,"Scott Verplank",19,786,NA,3,1060,NA,"FedExCupSeasonPoints",2010
43,43,"Brian Davis",24,781,NA,2,1065,NA,"FedExCupSeasonPoints",2010
44,44,"David Toms",20,748,NA,1,1098,NA,"FedExCupSeasonPoints",2010
45,45,"Bryce Molder",21,748,NA,6,1098,NA,"FedExCupSeasonPoints",2010
46,46,"Charles Howell III",22,746,NA,4,1100,NA,"FedExCupSeasonPoints",2010
47,47,"Lucas Glover",20,743,NA,3,1103,NA,"FedExCupSeasonPoints",2010
48,48,"Marc Leishman",21,738,NA,2,1108,NA,"FedExCupSeasonPoints",2010
49,49,"Ian Poulter",12,733,1,2,1113,NA,"FedExCupSeasonPoints",2010
50,50,"Heath Slocum",19,722,NA,3,1124,NA,"FedExCupSeasonPoints",2010
51,51,"Brian Gay",23,714,NA,2,1132,NA,"FedExCupSeasonPoints",2010
52,52,"Charlie Wi",20,690,NA,3,1156,NA,"FedExCupSeasonPoints",2010
53,53,"YE Yang",18,678,NA,2,1168,NA,"FedExCupSeasonPoints",2010
54,54,"Stewart Cink",19,678,NA,3,1168,NA,"FedExCupSeasonPoints",2010
55,55,"Padraig Harrington",16,662,NA,5,1184,NA,"FedExCupSeasonPoints",2010
56,56,"Matt Jones",22,647,NA,5,1199,NA,"FedExCupSeasonPoints",2010
57,57,"Spencer Levin",24,646,NA,1,1200,NA,"FedExCupSeasonPoints",2010
58,58,"Steve Marino",19,636,NA,2,1210,NA,"FedExCupSeasonPoints",2010
59,59,"John Rollins",21,634,NA,2,1212,NA,"FedExCupSeasonPoints",2010
60,60,"Rory Sabbatini",20,618,NA,2,1228,NA,"FedExCupSeasonPoints",2010
61,61,"Jason Dufner",22,617,NA,2,1229,NA,"FedExCupSeasonPoints",2010
62,62,"JJ Henry",25,598,NA,2,1248,NA,"FedExCupSeasonPoints",2010
63,63,"Paul Goydos",22,597,NA,3,1249,NA,"FedExCupSeasonPoints",2010
64,64,"Shaun Micheel",15,595,NA,3,1251,NA,"FedExCupSeasonPoints",2010
65,65,"Vijay Singh",20,588,NA,2,1258,NA,"FedExCupSeasonPoints",2010
66,66,"DJ Trahan",21,577,NA,5,1269,NA,"FedExCupSeasonPoints",2010
67,67,"Michael Sim",17,573,NA,3,1273,NA,"FedExCupSeasonPoints",2010
68,68,"Steve Elkington",19,571,NA,3,1275,NA,"FedExCupSeasonPoints",2010
69,69,"Greg Chalmers",22,558,NA,2,1288,NA,"FedExCupSeasonPoints",2010
70,70,"Justin Leonard",21,556,NA,1,1290,NA,"FedExCupSeasonPoints",2010
71,71,"Kenny Perry",19,555,NA,1,1291,NA,"FedExCupSeasonPoints",2010
72,72,"Jimmy Walker",23,554,NA,2,1292,NA,"FedExCupSeasonPoints",2010
73,73,"Kris Blanks",24,554,NA,3,1292,NA,"FedExCupSeasonPoints",2010
74,74,"Tom Gillis",21,554,NA,2,1292,NA,"FedExCupSeasonPoints",2010
75,75,"Chad Campbell",22,551,NA,2,1295,NA,"FedExCupSeasonPoints",2010
76,76,"Stephen Ames",18,548,NA,1,1298,NA,"FedExCupSeasonPoints",2010
77,77,"Charley Hoffman",19,546,NA,3,1300,NA,"FedExCupSeasonPoints",2010
78,78,"DA Points",23,544,NA,3,1302,NA,"FedExCupSeasonPoints",2010
79,79,"Pat Perez",21,534,NA,3,1312,NA,"FedExCupSeasonPoints",2010
80,80,"Tim Petrovic",24,532,NA,2,1314,NA,"FedExCupSeasonPoints",2010
81,81,"Alex Prugh",24,526,NA,3,1320,NA,"FedExCupSeasonPoints",2010
82,82,"Boo Weekley",23,526,NA,3,1320,NA,"FedExCupSeasonPoints",2010
83,83,"Angel Cabrera",16,524,NA,2,1322,NA,"FedExCupSeasonPoints",2010
84,84,"Garrett Willis",19,517,NA,1,1329,NA,"FedExCupSeasonPoints",2010
85,85,"Blake Adams",22,514,NA,2,1332,NA,"FedExCupSeasonPoints",2010
86,86,"Chad Collins",23,512,NA,3,1334,NA,"FedExCupSeasonPoints",2010
87,87,"Chris Riley",18,512,NA,3,1334,NA,"FedExCupSeasonPoints",2010
88,88,"Josh Teater",25,502,NA,2,1344,NA,"FedExCupSeasonPoints",2010
89,89,"Kevin Sutherland",20,499,NA,1,1347,NA,"FedExCupSeasonPoints",2010
90,90,"Jerry Kelly",23,493,NA,1,1353,NA,"FedExCupSeasonPoints",2010
91,91,"Alex Cejka",23,489,NA,4,1357,NA,"FedExCupSeasonPoints",2010
92,92,"Derek Lamely",24,487,1,1,1359,NA,"FedExCupSeasonPoints",2010
93,93,"Aaron Baddeley",19,481,NA,1,1365,NA,"FedExCupSeasonPoints",2010
