"FedExCupBonusMoney_RANKTHISWEEK_2010","FedExCupBonusMoney_RANKLASTWEEK_2010","FedExCupBonusMoney_PLAYERNAME_2010","FedExCupBonusMoney_EVENTS_2010","FedExCupBonusMoney_MONEY_2010","stat_name","year"
1,1,"Jim Furyk",21,1e+07,"FedExCupBonusMoney",2010
2,2,"Matt Kuchar",25,3e+06,"FedExCupBonusMoney",2010
3,3,"Luke Donald",20,2e+06,"FedExCupBonusMoney",2010
4,4,"Charley Hoffman",23,1500000,"FedExCupBonusMoney",2010
5,5,"Dustin Johnson",23,1e+06,"FedExCupBonusMoney",2010
6,6,"Paul Casey",17,8e+05,"FedExCupBonusMoney",2010
7,7,"Steve Stricker",19,7e+05,"FedExCupBonusMoney",2010
8,8,"Jason Day",24,6e+05,"FedExCupBonusMoney",2010
9,9,"Ernie Els",20,550000,"FedExCupBonusMoney",2010
10,10,"Retief Goosen",19,5e+05,"FedExCupBonusMoney",2010
11,11,"Martin Laird",25,3e+05,"FedExCupBonusMoney",2010
12,12,"Nick Watney",23,290000,"FedExCupBonusMoney",2010
13,13,"Phil Mickelson",20,280000,"FedExCupBonusMoney",2010
14,14,"Geoff Ogilvy",19,270000,"FedExCupBonusMoney",2010
15,15,"KJ Choi",22,247500,"FedExCupBonusMoney",2010
15,15,"Justin Rose",22,247500,"FedExCupBonusMoney",2010
17,17,"Zach Johnson",24,240000,"FedExCupBonusMoney",2010
18,18,"Hunter Mahan",24,235000,"FedExCupBonusMoney",2010
19,19,"Adam Scott",20,230000,"FedExCupBonusMoney",2010
20,20,"Camilo Villegas",20,225000,"FedExCupBonusMoney",2010
21,21,"Ryan Moore",24,220000,"FedExCupBonusMoney",2010
22,22,"Bubba Watson",22,215000,"FedExCupBonusMoney",2010
23,23,"Ryan Palmer",25,210000,"FedExCupBonusMoney",2010
24,24,"Tim Clark",23,205000,"FedExCupBonusMoney",2010
25,25,"Kevin Streelman",27,2e+05,"FedExCupBonusMoney",2010
26,26,"Kevin Na",25,195000,"FedExCupBonusMoney",2010
27,27,"Ben Crane",24,190000,"FedExCupBonusMoney",2010
28,28,"Robert Allenby",21,185000,"FedExCupBonusMoney",2010
29,29,"Jeff Overton",26,180000,"FedExCupBonusMoney",2010
30,30,"Bo Van Pelt",26,175000,"FedExCupBonusMoney",2010
31,31,"Bill Haas",23,165000,"FedExCupBonusMoney",2010
32,32,"Rickie Fowler",25,155000,"FedExCupBonusMoney",2010
33,33,"Charlie Wi",23,150000,"FedExCupBonusMoney",2010
34,34,"JB Holmes",23,145000,"FedExCupBonusMoney",2010
35,35,"Vaughn Taylor",23,142000,"FedExCupBonusMoney",2010
36,36,"Rory McIlroy",16,140000,"FedExCupBonusMoney",2010
37,37,"Brandt Snedeker",26,138000,"FedExCupBonusMoney",2010
38,38,"Stewart Cink",22,137000,"FedExCupBonusMoney",2010
39,39,"Ian Poulter",15,136000,"FedExCupBonusMoney",2010
40,40,"Carl Pettersson",27,135000,"FedExCupBonusMoney",2010
41,41,"Anthony Kim",14,134000,"FedExCupBonusMoney",2010
42,42,"Tiger Woods",12,133000,"FedExCupBonusMoney",2010
43,43,"Tom Gillis",24,132000,"FedExCupBonusMoney",2010
44,44,"Marc Leishman",24,131000,"FedExCupBonusMoney",2010
45,45,"Michael Sim",20,130000,"FedExCupBonusMoney",2010
46,46,"Heath Slocum",22,129000,"FedExCupBonusMoney",2010
47,47,"Sean OHair",23,128000,"FedExCupBonusMoney",2010
48,48,"Rory Sabbatini",23,127000,"FedExCupBonusMoney",2010
49,49,"DJ Trahan",24,126000,"FedExCupBonusMoney",2010
50,50,"John Senden",26,125000,"FedExCupBonusMoney",2010
51,51,"Brendon de Jonge",29,120000,"FedExCupBonusMoney",2010
52,52,"Stuart Appleby",29,115000,"FedExCupBonusMoney",2010
53,53,"Brian Davis",27,114000,"FedExCupBonusMoney",2010
54,54,"Brian Gay",26,113000,"FedExCupBonusMoney",2010
55,55,"David Toms",23,110000,"FedExCupBonusMoney",2010
56,56,"Greg Chalmers",25,110000,"FedExCupBonusMoney",2010
57,57,"Vijay Singh",23,110000,"FedExCupBonusMoney",2010
58,58,"Freddie Jacobson",21,110000,"FedExCupBonusMoney",2010
59,59,"Justin Leonard",24,110000,"FedExCupBonusMoney",2010
60,60,"Bryce Molder",24,110000,"FedExCupBonusMoney",2010
61,61,"Angel Cabrera",19,110000,"FedExCupBonusMoney",2010
62,62,"Jason Bohn",22,110000,"FedExCupBonusMoney",2010
63,63,"Matt Jones",25,110000,"FedExCupBonusMoney",2010
64,64,"Ricky Barnes",26,110000,"FedExCupBonusMoney",2010
65,65,"Jason Dufner",25,110000,"FedExCupBonusMoney",2010
66,66,"Tim Petrovic",27,110000,"FedExCupBonusMoney",2010
67,67,"YE Yang",21,110000,"FedExCupBonusMoney",2010
68,68,"Stephen Ames",21,110000,"FedExCupBonusMoney",2010
69,69,"Andres Romero",19,110000,"FedExCupBonusMoney",2010
70,70,"Scott Verplank",22,110000,"FedExCupBonusMoney",2010
71,71,"Kris Blanks",26,80000,"FedExCupBonusMoney",2010
72,72,"Steve Marino",21,80000,"FedExCupBonusMoney",2010
73,73,"Padraig Harrington",18,80000,"FedExCupBonusMoney",2010
74,74,"Lucas Glover",22,80000,"FedExCupBonusMoney",2010
75,75,"Charles Howell III",24,80000,"FedExCupBonusMoney",2010
76,76,"Josh Teater",27,80000,"FedExCupBonusMoney",2010
77,77,"John Rollins",23,80000,"FedExCupBonusMoney",2010
78,78,"Ryuji Imada",24,80000,"FedExCupBonusMoney",2010
79,79,"Chris Couch",22,80000,"FedExCupBonusMoney",2010
80,80,"Davis Love III",21,80000,"FedExCupBonusMoney",2010
81,81,"Spencer Levin",26,75000,"FedExCupBonusMoney",2010
82,82,"DA Points",25,75000,"FedExCupBonusMoney",2010
83,83,"JP Hayes",21,75000,"FedExCupBonusMoney",2010
84,84,"Jimmy Walker",25,75000,"FedExCupBonusMoney",2010
85,85,"Webb Simpson",26,75000,"FedExCupBonusMoney",2010
86,86,"JJ Henry",27,75000,"FedExCupBonusMoney",2010
87,87,"Paul Goydos",23,75000,"FedExCupBonusMoney",2010
88,88,"Shaun Micheel",17,75000,"FedExCupBonusMoney",2010
89,89,"Chad Campbell",24,75000,"FedExCupBonusMoney",2010
90,90,"Pat Perez",23,75000,"FedExCupBonusMoney",2010
91,91,"Troy Matteson",23,75000,"FedExCupBonusMoney",2010
92,92,"Steve Elkington",21,75000,"FedExCupBonusMoney",2010
93,93,"Kenny Perry",20,75000,"FedExCupBonusMoney",2010
94,94,"Aaron Baddeley",21,75000,"FedExCupBonusMoney",2010
95,95,"Blake Adams",24,75000,"FedExCupBonusMoney",2010
96,96,"Chad Collins",25,75000,"FedExCupBonusMoney",2010
97,97,"Alex Prugh",26,75000,"FedExCupBonusMoney",2010
98,98,"Boo Weekley",25,75000,"FedExCupBonusMoney",2010
99,99,"Garrett Willis",21,75000,"FedExCupBonusMoney",2010
100,100,"Chris Riley",20,75000,"FedExCupBonusMoney",2010
101,101,"Kevin Sutherland",21,70000,"FedExCupBonusMoney",2010
102,102,"Jerry Kelly",24,70000,"FedExCupBonusMoney",2010
103,103,"Alex Cejka",24,70000,"FedExCupBonusMoney",2010
104,104,"Derek Lamely",25,70000,"FedExCupBonusMoney",2010
105,105,"Jonathan Byrd",22,70000,"FedExCupBonusMoney",2010
106,106,"Matt Bettencourt",28,70000,"FedExCupBonusMoney",2010
107,107,"Robert Garrigus",17,70000,"FedExCupBonusMoney",2010
108,108,"Jeff Maggert",23,70000,"FedExCupBonusMoney",2010
109,109,"Sergio Garcia",15,70000,"FedExCupBonusMoney",2010
110,110,"John Merrick",26,70000,"FedExCupBonusMoney",2010
111,111,"Briny Baird",23,70000,"FedExCupBonusMoney",2010
112,112,"Joe Ogilvie",27,70000,"FedExCupBonusMoney",2010
113,113,"Bill Lunde",25,70000,"FedExCupBonusMoney",2010
114,114,"Dean Wilson",13,70000,"FedExCupBonusMoney",2010
115,115,"Corey Pavin",8,70000,"FedExCupBonusMoney",2010
116,116,"Bob Estes",21,70000,"FedExCupBonusMoney",2010
117,117,"David Duval",20,70000,"FedExCupBonusMoney",2010
118,118,"Cameron Beckman",21,70000,"FedExCupBonusMoney",2010
119,119,"Ben Curtis",20,70000,"FedExCupBonusMoney",2010
120,120,"Michael Letzig",22,70000,"FedExCupBonusMoney",2010
121,121,"Nathan Green",23,70000,"FedExCupBonusMoney",2010
122,122,"Kevin Stadler",24,70000,"FedExCupBonusMoney",2010
123,123,"Woody Austin",24,70000,"FedExCupBonusMoney",2010
124,124,"Graham DeLaet",24,70000,"FedExCupBonusMoney",2010
125,125,"Scott Piercy",23,70000,"FedExCupBonusMoney",2010
126,126,"Jeff Quinney",24,32000,"FedExCupBonusMoney",2010
127,127,"Chris Stroud",22,32000,"FedExCupBonusMoney",2010
128,128,"Mike Weir",19,32000,"FedExCupBonusMoney",2010
129,129,"Aron Price",17,32000,"FedExCupBonusMoney",2010
130,130,"Scott McCarron",24,32000,"FedExCupBonusMoney",2010
131,131,"Mark Wilson",23,32000,"FedExCupBonusMoney",2010
132,132,"John Mallinger",24,32000,"FedExCupBonusMoney",2010
133,133,"James Driscoll",21,32000,"FedExCupBonusMoney",2010
134,134,"James Nitties",25,32000,"FedExCupBonusMoney",2010
135,135,"George McNeill",23,32000,"FedExCupBonusMoney",2010
136,136,"Brett Quigley",24,32000,"FedExCupBonusMoney",2010
137,137,"Tom Pernice Jr",18,32000,"FedExCupBonusMoney",2010
138,138,"Troy Merritt",24,32000,"FedExCupBonusMoney",2010
139,139,"Richard Johnson",22,32000,"FedExCupBonusMoney",2010
140,140,"Matt Every",17,32000,"FedExCupBonusMoney",2010
141,141,"Henrik Stenson",12,32000,"FedExCupBonusMoney",2010
142,142,"Joe Durant",15,32000,"FedExCupBonusMoney",2010
143,143,"Billy Mayfair",22,32000,"FedExCupBonusMoney",2010
144,144,"Michael Connell",20,32000,"FedExCupBonusMoney",2010
145,145,"Michael Bradley",20,32000,"FedExCupBonusMoney",2010
146,146,"Paul Stankowski",13,32000,"FedExCupBonusMoney",2010
147,147,"Chris DiMarco",20,32000,"FedExCupBonusMoney",2010
148,148,"Nicholas Thompson",25,32000,"FedExCupBonusMoney",2010
149,149,"Jay Williamson",19,32000,"FedExCupBonusMoney",2010
150,150,"Lee Janzen",21,32000,"FedExCupBonusMoney",2010
