"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2012","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2012","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2012","FedExCupSeasonPointsforNonMembers_EVENTS_2012","FedExCupSeasonPointsforNonMembers_POINTS_2012","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2012","stat_name","year"
1,1,"Peter Hanson",11,602,236,"FedExCupSeasonPointsforNonMembers",2012
2,2,"Ryo Ishikawa",18,431,66,"FedExCupSeasonPointsforNonMembers",2012
3,3,"Nicolas Colsaerts",8,345,79,"FedExCupSeasonPointsforNonMembers",2012
4,4,"David Lynn",1,330,NA,"FedExCupSeasonPointsforNonMembers",2012
5,5,"Martin Kaymer",8,293,157,"FedExCupSeasonPointsforNonMembers",2012
6,6,"Francesco Molinari",8,270,137,"FedExCupSeasonPointsforNonMembers",2012
7,7,"Miguel Angel Jimenez",6,218,92,"FedExCupSeasonPointsforNonMembers",2012
8,8,"Paul Lawrie",6,198,96,"FedExCupSeasonPointsforNonMembers",2012
9,9,"Thomas Bjorn",9,184,98,"FedExCupSeasonPointsforNonMembers",2012
10,10,"Luke Guthrie",3,181,NA,"FedExCupSeasonPointsforNonMembers",2012
11,11,"Patrick Reed",9,154,NA,"FedExCupSeasonPointsforNonMembers",2012
12,12,"Jamie Donaldson",4,153,34,"FedExCupSeasonPointsforNonMembers",2012
13,13,"John Peterson",8,142,NA,"FedExCupSeasonPointsforNonMembers",2012
14,14,"Simon Dyson",8,141,78,"FedExCupSeasonPointsforNonMembers",2012
15,15,"Thomas Aiken",4,138,NA,"FedExCupSeasonPointsforNonMembers",2012
16,16,"Anders Hansen",7,132,86,"FedExCupSeasonPointsforNonMembers",2012
17,17,"KT Kim",11,126,87,"FedExCupSeasonPointsforNonMembers",2012
18,18,"Branden Grace",6,125,66,"FedExCupSeasonPointsforNonMembers",2012
19,19,"Thorbjorn Olesen",2,110,NA,"FedExCupSeasonPointsforNonMembers",2012
20,20,"Patrick Cantlay",9,93,NA,"FedExCupSeasonPointsforNonMembers",2012
21,21,"Robert Rock",6,93,93,"FedExCupSeasonPointsforNonMembers",2012
22,22,"Alvaro Quiros",8,93,64,"FedExCupSeasonPointsforNonMembers",2012
23,23,"Gonzalo Fdez Castano",7,84,52,"FedExCupSeasonPointsforNonMembers",2012
24,24,"Lee Slattery",3,77,72,"FedExCupSeasonPointsforNonMembers",2012
25,25,"Scott Langley",4,77,NA,"FedExCupSeasonPointsforNonMembers",2012
25,25,"Joost Luiten",3,77,7,"FedExCupSeasonPointsforNonMembers",2012
27,27,"Alexander Noren",4,75,2,"FedExCupSeasonPointsforNonMembers",2012
28,28,"Casey Wittenberg",1,73,NA,"FedExCupSeasonPointsforNonMembers",2012
29,29,"Matteo Manassero",3,70,47,"FedExCupSeasonPointsforNonMembers",2012
30,30,"Rafa Cabrera Bello",6,68,68,"FedExCupSeasonPointsforNonMembers",2012
31,31,"Darren Clarke",7,65,50,"FedExCupSeasonPointsforNonMembers",2012
32,32,"Hunter Hamrick",3,58,NA,"FedExCupSeasonPointsforNonMembers",2012
33,33,"Aaron Watkins",2,56,NA,"FedExCupSeasonPointsforNonMembers",2012
34,34,"Jim Herman",2,56,NA,"FedExCupSeasonPointsforNonMembers",2012
35,35,"Matthew Baldwin",2,54,NA,"FedExCupSeasonPointsforNonMembers",2012
36,36,"Steven Alker",1,51,NA,"FedExCupSeasonPointsforNonMembers",2012
37,37,"Tadd Fujikawa",1,51,NA,"FedExCupSeasonPointsforNonMembers",2012
38,38,"Andres Gonzales",1,50,NA,"FedExCupSeasonPointsforNonMembers",2012
39,39,"Marcus Fraser",3,50,45,"FedExCupSeasonPointsforNonMembers",2012
40,40,"Alejandro Canizares",3,48,NA,"FedExCupSeasonPointsforNonMembers",2012
41,41,"Raphael Jacquelin",2,48,NA,"FedExCupSeasonPointsforNonMembers",2012
42,42,"Ross Fisher",2,45,NA,"FedExCupSeasonPointsforNonMembers",2012
43,43,"James Morrison",1,45,NA,"FedExCupSeasonPointsforNonMembers",2012
