"ClubHeadSpeed_RANKTHISWEEK_2008","ClubHeadSpeed_RANKLASTWEEK_2008","ClubHeadSpeed_PLAYERNAME_2008","ClubHeadSpeed_ROUNDS_2008","ClubHeadSpeed_AVG_2008","ClubHeadSpeed_TOTALCLUBHEADSPEED_2008","ClubHeadSpeed_TOTALATTEMPTS_2008","ClubHeadSpeed_FASTESTSPEED_2008","ClubHeadSpeed_SLOWESTSPEED_2008","stat_name","year"
1,1,"JB Holmes",86,125.16,5507.02,44,130.13,115.71,"ClubHeadSpeed",2008
2,2,"Bubba Watson",97,123.89,8300.78,67,126.99,118.9,"ClubHeadSpeed",2008
3,3,"Dustin Johnson",92,122.8,8350.56,68,125.89,118.48,"ClubHeadSpeed",2008
4,4,"Robert Garrigus",90,121.32,7764.78,64,124.93,118.16,"ClubHeadSpeed",2008
5,5,"Travis Perkins",53,121.02,3025.5,25,123.03,118.11,"ClubHeadSpeed",2008
6,6,"Tag Ridings",88,120.96,8467.46,70,126.08,116.12,"ClubHeadSpeed",2008
7,7,"Nick Watney",96,120.89,8824.72,73,126.77,117.24,"ClubHeadSpeed",2008
8,8,"Angel Cabrera",55,120.78,4468.79,37,124.51,112.47,"ClubHeadSpeed",2008
9,9,"Jason Allred",63,120.53,5424.04,45,124.05,115.28,"ClubHeadSpeed",2008
10,10,"Sergio Garcia",72,120.22,5890.96,49,124.55,117.03,"ClubHeadSpeed",2008
11,11,"James Driscoll",85,119.8,7667.25,64,124.39,116.25,"ClubHeadSpeed",2008
12,12,"Paul Casey",55,119.25,3696.69,31,123.58,109.75,"ClubHeadSpeed",2008
13,13,"Bill Haas",99,118.81,10336.31,87,122.46,110.65,"ClubHeadSpeed",2008
14,14,"Charles Howell III",101,118.66,9848.73,83,122.42,115.81,"ClubHeadSpeed",2008
15,15,"Brandt Jobe",52,118.47,4738.61,40,122.29,109.48,"ClubHeadSpeed",2008
16,16,"Adam Scott",51,118.4,4025.76,34,121.47,115.79,"ClubHeadSpeed",2008
17,17,"Charley Hoffman",94,118.36,10297.71,87,121.9,111.79,"ClubHeadSpeed",2008
17,17,"John Senden",93,118.36,8403.29,71,123.93,113.58,"ClubHeadSpeed",2008
19,19,"Carlos Franco",73,118.19,5436.88,46,124.63,109.52,"ClubHeadSpeed",2008
20,20,"Daniel Chopra",84,117.98,7786.91,66,120.85,114.58,"ClubHeadSpeed",2008
21,21,"George McNeill",97,117.89,10138.83,86,123.2,110.73,"ClubHeadSpeed",2008
22,22,"Fred Couples",60,117.83,4006.12,34,120.54,111.26,"ClubHeadSpeed",2008
23,23,"Anthony Kim",81,117.79,7656.48,65,120.96,114.45,"ClubHeadSpeed",2008
23,23,"Davis Love III",78,117.79,6360.84,54,122.87,112.12,"ClubHeadSpeed",2008
23,23,"Kevin Streelman",114,117.79,10365.79,88,121.81,113.14,"ClubHeadSpeed",2008
26,26,"Charles Warren",79,117.65,7765.2,66,120.96,111.89,"ClubHeadSpeed",2008
27,27,"Troy Matteson",94,117.56,10110.52,86,120.93,113.97,"ClubHeadSpeed",2008
28,28,"Lucas Glover",91,117.5,9399.97,80,121.37,112.44,"ClubHeadSpeed",2008
29,29,"Pat Perez",93,117.41,8453.43,72,121.89,113.67,"ClubHeadSpeed",2008
30,30,"Martin Laird",98,117.39,8804.14,75,122.26,110.06,"ClubHeadSpeed",2008
31,31,"Phil Mickelson",80,117.32,6218.13,53,120.93,112.04,"ClubHeadSpeed",2008
32,32,"David Duval",51,117.21,3633.47,31,120.26,108.34,"ClubHeadSpeed",2008
33,33,"Jason Gore",94,117.15,6912.14,59,122.09,111.31,"ClubHeadSpeed",2008
34,34,"Harrison Frazar",73,116.98,6083.05,52,119.67,113.91,"ClubHeadSpeed",2008
35,35,"Richard Johnson",77,116.52,7108.01,61,121.21,113.13,"ClubHeadSpeed",2008
36,36,"Aaron Baddeley",76,116.37,6516.48,56,119.34,111.32,"ClubHeadSpeed",2008
37,37,"Andres Romero",69,116.32,5234.52,45,122.73,110.54,"ClubHeadSpeed",2008
38,38,"Steve Allan",58,116.31,5001.16,43,118.85,113.59,"ClubHeadSpeed",2008
39,39,"Matt Jones",95,116.22,8600.53,74,119.87,108.37,"ClubHeadSpeed",2008
40,40,"Stewart Cink",87,116.16,6621.29,57,119.97,108.3,"ClubHeadSpeed",2008
41,41,"Tommy Gainey",60,116.07,4642.69,40,121.81,111.94,"ClubHeadSpeed",2008
42,42,"Vijay Singh",82,115.97,7189.97,62,119.39,112.61,"ClubHeadSpeed",2008
43,43,"Jeff Overton",103,115.93,8810.97,76,121.4,108.25,"ClubHeadSpeed",2008
44,44,"Jason Day",81,115.92,8578.44,74,119.3,112.74,"ClubHeadSpeed",2008
45,45,"Padraig Harrington",52,115.75,3009.62,26,119.5,106.28,"ClubHeadSpeed",2008
46,46,"Jimmy Walker",73,115.67,5667.89,49,119.5,110.16,"ClubHeadSpeed",2008
47,47,"Boo Weekley",86,115.5,7969.36,69,118.71,112.02,"ClubHeadSpeed",2008
48,48,"Sean OHair",81,115.47,7390.03,64,118.34,112.21,"ClubHeadSpeed",2008
49,49,"Trevor Immelman",70,115.1,5754.76,50,118.91,110.54,"ClubHeadSpeed",2008
50,50,"JJ Henry",108,114.86,10796.48,94,121.07,108.69,"ClubHeadSpeed",2008
51,51,"Retief Goosen",59,114.8,4247.71,37,118.35,110.16,"ClubHeadSpeed",2008
52,52,"Rory Sabbatini",77,114.74,7687.57,67,118.16,110.78,"ClubHeadSpeed",2008
53,53,"Jon Mills",95,114.62,6418.66,56,117.28,109.44,"ClubHeadSpeed",2008
54,54,"Brad Adamonis",87,114.59,8135.87,71,119.21,110.5,"ClubHeadSpeed",2008
55,55,"John Merrick",98,114.55,8018.55,70,117.75,110.13,"ClubHeadSpeed",2008
56,56,"Camilo Villegas",79,114.54,6757.77,59,117.83,110.03,"ClubHeadSpeed",2008
57,57,"Geoff Ogilvy",65,114.53,5382.8,47,118.11,109.49,"ClubHeadSpeed",2008
58,58,"Ernie Els",51,114.5,4350.86,38,116.64,112.07,"ClubHeadSpeed",2008
59,59,"Jonathan Byrd",88,114.43,8925.36,78,116.91,111.45,"ClubHeadSpeed",2008
60,60,"Robert Allenby",108,114.4,9266.32,81,117.45,107.38,"ClubHeadSpeed",2008
61,61,"Woody Austin",109,114.39,10523.98,92,118.1,110.99,"ClubHeadSpeed",2008
