"BallSpeed_RANKTHISWEEK_2009","BallSpeed_RANKLASTWEEK_2009","BallSpeed_PLAYERNAME_2009","BallSpeed_ROUNDS_2009","BallSpeed_AVG_2009","BallSpeed_TOTALBALLSPEED_2009","BallSpeed_TOTALATTEMPTS_2009","BallSpeed_FASTESTSPEED_2009","BallSpeed_SLOWESTSPEED_2009","stat_name","year"
1,1,"Bubba Watson",73,183.73,9186.55,50,189.09,175.12,"BallSpeed",2009
2,2,"JB Holmes",74,182.15,9836.23,54,188.23,172.48,"BallSpeed",2009
3,3,"Gary Woodland",53,181.68,5813.82,32,187.66,157.85,"BallSpeed",2009
4,4,"Dustin Johnson",85,179.59,11673.33,65,185,170.31,"BallSpeed",2009
5,5,"Robert Garrigus",83,178.46,10707.72,60,184.84,168.75,"BallSpeed",2009
6,6,"Phil Mickelson",66,177.93,8006.99,45,183,165.9,"BallSpeed",2009
7,7,"Tiger Woods",64,177.92,7116.8,40,183.11,168.4,"BallSpeed",2009
8,8,"Tag Ridings",50,177.8,7289.9,41,183.58,165.58,"BallSpeed",2009
9,9,"Nick Watney",86,177.15,12932.18,73,183.87,170.09,"BallSpeed",2009
10,10,"Angel Cabrera",55,176.96,6724.65,38,181.39,168.98,"BallSpeed",2009
11,11,"Adam Scott",53,175.85,7737.23,44,181.86,144.11,"BallSpeed",2009
12,12,"Charley Hoffman",97,175.54,14394.43,82,181.11,165.56,"BallSpeed",2009
13,13,"Andres Romero",58,174.88,9093.81,52,179.57,170.77,"BallSpeed",2009
14,14,"Sergio Garcia",59,174.63,7858.51,45,178.75,168.2,"BallSpeed",2009
15,15,"Bill Haas",91,174.25,14114.27,81,181.29,166.03,"BallSpeed",2009
16,16,"Martin Laird",72,173.99,9395.32,54,182.21,166.97,"BallSpeed",2009
17,17,"Davis Love III",89,173.34,11960.17,69,179.76,142.11,"BallSpeed",2009
18,18,"Troy Matteson",95,173,14704.98,85,179.22,164.99,"BallSpeed",2009
19,19,"Leif Olson",51,172.82,6567.33,38,178.74,158.48,"BallSpeed",2009
20,20,"Jimmy Walker",74,172.54,8626.98,50,176.75,165.43,"BallSpeed",2009
21,21,"George McNeill",82,172.44,13105.77,76,177.33,165.07,"BallSpeed",2009
22,22,"John Senden",100,172.36,13961.07,81,177.99,164.95,"BallSpeed",2009
23,23,"Marc Leishman",91,172.21,13088,76,176.4,164.6,"BallSpeed",2009
24,24,"Lucas Glover",93,172.17,12396.22,72,177.73,165.9,"BallSpeed",2009
24,24,"Charles Howell III",99,172.17,14806.37,86,176.06,164.14,"BallSpeed",2009
26,26,"JJ Henry",97,171.83,14261.57,83,178.32,157.3,"BallSpeed",2009
27,27,"Retief Goosen",74,171.71,9615.88,56,177.39,160.47,"BallSpeed",2009
28,28,"Ricky Barnes",67,171.49,8746.17,51,177.62,158.95,"BallSpeed",2009
28,28,"Daniel Chopra",89,171.49,15433.85,90,177.58,143.04,"BallSpeed",2009
30,30,"Anthony Kim",76,171.42,10799.63,63,182.69,161.93,"BallSpeed",2009
31,31,"Fred Couples",54,171.3,7365.92,43,175.13,167.46,"BallSpeed",2009
32,32,"Sean OHair",80,170.91,10083.79,59,175.51,166.27,"BallSpeed",2009
33,33,"Jason Day",61,170.85,8200.61,48,176.47,162.33,"BallSpeed",2009
34,34,"Harrison Frazar",93,170.84,13325.9,78,174.56,166.27,"BallSpeed",2009
35,35,"James Nitties",86,170.74,10073.73,59,177.35,159.05,"BallSpeed",2009
36,36,"Kevin Streelman",97,170.67,14677.38,86,174.52,163.01,"BallSpeed",2009
37,37,"Jonathan Byrd",89,170.64,10579.72,62,175.94,165.47,"BallSpeed",2009
38,38,"Stewart Cink",79,170.6,11259.82,66,175.01,149.43,"BallSpeed",2009
39,39,"Scott Piercy",85,170.49,10570.43,62,175.78,164.11,"BallSpeed",2009
40,40,"Matt Jones",56,170.29,6641.22,39,174.6,163.87,"BallSpeed",2009
41,41,"Greg Owen",97,170.26,14471.72,85,177.37,162.75,"BallSpeed",2009
42,42,"Aaron Baddeley",66,170.19,8679.64,51,177.26,161.46,"BallSpeed",2009
43,43,"David Duval",56,170.09,6123.32,36,174.55,157.82,"BallSpeed",2009
44,44,"Boo Weekley",79,169.79,12734.55,75,173.6,164.46,"BallSpeed",2009
45,45,"Jeff Overton",92,169.68,13234.73,78,175.41,162.56,"BallSpeed",2009
46,46,"Ryan Moore",89,169.45,12031.06,71,175.69,160.75,"BallSpeed",2009
47,47,"Bo Van Pelt",100,169.24,12693.3,75,174.63,163.74,"BallSpeed",2009
48,48,"DJ Trahan",96,169.16,13025.09,77,173.94,150.96,"BallSpeed",2009
49,49,"John Merrick",91,169.09,12005.12,71,173.96,161.45,"BallSpeed",2009
50,50,"Charles Warren",63,168.9,7938.22,47,174.15,159.99,"BallSpeed",2009
51,51,"Rory Sabbatini",81,168.57,11631.52,69,174.55,162.69,"BallSpeed",2009
52,52,"Michael Allen",73,168.54,8764.19,52,174.14,164.29,"BallSpeed",2009
52,52,"Camilo Villegas",76,168.54,9943.65,59,173.82,160.46,"BallSpeed",2009
54,54,"Robert Allenby",71,168.48,9266.58,55,174.55,163.17,"BallSpeed",2009
55,55,"Mathew Goggin",76,168.43,9769.01,58,175.18,161.65,"BallSpeed",2009
56,56,"Ernie Els",70,168.34,8921.81,53,173.23,147.98,"BallSpeed",2009
56,56,"Geoff Ogilvy",78,168.34,11615.59,69,174.87,142.36,"BallSpeed",2009
58,58,"YE Yang",83,168.27,11779.13,70,173.25,162.58,"BallSpeed",2009
59,59,"Peter Tomasulo",61,168.16,7230.84,43,172.7,158.08,"BallSpeed",2009
60,60,"John Rollins",92,168.03,13274.72,79,172.22,162.2,"BallSpeed",2009
61,61,"Matt Bettencourt",98,167.94,13939.39,83,177.83,159.93,"BallSpeed",2009
62,62,"Ryan Palmer",78,167.93,11419.22,68,173.62,155.24,"BallSpeed",2009
63,63,"Stuart Appleby",79,167.91,11250.25,67,174.05,161.59,"BallSpeed",2009
64,64,"Vijay Singh",71,167.57,10221.99,61,172.34,161.54,"BallSpeed",2009
65,65,"Hunter Mahan",94,167.56,11561.68,69,170.93,161.86,"BallSpeed",2009
66,66,"Stephen Ames",77,167.52,10386.24,62,173.3,159.57,"BallSpeed",2009
66,66,"Padraig Harrington",66,167.52,7873.38,47,175.76,149.39,"BallSpeed",2009
68,68,"Brad Adamonis",70,167.3,9870.5,59,172.95,155.62,"BallSpeed",2009
69,69,"Michael Letzig",96,167.26,15220.75,91,173.47,158.96,"BallSpeed",2009
70,70,"Chris Stroud",88,167.14,10028.52,60,175.28,152.72,"BallSpeed",2009
71,71,"Will Ma Kenzie",69,167.09,10192.73,61,173.05,147.41,"BallSpeed",2009
72,72,"Ted Purdy",101,167,13694.22,82,173.9,156.72,"BallSpeed",2009
73,73,"Brett Quigley",92,166.99,12357.38,74,171.53,160.25,"BallSpeed",2009
74,74,"Steve Marino",98,166.91,14687.84,88,174.97,157.94,"BallSpeed",2009
75,75,"Nicholas Thompson",96,166.87,13349.82,80,175.63,160.45,"BallSpeed",2009
76,76,"Pat Perez",74,166.85,10845.16,65,171.19,157.45,"BallSpeed",2009
77,77,"Derek Fathauer",63,166.82,7840.66,47,175.27,161.61,"BallSpeed",2009
78,78,"Chad Campbell",90,166.7,12002.2,72,173.72,161.17,"BallSpeed",2009
79,79,"Brian Vranesh",51,166.66,5999.58,36,173.7,158.09,"BallSpeed",2009
80,80,"Brendon de Jonge",90,166.64,11664.68,70,171.14,161.89,"BallSpeed",2009
81,81,"Jason Dufner",90,166.39,13144.92,79,171.91,158.25,"BallSpeed",2009
82,82,"Tim Herron",87,166.2,13960.57,84,170.67,159.39,"BallSpeed",2009
83,83,"Kris Blanks",60,166.05,7638.17,46,171.06,158.76,"BallSpeed",2009
84,84,"Steve Lowery",83,166.04,12950.96,78,172.89,150.1,"BallSpeed",2009
85,85,"Kevin Stadler",65,165.91,7797.61,47,171.26,160.65,"BallSpeed",2009
86,86,"Rod Pampling",72,165.9,10285.77,62,170.64,161.15,"BallSpeed",2009
87,87,"Kevin Sutherland",96,165.89,10782.79,65,175.15,159.3,"BallSpeed",2009
