"SmashFactor_RANKTHISWEEK_2012","SmashFactor_RANKLASTWEEK_2012","SmashFactor_PLAYERNAME_2012","SmashFactor_ROUNDS_2012","SmashFactor_AVG_2012","SmashFactor_TOTALSMASHFACTOR_2012","SmashFactor_TOTALATTEMPTS_2012","SmashFactor_HIGHESTVALUE_2012","SmashFactor_LOWESTVALUE_2012","stat_name","year"
1,1,"Robert Karlsson",54,1.486,57.952,39,1.527,1.48,"SmashFactor",2012
1,1,"David Toms",60,1.486,60.928,41,1.514,1.482,"SmashFactor",2012
3,3,"Aaron Baddeley",73,1.485,71.26,48,1.489,1.477,"SmashFactor",2012
3,3,"Matt Bettencourt",80,1.485,66.831,45,1.493,1.483,"SmashFactor",2012
3,3,"Michael Bradley",63,1.485,51.978,35,1.502,1.475,"SmashFactor",2012
3,3,"Ernie Els",80,1.485,90.575,61,1.485,1.475,"SmashFactor",2012
3,3,"Robert Garrigus",89,1.485,97.977,66,1.485,1.463,"SmashFactor",2012
3,3,"Dustin Johnson",70,1.485,65.327,44,1.5,1.463,"SmashFactor",2012
3,3,"Martin Laird",77,1.485,69.793,47,1.485,1.483,"SmashFactor",2012
3,3,"Spencer Levin",81,1.485,92.041,62,1.518,1.469,"SmashFactor",2012
3,3,"Davis Love III",64,1.485,60.883,41,1.485,1.483,"SmashFactor",2012
3,3,"Rocco Mediate",70,1.485,83.161,56,1.502,1.477,"SmashFactor",2012
3,3,"Ryan Palmer",81,1.485,100.975,68,1.493,1.477,"SmashFactor",2012
3,3,"Carl Pettersson",92,1.485,112.834,76,1.485,1.461,"SmashFactor",2012
3,3,"Alexandre Rocha",62,1.485,71.282,48,1.5,1.476,"SmashFactor",2012
3,3,"Rory Sabbatini",84,1.485,105.411,71,1.487,1.473,"SmashFactor",2012
3,3,"Vaughn Taylor",81,1.485,83.16,56,1.485,1.485,"SmashFactor",2012
3,3,"Kyle Thompson",51,1.485,50.483,34,1.5,1.471,"SmashFactor",2012
3,3,"Bo Van Pelt",84,1.485,93.529,63,1.485,1.479,"SmashFactor",2012
3,3,"Camilo Villegas",79,1.485,106.905,72,1.485,1.477,"SmashFactor",2012
3,3,"Boo Weekley",74,1.485,81.649,55,1.485,1.461,"SmashFactor",2012
22,22,"Arjun Atwal",79,1.484,92.033,62,1.499,1.449,"SmashFactor",2012
22,22,"Gary Christian",91,1.484,94.979,64,1.485,1.465,"SmashFactor",2012
22,22,"Tim Clark",60,1.484,81.62,55,1.485,1.459,"SmashFactor",2012
22,22,"Erik Compton",81,1.484,83.117,56,1.506,1.462,"SmashFactor",2012
22,22,"John Daly",50,1.484,44.519,30,1.485,1.457,"SmashFactor",2012
22,22,"Jason Day",57,1.484,62.322,42,1.485,1.467,"SmashFactor",2012
22,22,"Harrison Frazar",56,1.484,63.83,43,1.49,1.457,"SmashFactor",2012
22,22,"Tommy Gainey",98,1.484,129.089,87,1.49,1.471,"SmashFactor",2012
22,22,"Stephen Gangluff",57,1.484,62.322,42,1.485,1.458,"SmashFactor",2012
22,22,"Mathew Goggin",65,1.484,80.13,54,1.49,1.457,"SmashFactor",2012
22,22,"Brian Harman",101,1.484,133.577,90,1.493,1.444,"SmashFactor",2012
22,22,"Padraig Harrington",67,1.484,56.388,38,1.485,1.455,"SmashFactor",2012
22,22,"John Huh",99,1.484,123.154,83,1.504,1.459,"SmashFactor",2012
22,22,"Brandt Jobe",57,1.484,53.418,36,1.485,1.467,"SmashFactor",2012
22,22,"Jason Kokrak",79,1.484,91.982,62,1.485,1.46,"SmashFactor",2012
22,22,"Matt Kuchar",86,1.484,100.934,68,1.485,1.471,"SmashFactor",2012
22,22,"Richard Lee",71,1.484,69.76,47,1.485,1.474,"SmashFactor",2012
22,22,"Justin Leonard",79,1.484,83.09,56,1.485,1.457,"SmashFactor",2012
22,22,"Bill Lunde",83,1.484,94.969,64,1.485,1.453,"SmashFactor",2012
22,22,"Jeff Maggert",83,1.484,112.819,76,1.491,1.467,"SmashFactor",2012
22,22,"John Mallinger",74,1.484,89.042,60,1.485,1.463,"SmashFactor",2012
22,22,"Billy Mayfair",90,1.484,108.31,73,1.5,1.439,"SmashFactor",2012
22,22,"John Merrick",83,1.484,92.015,62,1.485,1.471,"SmashFactor",2012
22,22,"Nick OHern",78,1.484,96.432,65,1.493,1.457,"SmashFactor",2012
22,22,"Louis Oosthuizen",65,1.484,74.19,50,1.485,1.465,"SmashFactor",2012
22,22,"DA Points",88,1.484,109.811,74,1.497,1.454,"SmashFactor",2012
22,22,"Ian Poulter",57,1.484,62.345,42,1.485,1.461,"SmashFactor",2012
22,22,"Chez Reavie",83,1.484,90.545,61,1.49,1.461,"SmashFactor",2012
22,22,"Andres Romero",68,1.484,78.63,53,1.485,1.458,"SmashFactor",2012
22,22,"Patrick Sheehan",58,1.484,60.839,41,1.485,1.447,"SmashFactor",2012
22,22,"Josh Teater",97,1.484,118.699,80,1.505,1.466,"SmashFactor",2012
22,22,"Johnson Wagner",88,1.484,108.324,73,1.491,1.463,"SmashFactor",2012
22,22,"Steve Wheatcroft",56,1.484,56.396,38,1.495,1.463,"SmashFactor",2012
55,55,"Robert Allenby",76,1.483,90.488,61,1.485,1.451,"SmashFactor",2012
55,55,"Jason Bohn",81,1.483,91.935,62,1.485,1.453,"SmashFactor",2012
55,55,"Miguel Angel Carballo",73,1.483,71.175,48,1.5,1.431,"SmashFactor",2012
55,55,"Ben Crane",73,1.483,96.423,65,1.493,1.445,"SmashFactor",2012
55,55,"Brian Davis",91,1.483,120.135,81,1.485,1.449,"SmashFactor",2012
55,55,"Jason Dufner",83,1.483,93.46,63,1.516,1.435,"SmashFactor",2012
55,55,"Harris English",98,1.483,118.642,80,1.485,1.463,"SmashFactor",2012
55,55,"Bob Estes",78,1.483,84.54,57,1.485,1.466,"SmashFactor",2012
55,55,"Brian Gay",91,1.483,108.281,73,1.485,1.449,"SmashFactor",2012
55,55,"Tim Herron",88,1.483,108.256,73,1.485,1.465,"SmashFactor",2012
55,55,"JB Holmes",90,1.483,109.773,74,1.485,1.451,"SmashFactor",2012
55,55,"Russell Knox",72,1.483,78.611,53,1.504,1.463,"SmashFactor",2012
55,55,"Derek Lamely",64,1.483,75.631,51,1.485,1.451,"SmashFactor",2012
55,55,"William McGirt",96,1.483,121.618,82,1.493,1.425,"SmashFactor",2012
55,55,"Phil Mickelson",79,1.483,81.538,55,1.485,1.451,"SmashFactor",2012
55,55,"Sean OHair",84,1.483,102.36,69,1.491,1.46,"SmashFactor",2012
55,55,"Scott Piercy",95,1.483,103.828,70,1.485,1.436,"SmashFactor",2012
55,55,"Dicky Pride",62,1.483,74.165,50,1.485,1.443,"SmashFactor",2012
55,55,"Kyle Reifers",86,1.483,97.853,66,1.485,1.413,"SmashFactor",2012
55,55,"Heath Slocum",93,1.483,105.283,71,1.485,1.449,"SmashFactor",2012
55,55,"Chris Stroud",86,1.483,100.814,68,1.485,1.435,"SmashFactor",2012
55,55,"Michael Thompson",80,1.483,90.449,61,1.485,1.462,"SmashFactor",2012
55,55,"Bubba Watson",68,1.483,78.623,53,1.504,1.457,"SmashFactor",2012
78,78,"Mark Anderson",75,1.482,71.15,48,1.485,1.46,"SmashFactor",2012
78,78,"Tommy Biershenk",74,1.482,80.036,54,1.497,1.453,"SmashFactor",2012
78,78,"Jonathan Byrd",69,1.482,71.145,48,1.485,1.455,"SmashFactor",2012
78,78,"Will Claxton",99,1.482,124.492,84,1.491,1.362,"SmashFactor",2012
78,78,"Marco Dawson",60,1.482,60.772,41,1.485,1.44,"SmashFactor",2012
78,78,"Rickie Fowler",84,1.482,85.945,58,1.485,1.456,"SmashFactor",2012
78,78,"Bill Haas",79,1.482,90.407,61,1.485,1.449,"SmashFactor",2012
78,78,"David Hearn",95,1.482,118.592,80,1.485,1.459,"SmashFactor",2012
78,78,"Sung Kang",75,1.482,81.517,55,1.485,1.405,"SmashFactor",2012
78,78,"Troy Kelly",68,1.482,65.202,44,1.485,1.457,"SmashFactor",2012
78,78,"Chris Kirk",93,1.482,121.526,82,1.493,1.407,"SmashFactor",2012
