"LaunchAngle_RANKTHISWEEK_2014","LaunchAngle_RANKLASTWEEK_2014","LaunchAngle_PLAYERNAME_2014","LaunchAngle_ROUNDS_2014","LaunchAngle_AVG_2014","LaunchAngle_TOTALVERTLAUNCHANGLE_2014","LaunchAngle_TOTALATTEMPTS_2014","LaunchAngle_LOWESTLAUNCHANGLE_2014","LaunchAngle_STEEPESTLAUNCHANGLE_2014","stat_name","year"
1,1,"Jeff Maggert",54,14.12,621.22,44,11.28,19.43,"LaunchAngle",2014
2,2,"Mark Wilson",69,13.94,864.31,62,9.41,16.94,"LaunchAngle",2014
3,3,"David Hearn",97,13.51,1242.88,92,9.73,16.67,"LaunchAngle",2014
4,4,"Bud Cauley",56,13.41,657.27,49,10.07,17.33,"LaunchAngle",2014
5,5,"David Toms",64,13.37,762.03,57,9.67,16.79,"LaunchAngle",2014
6,6,"Nicholas Thompson",85,13.21,937.75,71,8.68,17.09,"LaunchAngle",2014
7,7,"Sean OHair",77,13.19,817.89,62,7.88,17.04,"LaunchAngle",2014
8,8,"Jason Day",54,13.07,365.95,28,10.52,16.32,"LaunchAngle",2014
9,9,"Ben Crane",81,13.04,1108.75,85,9.65,16.46,"LaunchAngle",2014
10,10,"Zach Johnson",97,12.99,1182.24,91,9.94,16.6,"LaunchAngle",2014
11,11,"Tim Clark",75,12.96,855.16,66,11.04,15.5,"LaunchAngle",2014
12,12,"Danny Lee",84,12.92,865.97,67,8.42,16.65,"LaunchAngle",2014
13,13,"Phil Mickelson",71,12.88,644.14,50,9.11,17,"LaunchAngle",2014
14,14,"Will Ma Kenzie",82,12.81,1025.01,80,9.55,18.42,"LaunchAngle",2014
15,15,"Jonas Blixt",64,12.79,486.11,38,10.35,15.37,"LaunchAngle",2014
16,16,"Charley Hoffman",93,12.77,1059.71,83,9.21,17.76,"LaunchAngle",2014
17,17,"Morgan Hoffmann",103,12.75,1160.27,91,4,16.15,"LaunchAngle",2014
18,18,"Davis Love III",74,12.72,725.23,57,9.36,16.81,"LaunchAngle",2014
