"SpinRate_RANKTHISWEEK_2011","SpinRate_RANKLASTWEEK_2011","SpinRate_PLAYERNAME_2011","SpinRate_ROUNDS_2011","SpinRate_AVG_2011","SpinRate_TOTALSPINSPEED_2011","SpinRate_TOTALATTEMPTS_2011","SpinRate_HIGHESTSPINRATE_2011","SpinRate_LOWESTSPINRATE_2011","stat_name","year"
1,1,"Chris Couch",73,3236.6,126226,39,3899,2382,"SpinRate",2011
2,2,"Brendon de Jonge",105,3199.2,227141,71,3942,2144,"SpinRate",2011
3,3,"Sergio Garcia",61,3114.1,124562,40,3929,2179,"SpinRate",2011
4,4,"Bill Haas",93,3101.1,179864,58,3855,1613,"SpinRate",2011
5,5,"Trevor Immelman",84,3088,126607,41,3639,1968,"SpinRate",2011
6,6,"James Driscoll",71,3080.2,138610,45,3781,2250,"SpinRate",2011
7,7,"Charles Howell III",108,3059.9,232555,76,3992,2107,"SpinRate",2011
8,8,"Daniel Summerhays",75,3059.8,137692,45,3873,2038,"SpinRate",2011
9,9,"Nathan Green",81,3026.8,130153,43,3883,1907,"SpinRate",2011
10,10,"Greg Chalmers",88,3025.6,175487,58,3889,1747,"SpinRate",2011
11,11,"John Senden",94,3011.6,213822,71,3764,1559,"SpinRate",2011
12,12,"Kevin Streelman",90,3009.1,150455,50,3748,1945,"SpinRate",2011
13,13,"Kevin Na",84,3001,120041,40,3728,2261,"SpinRate",2011
14,14,"Joe Durant",71,2989.6,146489,49,3608,2238,"SpinRate",2011
15,15,"Aaron Baddeley",77,2984.6,131323,44,3844,1808,"SpinRate",2011
16,16,"Michael Connell",76,2980.6,184797,62,3967,1880,"SpinRate",2011
17,17,"Luke Donald",73,2967.3,124625,42,3749,2184,"SpinRate",2011
18,18,"David Mathis",83,2965.2,151225,51,3855,1955,"SpinRate",2011
19,19,"Geoff Ogilvy",69,2963.1,145192,49,3768,1597,"SpinRate",2011
20,20,"Ryuji Imada",83,2956.4,201037,68,3947,1833,"SpinRate",2011
