"DistancetoApex_RANKTHISWEEK_2014","DistancetoApex_RANKLASTWEEK_2014","DistancetoApex_PLAYERNAME_2014","DistancetoApex_ROUNDS_2014","DistancetoApex_AVG_2014","DistancetoApex_TOTALAPEXRANGE_2014","DistancetoApex_TOTALATTEMPTS_2014","DistancetoApex_LONGESTDISTTOAPEX_2014","DistancetoApex_SHORTESTDISTTOAPEX_2014","stat_name","year"
1,1,"Bubba Watson",76,210.4,9889.8,47,225.4,194.3,"DistancetoApex",2014
2,2,"Andrew Loupe",65,204.4,8789.3,43,217,162.8,"DistancetoApex",2014
3,3,"Brooks Koepka",56,203.5,7732,38,221,184,"DistancetoApex",2014
4,4,"Dustin Johnson",58,201.7,7865.3,39,211.6,182.3,"DistancetoApex",2014
5,5,"Charlie Beljan",76,199.9,13990.5,70,214,178.7,"DistancetoApex",2014
5,5,"Jhonattan Vegas",77,199.9,13191.4,66,218.5,171.1,"DistancetoApex",2014
7,7,"Jason Kokrak",65,199.1,11351.1,57,213.5,153.3,"DistancetoApex",2014
8,8,"Gary Woodland",93,198.8,12920.1,65,218.9,174.7,"DistancetoApex",2014
9,9,"Graham DeLaet",80,198.1,10896.4,55,211.9,181,"DistancetoApex",2014
9,9,"JB Holmes",86,198.1,12878.7,65,216.1,186.2,"DistancetoApex",2014
11,11,"Henrik Stenson",56,198,5345.5,27,215.9,175.8,"DistancetoApex",2014
12,12,"Sergio Garcia",61,197.5,6713.7,34,211,159.5,"DistancetoApex",2014
13,13,"Jamie Lovemark",64,197.1,8671.8,44,213.4,180.5,"DistancetoApex",2014
14,14,"Rory McIlroy",66,197,9258.3,47,222.4,161.5,"DistancetoApex",2014
15,15,"Adam Scott",68,196.5,10220.1,52,218.3,169.2,"DistancetoApex",2014
16,16,"Harris English",95,196.3,11977.2,61,209.4,178.3,"DistancetoApex",2014
17,17,"Angel Cabrera",69,196.2,12946.6,66,214.7,170.5,"DistancetoApex",2014
18,18,"Hudson Swafford",75,196,10387.7,53,218.9,182,"DistancetoApex",2014
19,19,"Charles Howell III",106,195.7,19374,99,215,171.2,"DistancetoApex",2014
20,20,"Derek Ernst",80,195.6,11342.7,58,205.2,168.4,"DistancetoApex",2014
