"ApexHeight_RANKTHISWEEK_2013","ApexHeight_RANKLASTWEEK_2013","ApexHeight_PLAYERNAME_2013","ApexHeight_ROUNDS_2013","ApexHeight_AVG_2013","ApexHeight_TOTALAPEXHEIGHT_2013","ApexHeight_TOTALATTEMPTS_2013","ApexHeight_HIGHESTAPEXPOINT_2013","ApexHeight_LOWESTAPEXPOINT_2013","stat_name","year"
1,1,"Jason Day",86,NA,NA,43,NA,NA,"ApexHeight",2013
2,2,"Graham DeLaet",94,NA,NA,67,NA,NA,"ApexHeight",2013
3,3,"Sean OHair",56,NA,NA,40,NA,NA,"ApexHeight",2013
4,4,"Keegan Bradley",88,NA,NA,58,NA,NA,"ApexHeight",2013
5,5,"Rickie Fowler",75,NA,NA,56,NA,NA,"ApexHeight",2013
6,6,"Josh Teater",86,NA,NA,59,NA,NA,"ApexHeight",2013
7,7,"Patrick Reed",83,NA,NA,64,NA,NA,"ApexHeight",2013
8,8,"Kyle Stanley",71,NA,NA,52,NA,NA,"ApexHeight",2013
9,9,"Rory McIlroy",56,NA,NA,33,NA,NA,"ApexHeight",2013
10,10,"Charlie Beljan",62,NA,NA,41,NA,NA,"ApexHeight",2013
11,11,"Henrik Stenson",65,NA,NA,23,NA,NA,"ApexHeight",2013
12,12,"Pat Perez",69,NA,NA,60,NA,NA,"ApexHeight",2013
13,13,"Bud Cauley",67,NA,NA,52,NA,NA,"ApexHeight",2013
14,14,"James Hahn",78,NA,NA,63,NA,NA,"ApexHeight",2013
14,14,"Ryan Palmer",79,NA,NA,60,NA,NA,"ApexHeight",2013
16,16,"Seung Yul Noh",71,NA,NA,57,NA,NA,"ApexHeight",2013
17,17,"Hunter Mahan",91,NA,NA,63,NA,NA,"ApexHeight",2013
18,18,"Angel Cabrera",73,NA,NA,53,NA,NA,"ApexHeight",2013
18,18,"Charley Hoffman",84,NA,NA,72,NA,NA,"ApexHeight",2013
20,20,"Robert Garrigus",69,NA,NA,38,NA,NA,"ApexHeight",2013
21,21,"Billy Horschel",96,NA,NA,77,NA,NA,"ApexHeight",2013
22,22,"Tiger Woods",61,NA,NA,27,NA,NA,"ApexHeight",2013
23,23,"Martin Laird",68,NA,NA,45,NA,NA,"ApexHeight",2013
24,24,"Troy Matteson",68,NA,NA,52,NA,NA,"ApexHeight",2013
25,25,"Peter Hanson",45,NA,NA,33,NA,NA,"ApexHeight",2013
26,26,"Nicolas Colsaerts",50,NA,NA,32,NA,NA,"ApexHeight",2013
27,27,"Geoff Ogilvy",57,NA,NA,40,NA,NA,"ApexHeight",2013
27,27,"Vaughn Taylor",50,NA,NA,38,NA,NA,"ApexHeight",2013
29,29,"Ernie Els",63,NA,NA,43,NA,NA,"ApexHeight",2013
30,30,"Padraig Harrington",52,NA,NA,31,NA,NA,"ApexHeight",2013
30,30,"Nicholas Thompson",99,NA,NA,83,NA,NA,"ApexHeight",2013
32,32,"Morgan Hoffmann",64,NA,NA,51,NA,NA,"ApexHeight",2013
33,33,"Mark Wilson",56,NA,NA,48,NA,NA,"ApexHeight",2013
34,34,"Justin Rose",62,NA,NA,39,NA,NA,"ApexHeight",2013
35,35,"Gary Woodland",94,NA,NA,51,NA,NA,"ApexHeight",2013
36,36,"Shawn Stefani",63,NA,NA,41,NA,NA,"ApexHeight",2013
37,37,"David Hearn",88,NA,NA,72,NA,NA,"ApexHeight",2013
38,38,"Scott Stallings",79,NA,NA,59,NA,NA,"ApexHeight",2013
39,39,"Jonas Blixt",76,NA,NA,67,NA,NA,"ApexHeight",2013
40,40,"Scott Gardiner",61,NA,NA,54,NA,NA,"ApexHeight",2013
41,41,"Luke Donald",60,NA,NA,41,NA,NA,"ApexHeight",2013
41,41,"Luke Guthrie",82,NA,NA,69,NA,NA,"ApexHeight",2013
43,43,"Marc Leishman",77,NA,NA,59,NA,NA,"ApexHeight",2013
44,44,"John Rollins",77,NA,NA,65,NA,NA,"ApexHeight",2013
44,44,"Nick Watney",88,NA,NA,68,NA,NA,"ApexHeight",2013
46,46,"Kevin Stadler",83,NA,NA,67,NA,NA,"ApexHeight",2013
47,47,"Ben Crane",62,NA,NA,53,NA,NA,"ApexHeight",2013
