"HangTime_RANKTHISWEEK_2011","HangTime_RANKLASTWEEK_2011","HangTime_PLAYERNAME_2011","HangTime_ROUNDS_2011","HangTime_AVG_2011","HangTime_TOTALACTUALHANGTIME_2011","HangTime_TOTALATTEMPTS_2011","HangTime_LONGESTACTHANGTIME_2011","HangTime_SHORTESTACTHANGTIME_2011","stat_name","year"
1,1,"JB Holmes",57,7.2,295.4,41,8.3,5.1,"HangTime",2011
2,2,"Angel Cabrera",50,6.9,178.4,26,8,4.1,"HangTime",2011
2,2,"Chris Couch",73,6.9,303,44,7.7,5.8,"HangTime",2011
2,2,"Harrison Frazar",58,6.9,254,37,7.7,6,"HangTime",2011
5,5,"Rickie Fowler",84,6.8,409.2,60,8,5,"HangTime",2011
5,5,"Billy Mayfair",94,6.8,503.7,74,7.6,5.4,"HangTime",2011
5,5,"Roland Thatcher",67,6.8,320.8,47,8,4.1,"HangTime",2011
8,8,"Keegan Bradley",91,6.7,412.8,62,7.7,3,"HangTime",2011
8,8,"Bill Haas",93,6.7,444.9,66,7.8,5,"HangTime",2011
8,8,"Alex Prugh",82,6.7,403.5,60,7.5,4.3,"HangTime",2011
8,8,"Kevin Stadler",88,6.7,385.9,58,7.6,3.3,"HangTime",2011
8,8,"Brendan Steele",89,6.7,459.6,69,7.6,4.5,"HangTime",2011
8,8,"Josh Teater",104,6.7,428.2,64,7.9,3.7,"HangTime",2011
8,8,"Mark Wilson",89,6.7,496.8,74,7.3,4.5,"HangTime",2011
15,15,"Ben Crane",76,6.6,387.8,59,7.3,3.4,"HangTime",2011
15,15,"Charley Hoffman",93,6.6,461.4,70,7.5,1.9,"HangTime",2011
15,15,"Davis Love III",70,6.6,252.5,38,7.7,4.5,"HangTime",2011
15,15,"Ben Martin",74,6.6,283.9,43,7.7,4.1,"HangTime",2011
15,15,"Zack Miller",86,6.6,331.6,50,7.8,4.1,"HangTime",2011
15,15,"Michael Putnam",67,6.6,271.5,41,7.4,4.4,"HangTime",2011
15,15,"Chez Reavie",92,6.6,466.8,71,7.3,4.9,"HangTime",2011
15,15,"John Rollins",85,6.6,447.4,68,7.6,4.6,"HangTime",2011
15,15,"Charl Schwartzel",58,6.6,224.1,34,7.7,4.8,"HangTime",2011
15,15,"Kyle Stanley",98,6.6,445.9,68,7.7,3.7,"HangTime",2011
15,15,"Will Strickler",51,6.6,219.2,33,7.6,4.6,"HangTime",2011
15,15,"Jhonattan Vegas",84,6.6,401,61,7.5,2.8,"HangTime",2011
27,27,"Woody Austin",59,6.5,245.2,38,7.4,5.8,"HangTime",2011
27,27,"Steven Bowditch",86,6.5,405.5,62,7.7,3.7,"HangTime",2011
27,27,"Jonathan Byrd",83,6.5,388.4,60,7.5,4.3,"HangTime",2011
27,27,"Robert Garrigus",83,6.5,325.3,50,7.9,3.9,"HangTime",2011
27,27,"Fabian Gomez",84,6.5,305.5,47,7.4,4.1,"HangTime",2011
27,27,"Retief Goosen",50,6.5,219.9,34,7.6,5.3,"HangTime",2011
27,27,"David Hearn",88,6.5,424.4,65,7.6,4.2,"HangTime",2011
27,27,"Billy Horschel",75,6.5,361.7,56,7.8,2.2,"HangTime",2011
27,27,"Sung Kang",63,6.5,239.1,37,7.4,4.2,"HangTime",2011
27,27,"Robert Karlsson",61,6.5,260.6,40,7.6,5,"HangTime",2011
27,27,"Kevin Kisner",70,6.5,300.5,46,7.5,5.1,"HangTime",2011
27,27,"Steve Marino",76,6.5,399.4,61,8,2.1,"HangTime",2011
27,27,"Scott McCarron",65,6.5,307.4,47,7.8,3.8,"HangTime",2011
27,27,"George McNeill",69,6.5,323.6,50,7.6,4,"HangTime",2011
27,27,"Phil Mickelson",79,6.5,293,45,7.8,4.3,"HangTime",2011
27,27,"Geoff Ogilvy",69,6.5,330.9,51,7.3,4.1,"HangTime",2011
27,27,"Ryan Palmer",82,6.5,356.2,55,7.5,3.2,"HangTime",2011
27,27,"Pat Perez",76,6.5,376,58,7.6,3.5,"HangTime",2011
27,27,"Scott Piercy",78,6.5,331.7,51,7.5,4.9,"HangTime",2011
27,27,"Adam Scott",60,6.5,299,46,7.6,4.4,"HangTime",2011
27,27,"Vijay Singh",79,6.5,455.9,70,7.6,3.9,"HangTime",2011
27,27,"Kevin Streelman",90,6.5,390.5,60,7.5,3.7,"HangTime",2011
27,27,"Vaughn Taylor",89,6.5,477.3,73,7.7,4.9,"HangTime",2011
50,50,"Aaron Baddeley",77,6.4,349.6,55,8.1,4.1,"HangTime",2011
50,50,"Briny Baird",60,6.4,249.3,39,7.3,4.7,"HangTime",2011
50,50,"Joseph Bramlett",73,6.4,319.6,50,7.3,1,"HangTime",2011
50,50,"Alex Cejka",59,6.4,267.8,42,7.3,4.3,"HangTime",2011
50,50,"Jason Day",76,6.4,288.7,45,7.4,4.9,"HangTime",2011
50,50,"Luke Donald",73,6.4,290,45,7.3,3.8,"HangTime",2011
50,50,"Tommy Gainey",104,6.4,507.8,79,7.6,3.8,"HangTime",2011
50,50,"Lucas Glover",74,6.4,337.1,53,7.3,3.8,"HangTime",2011
50,50,"JJ Henry",96,6.4,458.3,72,7.2,3.1,"HangTime",2011
50,50,"Brandt Jobe",100,6.4,434.5,68,7.3,4.1,"HangTime",2011
50,50,"Dustin Johnson",72,6.4,273.5,43,7.5,4.5,"HangTime",2011
50,50,"Matt Jones",71,6.4,325,51,7.4,4.7,"HangTime",2011
50,50,"Jerry Kelly",85,6.4,425.4,66,7.2,3,"HangTime",2011
50,50,"Martin Laird",77,6.4,363.5,57,7.5,2.9,"HangTime",2011
50,50,"Derek Lamely",65,6.4,273.3,43,7.7,1.9,"HangTime",2011
50,50,"Marc Leishman",87,6.4,449.1,70,7.8,3.2,"HangTime",2011
50,50,"Bill Lunde",92,6.4,441.8,69,7.4,4.5,"HangTime",2011
50,50,"Jarrod Lyle",83,6.4,375.1,59,7.5,4.3,"HangTime",2011
50,50,"John Merrick",71,6.4,332.3,52,7.3,4.9,"HangTime",2011
50,50,"Joe Ogilvie",75,6.4,307.4,48,7.2,4.6,"HangTime",2011
50,50,"Jim Renner",65,6.4,305.7,48,7.7,4.8,"HangTime",2011
50,50,"Tag Ridings",87,6.4,350.5,55,7.7,1.8,"HangTime",2011
50,50,"John Senden",94,6.4,482,75,7.4,2.7,"HangTime",2011
50,50,"Scott Stallings",84,6.4,425.4,66,7.5,3.6,"HangTime",2011
50,50,"Steve Stricker",70,6.4,351,55,7.2,3.7,"HangTime",2011
50,50,"Bo Van Pelt",92,6.4,415.7,65,7.5,4.8,"HangTime",2011
50,50,"Nick Watney",80,6.4,394.7,62,7.4,4.1,"HangTime",2011
50,50,"Bubba Watson",85,6.4,320.8,50,7.6,4.8,"HangTime",2011
50,50,"Dean Wilson",62,6.4,295.1,46,7.4,4.7,"HangTime",2011
79,79,"Robert Allenby",84,6.3,411.3,65,7.4,2.7,"HangTime",2011
79,79,"Kevin Chappell",78,6.3,348.7,55,7.6,4.4,"HangTime",2011
79,79,"Ben Curtis",66,6.3,354.8,56,7.1,5.6,"HangTime",2011
79,79,"Brian Davis",105,6.3,522.6,83,7.1,4,"HangTime",2011
79,79,"Brendon de Jonge",105,6.3,535.8,85,7.3,3.6,"HangTime",2011
79,79,"James Driscoll",71,6.3,321.2,51,7.4,4.3,"HangTime",2011
79,79,"Bobby Gates",82,6.3,333.7,53,7.3,3.6,"HangTime",2011
79,79,"Padraig Harrington",60,6.3,240,38,7.8,2.5,"HangTime",2011
79,79,"Tim Herron",85,6.3,398.8,63,7.7,3.1,"HangTime",2011
79,79,"Justin Hicks",60,6.3,237.5,38,7,5.3,"HangTime",2011
79,79,"Ryuji Imada",83,6.3,452.7,72,7.1,4.5,"HangTime",2011
79,79,"Lee Janzen",62,6.3,265.3,42,7.3,5,"HangTime",2011
79,79,"Richard Johnson",64,6.3,287.7,46,7,5.1,"HangTime",2011
79,79,"Hunter Mahan",92,6.3,463.5,73,7.1,2,"HangTime",2011
79,79,"Troy Matteson",91,6.3,416,66,7.6,3.5,"HangTime",2011
79,79,"Matt McQuillan",59,6.3,219.5,35,7.6,4.9,"HangTime",2011
79,79,"Rocco Mediate",53,6.3,257,41,7.2,4.2,"HangTime",2011
79,79,"Jeff Overton",92,6.3,415,66,8.2,4,"HangTime",2011
79,79,"DA Points",89,6.3,402.3,64,7.1,4.6,"HangTime",2011
79,79,"Aron Price",58,6.3,266.4,42,7.1,4.7,"HangTime",2011
79,79,"Alexandre Rocha",65,6.3,244,39,7.1,3.7,"HangTime",2011
79,79,"Webb Simpson",98,6.3,507.4,80,7.4,0.6,"HangTime",2011
79,79,"Heath Slocum",89,6.3,443.8,70,7.2,4.7,"HangTime",2011
79,79,"Brandt Snedeker",85,6.3,406.3,64,7.2,4,"HangTime",2011
79,79,"Paul Stankowski",78,6.3,328.6,52,7.7,0.7,"HangTime",2011
79,79,"Marc Turnesa",54,6.3,214.4,34,7.3,3,"HangTime",2011
79,79,"Johnson Wagner",81,6.3,416.1,66,7.2,5,"HangTime",2011
79,79,"Charlie Wi",83,6.3,402.5,64,7.3,4.3,"HangTime",2011
79,79,"Gary Woodland",93,6.3,288.1,46,7.6,4.3,"HangTime",2011
108,108,"Rich Beem",53,6.2,253.6,41,7.4,2.3,"HangTime",2011
108,108,"Kris Blanks",92,6.2,455.8,74,7.5,3,"HangTime",2011
108,108,"Jason Bohn",74,6.2,389.8,63,7.3,4.4,"HangTime",2011
108,108,"Michael Bradley",74,6.2,326.4,53,7.2,2.4,"HangTime",2011
108,108,"DJ Brigman",67,6.2,259.8,42,7.7,3.6,"HangTime",2011
108,108,"Chad Campbell",99,6.2,432.6,70,7.4,2.6,"HangTime",2011
108,108,"David Duval",67,6.2,290,47,7.4,0.7,"HangTime",2011
108,108,"Ernie Els",71,6.2,311.8,50,7.1,3.9,"HangTime",2011
108,108,"Kent Jones",76,6.2,349.3,56,7.3,4.8,"HangTime",2011
108,108,"Chris Kirk",87,6.2,426.3,69,7.1,1.7,"HangTime",2011
108,108,"David Mathis",83,6.2,342.4,55,7,5.1,"HangTime",2011
108,108,"Troy Merritt",63,6.2,285.5,46,7.2,4.2,"HangTime",2011
108,108,"Bryce Molder",82,6.2,352.9,57,7,5,"HangTime",2011
108,108,"Sean OHair",71,6.2,262,42,7.4,3.9,"HangTime",2011
108,108,"Martin Piller",63,6.2,258.5,42,7,4.8,"HangTime",2011
108,108,"Ian Poulter",52,6.2,241,39,7.6,5,"HangTime",2011
108,108,"Andres Romero",77,6.2,380.1,61,7.6,1.3,"HangTime",2011
108,108,"Justin Rose",79,6.2,380.2,61,7.2,4.8,"HangTime",2011
108,108,"Chris Stroud",88,6.2,443.8,72,7.4,3.5,"HangTime",2011
108,108,"DJ Trahan",91,6.2,409.1,66,7.5,3.6,"HangTime",2011
