"CarryDistance_RANKTHISWEEK_2011","CarryDistance_RANKLASTWEEK_2011","CarryDistance_PLAYERNAME_2011","CarryDistance_ROUNDS_2011","CarryDistance_AVG_2011","CarryDistance_TOTALDISTTOIMPACT_2011","CarryDistance_TOTALATTEMPTS_2011","CarryDistance_LONGESTCARRYDISTANCE_2011","CarryDistance_SHORTESTCARRYDISTANCE_2011","stat_name","year"
1,1,"JB Holmes",57,314.8,11645.8,37,348.1,287,"CarryDistance",2011
2,2,"Bubba Watson",85,300.7,12929.3,43,337.2,264.1,"CarryDistance",2011
3,3,"Robert Garrigus",83,297.9,13703.2,46,333.6,233.8,"CarryDistance",2011
4,4,"Dustin Johnson",72,296.7,11571.6,39,327.8,251.4,"CarryDistance",2011
5,5,"Gary Woodland",93,296.4,12448.6,42,333.5,253.2,"CarryDistance",2011
6,6,"Jhonattan Vegas",84,294.9,15630,53,319.5,253.2,"CarryDistance",2011
7,7,"Tag Ridings",87,294.8,14741.5,50,327.7,255.9,"CarryDistance",2011
8,8,"Phil Mickelson",79,293.9,10581.8,36,334.3,259.4,"CarryDistance",2011
9,9,"Jason Day",76,289.9,10148.2,35,316.8,251.6,"CarryDistance",2011
10,10,"Charley Hoffman",93,289.2,19087.2,66,332.7,254.7,"CarryDistance",2011
11,11,"Keegan Bradley",91,289,17053.5,59,327.7,248.6,"CarryDistance",2011
11,11,"Will Strickler",51,289,9247.2,32,313.9,259.1,"CarryDistance",2011
13,13,"Angel Cabrera",50,288.7,6639.2,23,322.5,251.4,"CarryDistance",2011
14,14,"Martin Laird",77,288.5,14713.4,51,328.7,257.6,"CarryDistance",2011
15,15,"Kyle Stanley",98,287.9,16696.1,58,341.9,248.8,"CarryDistance",2011
16,16,"Robert Karlsson",61,287.4,10344.9,36,316,246.5,"CarryDistance",2011
17,17,"Josh Teater",104,287.3,16375.6,57,325.7,251.7,"CarryDistance",2011
18,18,"Chris Couch",73,286.9,11763.9,41,309.9,260.1,"CarryDistance",2011
19,19,"Scott Piercy",78,286.8,13478.5,47,313.9,250.1,"CarryDistance",2011
20,20,"Zack Miller",86,286.2,12305.9,43,326.5,246.4,"CarryDistance",2011
21,21,"Padraig Harrington",60,285.4,9134,32,310.4,260.7,"CarryDistance",2011
22,22,"Ryan Palmer",82,285.3,13692.1,48,312.2,256.1,"CarryDistance",2011
23,23,"Scott Stallings",84,285.1,16819,59,322.3,233.4,"CarryDistance",2011
24,24,"Steven Bowditch",86,284.8,15664.2,55,317.9,250,"CarryDistance",2011
25,25,"Davis Love III",70,284.6,9392.3,33,312.1,249,"CarryDistance",2011
26,26,"Harrison Frazar",58,283.9,9369.7,33,316.2,252.1,"CarryDistance",2011
26,26,"Bill Haas",93,283.9,17035.2,60,313.6,250.2,"CarryDistance",2011
26,26,"Marc Leishman",87,283.9,17036.8,60,306.8,256.3,"CarryDistance",2011
