"CarryEfficiency_RANKTHISWEEK_2013","CarryEfficiency_RANKLASTWEEK_2013","CarryEfficiency_PLAYERNAME_2013","CarryEfficiency_ROUNDS_2013","CarryEfficiency_AVG_2013","CarryEfficiency_AVERAGECARRYDISTYARDS_2013","CarryEfficiency_AVERAGECLUBHEADSPEED_2013","CarryEfficiency_TOTALATTEMPTS_2013","CarryEfficiency_HIGHESTCARRYEFFICIENCY_2013","stat_name","year"
1,1,"Justin Rose",62,2.55,293.4,115.077,36,2.757,"CarryEfficiency",2013
2,2,"Ernie Els",63,2.513,280.8,111.776,38,2.736,"CarryEfficiency",2013
3,3,"Hunter Mahan",91,2.505,281.6,112.41,58,2.671,"CarryEfficiency",2013
4,4,"Peter Hanson",45,2.502,283.1,113.116,29,2.707,"CarryEfficiency",2013
5,5,"Billy Horschel",96,2.498,282.5,113.089,74,2.702,"CarryEfficiency",2013
5,5,"Sean OHair",56,2.498,291.8,116.812,37,2.67,"CarryEfficiency",2013
5,5,"Vaughn Taylor",50,2.498,274.9,110.073,33,2.669,"CarryEfficiency",2013
8,8,"Nicolas Colsaerts",50,2.497,302.1,120.96,25,2.752,"CarryEfficiency",2013
9,9,"Mark Wilson",56,2.493,267.8,107.402,42,2.718,"CarryEfficiency",2013
10,10,"Nicholas Thompson",99,2.484,281.3,113.242,79,2.763,"CarryEfficiency",2013
11,11,"David Hearn",88,2.478,269,108.561,66,2.666,"CarryEfficiency",2013
12,12,"Chris Kirk",89,2.477,278.4,112.397,69,2.641,"CarryEfficiency",2013
13,13,"Brian Harman",89,2.473,273.9,110.752,72,2.737,"CarryEfficiency",2013
13,13,"Andres Romero",63,2.473,284,114.843,40,2.794,"CarryEfficiency",2013
15,15,"Ben Crane",62,2.47,267.3,108.254,49,2.624,"CarryEfficiency",2013
16,16,"Jason Day",86,2.469,297.3,120.417,37,2.717,"CarryEfficiency",2013
16,16,"David Toms",49,2.469,260.6,105.565,23,2.599,"CarryEfficiency",2013
18,18,"Keegan Bradley",88,2.468,292.5,118.507,52,2.725,"CarryEfficiency",2013
18,18,"Bud Cauley",67,2.468,273.3,110.736,49,2.71,"CarryEfficiency",2013
18,18,"Ryan Palmer",79,2.468,287.2,116.396,52,2.761,"CarryEfficiency",2013
21,21,"Russell Henley",80,2.467,281.3,114.064,49,2.671,"CarryEfficiency",2013
21,21,"Josh Teater",86,2.467,282.4,114.473,51,2.748,"CarryEfficiency",2013
23,23,"Scott Stallings",79,2.464,294,119.296,51,2.673,"CarryEfficiency",2013
23,23,"Bo Van Pelt",72,2.464,278.7,113.118,44,2.649,"CarryEfficiency",2013
25,25,"Martin Laird",68,2.463,287.9,116.913,40,2.709,"CarryEfficiency",2013
26,26,"James Hahn",78,2.462,280.6,113.966,53,2.686,"CarryEfficiency",2013
26,26,"Doug LaBelle II",72,2.462,263.8,107.139,53,2.649,"CarryEfficiency",2013
26,26,"Rory Sabbatini",86,2.462,279.5,113.507,59,2.645,"CarryEfficiency",2013
29,29,"Zach Johnson",84,2.459,265.7,108.075,64,2.654,"CarryEfficiency",2013
29,29,"Chez Reavie",72,2.459,265.4,107.914,68,2.682,"CarryEfficiency",2013
31,31,"Steven Bowditch",67,2.458,287.6,116.967,46,2.672,"CarryEfficiency",2013
32,32,"Kevin Stadler",83,2.457,282.2,114.896,62,2.644,"CarryEfficiency",2013
33,33,"Dustin Johnson",71,2.455,299,121.801,29,2.757,"CarryEfficiency",2013
33,33,"Tiger Woods",61,2.455,289.8,118.047,20,2.753,"CarryEfficiency",2013
35,35,"Henrik Stenson",65,2.453,295.5,120.433,22,2.799,"CarryEfficiency",2013
35,35,"Steve Stricker",51,2.453,272.4,111.031,32,2.687,"CarryEfficiency",2013
37,37,"Scott Piercy",78,2.452,285.1,116.259,41,2.787,"CarryEfficiency",2013
37,37,"Brandt Snedeker",79,2.452,270.9,110.483,46,2.657,"CarryEfficiency",2013
39,39,"Brian Davis",91,2.451,263.2,107.373,82,2.629,"CarryEfficiency",2013
39,39,"Jeff Maggert",63,2.451,258.3,105.392,54,2.628,"CarryEfficiency",2013
41,41,"Jin Park",52,2.45,255.8,104.419,41,2.667,"CarryEfficiency",2013
41,41,"Michael Thompson",66,2.45,273.5,111.595,48,2.621,"CarryEfficiency",2013
43,43,"Jonas Blixt",76,2.449,274.6,112.106,59,2.727,"CarryEfficiency",2013
43,43,"Matt Every",89,2.449,277,113.08,78,2.647,"CarryEfficiency",2013
43,43,"Henrik Norlander",70,2.449,280.3,114.441,40,2.754,"CarryEfficiency",2013
46,46,"Graham DeLaet",94,2.446,295.5,120.814,59,2.711,"CarryEfficiency",2013
46,46,"Kyle Stanley",71,2.446,292.2,119.44,49,2.652,"CarryEfficiency",2013
48,48,"Geoff Ogilvy",57,2.445,278.7,114.009,34,2.655,"CarryEfficiency",2013
48,48,"Carl Pettersson",82,2.445,277.8,113.613,52,2.685,"CarryEfficiency",2013
48,48,"Brian Stuard",78,2.445,267.4,109.39,60,2.624,"CarryEfficiency",2013
51,51,"Tommy Gainey",84,2.444,275.7,112.774,59,2.677,"CarryEfficiency",2013
51,51,"Morgan Hoffmann",64,2.444,278.7,114.025,48,2.675,"CarryEfficiency",2013
51,51,"Chris Stroud",88,2.444,268.5,109.844,63,2.62,"CarryEfficiency",2013
54,54,"Brendan Steele",86,2.443,279.9,114.532,65,2.604,"CarryEfficiency",2013
54,54,"Shawn Stefani",63,2.443,284.9,116.626,34,2.598,"CarryEfficiency",2013
56,56,"Scott Gardiner",61,2.442,274.3,112.337,44,2.708,"CarryEfficiency",2013
56,56,"Brian Gay",79,2.442,255.6,104.686,64,2.621,"CarryEfficiency",2013
56,56,"Casey Wittenberg",72,2.442,267.3,109.488,53,2.66,"CarryEfficiency",2013
59,59,"Robert Garrigus",69,2.439,292.9,120.094,35,2.668,"CarryEfficiency",2013
59,59,"JJ Henry",83,2.439,277.9,113.94,46,2.62,"CarryEfficiency",2013
59,59,"Troy Matteson",68,2.439,280.1,114.866,43,2.667,"CarryEfficiency",2013
62,62,"Padraig Harrington",52,2.438,278.1,114.089,28,2.685,"CarryEfficiency",2013
62,62,"David Lynn",70,2.438,263.2,107.967,47,2.66,"CarryEfficiency",2013
64,64,"Rory McIlroy",56,2.437,296.2,121.512,31,2.671,"CarryEfficiency",2013
65,65,"Rickie Fowler",75,2.436,281.7,115.619,52,2.654,"CarryEfficiency",2013
65,65,"Darron Stiles",51,2.436,255.4,104.818,37,2.592,"CarryEfficiency",2013
67,67,"Luke Guthrie",82,2.434,274.8,112.91,60,2.641,"CarryEfficiency",2013
68,68,"Charl Schwartzel",69,2.433,287.6,118.192,34,2.66,"CarryEfficiency",2013
68,68,"Lee Westwood",70,2.433,281.9,115.833,47,2.702,"CarryEfficiency",2013
70,70,"Charley Hoffman",84,2.432,283.1,116.381,65,2.661,"CarryEfficiency",2013
71,71,"Scott Brown",65,2.43,277.2,114.05,50,2.588,"CarryEfficiency",2013
71,71,"David Lingmerth",68,2.43,270.5,111.276,54,2.63,"CarryEfficiency",2013
71,71,"Phil Mickelson",78,2.43,282.1,116.066,19,2.625,"CarryEfficiency",2013
74,74,"Tim Clark",64,2.429,254,104.593,38,2.633,"CarryEfficiency",2013
74,74,"Brandt Jobe",62,2.429,276.6,113.893,39,2.697,"CarryEfficiency",2013
76,76,"Aaron Watkins",46,2.428,259.2,106.764,31,2.57,"CarryEfficiency",2013
77,77,"Robert Allenby",58,2.426,271.5,111.917,44,2.701,"CarryEfficiency",2013
77,77,"Tim Herron",45,2.426,271.3,111.804,35,2.653,"CarryEfficiency",2013
77,77,"John Rollins",77,2.426,280.3,115.579,58,2.604,"CarryEfficiency",2013
80,80,"Martin Kaymer",61,2.425,283.8,117.028,37,2.674,"CarryEfficiency",2013
81,81,"Harris English",95,2.424,286.1,118.03,57,2.734,"CarryEfficiency",2013
82,82,"Justin Bolli",59,2.423,262.1,108.178,37,2.645,"CarryEfficiency",2013
82,82,"Luke Donald",60,2.423,266.9,110.191,38,2.685,"CarryEfficiency",2013
82,82,"Bill Haas",85,2.423,278.5,114.933,60,2.585,"CarryEfficiency",2013
82,82,"Marc Leishman",77,2.423,282,116.378,51,2.641,"CarryEfficiency",2013
86,86,"William McGirt",75,2.422,268.9,111.059,57,2.629,"CarryEfficiency",2013
86,86,"Jordan Spieth",82,2.422,270.9,111.869,65,2.639,"CarryEfficiency",2013
88,88,"Kevin Chappell",80,2.421,283.2,116.971,50,2.619,"CarryEfficiency",2013
88,88,"John Huh",88,2.421,268.3,110.807,64,2.677,"CarryEfficiency",2013
88,88,"Lee Williams",62,2.421,257.5,106.358,47,2.603,"CarryEfficiency",2013
91,91,"Seung Yul Noh",71,2.42,289.7,119.705,43,2.674,"CarryEfficiency",2013
91,91,"Ian Poulter",59,2.42,271.5,112.197,29,2.61,"CarryEfficiency",2013
93,93,"Graeme McDowell",53,2.419,265.6,109.809,30,2.606,"CarryEfficiency",2013
94,94,"Ben Curtis",59,2.418,261.6,108.164,40,2.676,"CarryEfficiency",2013
94,94,"Matt Kuchar",93,2.418,268,110.834,66,2.654,"CarryEfficiency",2013
94,94,"Ryan Moore",72,2.418,267.6,110.685,54,2.636,"CarryEfficiency",2013
94,94,"Vijay Singh",61,2.418,270.8,112.026,41,2.645,"CarryEfficiency",2013
98,98,"Alistair Presnell",59,2.417,270.1,111.73,39,2.633,"CarryEfficiency",2013
98,98,"Patrick Reed",83,2.417,284.1,117.546,55,2.674,"CarryEfficiency",2013
100,100,"Charles Howell III",87,2.416,283.3,117.246,71,2.661,"CarryEfficiency",2013
101,101,"Jeff Overton",78,2.414,274.3,113.606,64,2.765,"CarryEfficiency",2013
102,102,"Brad Fritsch",81,2.413,279.4,115.804,58,2.588,"CarryEfficiency",2013
103,103,"Cameron Percy",68,2.412,275.2,114.121,49,2.61,"CarryEfficiency",2013
104,104,"Jason Kokrak",78,2.411,290.4,120.424,53,2.668,"CarryEfficiency",2013
104,104,"Luke List",65,2.411,296.9,123.137,35,2.692,"CarryEfficiency",2013
104,104,"Andrew Svoboda",46,2.411,270.5,112.196,32,2.59,"CarryEfficiency",2013
107,107,"DJ Trahan",48,2.41,273.4,113.452,30,2.608,"CarryEfficiency",2013
107,107,"Boo Weekley",100,2.41,275.3,114.214,71,2.61,"CarryEfficiency",2013
109,109,"Justin Leonard",86,2.409,256.5,106.478,65,2.633,"CarryEfficiency",2013
110,110,"Lucas Glover",65,2.408,282.2,117.183,37,2.668,"CarryEfficiency",2013
110,110,"David Mathis",71,2.408,262,108.832,51,2.579,"CarryEfficiency",2013
112,112,"Roberto Castro",97,2.407,271.1,112.662,63,2.583,"CarryEfficiency",2013
112,112,"Daniel Summerhays",83,2.407,268.6,111.564,80,2.591,"CarryEfficiency",2013
114,114,"Bob Estes",66,2.406,267.1,111.016,40,2.709,"CarryEfficiency",2013
114,114,"Charlie Wi",75,2.406,262.9,109.29,59,2.609,"CarryEfficiency",2013
116,116,"Erik Compton",74,2.405,273.6,113.749,52,2.657,"CarryEfficiency",2013
116,116,"YE Yang",56,2.405,268.1,111.448,34,2.607,"CarryEfficiency",2013
118,118,"Eric Meierdierks",48,2.404,288.6,120.052,27,2.571,"CarryEfficiency",2013
119,119,"Jim Herman",59,2.403,278.9,116.064,30,2.566,"CarryEfficiency",2013
119,119,"Steve LeBrun",66,2.403,277.2,115.377,46,2.662,"CarryEfficiency",2013
119,119,"Jimmy Walker",84,2.403,284.2,118.257,61,2.75,"CarryEfficiency",2013
122,122,"Bryce Molder",82,2.402,259.8,108.161,62,2.626,"CarryEfficiency",2013
123,123,"Martin Flores",83,2.401,283.7,118.17,65,2.595,"CarryEfficiency",2013
123,123,"Bubba Watson",76,2.401,295.3,122.957,38,2.762,"CarryEfficiency",2013
125,125,"Stuart Appleby",88,2.4,269.5,112.267,65,2.719,"CarryEfficiency",2013
125,125,"Webb Simpson",92,2.4,272.9,113.701,59,2.572,"CarryEfficiency",2013
127,127,"George McNeill",68,2.399,278.3,115.994,52,2.597,"CarryEfficiency",2013
127,127,"Kevin Streelman",86,2.399,273.6,114.014,63,2.67,"CarryEfficiency",2013
129,129,"DA Points",87,2.398,262.5,109.445,57,2.634,"CarryEfficiency",2013
130,130,"Angel Cabrera",73,2.397,287.8,120.075,44,2.648,"CarryEfficiency",2013
130,130,"Jerry Kelly",75,2.397,253,105.549,62,2.676,"CarryEfficiency",2013
130,130,"Ben Kohles",75,2.397,264.3,110.259,57,2.632,"CarryEfficiency",2013
130,130,"Gary Woodland",94,2.397,293.2,122.359,41,2.616,"CarryEfficiency",2013
134,134,"Matt Jones",83,2.396,282,117.698,55,2.654,"CarryEfficiency",2013
135,135,"Richard Lee",81,2.394,263.8,110.19,62,2.669,"CarryEfficiency",2013
136,136,"Adam Scott",61,2.393,286,119.518,30,2.616,"CarryEfficiency",2013
137,137,"Tag Ridings",69,2.391,285,119.199,38,2.647,"CarryEfficiency",2013
138,138,"Will Claxton",67,2.389,264.5,110.752,49,2.616,"CarryEfficiency",2013
138,138,"John Merrick",79,2.389,270.3,113.158,59,2.645,"CarryEfficiency",2013
140,140,"Greg Chalmers",77,2.388,261.4,109.484,62,2.643,"CarryEfficiency",2013
140,140,"Fabian Gomez",65,2.388,268.2,112.312,49,2.559,"CarryEfficiency",2013
142,142,"Dicky Pride",71,2.387,254.8,106.77,58,2.599,"CarryEfficiency",2013
143,143,"Johnson Wagner",64,2.384,262.8,110.213,41,2.572,"CarryEfficiency",2013
144,144,"Jason Bohn",70,2.383,258.6,108.539,58,2.556,"CarryEfficiency",2013
144,144,"Jason Dufner",78,2.383,268.1,112.505,57,2.597,"CarryEfficiency",2013
144,144,"Robert Karlsson",56,2.383,271.2,113.807,33,2.622,"CarryEfficiency",2013
147,147,"Jim Furyk",80,2.382,260.8,109.475,55,2.612,"CarryEfficiency",2013
148,148,"Colt Knost",69,2.381,251.9,105.771,59,2.612,"CarryEfficiency",2013
149,149,"Aaron Baddeley",68,2.379,282.6,118.793,33,2.626,"CarryEfficiency",2013
149,149,"James Driscoll",76,2.379,279.1,117.315,44,2.602,"CarryEfficiency",2013
149,149,"Ryo Ishikawa",72,2.379,272.5,114.523,48,2.647,"CarryEfficiency",2013
152,152,"Nick Watney",88,2.378,284.6,119.687,58,2.584,"CarryEfficiency",2013
153,153,"Sangmoon Bae",83,2.377,270.7,113.867,59,2.691,"CarryEfficiency",2013
153,153,"Stewart Cink",71,2.377,277.7,116.846,32,2.568,"CarryEfficiency",2013
155,155,"DH Lee",65,2.376,261.6,110.097,48,2.587,"CarryEfficiency",2013
156,156,"Chad Campbell",78,2.374,269,113.274,54,2.602,"CarryEfficiency",2013
157,157,"Michael Bradley",56,2.371,270.1,113.934,23,2.599,"CarryEfficiency",2013
158,158,"Justin Hicks",79,2.368,259.7,109.643,53,2.724,"CarryEfficiency",2013
158,158,"Ted Potter Jr",65,2.368,261.6,110.47,49,2.633,"CarryEfficiency",2013
160,160,"KJ Choi",85,2.362,258.4,109.426,57,2.549,"CarryEfficiency",2013
