"TotalDistanceEfficiency_RANKTHISWEEK_2009","TotalDistanceEfficiency_RANKLASTWEEK_2009","TotalDistanceEfficiency_PLAYERNAME_2009","TotalDistanceEfficiency_ROUNDS_2009","TotalDistanceEfficiency_AVG_2009","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2009","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2009","TotalDistanceEfficiency_TOTALATTEMPTS_2009","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2009","stat_name","year"
1,1,"Darron Stiles",52,2.715,288.624,106.319,33,3.381,"TotalDistanceEfficiency",2009
2,2,"Chez Reavie",81,2.676,282.591,105.591,75,3.576,"TotalDistanceEfficiency",2009
3,3,"Vijay Singh",71,2.667,301.273,112.981,61,3.489,"TotalDistanceEfficiency",2009
4,4,"Jeff Maggert",79,2.659,287.729,108.225,72,3.087,"TotalDistanceEfficiency",2009
4,4,"Nick OHern",90,2.659,278.13,104.617,87,3.161,"TotalDistanceEfficiency",2009
6,6,"KJ Choi",65,2.657,287.832,108.313,58,3.549,"TotalDistanceEfficiency",2009
7,7,"Parker McLachlin",71,2.652,290.438,109.522,63,3.445,"TotalDistanceEfficiency",2009
7,7,"David Toms",98,2.652,285.572,107.7,83,3.305,"TotalDistanceEfficiency",2009
9,9,"Geoff Ogilvy",78,2.647,300.496,113.504,69,3.494,"TotalDistanceEfficiency",2009
10,10,"Anthony Kim",76,2.645,306.768,115.979,63,3.354,"TotalDistanceEfficiency",2009
10,10,"Webb Simpson",94,2.645,291.957,110.377,76,3.03,"TotalDistanceEfficiency",2009
12,12,"Carl Pettersson",86,2.644,291.602,110.274,78,3.434,"TotalDistanceEfficiency",2009
13,13,"Kenny Perry",92,2.642,295.247,111.77,81,3.477,"TotalDistanceEfficiency",2009
14,14,"John Mallinger",90,2.64,280.608,106.275,75,3.082,"TotalDistanceEfficiency",2009
15,15,"Greg Kraft",51,2.638,276.488,104.79,41,3.256,"TotalDistanceEfficiency",2009
16,16,"Cliff Kresge",78,2.636,282.944,107.336,67,3.183,"TotalDistanceEfficiency",2009
16,16,"Heath Slocum",95,2.636,285.868,108.467,82,3.044,"TotalDistanceEfficiency",2009
18,18,"Ernie Els",70,2.634,299.069,113.535,53,3.551,"TotalDistanceEfficiency",2009
18,18,"Hunter Mahan",94,2.634,298.009,113.119,69,3.263,"TotalDistanceEfficiency",2009
18,18,"Joe Ogilvie",85,2.634,289.386,109.856,71,3.004,"TotalDistanceEfficiency",2009
18,18,"Ryan Palmer",78,2.634,298.111,113.162,68,3.181,"TotalDistanceEfficiency",2009
22,22,"Jason Gore",74,2.633,292.612,111.13,57,3.046,"TotalDistanceEfficiency",2009
22,22,"Mark Wilson",99,2.633,281.455,106.908,81,3.146,"TotalDistanceEfficiency",2009
24,24,"Camilo Villegas",76,2.632,299.367,113.748,59,3.418,"TotalDistanceEfficiency",2009
25,25,"Ian Poulter",59,2.631,288.777,109.752,50,3.144,"TotalDistanceEfficiency",2009
26,26,"Zach Johnson",94,2.63,282.95,107.574,92,3.496,"TotalDistanceEfficiency",2009
26,26,"Justin Leonard",95,2.63,284.645,108.213,88,3.49,"TotalDistanceEfficiency",2009
28,28,"Brian Gay",96,2.629,271.197,103.152,91,3.488,"TotalDistanceEfficiency",2009
29,29,"David Mathis",82,2.627,285.836,108.789,69,2.98,"TotalDistanceEfficiency",2009
29,29,"DA Points",99,2.627,284.387,108.238,85,3.067,"TotalDistanceEfficiency",2009
