"TotalDrivingEfficiency_RANKTHISWEEK_2014","TotalDrivingEfficiency_RANKLASTWEEK_2014","TotalDrivingEfficiency_PLAYERNAME_2014","TotalDrivingEfficiency_ROUNDS_2014","TotalDrivingEfficiency_COMBINEDRANK_2014","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2014","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2014","stat_name","year"
1,1,"Bud Cauley",56,4,2,2,"TotalDrivingEfficiency",2014
2,2,"Hunter Mahan",88,6,3,3,"TotalDrivingEfficiency",2014
3,3,"Webb Simpson",87,9,8,1,"TotalDrivingEfficiency",2014
4,4,"Davis Love III",74,11,5,6,"TotalDrivingEfficiency",2014
5,5,"Mark Wilson",69,16,7,9,"TotalDrivingEfficiency",2014
6,6,"Ernie Els",85,28,22,6,"TotalDrivingEfficiency",2014
6,6,"Hideki Matsuyama",82,28,17,11,"TotalDrivingEfficiency",2014
8,8,"Ryan Palmer",85,30,6,24,"TotalDrivingEfficiency",2014
9,9,"Billy Horschel",92,32,8,24,"TotalDrivingEfficiency",2014
9,9,"Geoff Ogilvy",84,32,17,15,"TotalDrivingEfficiency",2014
11,11,"Zach Johnson",97,37,34,3,"TotalDrivingEfficiency",2014
11,11,"Josh Teater",90,37,15,22,"TotalDrivingEfficiency",2014
13,13,"Brian Davis",93,38,29,9,"TotalDrivingEfficiency",2014
14,14,"Morgan Hoffmann",103,39,12,27,"TotalDrivingEfficiency",2014
15,15,"Jordan Spieth",102,43,38,5,"TotalDrivingEfficiency",2014
16,16,"Ben Crane",81,48,19,29,"TotalDrivingEfficiency",2014
16,16,"Wes Roach",67,48,24,24,"TotalDrivingEfficiency",2014
18,18,"Will Ma Kenzie",82,49,20,29,"TotalDrivingEfficiency",2014
19,19,"Nicholas Thompson",85,53,34,19,"TotalDrivingEfficiency",2014
20,20,"Bill Haas",107,54,25,29,"TotalDrivingEfficiency",2014
21,21,"Jason Day",54,55,1,54,"TotalDrivingEfficiency",2014
21,21,"JB Holmes",86,55,10,45,"TotalDrivingEfficiency",2014
21,21,"Chris Kirk",105,55,20,35,"TotalDrivingEfficiency",2014
24,24,"Vijay Singh",83,58,13,45,"TotalDrivingEfficiency",2014
25,25,"Brian Harman",111,63,51,12,"TotalDrivingEfficiency",2014
25,25,"Heath Slocum",71,63,55,8,"TotalDrivingEfficiency",2014
25,25,"Tim Wilkinson",86,63,43,20,"TotalDrivingEfficiency",2014
28,28,"Dustin Johnson",58,64,22,42,"TotalDrivingEfficiency",2014
28,28,"Scott Stallings",77,64,16,48,"TotalDrivingEfficiency",2014
30,30,"Martin Laird",66,67,32,35,"TotalDrivingEfficiency",2014
31,31,"Jeff Maggert",54,69,51,18,"TotalDrivingEfficiency",2014
31,31,"Jimmy Walker",98,69,56,13,"TotalDrivingEfficiency",2014
33,33,"Sean OHair",77,71,4,67,"TotalDrivingEfficiency",2014
34,34,"Justin Rose",70,72,11,61,"TotalDrivingEfficiency",2014
35,35,"Brice Garnett",92,78,49,29,"TotalDrivingEfficiency",2014
36,36,"David Hearn",97,80,45,35,"TotalDrivingEfficiency",2014
37,37,"Bubba Watson",76,81,26,55,"TotalDrivingEfficiency",2014
38,38,"Ian Poulter",57,86,45,41,"TotalDrivingEfficiency",2014
39,39,"Jonas Blixt",64,87,67,20,"TotalDrivingEfficiency",2014
40,40,"Ryan Moore",86,92,78,14,"TotalDrivingEfficiency",2014
40,40,"Brandt Snedeker",89,92,37,55,"TotalDrivingEfficiency",2014
42,42,"Jamie Lovemark",64,93,29,64,"TotalDrivingEfficiency",2014
43,43,"Chris Stroud",88,97,70,27,"TotalDrivingEfficiency",2014
44,44,"Ben Curtis",77,99,66,33,"TotalDrivingEfficiency",2014
