"BogeyAvoidance_RANKTHISWEEK_2005","BogeyAvoidance_RANKLASTWEEK_2005","BogeyAvoidance_PLAYERNAME_2005","BogeyAvoidance_ROUNDS_2005","BogeyAvoidance_PctMAKESBOGEY_2005","BogeyAvoidance_BOGEYS_2005","BogeyAvoidance_HOLESPLAYED_2005","stat_name","year"
1,1,"Vijay Singh",111,12.69,249,1962,"BogeyAvoidance",2005
2,2,"Jim Furyk",94,13.14,220,1674,"BogeyAvoidance",2005
3,3,"Tiger Woods",76,13.36,178,1332,"BogeyAvoidance",2005
4,4,"Kevin Sutherland",89,14.43,226,1566,"BogeyAvoidance",2005
5,5,"Richard Johnson",50,14.44,130,900,"BogeyAvoidance",2005
6,6,"Olin Browne",99,14.56,249,1710,"BogeyAvoidance",2005
7,7,"Jose Maria Olazabal",55,14.57,139,954,"BogeyAvoidance",2005
8,8,"Heath Slocum",103,14.65,261,1782,"BogeyAvoidance",2005
9,9,"Jeff Brehaut",71,14.68,177,1206,"BogeyAvoidance",2005
10,10,"Luke Donald",67,14.72,159,1080,"BogeyAvoidance",2005
11,11,"Dudley Hart",84,14.75,223,1512,"BogeyAvoidance",2005
12,12,"Justin Rose",99,14.85,254,1710,"BogeyAvoidance",2005
13,13,"Steve Elkington",67,14.93,180,1206,"BogeyAvoidance",2005
14,14,"Phillip Price",77,14.99,197,1314,"BogeyAvoidance",2005
14,14,"Bob Tway",87,14.99,224,1494,"BogeyAvoidance",2005
16,16,"Loren Roberts",54,15.09,144,954,"BogeyAvoidance",2005
17,17,"Carl Pettersson",109,15.13,286,1890,"BogeyAvoidance",2005
18,18,"Doug Barron",70,15.16,191,1260,"BogeyAvoidance",2005
19,19,"Sergio Garcia",73,15.2,186,1224,"BogeyAvoidance",2005
20,20,"John Senden",101,15.26,272,1782,"BogeyAvoidance",2005
21,21,"Fred Funk",102,15.29,278,1818,"BogeyAvoidance",2005
22,22,"Phil Mickelson",81,15.32,204,1332,"BogeyAvoidance",2005
23,23,"Dan Forsman",52,15.33,138,900,"BogeyAvoidance",2005
23,23,"Joey Sindelar",104,15.33,287,1872,"BogeyAvoidance",2005
25,25,"Billy Mayfair",114,15.35,304,1980,"BogeyAvoidance",2005
26,26,"Chris DiMarco",83,15.41,208,1350,"BogeyAvoidance",2005
27,27,"Stewart Cink",98,15.43,250,1620,"BogeyAvoidance",2005
27,27,"Jeff Sluman",94,15.43,261,1692,"BogeyAvoidance",2005
29,29,"Bob Estes",92,15.46,256,1656,"BogeyAvoidance",2005
30,30,"JJ Henry",102,15.56,280,1800,"BogeyAvoidance",2005
31,31,"Bart Bryant",91,15.57,255,1638,"BogeyAvoidance",2005
32,32,"Jason Bohn",91,15.63,256,1638,"BogeyAvoidance",2005
33,33,"Kenny Perry",82,15.69,226,1440,"BogeyAvoidance",2005
34,34,"Shigeki Maruyama",99,15.7,277,1764,"BogeyAvoidance",2005
34,34,"Brett Quigley",96,15.7,260,1656,"BogeyAvoidance",2005
