"BirdietoBogeyRatio_RANKTHISWEEK_2016","BirdietoBogeyRatio_RANKLASTWEEK_2016","BirdietoBogeyRatio_PLAYERNAME_2016","BirdietoBogeyRatio_ROUNDS_2016","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2016","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2016","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2016","stat_name","year"
1,1,"Rickie Fowler",42,2.11,173,82,"BirdietoBogeyRatio",2016
2,6,"Phil Mickelson",37,1.83,148,81,"BirdietoBogeyRatio",2016
3,4,"Dustin Johnson",37,1.8,157,87,"BirdietoBogeyRatio",2016
3,2,"Hideki Matsuyama",40,1.8,176,98,"BirdietoBogeyRatio",2016
3,4,"Jordan Spieth",34,1.8,146,81,"BirdietoBogeyRatio",2016
6,3,"Adam Scott",39,1.75,168,96,"BirdietoBogeyRatio",2016
7,10,"Russell Knox",48,1.72,172,100,"BirdietoBogeyRatio",2016
8,12,"Marc Leishman",41,1.7,155,91,"BirdietoBogeyRatio",2016
8,8,"Rory McIlroy",37,1.7,141,83,"BirdietoBogeyRatio",2016
10,13,"Jason Day",36,1.69,130,77,"BirdietoBogeyRatio",2016
10,7,"Charles Howell III",63,1.69,250,148,"BirdietoBogeyRatio",2016
12,16,"Lucas Glover",53,1.68,198,118,"BirdietoBogeyRatio",2016
12,14,"Brandt Snedeker",47,1.68,176,105,"BirdietoBogeyRatio",2016
12,14,"Bubba Watson",30,1.68,116,69,"BirdietoBogeyRatio",2016
15,8,"Alex Cejka",47,1.65,186,113,"BirdietoBogeyRatio",2016
15,10,"Patrick Reed",53,1.65,191,116,"BirdietoBogeyRatio",2016
17,18,"Tim Wilkinson",40,1.63,150,92,"BirdietoBogeyRatio",2016
18,25,"Justin Rose",35,1.6,138,86,"BirdietoBogeyRatio",2016
19,21,"Kevin Na",52,1.59,200,126,"BirdietoBogeyRatio",2016
20,22,"Branden Grace",31,1.57,105,67,"BirdietoBogeyRatio",2016
20,20,"Jamie Lovemark",57,1.57,227,145,"BirdietoBogeyRatio",2016
