"ReverseBounceBack_RANKTHISWEEK_2006","ReverseBounceBack_RANKLASTWEEK_2006","ReverseBounceBack_PLAYERNAME_2006","ReverseBounceBack_ROUNDS_2006","ReverseBounceBack_PctUNDERTHENOVERPAR_2006","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2006","ReverseBounceBack_UNDERPAR_2006","stat_name","year"
1,1,"Jim Furyk",89,9.36,32,342,"ReverseBounceBack",2006
2,2,"Alex Cejka",93,10.94,36,329,"ReverseBounceBack",2006
3,3,"Chris DiMarco",83,11.32,30,265,"ReverseBounceBack",2006
4,4,"Brian Gay",107,11.67,44,377,"ReverseBounceBack",2006
5,5,"Chris Riley",86,12.01,34,283,"ReverseBounceBack",2006
6,6,"Ernie Els",69,12.5,29,232,"ReverseBounceBack",2006
6,6,"Padraig Harrington",54,12.5,22,176,"ReverseBounceBack",2006
6,6,"Richard Johnson",94,12.5,39,312,"ReverseBounceBack",2006
9,9,"Billy Mayfair",94,12.58,38,302,"ReverseBounceBack",2006
10,10,"Jerry Kelly",100,12.68,44,347,"ReverseBounceBack",2006
11,11,"Greg Kraft",79,12.71,30,236,"ReverseBounceBack",2006
12,12,"Brett Quigley",109,12.77,47,368,"ReverseBounceBack",2006
13,13,"Steve Stricker",64,12.88,30,233,"ReverseBounceBack",2006
14,14,"Tjaart van der Walt",60,12.96,21,162,"ReverseBounceBack",2006
15,15,"Paul Goydos",72,12.99,30,231,"ReverseBounceBack",2006
16,16,"Trevor Immelman",86,13,42,323,"ReverseBounceBack",2006
17,17,"Bob May",65,13.02,28,215,"ReverseBounceBack",2006
18,18,"Jeff Gove",91,13.07,37,283,"ReverseBounceBack",2006
19,19,"Corey Pavin",74,13.2,26,197,"ReverseBounceBack",2006
20,20,"Joe Ogilvie",95,13.31,43,323,"ReverseBounceBack",2006
21,21,"Geoff Ogilvy",76,13.41,33,246,"ReverseBounceBack",2006
22,22,"Scott Verplank",88,13.44,41,305,"ReverseBounceBack",2006
23,23,"Tiger Woods",55,13.5,32,237,"ReverseBounceBack",2006
24,24,"David Toms",76,13.51,35,259,"ReverseBounceBack",2006
25,25,"Justin Rose",98,13.59,50,368,"ReverseBounceBack",2006
26,26,"Jesper Parnevik",84,13.65,40,293,"ReverseBounceBack",2006
27,27,"Stewart Cink",93,13.69,43,314,"ReverseBounceBack",2006
28,28,"Greg Owen",79,13.72,38,277,"ReverseBounceBack",2006
29,29,"Ben Curtis",86,13.74,36,262,"ReverseBounceBack",2006
30,30,"Mark Brooks",90,13.93,34,244,"ReverseBounceBack",2006
31,31,"Paul Stankowski",70,14.16,31,219,"ReverseBounceBack",2006
32,32,"Ben Crane",85,14.29,42,294,"ReverseBounceBack",2006
32,32,"Adam Scott",70,14.29,37,259,"ReverseBounceBack",2006
34,34,"Nick Watney",97,14.33,50,349,"ReverseBounceBack",2006
35,35,"Ryan Moore",68,14.35,32,223,"ReverseBounceBack",2006
36,36,"Joe Durant",101,14.37,51,355,"ReverseBounceBack",2006
37,37,"Steve Elkington",52,14.38,23,160,"ReverseBounceBack",2006
38,38,"Arron Oberholser",82,14.39,41,285,"ReverseBounceBack",2006
39,39,"Jason Bohn",104,14.45,50,346,"ReverseBounceBack",2006
40,40,"Sean OHair",100,14.46,48,332,"ReverseBounceBack",2006
41,41,"Frank Lickliter II",99,14.49,50,345,"ReverseBounceBack",2006
42,42,"Mike Weir",88,14.52,45,310,"ReverseBounceBack",2006
43,43,"Michael Allen",84,14.57,44,302,"ReverseBounceBack",2006
44,44,"Chad Campbell",91,14.63,43,294,"ReverseBounceBack",2006
44,44,"Steve Jones",83,14.63,36,246,"ReverseBounceBack",2006
46,46,"Nathan Green",108,14.72,53,360,"ReverseBounceBack",2006
47,47,"Brad Faxon",78,14.93,33,221,"ReverseBounceBack",2006
