"StrokeDifferentialFieldAverage_RANKTHISWEEK_2008","StrokeDifferentialFieldAverage_RANKLASTWEEK_2008","StrokeDifferentialFieldAverage_PLAYERNAME_2008","StrokeDifferentialFieldAverage_ROUNDS_2008","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2008","StrokeDifferentialFieldAverage_PLAYERSSCORE_2008","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2008","stat_name","year"
1,1,"Phil Mickelson",80,1.87,70.28,72.15,"StrokeDifferentialFieldAverage",2008
2,2,"Padraig Harrington",52,1.68,70.7,72.38,"StrokeDifferentialFieldAverage",2008
3,3,"Sergio Garcia",72,1.62,70.6,72.22,"StrokeDifferentialFieldAverage",2008
4,4,"Anthony Kim",81,1.51,70.22,71.73,"StrokeDifferentialFieldAverage",2008
5,5,"Jim Furyk",95,1.4,70.56,71.96,"StrokeDifferentialFieldAverage",2008
6,6,"Camilo Villegas",79,1.38,70.6,71.98,"StrokeDifferentialFieldAverage",2008
7,7,"Robert Allenby",108,1.37,70.64,72.01,"StrokeDifferentialFieldAverage",2008
7,7,"Vijay Singh",82,1.37,70.27,71.64,"StrokeDifferentialFieldAverage",2008
9,9,"Stewart Cink",87,1.22,70.65,71.87,"StrokeDifferentialFieldAverage",2008
9,9,"Justin Leonard",101,1.22,70.41,71.63,"StrokeDifferentialFieldAverage",2008
11,11,"Stuart Appleby",87,1.18,70.86,72.04,"StrokeDifferentialFieldAverage",2008
12,12,"Kenny Perry",97,1.05,70.21,71.26,"StrokeDifferentialFieldAverage",2008
13,13,"Aaron Baddeley",76,1,70.86,71.86,"StrokeDifferentialFieldAverage",2008
13,13,"Mike Weir",88,1,70.68,71.68,"StrokeDifferentialFieldAverage",2008
15,15,"Stephen Ames",83,0.99,70.67,71.66,"StrokeDifferentialFieldAverage",2008
16,16,"Ben Curtis",80,0.95,70.96,71.91,"StrokeDifferentialFieldAverage",2008
17,17,"Pat Perez",93,0.94,70.7,71.64,"StrokeDifferentialFieldAverage",2008
17,17,"Adam Scott",51,0.94,71.45,72.39,"StrokeDifferentialFieldAverage",2008
17,17,"Steve Stricker",75,0.94,70.83,71.77,"StrokeDifferentialFieldAverage",2008
20,20,"Kevin Sutherland",98,0.88,70.22,71.1,"StrokeDifferentialFieldAverage",2008
21,21,"Brian Gay",102,0.87,70.11,70.98,"StrokeDifferentialFieldAverage",2008
22,22,"Ernie Els",51,0.86,71.44,72.3,"StrokeDifferentialFieldAverage",2008
23,23,"Ben Crane",86,0.85,70.38,71.23,"StrokeDifferentialFieldAverage",2008
24,24,"Nick OHern",82,0.84,70.89,71.73,"StrokeDifferentialFieldAverage",2008
25,25,"Chad Campbell",94,0.83,70.37,71.2,"StrokeDifferentialFieldAverage",2008
25,25,"Bob Tway",70,0.83,69.94,70.77,"StrokeDifferentialFieldAverage",2008
27,27,"Steve Marino",119,0.82,70.29,71.11,"StrokeDifferentialFieldAverage",2008
28,28,"Briny Baird",113,0.81,70.44,71.25,"StrokeDifferentialFieldAverage",2008
28,28,"Hunter Mahan",87,0.81,70.78,71.59,"StrokeDifferentialFieldAverage",2008
30,30,"Geoff Ogilvy",65,0.77,71.38,72.15,"StrokeDifferentialFieldAverage",2008
31,31,"Carl Pettersson",110,0.75,70.84,71.59,"StrokeDifferentialFieldAverage",2008
32,32,"KJ Choi",74,0.74,71.01,71.75,"StrokeDifferentialFieldAverage",2008
33,33,"Davis Love III",78,0.72,71.21,71.93,"StrokeDifferentialFieldAverage",2008
33,33,"Boo Weekley",86,0.72,71.12,71.84,"StrokeDifferentialFieldAverage",2008
35,35,"Steve Elkington",84,0.7,70.67,71.37,"StrokeDifferentialFieldAverage",2008
35,35,"Mathew Goggin",91,0.7,70.73,71.43,"StrokeDifferentialFieldAverage",2008
37,37,"Retief Goosen",59,0.69,71.71,72.4,"StrokeDifferentialFieldAverage",2008
38,38,"Bart Bryant",81,0.66,71.22,71.88,"StrokeDifferentialFieldAverage",2008
38,38,"Ken Duke",116,0.66,70.61,71.27,"StrokeDifferentialFieldAverage",2008
38,38,"Charlie Wi",97,0.66,70.41,71.07,"StrokeDifferentialFieldAverage",2008
41,41,"Paul Casey",55,0.65,71.75,72.4,"StrokeDifferentialFieldAverage",2008
41,41,"Ian Poulter",51,0.65,71.84,72.49,"StrokeDifferentialFieldAverage",2008
43,43,"Mark Wilson",107,0.64,70.44,71.08,"StrokeDifferentialFieldAverage",2008
44,44,"DJ Trahan",94,0.63,70.89,71.52,"StrokeDifferentialFieldAverage",2008
45,45,"Ryuji Imada",80,0.62,71.13,71.75,"StrokeDifferentialFieldAverage",2008
45,45,"Freddie Jacobson",78,0.62,71.26,71.88,"StrokeDifferentialFieldAverage",2008
47,47,"Fred Couples",60,0.6,71.22,71.82,"StrokeDifferentialFieldAverage",2008
47,47,"Matt Kuchar",88,0.6,71.03,71.63,"StrokeDifferentialFieldAverage",2008
49,49,"Tom Pernice Jr",104,0.58,70.54,71.12,"StrokeDifferentialFieldAverage",2008
50,50,"Zach Johnson",85,0.57,71.06,71.63,"StrokeDifferentialFieldAverage",2008
50,50,"John Senden",93,0.57,70.9,71.47,"StrokeDifferentialFieldAverage",2008
52,52,"Nick Watney",96,0.55,71.02,71.57,"StrokeDifferentialFieldAverage",2008
53,53,"David Toms",70,0.54,71.13,71.67,"StrokeDifferentialFieldAverage",2008
53,53,"Scott Verplank",82,0.54,70.84,71.38,"StrokeDifferentialFieldAverage",2008
55,55,"Brandt Snedeker",85,0.52,71.27,71.79,"StrokeDifferentialFieldAverage",2008
56,56,"Charles Howell III",101,0.5,71.15,71.65,"StrokeDifferentialFieldAverage",2008
57,57,"Michael Allen",91,0.49,71.07,71.56,"StrokeDifferentialFieldAverage",2008
57,57,"Tim Clark",90,0.49,70.87,71.36,"StrokeDifferentialFieldAverage",2008
59,59,"JB Holmes",86,0.48,71.39,71.87,"StrokeDifferentialFieldAverage",2008
60,60,"John Merrick",98,0.47,70.97,71.44,"StrokeDifferentialFieldAverage",2008
61,61,"Dudley Hart",74,0.46,70.84,71.3,"StrokeDifferentialFieldAverage",2008
62,62,"John Huston",56,0.45,70.48,70.93,"StrokeDifferentialFieldAverage",2008
63,63,"Sean OHair",81,0.44,71.25,71.69,"StrokeDifferentialFieldAverage",2008
64,64,"Bill Haas",99,0.43,70.66,71.09,"StrokeDifferentialFieldAverage",2008
64,64,"Ryan Palmer",69,0.43,70.48,70.91,"StrokeDifferentialFieldAverage",2008
66,66,"John Mallinger",95,0.42,71.02,71.44,"StrokeDifferentialFieldAverage",2008
66,66,"Heath Slocum",104,0.42,71.17,71.59,"StrokeDifferentialFieldAverage",2008
68,68,"Corey Pavin",69,0.41,70.67,71.08,"StrokeDifferentialFieldAverage",2008
69,69,"Jeff Quinney",87,0.4,71.39,71.79,"StrokeDifferentialFieldAverage",2008
69,69,"Rory Sabbatini",77,0.4,71.05,71.45,"StrokeDifferentialFieldAverage",2008
71,71,"Kevin Na",97,0.39,70.81,71.2,"StrokeDifferentialFieldAverage",2008
72,72,"Parker McLachlin",88,0.36,71.07,71.43,"StrokeDifferentialFieldAverage",2008
72,72,"Kevin Streelman",114,0.36,70.63,70.99,"StrokeDifferentialFieldAverage",2008
74,74,"Woody Austin",109,0.35,71.1,71.45,"StrokeDifferentialFieldAverage",2008
74,74,"Gavin Coles",54,0.35,70.65,71,"StrokeDifferentialFieldAverage",2008
74,74,"Bob Estes",90,0.35,70.69,71.04,"StrokeDifferentialFieldAverage",2008
77,77,"Brian Davis",108,0.34,70.73,71.07,"StrokeDifferentialFieldAverage",2008
78,78,"Lucas Glover",91,0.33,70.95,71.28,"StrokeDifferentialFieldAverage",2008
78,78,"Billy Mayfair",103,0.33,70.76,71.09,"StrokeDifferentialFieldAverage",2008
78,78,"Vaughn Taylor",103,0.33,70.84,71.17,"StrokeDifferentialFieldAverage",2008
81,81,"Brett Quigley",80,0.32,71.28,71.6,"StrokeDifferentialFieldAverage",2008
82,82,"George McNeill",97,0.29,70.94,71.23,"StrokeDifferentialFieldAverage",2008
82,82,"Dean Wilson",109,0.29,70.98,71.27,"StrokeDifferentialFieldAverage",2008
84,84,"Shane Bertsch",96,0.27,70.56,70.83,"StrokeDifferentialFieldAverage",2008
84,84,"Tom Lehman",51,0.27,71.98,72.25,"StrokeDifferentialFieldAverage",2008
86,86,"Rod Pampling",83,0.26,71.39,71.65,"StrokeDifferentialFieldAverage",2008
87,87,"Glen Day",64,0.25,70.61,70.86,"StrokeDifferentialFieldAverage",2008
87,87,"Trevor Immelman",70,0.25,71.85,72.1,"StrokeDifferentialFieldAverage",2008
87,87,"Joe Ogilvie",100,0.25,70.92,71.17,"StrokeDifferentialFieldAverage",2008
87,87,"Jeff Overton",103,0.25,71.29,71.54,"StrokeDifferentialFieldAverage",2008
87,87,"Tim Wilkinson",95,0.25,71.02,71.27,"StrokeDifferentialFieldAverage",2008
92,92,"Tim Herron",97,0.24,70.66,70.9,"StrokeDifferentialFieldAverage",2008
93,93,"Steve Flesch",95,0.22,71.17,71.39,"StrokeDifferentialFieldAverage",2008
93,93,"Bubba Watson",97,0.22,71.07,71.29,"StrokeDifferentialFieldAverage",2008
95,95,"Robert Garrigus",90,0.21,71.02,71.23,"StrokeDifferentialFieldAverage",2008
95,95,"Rocco Mediate",87,0.21,71.61,71.82,"StrokeDifferentialFieldAverage",2008
97,97,"Carlos Franco",73,0.19,71.16,71.35,"StrokeDifferentialFieldAverage",2008
97,97,"Michael Letzig",88,0.19,71.01,71.2,"StrokeDifferentialFieldAverage",2008
97,97,"Tim Petrovic",97,0.19,71.23,71.42,"StrokeDifferentialFieldAverage",2008
100,100,"John Rollins",94,0.18,71.54,71.72,"StrokeDifferentialFieldAverage",2008
101,101,"Jonathan Byrd",88,0.15,71.36,71.51,"StrokeDifferentialFieldAverage",2008
102,102,"Peter Lonard",92,0.13,70.93,71.06,"StrokeDifferentialFieldAverage",2008
103,103,"Brenden Pappas",66,0.12,70.8,70.92,"StrokeDifferentialFieldAverage",2008
103,103,"Patrick Sheehan",124,0.12,70.93,71.05,"StrokeDifferentialFieldAverage",2008
103,103,"Bo Van Pelt",101,0.12,70.96,71.08,"StrokeDifferentialFieldAverage",2008
106,106,"Jesper Parnevik",88,0.11,71.25,71.36,"StrokeDifferentialFieldAverage",2008
106,106,"Andres Romero",69,0.11,71.85,71.96,"StrokeDifferentialFieldAverage",2008
108,108,"Scott Sterling",89,0.1,70.92,71.02,"StrokeDifferentialFieldAverage",2008
109,109,"Daniel Chopra",84,0.09,71.51,71.6,"StrokeDifferentialFieldAverage",2008
109,109,"Todd Hamilton",92,0.09,71.83,71.92,"StrokeDifferentialFieldAverage",2008
111,111,"Tommy Armour III",77,0.06,70.99,71.05,"StrokeDifferentialFieldAverage",2008
111,111,"JJ Henry",108,0.06,71.07,71.13,"StrokeDifferentialFieldAverage",2008
113,113,"Jason Day",81,0.04,71.06,71.1,"StrokeDifferentialFieldAverage",2008
113,113,"Jerry Kelly",89,0.04,71.49,71.53,"StrokeDifferentialFieldAverage",2008
115,115,"Nicholas Thompson",113,0.03,71.38,71.41,"StrokeDifferentialFieldAverage",2008
116,116,"Angel Cabrera",55,0.02,71.94,71.96,"StrokeDifferentialFieldAverage",2008
