"BogeyAverage_RANKTHISWEEK_2005","BogeyAverage_RANKLASTWEEK_2005","BogeyAverage_PLAYERNAME_2005","BogeyAverage_EVENTS_2005","BogeyAverage_AVERAGEBOGEYSPERROUND_2005","BogeyAverage_TOTALBOGEYS_2005","BogeyAverage_ROUNDSPLAYED_2005","stat_name","year"
1,1,"Vijay Singh",30,2.12,231,109,"BogeyAverage",2005
2,2,"Tiger Woods",21,2.2,163,74,"BogeyAverage",2005
3,3,"Jim Furyk",26,2.22,206,93,"BogeyAverage",2005
4,4,"Richard Johnson",16,2.24,112,50,"BogeyAverage",2005
5,5,"Kevin Sutherland",26,2.26,197,87,"BogeyAverage",2005
6,6,"Jeff Brehaut",23,2.28,153,67,"BogeyAverage",2005
6,6,"Jose Maria Olazabal",16,2.28,121,53,"BogeyAverage",2005
8,8,"Dudley Hart",29,2.32,195,84,"BogeyAverage",2005
9,9,"Luke Donald",18,2.33,140,60,"BogeyAverage",2005
10,10,"Phillip Price",25,2.34,171,73,"BogeyAverage",2005
10,10,"Heath Slocum",29,2.34,232,99,"BogeyAverage",2005
12,12,"Olin Browne",29,2.39,227,95,"BogeyAverage",2005
12,12,"Harrison Frazar",31,2.39,241,101,"BogeyAverage",2005
14,14,"Doug Barron",24,2.4,168,70,"BogeyAverage",2005
14,14,"Chris DiMarco",24,2.4,180,75,"BogeyAverage",2005
16,16,"Justin Rose",28,2.41,229,95,"BogeyAverage",2005
16,16,"Joey Sindelar",29,2.41,251,104,"BogeyAverage",2005
18,18,"Carl Pettersson",34,2.42,254,105,"BogeyAverage",2005
18,18,"Bob Tway",26,2.42,201,83,"BogeyAverage",2005
20,20,"Steve Elkington",20,2.43,163,67,"BogeyAverage",2005
20,20,"Phil Mickelson",21,2.43,180,74,"BogeyAverage",2005
20,20,"Jay Williamson",16,2.43,129,53,"BogeyAverage",2005
23,23,"Dan Forsman",17,2.44,122,50,"BogeyAverage",2005
23,23,"Nick Watney",31,2.44,217,89,"BogeyAverage",2005
25,25,"Billy Mayfair",31,2.45,269,110,"BogeyAverage",2005
26,26,"John Senden",29,2.47,245,99,"BogeyAverage",2005
26,26,"Jeff Sluman",28,2.47,232,94,"BogeyAverage",2005
26,26,"Steve Stricker",21,2.47,153,62,"BogeyAverage",2005
29,29,"Lucas Glover",28,2.48,213,86,"BogeyAverage",2005
30,30,"Marco Dawson",23,2.49,204,82,"BogeyAverage",2005
30,30,"Sergio Garcia",20,2.49,169,68,"BogeyAverage",2005
32,32,"Fred Funk",30,2.5,252,101,"BogeyAverage",2005
32,32,"Shigeki Maruyama",29,2.5,245,98,"BogeyAverage",2005
34,34,"Loren Roberts",18,2.51,133,53,"BogeyAverage",2005
35,35,"Dean Wilson",27,2.52,217,86,"BogeyAverage",2005
36,36,"Zach Johnson",30,2.53,240,95,"BogeyAverage",2005
36,36,"Davis Love III",24,2.53,190,75,"BogeyAverage",2005
38,38,"Darron Stiles",26,2.54,193,76,"BogeyAverage",2005
38,38,"Kirk Triplett",18,2.54,132,52,"BogeyAverage",2005
40,40,"Daniel Chopra",34,2.55,265,104,"BogeyAverage",2005
40,40,"Jerry Kelly",31,2.55,252,99,"BogeyAverage",2005
42,42,"Stewart Cink",26,2.56,230,90,"BogeyAverage",2005
42,42,"Mark Wilson",25,2.56,179,70,"BogeyAverage",2005
44,44,"Brian Gay",33,2.57,254,99,"BogeyAverage",2005
44,44,"Arron Oberholser",21,2.57,162,63,"BogeyAverage",2005
44,44,"Pat Perez",28,2.57,229,89,"BogeyAverage",2005
44,44,"Brett Quigley",31,2.57,236,92,"BogeyAverage",2005
48,48,"Kenny Perry",23,2.58,206,80,"BogeyAverage",2005
49,49,"Tommy Armour III",29,2.59,267,103,"BogeyAverage",2005
49,49,"Bart Bryant",26,2.59,236,91,"BogeyAverage",2005
49,49,"Bo Van Pelt",33,2.59,290,112,"BogeyAverage",2005
52,52,"Briny Baird",33,2.6,250,96,"BogeyAverage",2005
52,52,"Jason Bohn",28,2.6,237,91,"BogeyAverage",2005
52,52,"Bob Estes",25,2.6,239,92,"BogeyAverage",2005
52,52,"Tim Herron",28,2.6,257,99,"BogeyAverage",2005
52,52,"Matt Kuchar",21,2.6,156,60,"BogeyAverage",2005
57,57,"Chad Campbell",27,2.61,240,92,"BogeyAverage",2005
57,57,"Tim Petrovic",32,2.61,243,93,"BogeyAverage",2005
57,57,"David Toms",25,2.61,201,77,"BogeyAverage",2005
60,60,"Ryuji Imada",25,2.62,204,78,"BogeyAverage",2005
60,60,"Tom Pernice Jr",32,2.62,280,107,"BogeyAverage",2005
60,60,"Scott Verplank",25,2.62,225,86,"BogeyAverage",2005
63,63,"Stuart Appleby",25,2.63,210,80,"BogeyAverage",2005
63,63,"Joe Durant",25,2.63,213,81,"BogeyAverage",2005
63,63,"Bob Heintz",24,2.63,176,67,"BogeyAverage",2005
63,63,"JJ Henry",32,2.63,263,100,"BogeyAverage",2005
63,63,"Brendan Jones",28,2.63,208,79,"BogeyAverage",2005
63,63,"Geoff Ogilvy",26,2.63,245,93,"BogeyAverage",2005
63,63,"Corey Pavin",23,2.63,192,73,"BogeyAverage",2005
63,63,"Hidemichi Tanaka",34,2.63,268,102,"BogeyAverage",2005
63,63,"Mario Tiziani",23,2.63,171,65,"BogeyAverage",2005
72,72,"Sean OHair",29,2.64,261,99,"BogeyAverage",2005
73,73,"Neal Lancaster",31,2.65,252,95,"BogeyAverage",2005
73,73,"Justin Leonard",24,2.65,199,75,"BogeyAverage",2005
75,75,"Gavin Coles",22,2.66,186,70,"BogeyAverage",2005
75,75,"Greg Owen",24,2.66,213,80,"BogeyAverage",2005
77,77,"Scott Gutschewski",27,2.67,219,82,"BogeyAverage",2005
78,78,"Jose Coceres",22,2.69,145,54,"BogeyAverage",2005
78,78,"Tag Ridings",31,2.69,245,91,"BogeyAverage",2005
78,78,"Brett Wetterich",28,2.69,199,74,"BogeyAverage",2005
81,81,"KJ Choi",24,2.7,197,73,"BogeyAverage",2005
81,81,"Retief Goosen",18,2.7,165,61,"BogeyAverage",2005
81,81,"Jonathan Kaye",24,2.7,200,74,"BogeyAverage",2005
84,84,"Carlos Franco",25,2.71,206,76,"BogeyAverage",2005
85,85,"Tim Clark",26,2.72,237,87,"BogeyAverage",2005
85,85,"Mathias Gronberg",19,2.72,158,58,"BogeyAverage",2005
85,85,"Jesper Parnevik",24,2.72,223,82,"BogeyAverage",2005
85,85,"DA Points",33,2.72,245,90,"BogeyAverage",2005
89,89,"Charles Howell III",29,2.73,246,90,"BogeyAverage",2005
89,89,"Roland Thatcher",26,2.73,199,73,"BogeyAverage",2005
89,89,"Omar Uresti",27,2.73,229,84,"BogeyAverage",2005
92,92,"Robert Allenby",31,2.74,244,89,"BogeyAverage",2005
92,92,"Aaron Baddeley",27,2.74,225,82,"BogeyAverage",2005
94,94,"James Driscoll",26,2.75,195,71,"BogeyAverage",2005
94,94,"Will Ma Kenzie",25,2.75,201,73,"BogeyAverage",2005
96,96,"Glen Hnatiuk",21,2.76,152,55,"BogeyAverage",2005
96,96,"Kevin Stadler",33,2.76,254,92,"BogeyAverage",2005
98,98,"Ben Crane",21,2.77,205,74,"BogeyAverage",2005
98,98,"JL Lewis",30,2.77,271,98,"BogeyAverage",2005
98,98,"Rocco Mediate",24,2.77,202,73,"BogeyAverage",2005
98,98,"Charlie Wi",23,2.77,180,65,"BogeyAverage",2005
102,102,"Robert Gamez",28,2.78,253,91,"BogeyAverage",2005
102,102,"Stephen Leaney",29,2.78,239,86,"BogeyAverage",2005
102,102,"Hunter Mahan",34,2.78,281,101,"BogeyAverage",2005
102,102,"Adam Scott",19,2.78,189,68,"BogeyAverage",2005
106,106,"Brian Davis",23,2.79,209,75,"BogeyAverage",2005
106,106,"Tom Lehman",20,2.79,187,67,"BogeyAverage",2005
106,106,"Frank Lickliter II",33,2.79,268,96,"BogeyAverage",2005
106,106,"Joe Ogilvie",30,2.79,276,99,"BogeyAverage",2005
110,110,"Jonathan Byrd",31,2.8,277,99,"BogeyAverage",2005
110,110,"Tom Byrum",27,2.8,232,83,"BogeyAverage",2005
110,110,"Matt Gogel",28,2.8,213,76,"BogeyAverage",2005
110,110,"Hunter Haas",28,2.8,221,79,"BogeyAverage",2005
110,110,"Kevin Na",32,2.8,241,86,"BogeyAverage",2005
110,110,"Patrick Sheehan",35,2.8,308,110,"BogeyAverage",2005
116,116,"Stephen Ames",24,2.81,222,79,"BogeyAverage",2005
116,116,"Ryan Palmer",32,2.81,273,97,"BogeyAverage",2005
116,116,"Joey Snyder III",31,2.81,275,98,"BogeyAverage",2005
119,119,"Craig Barlow",26,2.82,217,77,"BogeyAverage",2005
119,119,"Steve Lowery",32,2.82,271,96,"BogeyAverage",2005
121,121,"Mark Calcavecchia",27,2.83,255,90,"BogeyAverage",2005
121,121,"Freddie Jacobson",23,2.83,201,71,"BogeyAverage",2005
