"DistancefromEdgeofFairway_RANKTHISWEEK_2012","DistancefromEdgeofFairway_RANKLASTWEEK_2012","DistancefromEdgeofFairway_PLAYERNAME_2012","DistancefromEdgeofFairway_EVENTS_2012","DistancefromEdgeofFairway_AVG_2012","DistancefromEdgeofFairway_TOTALDISTANCEFEET_2012","DistancefromEdgeofFairway_TOTALSTROKES_2012","stat_name","year"
1,1,"David Toms",19,NA,3404.5,186,"DistancefromEdgeofFairway",2012
2,2,"KJ Choi",21,NA,4930.25,264,"DistancefromEdgeofFairway",2012
2,2,"Tim Clark",20,NA,3479.167,186,"DistancefromEdgeofFairway",2012
4,4,"Zach Johnson",25,NA,5705.167,302,"DistancefromEdgeofFairway",2012
5,5,"Heath Slocum",29,NA,5242.417,275,"DistancefromEdgeofFairway",2012
6,6,"Graeme McDowell",16,NA,2919.25,148,"DistancefromEdgeofFairway",2012
7,7,"Jim Furyk",24,NA,4996.75,249,"DistancefromEdgeofFairway",2012
8,8,"Matt Kuchar",22,NA,6682.25,321,"DistancefromEdgeofFairway",2012
9,9,"Ted Potter Jr",25,NA,6119.583,293,"DistancefromEdgeofFairway",2012
10,10,"Justin Leonard",26,NA,7434.667,349,"DistancefromEdgeofFairway",2012
11,11,"Jason Dufner",22,NA,6007.833,281,"DistancefromEdgeofFairway",2012
12,12,"Ryan Moore",24,NA,7860.167,366,"DistancefromEdgeofFairway",2012
13,13,"Gary Christian",28,NA,6659.583,309,"DistancefromEdgeofFairway",2012
13,13,"Jerry Kelly",26,NA,5433.833,252,"DistancefromEdgeofFairway",2012
15,15,"Hunter Mahan",23,NA,6131.667,282,"DistancefromEdgeofFairway",2012
16,16,"Ken Duke",30,NA,8890.167,407,"DistancefromEdgeofFairway",2012
17,17,"John Huh",28,NA,7948.25,361,"DistancefromEdgeofFairway",2012
18,18,"Russell Knox",23,NA,5417.75,245,"DistancefromEdgeofFairway",2012
18,18,"Jeff Maggert",27,NA,7562,343,"DistancefromEdgeofFairway",2012
20,20,"Brendan Steele",24,NA,6873.167,310,"DistancefromEdgeofFairway",2012
20,20,"Mark Wilson",25,NA,6347.417,286,"DistancefromEdgeofFairway",2012
22,22,"Brian Davis",29,NA,7577,340,"DistancefromEdgeofFairway",2012
22,22,"Tom Gillis",23,NA,6842.917,308,"DistancefromEdgeofFairway",2012
24,24,"John Rollins",26,NA,7390.917,331,"DistancefromEdgeofFairway",2012
25,25,"Ian Poulter",15,NA,3559.083,158,"DistancefromEdgeofFairway",2012
26,26,"Sangmoon Bae",25,NA,7517.833,333,"DistancefromEdgeofFairway",2012
27,27,"Ben Curtis",19,NA,4653.583,205,"DistancefromEdgeofFairway",2012
27,27,"Kyle Thompson",22,NA,4054.583,179,"DistancefromEdgeofFairway",2012
29,29,"Richard Lee",24,NA,5483.5,241,"DistancefromEdgeofFairway",2012
29,29,"Rory McIlroy",16,NA,5413.667,238,"DistancefromEdgeofFairway",2012
31,31,"Scott Dunlap",20,NA,4999.083,218,"DistancefromEdgeofFairway",2012
31,31,"David Mathis",29,NA,7712.167,336,"DistancefromEdgeofFairway",2012
31,31,"Steve Stricker",19,NA,5974.667,261,"DistancefromEdgeofFairway",2012
34,34,"Martin Laird",22,NA,6594.167,287,"DistancefromEdgeofFairway",2012
34,34,"Spencer Levin",26,NA,9056.167,394,"DistancefromEdgeofFairway",2012
34,34,"Chez Reavie",26,NA,6420.333,279,"DistancefromEdgeofFairway",2012
34,34,"YE Yang",20,NA,6050,263,"DistancefromEdgeofFairway",2012
38,38,"Gavin Coles",23,NA,6297.167,273,"DistancefromEdgeofFairway",2012
38,38,"Chris DiMarco",29,NA,6764.417,293,"DistancefromEdgeofFairway",2012
38,38,"Boo Weekley",25,NA,6118.667,265,"DistancefromEdgeofFairway",2012
41,41,"Kevin Na",25,NA,6571.583,283,"DistancefromEdgeofFairway",2012
42,42,"Justin Rose",19,NA,6049.667,258,"DistancefromEdgeofFairway",2012
43,43,"Kris Blanks",23,NA,6287.75,268,"DistancefromEdgeofFairway",2012
43,43,"Brandt Snedeker",22,NA,7986.75,340,"DistancefromEdgeofFairway",2012
45,45,"Roberto Castro",27,NA,8132.333,345,"DistancefromEdgeofFairway",2012
46,46,"Colt Knost",29,NA,6966.5,294,"DistancefromEdgeofFairway",2012
46,46,"Patrick Sheehan",21,NA,5580.583,236,"DistancefromEdgeofFairway",2012
48,48,"Will Claxton",28,NA,9321.417,392,"DistancefromEdgeofFairway",2012
48,48,"Ben Crane",23,NA,6786.667,286,"DistancefromEdgeofFairway",2012
48,48,"Sergio Garcia",16,NA,5372.083,226,"DistancefromEdgeofFairway",2012
48,48,"Brian Harman",30,NA,9274.417,390,"DistancefromEdgeofFairway",2012
48,48,"Kevin Stadler",25,NA,7442.167,313,"DistancefromEdgeofFairway",2012
48,48,"Lee Westwood",15,NA,4885.417,206,"DistancefromEdgeofFairway",2012
54,54,"Bill Lunde",25,NA,8343.5,350,"DistancefromEdgeofFairway",2012
54,54,"Jeff Overton",29,NA,11055,464,"DistancefromEdgeofFairway",2012
54,54,"John Senden",22,NA,6972,293,"DistancefromEdgeofFairway",2012
57,57,"Trevor Immelman",24,NA,7657.333,320,"DistancefromEdgeofFairway",2012
57,57,"Johnson Wagner",27,NA,9256.583,387,"DistancefromEdgeofFairway",2012
59,59,"Blake Adams",32,NA,9308.417,388,"DistancefromEdgeofFairway",2012
59,59,"Stephen Ames",20,NA,4651.5,194,"DistancefromEdgeofFairway",2012
59,59,"Rocco Mediate",23,NA,7005.083,292,"DistancefromEdgeofFairway",2012
62,62,"John Mallinger",25,NA,6608.583,274,"DistancefromEdgeofFairway",2012
63,63,"Billy Horschel",17,NA,4909.5,203,"DistancefromEdgeofFairway",2012
64,64,"Kevin Kisner",24,NA,6373.667,262,"DistancefromEdgeofFairway",2012
65,65,"Brendon de Jonge",31,NA,12187.5,498,"DistancefromEdgeofFairway",2012
65,65,"Hunter Haas",24,NA,6539,267,"DistancefromEdgeofFairway",2012
