"DistancefromCenterofFairway_RANKTHISWEEK_2008","DistancefromCenterofFairway_RANKLASTWEEK_2008","DistancefromCenterofFairway_PLAYERNAME_2008","DistancefromCenterofFairway_EVENTS_2008","DistancefromCenterofFairway_AVG_2008","DistancefromCenterofFairway_TOTALDISTANCEFEET_2008","DistancefromCenterofFairway_TOTALSTROKES_2008","stat_name","year"
1,1,"Ian Poulter",15,NA,4625.083,235,"DistancefromCenterofFairway",2008
2,2,"Rocco Mediate",27,NA,11182,485,"DistancefromCenterofFairway",2008
3,3,"Phil Mickelson",21,NA,9097.583,392,"DistancefromCenterofFairway",2008
4,4,"Anthony Kim",22,NA,9869.667,422,"DistancefromCenterofFairway",2008
5,5,"Carl Pettersson",29,NA,15472.833,646,"DistancefromCenterofFairway",2008
6,6,"Mark Hensby",26,NA,10216.583,426,"DistancefromCenterofFairway",2008
7,7,"Ted Purdy",25,NA,7722.083,320,"DistancefromCenterofFairway",2008
8,8,"Frank Lickliter II",32,NA,16719.583,689,"DistancefromCenterofFairway",2008
9,9,"Fred Couples",18,NA,7127.917,293,"DistancefromCenterofFairway",2008
10,10,"Stuart Appleby",23,NA,9657,396,"DistancefromCenterofFairway",2008
10,10,"Alejandro Canizares",16,NA,6958.667,285,"DistancefromCenterofFairway",2008
12,12,"Sergio Garcia",19,NA,9646,394,"DistancefromCenterofFairway",2008
12,12,"Jeff Maggert",28,NA,13417.417,548,"DistancefromCenterofFairway",2008
14,14,"John Senden",28,NA,15113.667,614,"DistancefromCenterofFairway",2008
15,15,"Tim Herron",28,NA,13905,564,"DistancefromCenterofFairway",2008
15,15,"YE Yang",29,NA,13966.917,566,"DistancefromCenterofFairway",2008
17,17,"Justin Bolli",28,NA,12433.5,502,"DistancefromCenterofFairway",2008
17,17,"Steve Lowery",25,NA,9894.25,400,"DistancefromCenterofFairway",2008
19,19,"Parker McLachlin",27,NA,10749.583,433,"DistancefromCenterofFairway",2008
19,19,"Brenden Pappas",24,NA,7224.833,291,"DistancefromCenterofFairway",2008
19,19,"Johnson Wagner",26,NA,9920.083,399,"DistancefromCenterofFairway",2008
22,22,"Brandt Jobe",19,NA,5474.25,220,"DistancefromCenterofFairway",2008
22,22,"Kenny Perry",26,NA,12671,508,"DistancefromCenterofFairway",2008
24,24,"Kenneth Ferrie",25,NA,10597.167,424,"DistancefromCenterofFairway",2008
24,24,"Mathias Gronberg",30,NA,12984.333,519,"DistancefromCenterofFairway",2008
24,24,"Cliff Kresge",28,NA,10644.917,426,"DistancefromCenterofFairway",2008
24,24,"Kevin Stadler",30,NA,12536.833,502,"DistancefromCenterofFairway",2008
28,28,"John Merrick",28,NA,14182,565,"DistancefromCenterofFairway",2008
29,29,"David Lutterus",23,NA,6584.667,262,"DistancefromCenterofFairway",2008
29,29,"Omar Uresti",24,NA,11519.75,457,"DistancefromCenterofFairway",2008
31,31,"Kevin Sutherland",26,NA,14053.167,556,"DistancefromCenterofFairway",2008
32,32,"Chris DiMarco",29,NA,12068.417,476,"DistancefromCenterofFairway",2008
32,32,"Ernie Els",16,NA,7065.25,279,"DistancefromCenterofFairway",2008
32,32,"Richard Johnson",29,NA,10319.583,407,"DistancefromCenterofFairway",2008
32,32,"John Mallinger",29,NA,16154.5,638,"DistancefromCenterofFairway",2008
32,32,"Ryan Palmer",22,NA,7878.667,311,"DistancefromCenterofFairway",2008
37,37,"Tommy Armour III",25,NA,10759.5,423,"DistancefromCenterofFairway",2008
37,37,"Stewart Cink",23,NA,9864.5,388,"DistancefromCenterofFairway",2008
37,37,"Nicholas Thompson",36,NA,16334.583,642,"DistancefromCenterofFairway",2008
40,40,"Tim Clark",27,NA,13485.917,529,"DistancefromCenterofFairway",2008
40,40,"Trevor Immelman",22,NA,9161.833,359,"DistancefromCenterofFairway",2008
40,40,"Justin Leonard",25,NA,15726,617,"DistancefromCenterofFairway",2008
40,40,"Steve Marino",32,NA,17811.083,698,"DistancefromCenterofFairway",2008
40,40,"Kevin Streelman",32,NA,15268.917,598,"DistancefromCenterofFairway",2008
40,40,"Vaughn Taylor",32,NA,15217.667,596,"DistancefromCenterofFairway",2008
46,46,"Jason Day",28,NA,12128.083,474,"DistancefromCenterofFairway",2008
46,46,"Carlos Franco",25,NA,9850.417,385,"DistancefromCenterofFairway",2008
