"LeftTendency_RANKTHISWEEK_2011","LeftTendency_RANKLASTWEEK_2011","LeftTendency_PLAYERNAME_2011","LeftTendency_EVENTS_2011","LeftTendency_Pct_2011","LeftTendency_NUMBEROFTIMES_2011","LeftTendency_ATTEMPTS_2011","LeftTendency_AVGRTPSCORE_2011","stat_name","year"
1,1,"Scott Stallings",28,36.4,133,365,2.41,"LeftTendency",2011
2,2,"Charles Howell III",30,36.5,176,482,-0.4,"LeftTendency",2011
3,3,"Brian Davis",30,36.8,124,337,1.37,"LeftTendency",2011
4,4,"Marc Leishman",27,37,170,460,1.35,"LeftTendency",2011
5,5,"Bryce Molder",27,37.3,110,295,1.45,"LeftTendency",2011
6,6,"George McNeill",21,37.8,113,299,1.77,"LeftTendency",2011
6,6,"John Rollins",27,37.8,111,294,0.36,"LeftTendency",2011
8,8,"Bio Kim",25,38.3,129,337,2.25,"LeftTendency",2011
9,9,"Zack Miller",30,38.6,156,404,2.12,"LeftTendency",2011
10,10,"Greg Chalmers",28,39.3,152,387,1.45,"LeftTendency",2011
11,11,"Kevin Streelman",26,39.6,130,328,1.46,"LeftTendency",2011
12,12,"Jason Dufner",23,39.8,119,299,0.92,"LeftTendency",2011
12,12,"David Toms",23,39.8,94,236,1.28,"LeftTendency",2011
14,14,"Scott Piercy",23,40.1,134,334,1.12,"LeftTendency",2011
15,15,"Kyle Stanley",28,40.4,164,406,1.71,"LeftTendency",2011
15,15,"Marc Turnesa",20,40.4,92,228,1.41,"LeftTendency",2011
17,17,"John Merrick",21,40.5,100,247,2.7,"LeftTendency",2011
18,18,"David Hearn",26,40.9,144,352,1.11,"LeftTendency",2011
19,19,"Blake Adams",34,41,191,466,1.94,"LeftTendency",2011
19,19,"Daniel Summerhays",29,41,135,329,2.74,"LeftTendency",2011
21,21,"Justin Rose",23,41.6,124,298,1.69,"LeftTendency",2011
22,22,"Josh Teater",31,41.7,186,446,1.61,"LeftTendency",2011
23,23,"Kevin Chappell",26,42.4,139,328,2.16,"LeftTendency",2011
23,23,"Sung Kang",21,42.4,104,245,2.21,"LeftTendency",2011
25,25,"Jarrod Lyle",29,42.7,163,382,2.09,"LeftTendency",2011
