"RightTendency_RANKTHISWEEK_2016","RightTendency_RANKLASTWEEK_2016","RightTendency_PLAYERNAME_2016","RightTendency_EVENTS_2016","RightTendency_Pct_2016","RightTendency_NUMBEROFTIMES_2016","RightTendency_ATTEMPTS_2016","RightTendency_AVGRTPSCORE_2016","stat_name","year"
1,1,"Billy Hurley III",8,29.3,22,75,1.36,"RightTendency",2016
2,2,"Justin Leonard",8,34.8,32,92,3.13,"RightTendency",2016
3,3,"Andy Sullivan",7,36.1,26,72,0.77,"RightTendency",2016
4,5,"Jon Curran",18,38.1,72,189,2.64,"RightTendency",2016
5,11,"DA Points",11,38.8,38,98,2.37,"RightTendency",2016
6,6,"Spencer Levin",19,39.2,93,237,1.83,"RightTendency",2016
7,9,"Erik Compton",16,39.3,77,196,1.69,"RightTendency",2016
8,7,"Keegan Bradley",14,39.6,53,134,1.7,"RightTendency",2016
8,4,"Webb Simpson",10,39.6,57,144,2.46,"RightTendency",2016
8,7,"Jordan Spieth",9,39.6,36,91,1.39,"RightTendency",2016
11,10,"Chesson Hadley",16,40.3,87,216,2.87,"RightTendency",2016
12,13,"Danny Lee",16,42,63,150,0.95,"RightTendency",2016
13,14,"Daniel Summerhays",15,42.2,103,244,1.65,"RightTendency",2016
14,17,"Chad Campbell",18,42.6,83,195,1.69,"RightTendency",2016
15,18,"Luke Donald",13,43,86,200,0.23,"RightTendency",2016
16,12,"Phil Mickelson",11,43.6,72,165,0.69,"RightTendency",2016
17,19,"Blayne Barber",16,44.2,80,181,2.75,"RightTendency",2016
18,20,"Sergio Garcia",8,44.3,31,70,3.23,"RightTendency",2016
18,20,"Luke Guthrie",11,44.3,58,131,1.55,"RightTendency",2016
20,20,"Padraig Harrington",11,44.7,71,159,0.56,"RightTendency",2016
21,25,"Stewart Cink",14,44.8,91,203,1.43,"RightTendency",2016
22,27,"Rory Sabbatini",14,44.9,57,127,1.93,"RightTendency",2016
23,28,"Carl Pettersson",14,45,86,191,2.09,"RightTendency",2016
24,29,"JJ Henry",14,45.8,103,225,3.3,"RightTendency",2016
25,30,"Robert Allenby",16,45.9,68,148,3.09,"RightTendency",2016
25,15,"Robert Streb",16,45.9,96,209,2.19,"RightTendency",2016
27,33,"Ben Crane",17,46.1,82,178,1.46,"RightTendency",2016
28,47,"JB Holmes",10,46.3,74,160,1.89,"RightTendency",2016
28,24,"Hideki Matsuyama",12,46.3,62,134,-0.32,"RightTendency",2016
30,35,"Jerry Kelly",12,46.4,52,112,1.35,"RightTendency",2016
