"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2005","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2005","AverageGoingforitShotDistanceinYards_PLAYERNAME_2005","AverageGoingforitShotDistanceinYards_EVENTS_2005","AverageGoingforitShotDistanceinYards_AVG_2005","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2005","AverageGoingforitShotDistanceinYards_ATTEMPTS_2005","stat_name","year"
1,1,"Loren Roberts",18,238.3,257339,30,"AverageGoingforitShotDistanceinYards",2005
2,2,"Kirk Triplett",18,240.5,450307,52,"AverageGoingforitShotDistanceinYards",2005
3,3,"KJ Choi",24,246.2,771234,87,"AverageGoingforitShotDistanceinYards",2005
4,4,"Luke Donald",18,246.3,398972,45,"AverageGoingforitShotDistanceinYards",2005
5,5,"Adam Scott",19,246.9,897547,101,"AverageGoingforitShotDistanceinYards",2005
6,6,"Geoff Ogilvy",26,247.7,1186102,133,"AverageGoingforitShotDistanceinYards",2005
7,7,"Fred Couples",22,247.8,776231,87,"AverageGoingforitShotDistanceinYards",2005
8,8,"Ian Poulter",20,248.3,545338,61,"AverageGoingforitShotDistanceinYards",2005
9,9,"Justin Leonard",24,248.8,671875,75,"AverageGoingforitShotDistanceinYards",2005
10,10,"Shigeki Maruyama",29,248.9,1209612,135,"AverageGoingforitShotDistanceinYards",2005
11,11,"Ben Crane",21,249,923357,103,"AverageGoingforitShotDistanceinYards",2005
12,12,"Jose Maria Olazabal",16,249.1,699450,78,"AverageGoingforitShotDistanceinYards",2005
12,12,"Kenny Perry",23,249.1,1130097,126,"AverageGoingforitShotDistanceinYards",2005
14,14,"Bob Tway",26,249.3,969262,108,"AverageGoingforitShotDistanceinYards",2005
15,15,"Davis Love III",24,249.5,1069046,119,"AverageGoingforitShotDistanceinYards",2005
16,16,"Ben Curtis",24,249.8,647452,72,"AverageGoingforitShotDistanceinYards",2005
16,16,"Phillip Price",25,249.8,917449,102,"AverageGoingforitShotDistanceinYards",2005
18,18,"Michael Allen",30,250.2,1197762,133,"AverageGoingforitShotDistanceinYards",2005
18,18,"Charles Howell III",29,250.2,1423347,158,"AverageGoingforitShotDistanceinYards",2005
18,18,"Jonathan Kaye",24,250.2,1134699,126,"AverageGoingforitShotDistanceinYards",2005
21,21,"Stuart Appleby",25,250.4,1117864,124,"AverageGoingforitShotDistanceinYards",2005
21,21,"Steve Stricker",21,250.4,766156,85,"AverageGoingforitShotDistanceinYards",2005
23,23,"Tommy Armour III",29,250.5,1298374,144,"AverageGoingforitShotDistanceinYards",2005
23,23,"Dan Forsman",17,250.5,820714,91,"AverageGoingforitShotDistanceinYards",2005
