"TotalPutting_RANKTHISWEEK_2014","TotalPutting_RANKLASTWEEK_2014","TotalPutting_PLAYERNAME_2014","TotalPutting_EVENTS_2014","TotalPutting_TOTAL_2014","stat_name","year"
1,1,"Graeme McDowell",17,28.2,"TotalPutting",2014
2,2,"Greg Chalmers",27,49.1,"TotalPutting",2014
3,3,"Brendon Todd",29,54.2,"TotalPutting",2014
4,4,"Freddie Jacobson",27,55.3,"TotalPutting",2014
5,5,"Jimmy Walker",27,62.6,"TotalPutting",2014
6,6,"Matt Kuchar",24,71.2,"TotalPutting",2014
7,7,"John Senden",27,78.4,"TotalPutting",2014
8,8,"Russell Henley",29,84.3,"TotalPutting",2014
9,9,"Luke Donald",17,86.4,"TotalPutting",2014
10,10,"Aaron Baddeley",24,87.8,"TotalPutting",2014
11,11,"Rory McIlroy",17,90.1,"TotalPutting",2014
12,12,"David Hearn",28,93.3,"TotalPutting",2014
13,13,"William McGirt",29,95.1,"TotalPutting",2014
14,14,"Justin Leonard",22,96.3,"TotalPutting",2014
15,15,"Rickie Fowler",26,98.6,"TotalPutting",2014
16,16,"Jason Day",15,106.9,"TotalPutting",2014
17,17,"Chris Stroud",25,108.6,"TotalPutting",2014
18,18,"Ryan Palmer",23,112.8,"TotalPutting",2014
19,19,"Matt Every",26,112.9,"TotalPutting",2014
20,20,"Brian Stuard",29,116.1,"TotalPutting",2014
21,21,"Charley Hoffman",25,117.5,"TotalPutting",2014
22,22,"Morgan Hoffmann",32,119.5,"TotalPutting",2014
23,23,"Stuart Appleby",29,119.6,"TotalPutting",2014
24,24,"Paul Casey",16,122.4,"TotalPutting",2014
25,25,"Chad Collins",28,124.1,"TotalPutting",2014
26,26,"Keegan Bradley",26,124.3,"TotalPutting",2014
27,27,"Ben Crane",25,125,"TotalPutting",2014
28,28,"Phil Mickelson",21,125.8,"TotalPutting",2014
29,29,"Kevin Kisner",26,127.4,"TotalPutting",2014
30,30,"Erik Compton",28,127.8,"TotalPutting",2014
31,31,"Patrick Reed",28,130.8,"TotalPutting",2014
32,32,"Retief Goosen",26,131.3,"TotalPutting",2014
33,33,"Ben Martin",26,131.8,"TotalPutting",2014
34,34,"Sangmoon Bae",24,132.8,"TotalPutting",2014
35,35,"Jason Kokrak",19,133.8,"TotalPutting",2014
35,35,"Kevin Na",27,133.8,"TotalPutting",2014
37,37,"Andres Romero",26,134.3,"TotalPutting",2014
38,38,"KJ Choi",23,134.8,"TotalPutting",2014
39,39,"Jonas Blixt",21,135,"TotalPutting",2014
40,40,"Bryce Molder",25,135.8,"TotalPutting",2014
41,41,"Richard Lee",27,136.8,"TotalPutting",2014
42,42,"Brice Garnett",28,138.2,"TotalPutting",2014
43,43,"Daniel Summerhays",27,138.3,"TotalPutting",2014
44,44,"Scott Brown",30,138.5,"TotalPutting",2014
45,45,"Jerry Kelly",23,139.2,"TotalPutting",2014
46,46,"Chris Kirk",28,140.7,"TotalPutting",2014
47,47,"Jason Bohn",25,142.4,"TotalPutting",2014
48,48,"Matt Jones",25,143.2,"TotalPutting",2014
49,49,"Michael Thompson",22,144.8,"TotalPutting",2014
50,50,"Billy Horschel",27,147.3,"TotalPutting",2014
50,50,"Hunter Mahan",25,147.3,"TotalPutting",2014
52,52,"Ian Poulter",17,149.6,"TotalPutting",2014
53,53,"Cameron Tringale",31,149.7,"TotalPutting",2014
54,54,"Sean OHair",25,150.8,"TotalPutting",2014
55,55,"Brandt Snedeker",25,151,"TotalPutting",2014
56,56,"Adam Scott",17,152.3,"TotalPutting",2014
57,57,"Jordan Spieth",27,152.4,"TotalPutting",2014
58,58,"Sergio Garcia",16,153.7,"TotalPutting",2014
59,59,"Brian Davis",28,155.3,"TotalPutting",2014
60,60,"Billy Hurley III",26,161.1,"TotalPutting",2014
61,61,"Ben Curtis",24,162,"TotalPutting",2014
62,62,"Scott Langley",29,162.2,"TotalPutting",2014
63,63,"Tim Clark",26,163.2,"TotalPutting",2014
64,64,"Zach Johnson",26,163.4,"TotalPutting",2014
65,65,"Pat Perez",25,163.9,"TotalPutting",2014
66,66,"George McNeill",24,165.1,"TotalPutting",2014
67,67,"Justin Hicks",30,166.8,"TotalPutting",2014
68,68,"James Driscoll",25,167.3,"TotalPutting",2014
69,69,"Webb Simpson",25,167.8,"TotalPutting",2014
70,70,"Lee Westwood",18,168.6,"TotalPutting",2014
71,71,"Henrik Stenson",15,169.3,"TotalPutting",2014
72,72,"Jeff Overton",24,172.8,"TotalPutting",2014
73,73,"Ryo Ishikawa",24,173.9,"TotalPutting",2014
74,74,"Brooks Koepka",16,174.9,"TotalPutting",2014
75,75,"Brendon de Jonge",31,175,"TotalPutting",2014
76,76,"Brian Harman",32,175.4,"TotalPutting",2014
77,77,"Dustin Johnson",17,176.6,"TotalPutting",2014
78,78,"Ted Potter Jr",24,176.8,"TotalPutting",2014
79,79,"Harris English",28,177.5,"TotalPutting",2014
80,80,"Tommy Gainey",26,178.8,"TotalPutting",2014
81,81,"Troy Merritt",20,180.3,"TotalPutting",2014
82,82,"Justin Rose",19,181.7,"TotalPutting",2014
82,82,"Andrew Svoboda",24,181.7,"TotalPutting",2014
84,84,"Tyrone Van Aswegen",25,181.8,"TotalPutting",2014
85,85,"Andrew Loupe",22,182,"TotalPutting",2014
86,86,"Tim Wilkinson",25,182.5,"TotalPutting",2014
87,87,"Marc Leishman",24,184,"TotalPutting",2014
88,88,"Bill Haas",28,185.6,"TotalPutting",2014
89,89,"Johnson Wagner",24,190,"TotalPutting",2014
90,90,"Seung Yul Noh",27,190.2,"TotalPutting",2014
91,91,"Bo Van Pelt",25,191.1,"TotalPutting",2014
92,92,"Jim Furyk",21,191.4,"TotalPutting",2014
92,92,"Danny Lee",28,191.4,"TotalPutting",2014
94,94,"Bronson La Cassie",18,191.8,"TotalPutting",2014
95,95,"Will Ma Kenzie",27,191.9,"TotalPutting",2014
96,96,"Camilo Villegas",29,195.4,"TotalPutting",2014
97,97,"Will Wilcox",16,195.8,"TotalPutting",2014
98,98,"Charlie Wi",25,196.8,"TotalPutting",2014
99,99,"Mike Weir",25,198.6,"TotalPutting",2014
100,100,"Russell Knox",26,199.8,"TotalPutting",2014
101,101,"Bubba Watson",21,200.3,"TotalPutting",2014
102,102,"Luke Guthrie",26,202.6,"TotalPutting",2014
103,103,"Chesson Hadley",29,202.8,"TotalPutting",2014
104,104,"Brad Fritsch",18,205.4,"TotalPutting",2014
105,105,"Hudson Swafford",26,206.8,"TotalPutting",2014
106,106,"Woody Austin",22,208.7,"TotalPutting",2014
107,107,"JB Holmes",24,210.7,"TotalPutting",2014
108,108,"Martin Kaymer",19,211.1,"TotalPutting",2014
109,109,"John Huh",28,212.3,"TotalPutting",2014
109,109,"Brendan Steele",26,212.3,"TotalPutting",2014
111,111,"David Toms",20,213.2,"TotalPutting",2014
112,112,"Robert Streb",21,214.8,"TotalPutting",2014
113,113,"Josh Teater",28,215.7,"TotalPutting",2014
114,114,"Ricky Barnes",27,215.9,"TotalPutting",2014
115,115,"Charles Howell III",29,216.8,"TotalPutting",2014
116,116,"Charl Schwartzel",18,217.2,"TotalPutting",2014
117,117,"Roberto Castro",27,217.3,"TotalPutting",2014
118,118,"Brian Gay",26,219.1,"TotalPutting",2014
119,119,"Ryan Moore",24,219.3,"TotalPutting",2014
120,120,"Jonathan Byrd",24,220.4,"TotalPutting",2014
121,121,"Martin Laird",20,222.8,"TotalPutting",2014
122,122,"Martin Flores",26,228.1,"TotalPutting",2014
123,123,"Spencer Levin",20,230.9,"TotalPutting",2014
124,124,"Kevin Chappell",28,231.2,"TotalPutting",2014
125,125,"Gary Woodland",25,231.3,"TotalPutting",2014
126,126,"Nick Watney",25,231.8,"TotalPutting",2014
127,127,"Charlie Beljan",26,232.2,"TotalPutting",2014
128,128,"YE Yang",28,234.2,"TotalPutting",2014
