"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2011","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2011","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2011","AverageDistancetoHoleAfterTeeShot_ROUNDS_2011","AverageDistancetoHoleAfterTeeShot_AVG_2011","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2011","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2011","stat_name","year"
1,1,"JB Holmes",57,152.7,3517945,640,"AverageDistancetoHoleAfterTeeShot",2011
2,2,"Dustin Johnson",72,156.4,4189618,744,"AverageDistancetoHoleAfterTeeShot",2011
3,3,"Robert Garrigus",83,156.6,5348800,949,"AverageDistancetoHoleAfterTeeShot",2011
4,4,"Bubba Watson",85,158.4,4648312,815,"AverageDistancetoHoleAfterTeeShot",2011
5,5,"Steven Bowditch",86,160.2,6119694,1061,"AverageDistancetoHoleAfterTeeShot",2011
6,6,"Tag Ridings",87,162.3,5865654,1004,"AverageDistancetoHoleAfterTeeShot",2011
7,7,"Gary Woodland",93,162.4,5593345,957,"AverageDistancetoHoleAfterTeeShot",2011
8,8,"Jhonattan Vegas",84,163.2,5669639,965,"AverageDistancetoHoleAfterTeeShot",2011
9,9,"DJ Trahan",91,163.3,6695576,1139,"AverageDistancetoHoleAfterTeeShot",2011
10,10,"Josh Teater",104,163.4,7483832,1272,"AverageDistancetoHoleAfterTeeShot",2011
11,11,"Adam Scott",60,164.4,3722340,629,"AverageDistancetoHoleAfterTeeShot",2011
11,11,"Kyle Stanley",98,164.4,6502653,1099,"AverageDistancetoHoleAfterTeeShot",2011
13,13,"Martin Laird",77,164.6,5056070,853,"AverageDistancetoHoleAfterTeeShot",2011
14,14,"Nick Watney",80,164.8,5067357,854,"AverageDistancetoHoleAfterTeeShot",2011
15,15,"Charley Hoffman",93,164.9,6030872,1016,"AverageDistancetoHoleAfterTeeShot",2011
16,16,"Scott Piercy",78,165,5114443,861,"AverageDistancetoHoleAfterTeeShot",2011
16,16,"Scott Stallings",84,165,5632775,948,"AverageDistancetoHoleAfterTeeShot",2011
18,18,"Will Strickler",51,165.1,3477683,585,"AverageDistancetoHoleAfterTeeShot",2011
19,19,"Harrison Frazar",58,165.2,3432063,577,"AverageDistancetoHoleAfterTeeShot",2011
20,20,"Angel Cabrera",50,165.3,2838266,477,"AverageDistancetoHoleAfterTeeShot",2011
21,21,"Jeff Overton",92,165.4,6020923,1011,"AverageDistancetoHoleAfterTeeShot",2011
22,22,"Alex Prugh",82,165.5,5784157,971,"AverageDistancetoHoleAfterTeeShot",2011
23,23,"Bo Van Pelt",92,165.9,5889432,986,"AverageDistancetoHoleAfterTeeShot",2011
24,24,"Jason Day",76,166.5,4873198,813,"AverageDistancetoHoleAfterTeeShot",2011
25,25,"Davis Love III",70,166.6,4287352,715,"AverageDistancetoHoleAfterTeeShot",2011
26,26,"Boo Weekley",66,166.9,4728948,787,"AverageDistancetoHoleAfterTeeShot",2011
27,27,"Troy Matteson",91,167.1,6684384,1111,"AverageDistancetoHoleAfterTeeShot",2011
28,28,"Ryan Palmer",82,167.3,4897487,813,"AverageDistancetoHoleAfterTeeShot",2011
29,29,"Rickie Fowler",84,167.4,5489052,911,"AverageDistancetoHoleAfterTeeShot",2011
30,30,"John Rollins",85,167.5,5950901,987,"AverageDistancetoHoleAfterTeeShot",2011
31,31,"Tommy Gainey",104,167.8,7531111,1247,"AverageDistancetoHoleAfterTeeShot",2011
31,31,"Sergio Garcia",61,167.8,3763516,623,"AverageDistancetoHoleAfterTeeShot",2011
33,33,"Chris Couch",73,167.9,5653147,935,"AverageDistancetoHoleAfterTeeShot",2011
34,34,"Keegan Bradley",91,168,6434012,1064,"AverageDistancetoHoleAfterTeeShot",2011
35,35,"Andres Romero",77,168.1,5621371,929,"AverageDistancetoHoleAfterTeeShot",2011
36,36,"Kevin Chappell",78,168.2,5081574,839,"AverageDistancetoHoleAfterTeeShot",2011
36,36,"Phil Mickelson",79,168.2,4794316,792,"AverageDistancetoHoleAfterTeeShot",2011
38,38,"Aaron Baddeley",77,168.4,5177662,854,"AverageDistancetoHoleAfterTeeShot",2011
38,38,"Bill Haas",93,168.4,6085056,1004,"AverageDistancetoHoleAfterTeeShot",2011
