"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2012","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2012","AverageDistanceafterGoingforitShot_PLAYERNAME_2012","AverageDistanceafterGoingforitShot_ROUNDS_2012","AverageDistanceafterGoingforitShot_AVG_2012","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2012","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2012","stat_name","year"
1,1,"Adam Scott",59,18.6,59490,89,"AverageDistanceafterGoingforitShot",2012
2,2,"Tiger Woods",69,19.6,72760,103,"AverageDistanceafterGoingforitShot",2012
3,3,"Rory McIlroy",60,19.9,70750,99,"AverageDistanceafterGoingforitShot",2012
4,4,"Michael Thompson",80,20,61961,86,"AverageDistanceafterGoingforitShot",2012
5,5,"Keegan Bradley",90,20.2,131555,181,"AverageDistanceafterGoingforitShot",2012
6,6,"Roland Thatcher",55,20.3,57678,79,"AverageDistanceafterGoingforitShot",2012
7,7,"Louis Oosthuizen",65,20.4,75057,102,"AverageDistanceafterGoingforitShot",2012
8,8,"John Merrick",83,20.5,96617,131,"AverageDistanceafterGoingforitShot",2012
9,9,"Sergio Garcia",57,20.7,74373,100,"AverageDistanceafterGoingforitShot",2012
10,10,"Dustin Johnson",70,20.8,94965,127,"AverageDistanceafterGoingforitShot",2012
11,11,"Robert Garrigus",89,20.9,154588,205,"AverageDistanceafterGoingforitShot",2012
12,12,"Charlie Beljan",61,21,70187,93,"AverageDistanceafterGoingforitShot",2012
13,13,"Jim Furyk",85,21.1,64447,85,"AverageDistanceafterGoingforitShot",2012
14,14,"Charles Howell III",98,21.2,110709,145,"AverageDistanceafterGoingforitShot",2012
14,14,"Dicky Pride",62,21.2,54308,71,"AverageDistanceafterGoingforitShot",2012
16,16,"Sean OHair",84,21.4,135542,176,"AverageDistanceafterGoingforitShot",2012
17,17,"Bubba Watson",68,21.5,128990,167,"AverageDistanceafterGoingforitShot",2012
18,18,"Tom Gillis",75,21.8,110780,141,"AverageDistanceafterGoingforitShot",2012
19,19,"Jimmy Walker",101,21.9,157442,200,"AverageDistanceafterGoingforitShot",2012
19,19,"Nick Watney",97,21.9,122895,156,"AverageDistanceafterGoingforitShot",2012
19,19,"Boo Weekley",74,21.9,83622,106,"AverageDistanceafterGoingforitShot",2012
22,22,"Vijay Singh",99,22,141963,179,"AverageDistanceafterGoingforitShot",2012
22,22,"Gary Woodland",70,22,114700,145,"AverageDistanceafterGoingforitShot",2012
24,24,"Brendon de Jonge",115,22.1,160610,202,"AverageDistanceafterGoingforitShot",2012
25,25,"Davis Love III",64,22.2,75943,95,"AverageDistanceafterGoingforitShot",2012
26,26,"Ryo Ishikawa",54,22.3,45848,57,"AverageDistanceafterGoingforitShot",2012
26,26,"Ryan Palmer",81,22.3,129012,161,"AverageDistanceafterGoingforitShot",2012
28,28,"Tommy Biershenk",74,22.4,79673,99,"AverageDistanceafterGoingforitShot",2012
28,28,"Ernie Els",80,22.4,99874,124,"AverageDistanceafterGoingforitShot",2012
28,28,"Rod Pampling",88,22.4,95271,118,"AverageDistanceafterGoingforitShot",2012
28,28,"DA Points",88,22.4,134062,166,"AverageDistanceafterGoingforitShot",2012
32,32,"Bud Cauley",99,22.5,141567,175,"AverageDistanceafterGoingforitShot",2012
32,32,"William McGirt",96,22.5,94977,117,"AverageDistanceafterGoingforitShot",2012
32,32,"Bo Van Pelt",84,22.5,107894,133,"AverageDistanceafterGoingforitShot",2012
32,32,"Camilo Villegas",79,22.5,116085,143,"AverageDistanceafterGoingforitShot",2012
36,36,"Roberto Castro",92,22.6,116304,143,"AverageDistanceafterGoingforitShot",2012
36,36,"Graham DeLaet",79,22.6,121041,149,"AverageDistanceafterGoingforitShot",2012
36,36,"Russell Knox",72,22.6,73104,90,"AverageDistanceafterGoingforitShot",2012
36,36,"Geoff Ogilvy",73,22.6,92138,113,"AverageDistanceafterGoingforitShot",2012
36,36,"Charl Schwartzel",56,22.6,66691,82,"AverageDistanceafterGoingforitShot",2012
41,41,"Jonas Blixt",72,22.7,98921,121,"AverageDistanceafterGoingforitShot",2012
41,41,"John Daly",50,22.7,71976,88,"AverageDistanceafterGoingforitShot",2012
41,41,"Luke Donald",63,22.7,59591,73,"AverageDistanceafterGoingforitShot",2012
41,41,"Justin Rose",69,22.7,84124,103,"AverageDistanceafterGoingforitShot",2012
45,45,"Charley Hoffman",88,22.8,148523,181,"AverageDistanceafterGoingforitShot",2012
45,45,"Matt Kuchar",86,22.8,86196,105,"AverageDistanceafterGoingforitShot",2012
45,45,"George McNeill",85,22.8,120011,146,"AverageDistanceafterGoingforitShot",2012
45,45,"Carl Pettersson",92,22.8,124188,151,"AverageDistanceafterGoingforitShot",2012
45,45,"Kyle Stanley",86,22.8,148800,181,"AverageDistanceafterGoingforitShot",2012
50,50,"Ken Duke",104,22.9,126047,153,"AverageDistanceafterGoingforitShot",2012
50,50,"Martin Flores",95,22.9,123688,150,"AverageDistanceafterGoingforitShot",2012
50,50,"Padraig Harrington",67,22.9,73336,89,"AverageDistanceafterGoingforitShot",2012
50,50,"Zach Johnson",95,22.9,104568,127,"AverageDistanceafterGoingforitShot",2012
54,54,"Brian Harman",101,23,132474,160,"AverageDistanceafterGoingforitShot",2012
54,54,"Josh Teater",97,23,162040,196,"AverageDistanceafterGoingforitShot",2012
56,56,"Jason Dufner",83,23.1,104635,126,"AverageDistanceafterGoingforitShot",2012
56,56,"Brandt Jobe",57,23.1,61443,74,"AverageDistanceafterGoingforitShot",2012
56,56,"John Senden",81,23.1,121998,147,"AverageDistanceafterGoingforitShot",2012
59,59,"Harrison Frazar",56,23.2,87549,105,"AverageDistanceafterGoingforitShot",2012
59,59,"Mathew Goggin",65,23.2,97857,117,"AverageDistanceafterGoingforitShot",2012
59,59,"Freddie Jacobson",61,23.2,60225,72,"AverageDistanceafterGoingforitShot",2012
59,59,"Ian Poulter",57,23.2,59305,71,"AverageDistanceafterGoingforitShot",2012
63,63,"Angel Cabrera",54,23.3,68713,82,"AverageDistanceafterGoingforitShot",2012
63,63,"Richard Lee",71,23.3,83836,100,"AverageDistanceafterGoingforitShot",2012
63,63,"Greg Owen",90,23.3,123957,148,"AverageDistanceafterGoingforitShot",2012
63,63,"Scott Stallings",78,23.3,140134,167,"AverageDistanceafterGoingforitShot",2012
63,63,"Jhonattan Vegas",77,23.3,139071,166,"AverageDistanceafterGoingforitShot",2012
68,68,"Sangmoon Bae",81,23.4,91059,108,"AverageDistanceafterGoingforitShot",2012
68,68,"Chad Campbell",84,23.4,110963,132,"AverageDistanceafterGoingforitShot",2012
68,68,"Pat Perez",81,23.4,114713,136,"AverageDistanceafterGoingforitShot",2012
68,68,"Alexandre Rocha",62,23.4,59713,71,"AverageDistanceafterGoingforitShot",2012
72,72,"Harris English",98,23.5,160500,190,"AverageDistanceafterGoingforitShot",2012
72,72,"Jeff Overton",101,23.5,170989,202,"AverageDistanceafterGoingforitShot",2012
72,72,"Kyle Reifers",86,23.5,96419,114,"AverageDistanceafterGoingforitShot",2012
72,72,"Kevin Streelman",89,23.5,130042,154,"AverageDistanceafterGoingforitShot",2012
76,76,"James Driscoll",83,23.7,133108,156,"AverageDistanceafterGoingforitShot",2012
76,76,"JB Holmes",90,23.7,163911,192,"AverageDistanceafterGoingforitShot",2012
76,76,"Troy Matteson",100,23.7,153778,180,"AverageDistanceafterGoingforitShot",2012
76,76,"Kyle Thompson",51,23.7,51267,60,"AverageDistanceafterGoingforitShot",2012
80,80,"Blake Adams",107,23.8,146541,171,"AverageDistanceafterGoingforitShot",2012
80,80,"Trevor Immelman",76,23.8,83185,97,"AverageDistanceafterGoingforitShot",2012
80,80,"Johnson Wagner",88,23.8,120056,140,"AverageDistanceafterGoingforitShot",2012
83,83,"Stewart Cink",71,23.9,82629,96,"AverageDistanceafterGoingforitShot",2012
83,83,"Bob Estes",78,23.9,76716,89,"AverageDistanceafterGoingforitShot",2012
83,83,"Chez Reavie",83,23.9,91142,106,"AverageDistanceafterGoingforitShot",2012
83,83,"Kevin Stadler",85,23.9,127419,148,"AverageDistanceafterGoingforitShot",2012
87,87,"Gary Christian",91,24,103885,120,"AverageDistanceafterGoingforitShot",2012
87,87,"Billy Horschel",63,24,80400,93,"AverageDistanceafterGoingforitShot",2012
87,87,"Danny Lee",74,24,95035,110,"AverageDistanceafterGoingforitShot",2012
87,87,"Seung Yul Noh",105,24,160881,186,"AverageDistanceafterGoingforitShot",2012
87,87,"Henrik Stenson",51,24,84783,98,"AverageDistanceafterGoingforitShot",2012
87,87,"Lee Westwood",60,24,87208,101,"AverageDistanceafterGoingforitShot",2012
93,93,"Aaron Baddeley",73,24.1,100809,116,"AverageDistanceafterGoingforitShot",2012
93,93,"Hunter Mahan",88,24.1,115576,133,"AverageDistanceafterGoingforitShot",2012
93,93,"Garth Mulroy",59,24.1,80773,93,"AverageDistanceafterGoingforitShot",2012
96,96,"Ricky Barnes",92,24.2,123701,142,"AverageDistanceafterGoingforitShot",2012
96,96,"Kris Blanks",65,24.2,98556,113,"AverageDistanceafterGoingforitShot",2012
96,96,"Michael Bradley",63,24.2,74980,86,"AverageDistanceafterGoingforitShot",2012
96,96,"KJ Choi",71,24.2,88731,102,"AverageDistanceafterGoingforitShot",2012
96,96,"Ben Curtis",62,24.2,58354,67,"AverageDistanceafterGoingforitShot",2012
96,96,"Billy Mayfair",90,24.2,133228,153,"AverageDistanceafterGoingforitShot",2012
102,102,"Stephen Ames",54,24.4,43099,49,"AverageDistanceafterGoingforitShot",2012
