"GIRPctFairwayBunker_RANKTHISWEEK_2009","GIRPctFairwayBunker_RANKLASTWEEK_2009","GIRPctFairwayBunker_PLAYERNAME_2009","GIRPctFairwayBunker_ROUNDS_2009","GIRPctFairwayBunker_Pct_2009","GIRPctFairwayBunker_GREENSHIT_2009","GIRPctFairwayBunker_HOLES_2009","GIRPctFairwayBunker_RELATIVEPAR_2009","stat_name","year"
1,1,"Matt Jones",56,59.5,22,37,-4,"GIRPctFairwayBunker",2009
2,2,"David Toms",98,56.8,25,44,-4,"GIRPctFairwayBunker",2009
3,3,"Woody Austin",84,56.7,34,60,-13,"GIRPctFairwayBunker",2009
4,4,"Briny Baird",89,55.8,24,43,-1,"GIRPctFairwayBunker",2009
4,4,"Jason Day",61,55.8,29,52,-6,"GIRPctFairwayBunker",2009
6,6,"Charley Hoffman",97,55.6,45,81,-6,"GIRPctFairwayBunker",2009
7,7,"Vijay Singh",71,55.2,32,58,-3,"GIRPctFairwayBunker",2009
8,8,"Johnson Wagner",81,55,22,40,-2,"GIRPctFairwayBunker",2009
9,9,"Joe Durant",62,54.8,17,31,-4,"GIRPctFairwayBunker",2009
10,10,"Kevin Na",91,54.7,29,53,-1,"GIRPctFairwayBunker",2009
11,11,"Michael Allen",73,54.5,18,33,-4,"GIRPctFairwayBunker",2009
11,11,"Nicholas Thompson",96,54.5,42,77,-3,"GIRPctFairwayBunker",2009
13,13,"Marc Leishman",91,54,27,50,-1,"GIRPctFairwayBunker",2009
14,14,"Charles Howell III",99,53.8,35,65,-9,"GIRPctFairwayBunker",2009
14,14,"Bo Van Pelt",100,53.8,35,65,-6,"GIRPctFairwayBunker",2009
16,16,"Jim Furyk",86,53.7,22,41,-9,"GIRPctFairwayBunker",2009
17,17,"Ricky Barnes",67,53.2,25,47,-4,"GIRPctFairwayBunker",2009
18,18,"Chad Campbell",90,52.9,27,51,-3,"GIRPctFairwayBunker",2009
19,19,"Scott Sterling",51,52.6,10,19,0,"GIRPctFairwayBunker",2009
20,20,"Scott Piercy",85,52.5,32,61,-6,"GIRPctFairwayBunker",2009
21,21,"Jeff Maggert",79,52.1,25,48,2,"GIRPctFairwayBunker",2009
22,22,"Charlie Wi",92,51.9,27,52,-4,"GIRPctFairwayBunker",2009
23,23,"Andres Romero",58,51.4,19,37,-10,"GIRPctFairwayBunker",2009
23,23,"Casey Wittenberg",71,51.4,19,37,-1,"GIRPctFairwayBunker",2009
25,25,"Jason Gore",74,51.2,22,43,-7,"GIRPctFairwayBunker",2009
26,26,"Chris Riley",77,51.1,24,47,-7,"GIRPctFairwayBunker",2009
27,27,"Michael Letzig",96,50.8,33,65,-2,"GIRPctFairwayBunker",2009
27,27,"DJ Trahan",96,50.8,32,63,-5,"GIRPctFairwayBunker",2009
29,29,"Leif Olson",51,50,18,36,-5,"GIRPctFairwayBunker",2009
29,29,"Jimmy Walker",74,50,19,38,-5,"GIRPctFairwayBunker",2009
29,29,"Nick Watney",86,50,26,52,-6,"GIRPctFairwayBunker",2009
29,29,"Mark Wilson",99,50,33,66,-6,"GIRPctFairwayBunker",2009
33,33,"Mark Calcavecchia",72,49,24,49,-3,"GIRPctFairwayBunker",2009
34,34,"Ian Poulter",59,48.8,21,43,-4,"GIRPctFairwayBunker",2009
35,35,"John Merrick",91,48.7,38,78,-7,"GIRPctFairwayBunker",2009
35,35,"Brendon Todd",53,48.7,19,39,-2,"GIRPctFairwayBunker",2009
37,37,"Carl Pettersson",86,48.6,36,74,-2,"GIRPctFairwayBunker",2009
38,38,"David Duval",56,48.4,15,31,-4,"GIRPctFairwayBunker",2009
38,38,"Greg Owen",97,48.4,31,64,-3,"GIRPctFairwayBunker",2009
40,40,"Jarrod Lyle",65,48.1,26,54,-3,"GIRPctFairwayBunker",2009
41,41,"Ryuji Imada",85,48,24,50,-4,"GIRPctFairwayBunker",2009
