"RoughTendency_RANKTHISWEEK_2008","RoughTendency_RANKLASTWEEK_2008","RoughTendency_PLAYERNAME_2008","RoughTendency_ROUNDS_2008","RoughTendency_Pct_2008","RoughTendency_TOTALROUGH_2008","RoughTendency_POSSIBLEFWYS_2008","RoughTendency_RELATIVETOPAR_2008","stat_name","year"
1,1,"Olin Browne",77,15.58,151,969,2.85,"RoughTendency",2008
2,2,"Robert Gamez",79,19.86,194,977,2.01,"RoughTendency",2008
3,3,"Omar Uresti",74,20.02,175,874,1.09,"RoughTendency",2008
3,3,"Scott Verplank",82,20.02,181,904,0.5,"RoughTendency",2008
5,5,"Ron Whittaker",54,20.07,113,563,2.74,"RoughTendency",2008
6,6,"Nick OHern",82,20.18,199,986,1.71,"RoughTendency",2008
7,7,"Heath Slocum",104,20.27,243,1199,1.56,"RoughTendency",2008
8,8,"Chez Reavie",102,20.45,254,1242,1.89,"RoughTendency",2008
9,9,"Brian Davis",108,20.89,296,1417,1.49,"RoughTendency",2008
10,10,"Bart Bryant",81,21.03,196,932,1.94,"RoughTendency",2008
11,11,"Joe Durant",92,21.1,231,1095,1.52,"RoughTendency",2008
12,12,"Kent Jones",68,21.39,163,762,1.78,"RoughTendency",2008
13,13,"Zach Johnson",85,21.63,215,994,1.49,"RoughTendency",2008
14,14,"Billy Mayfair",103,21.64,285,1317,1.16,"RoughTendency",2008
15,15,"Jeff Gove",50,21.84,133,609,1.88,"RoughTendency",2008
16,16,"Greg Kraft",63,22.05,153,694,2.29,"RoughTendency",2008
17,17,"Brian Gay",102,22.2,266,1198,1.47,"RoughTendency",2008
18,18,"Jay Williamson",96,22.23,247,1111,2.02,"RoughTendency",2008
19,19,"John Mallinger",95,22.46,261,1162,1.34,"RoughTendency",2008
20,20,"Paul Goydos",78,22.7,212,934,2.17,"RoughTendency",2008
21,21,"Jim Furyk",95,22.79,240,1053,1.13,"RoughTendency",2008
22,22,"Steve Elkington",84,22.8,231,1013,0.43,"RoughTendency",2008
23,23,"Todd Hamilton",92,23.09,236,1022,1.91,"RoughTendency",2008
24,24,"Doug LaBelle II",65,23.26,164,705,0.98,"RoughTendency",2008
25,25,"Ryan Armour",87,23.33,244,1046,2.5,"RoughTendency",2008
26,26,"Craig Kanada",65,23.36,178,762,2.19,"RoughTendency",2008
27,27,"Mark Wilson",107,23.37,338,1446,1.57,"RoughTendency",2008
28,28,"Ben Curtis",80,23.46,206,878,0.97,"RoughTendency",2008
29,29,"Shane Bertsch",96,23.56,294,1248,1.53,"RoughTendency",2008
30,30,"John Senden",93,23.73,267,1125,2.28,"RoughTendency",2008
31,31,"Jin Park",85,23.75,228,960,1.32,"RoughTendency",2008
32,32,"Paul Claxton",63,23.8,164,689,2.56,"RoughTendency",2008
33,33,"Gavin Coles",54,23.93,146,610,0.75,"RoughTendency",2008
34,34,"Scott McCarron",63,24,180,750,1.11,"RoughTendency",2008
35,35,"Jason Gore",94,24.06,283,1176,1.24,"RoughTendency",2008
36,36,"Kevin Na",97,24.07,304,1263,0.89,"RoughTendency",2008
37,37,"Woody Austin",109,24.14,296,1226,0.41,"RoughTendency",2008
38,38,"Michael Allen",91,24.19,261,1079,1.8,"RoughTendency",2008
39,39,"Kenneth Ferrie",72,24.24,200,825,1.8,"RoughTendency",2008
40,40,"Rich Beem",90,24.27,266,1096,1.39,"RoughTendency",2008
41,41,"Chris Stroud",81,24.45,223,912,1.75,"RoughTendency",2008
42,42,"Jonathan Byrd",88,24.51,261,1065,1.57,"RoughTendency",2008
43,43,"Ben Crane",86,24.52,254,1036,0.55,"RoughTendency",2008
44,44,"Bob Tway",70,24.59,194,789,0.62,"RoughTendency",2008
45,45,"Cameron Beckman",87,24.71,252,1020,1.71,"RoughTendency",2008
46,46,"Stephen Leaney",53,24.72,154,623,2.4,"RoughTendency",2008
46,46,"Patrick Sheehan",124,24.72,356,1440,1.12,"RoughTendency",2008
48,48,"Corey Pavin",69,24.81,192,774,2.45,"RoughTendency",2008
49,49,"Justin Leonard",101,24.93,255,1023,1.1,"RoughTendency",2008
50,50,"Rocco Mediate",87,25.05,240,958,1.63,"RoughTendency",2008
51,51,"Jerry Kelly",89,25.15,259,1030,1.16,"RoughTendency",2008
52,52,"Rod Pampling",83,25.27,237,938,1.65,"RoughTendency",2008
52,52,"Chris Riley",51,25.27,139,550,1.15,"RoughTendency",2008
54,54,"Tom Lehman",51,25.43,134,527,1.49,"RoughTendency",2008
55,55,"John Rollins",94,25.52,280,1097,1.07,"RoughTendency",2008
56,56,"Tim Petrovic",97,25.63,287,1120,1.71,"RoughTendency",2008
57,57,"Briny Baird",113,25.72,340,1322,0.82,"RoughTendency",2008
58,58,"Tim Wilkinson",95,25.74,286,1111,1.54,"RoughTendency",2008
59,59,"Nicholas Thompson",113,25.79,343,1330,1.4,"RoughTendency",2008
60,60,"Charlie Wi",97,25.84,315,1219,0.89,"RoughTendency",2008
61,61,"Robert Allenby",108,25.86,307,1187,1.14,"RoughTendency",2008
62,62,"YE Yang",89,25.87,284,1098,1.87,"RoughTendency",2008
63,63,"John Riegger",73,26.1,232,889,1.38,"RoughTendency",2008
64,64,"Matt Kuchar",88,26.18,255,974,0.75,"RoughTendency",2008
65,65,"Frank Lickliter II",107,26.19,362,1382,1.38,"RoughTendency",2008
66,66,"Bob Estes",90,26.2,311,1187,0.32,"RoughTendency",2008
66,66,"Scott Sterling",89,26.2,267,1019,0.94,"RoughTendency",2008
68,68,"JJ Henry",108,26.23,358,1365,1.37,"RoughTendency",2008
69,69,"Glen Day",64,26.29,204,776,1.57,"RoughTendency",2008
70,70,"Mark Calcavecchia",67,26.33,198,752,0.4,"RoughTendency",2008
70,70,"Peter Lonard",92,26.33,291,1105,0.69,"RoughTendency",2008
70,70,"Jeff Maggert",86,26.33,287,1090,1.92,"RoughTendency",2008
73,73,"John Merrick",98,26.39,280,1061,1.25,"RoughTendency",2008
74,74,"David Toms",70,26.42,205,776,0.59,"RoughTendency",2008
75,75,"Chad Campbell",94,26.47,310,1171,1.29,"RoughTendency",2008
76,76,"Ryan Palmer",69,26.48,219,827,0.78,"RoughTendency",2008
77,77,"Ryan Moore",72,26.5,230,868,1.91,"RoughTendency",2008
78,78,"Todd Demsey",80,26.54,259,976,1.16,"RoughTendency",2008
79,79,"Justin Bolli",87,26.58,269,1012,1.75,"RoughTendency",2008
80,80,"Charles Warren",79,26.71,273,1022,1.14,"RoughTendency",2008
81,81,"John Huston",56,26.81,181,675,1.27,"RoughTendency",2008
81,81,"Hunter Mahan",87,26.81,267,996,1.27,"RoughTendency",2008
83,83,"Tim Clark",90,26.82,272,1014,0.85,"RoughTendency",2008
84,84,"Mathew Goggin",91,26.86,304,1132,0.56,"RoughTendency",2008
85,85,"Kevin Stadler",90,26.97,270,1001,0.85,"RoughTendency",2008
86,86,"Tom Scherrer",56,27.08,163,602,1.9,"RoughTendency",2008
87,87,"Alex Cejka",75,27.12,224,826,1.65,"RoughTendency",2008
87,87,"Pat Perez",93,27.12,297,1095,0.84,"RoughTendency",2008
89,89,"Marc Turnesa",87,27.32,286,1047,1.15,"RoughTendency",2008
90,90,"DJ Trahan",94,27.33,293,1072,1.88,"RoughTendency",2008
91,91,"Jason Day",81,27.39,287,1048,1.57,"RoughTendency",2008
