"GreensorFringeinRegulation_RANKTHISWEEK_2016","GreensorFringeinRegulation_RANKLASTWEEK_2016","GreensorFringeinRegulation_PLAYERNAME_2016","GreensorFringeinRegulation_ROUNDS_2016","GreensorFringeinRegulation_Pct_2016","GreensorFringeinRegulation_TOTALHIT_2016","GreensorFringeinRegulation_TOTALATTEMPTS_2016","GreensorFringeinRegulation_RTPSCORE_2016","stat_name","year"
1,1,"Bubba Watson",30,79.08,242,306,-79,"GreensorFringeinRegulation",2016
2,2,"Adam Scott",39,77.55,335,432,-108,"GreensorFringeinRegulation",2016
3,6,"Cameron Percy",22,75.79,191,252,-41,"GreensorFringeinRegulation",2016
4,8,"Shane Bertsch",30,75.73,259,342,-55,"GreensorFringeinRegulation",2016
5,10,"Hideki Matsuyama",40,75.43,353,468,-105,"GreensorFringeinRegulation",2016
6,5,"Patrick Rodgers",49,75.36,529,702,-126,"GreensorFringeinRegulation",2016
7,6,"Rickie Fowler",42,75.17,433,576,-142,"GreensorFringeinRegulation",2016
8,9,"Lucas Glover",53,75.06,635,846,-147,"GreensorFringeinRegulation",2016
9,4,"Henrik Stenson",30,75,243,324,-71,"GreensorFringeinRegulation",2016
10,3,"Jhonattan Vegas",49,74.85,485,648,-131,"GreensorFringeinRegulation",2016
11,16,"Louis Oosthuizen",25,74.44,134,180,-27,"GreensorFringeinRegulation",2016
12,13,"JJ Henry",44,74.31,535,720,-96,"GreensorFringeinRegulation",2016
13,12,"Roberto Castro",55,74.28,615,828,-148,"GreensorFringeinRegulation",2016
14,25,"Justin Rose",35,74.22,334,450,-96,"GreensorFringeinRegulation",2016
15,19,"Greg Owen",56,74.03,573,774,-121,"GreensorFringeinRegulation",2016
16,20,"Sergio Garcia",28,73.93,173,234,-36,"GreensorFringeinRegulation",2016
17,21,"Smylie Kaufman",57,73.85,545,738,-158,"GreensorFringeinRegulation",2016
18,22,"Bernd Wiesberger",23,73.61,159,216,-34,"GreensorFringeinRegulation",2016
19,23,"Stewart Cink",45,73.57,437,594,-98,"GreensorFringeinRegulation",2016
20,24,"Russell Knox",48,73.56,384,522,-83,"GreensorFringeinRegulation",2016
21,27,"Zach Johnson",42,73.4,436,594,-116,"GreensorFringeinRegulation",2016
22,29,"Charl Schwartzel",29,73.33,264,360,-71,"GreensorFringeinRegulation",2016
23,14,"Kevin Streelman",46,73.3,409,558,-97,"GreensorFringeinRegulation",2016
24,33,"Brooks Koepka",39,73.21,369,504,-104,"GreensorFringeinRegulation",2016
25,17,"Robert Garrigus",34,73.19,303,414,-72,"GreensorFringeinRegulation",2016
26,18,"Graham DeLaet",50,73.15,553,756,-141,"GreensorFringeinRegulation",2016
27,30,"Gary Woodland",45,73.02,460,630,-116,"GreensorFringeinRegulation",2016
28,39,"Johnson Wagner",44,72.88,446,612,-111,"GreensorFringeinRegulation",2016
29,11,"Henrik Norlander",41,72.86,341,468,-72,"GreensorFringeinRegulation",2016
30,37,"Jason Dufner",53,72.7,458,630,-107,"GreensorFringeinRegulation",2016
31,28,"Thomas Aiken",42,72.65,340,468,-71,"GreensorFringeinRegulation",2016
31,26,"Scott Pinckney",53,72.65,510,702,-104,"GreensorFringeinRegulation",2016
33,38,"Scott Piercy",45,72.62,366,504,-101,"GreensorFringeinRegulation",2016
34,36,"Charles Howell III",63,72.56,653,900,-175,"GreensorFringeinRegulation",2016
35,43,"Dustin Johnson",37,72.5,261,360,-97,"GreensorFringeinRegulation",2016
36,47,"Kevin Na",52,72.39,430,594,-114,"GreensorFringeinRegulation",2016
37,34,"Brendan Steele",48,72.37,495,684,-119,"GreensorFringeinRegulation",2016
38,44,"Chad Campbell",54,72.22,559,774,-118,"GreensorFringeinRegulation",2016
38,48,"Paul Casey",39,72.22,299,414,-72,"GreensorFringeinRegulation",2016
38,48,"Brice Garnett",29,72.22,195,270,-42,"GreensorFringeinRegulation",2016
38,15,"Martin Piller",37,72.22,338,468,-85,"GreensorFringeinRegulation",2016
42,54,"Emiliano Grillo",47,72.06,454,630,-118,"GreensorFringeinRegulation",2016
43,40,"Kevin Kisner",49,72.05,428,594,-128,"GreensorFringeinRegulation",2016
44,32,"Alex Cejka",47,72.04,402,558,-101,"GreensorFringeinRegulation",2016
45,31,"Bill Haas",42,72.02,363,504,-87,"GreensorFringeinRegulation",2016
46,56,"Jason Day",36,71.97,285,396,-97,"GreensorFringeinRegulation",2016
46,56,"John Huh",51,71.97,570,792,-144,"GreensorFringeinRegulation",2016
48,63,"David Lingmerth",54,71.76,465,648,-116,"GreensorFringeinRegulation",2016
49,64,"Matt Kuchar",46,71.68,400,558,-106,"GreensorFringeinRegulation",2016
50,51,"Kyle Reifers",63,71.64,619,864,-151,"GreensorFringeinRegulation",2016
51,66,"Russell Henley",42,71.62,477,666,-122,"GreensorFringeinRegulation",2016
52,53,"David Hearn",55,71.56,541,756,-129,"GreensorFringeinRegulation",2016
53,35,"John Senden",48,71.53,515,720,-131,"GreensorFringeinRegulation",2016
54,70,"Keegan Bradley",40,71.4,347,486,-76,"GreensorFringeinRegulation",2016
55,41,"Kelly Kraft",35,71.39,257,360,-63,"GreensorFringeinRegulation",2016
56,46,"Davis Love III",40,71.38,424,594,-93,"GreensorFringeinRegulation",2016
57,72,"Chris Kirk",51,71.37,501,702,-128,"GreensorFringeinRegulation",2016
58,73,"Jimmy Walker",43,71.35,411,576,-137,"GreensorFringeinRegulation",2016
59,51,"William McGirt",54,71.3,616,864,-176,"GreensorFringeinRegulation",2016
60,58,"Derek Ernst",36,71.21,282,396,-49,"GreensorFringeinRegulation",2016
60,41,"Rory McIlroy",37,71.21,282,396,-95,"GreensorFringeinRegulation",2016
62,58,"Jim Herman",55,71.2,487,684,-96,"GreensorFringeinRegulation",2016
63,73,"Fabian Gomez",49,71.16,538,756,-143,"GreensorFringeinRegulation",2016
64,79,"Chez Reavie",56,71.14,589,828,-142,"GreensorFringeinRegulation",2016
65,77,"Will Ma Kenzie",54,71.11,512,720,-102,"GreensorFringeinRegulation",2016
65,80,"Jordan Spieth",34,71.11,256,360,-94,"GreensorFringeinRegulation",2016
67,75,"Dawie van der Walt",48,71.08,435,612,-103,"GreensorFringeinRegulation",2016
68,83,"Justin Hicks",26,71.06,307,432,-61,"GreensorFringeinRegulation",2016
69,81,"Ryan Palmer",46,71.03,537,756,-142,"GreensorFringeinRegulation",2016
69,60,"Webb Simpson",34,71.03,358,504,-90,"GreensorFringeinRegulation",2016
71,86,"Billy Horschel",45,70.92,434,612,-120,"GreensorFringeinRegulation",2016
71,86,"Pat Perez",28,70.92,217,306,-43,"GreensorFringeinRegulation",2016
73,88,"Wes Roach",33,70.9,268,378,-59,"GreensorFringeinRegulation",2016
74,61,"Spencer Levin",62,70.83,612,864,-150,"GreensorFringeinRegulation",2016
75,65,"Michael Thompson",46,70.79,395,558,-101,"GreensorFringeinRegulation",2016
76,55,"Ryan Moore",40,70.78,344,486,-91,"GreensorFringeinRegulation",2016
77,78,"Danny Lee",53,70.68,458,648,-122,"GreensorFringeinRegulation",2016
78,71,"Jamie Lovemark",57,70.67,636,900,-174,"GreensorFringeinRegulation",2016
79,67,"Brendon de Jonge",55,70.66,496,702,-102,"GreensorFringeinRegulation",2016
80,45,"JB Holmes",39,70.63,356,504,-102,"GreensorFringeinRegulation",2016
81,85,"Adam Hadwin",53,70.57,597,846,-156,"GreensorFringeinRegulation",2016
82,68,"Luke Donald",49,70.54,419,594,-90,"GreensorFringeinRegulation",2016
83,48,"Jason Bohn",37,70.5,368,522,-101,"GreensorFringeinRegulation",2016
84,84,"Jason Kokrak",52,70.46,520,738,-132,"GreensorFringeinRegulation",2016
85,75,"Nick Taylor",57,70.45,558,792,-140,"GreensorFringeinRegulation",2016
86,95,"Marc Leishman",41,70.44,317,450,-92,"GreensorFringeinRegulation",2016
87,96,"Brandt Snedeker",47,70.42,431,612,-136,"GreensorFringeinRegulation",2016
88,89,"Patton Kizzire",57,70.33,557,792,-155,"GreensorFringeinRegulation",2016
89,98,"Daniel Berger",52,70.22,455,648,-132,"GreensorFringeinRegulation",2016
90,104,"Jason Gore",51,70.17,454,647,-109,"GreensorFringeinRegulation",2016
91,92,"Sean OHair",45,70.14,505,720,-126,"GreensorFringeinRegulation",2016
91,81,"David Toms",38,70.14,404,576,-93,"GreensorFringeinRegulation",2016
93,62,"Byeong Hun An",23,70.09,164,234,-49,"GreensorFringeinRegulation",2016
94,102,"Charley Hoffman",49,70.06,454,648,-129,"GreensorFringeinRegulation",2016
95,97,"Kyle Stanley",57,70.05,580,828,-150,"GreensorFringeinRegulation",2016
96,111,"Harris English",51,69.93,428,612,-105,"GreensorFringeinRegulation",2016
97,93,"Tyler Aldridge",53,69.78,515,738,-115,"GreensorFringeinRegulation",2016
98,107,"Branden Grace",31,69.75,226,324,-53,"GreensorFringeinRegulation",2016
98,99,"Phil Mickelson",37,69.75,339,486,-106,"GreensorFringeinRegulation",2016
100,102,"Bronson Burgoon",53,69.74,477,684,-105,"GreensorFringeinRegulation",2016
101,89,"Kevin Chappell",49,69.72,502,720,-129,"GreensorFringeinRegulation",2016
102,110,"Rhein Gibson",36,69.66,326,468,-61,"GreensorFringeinRegulation",2016
102,106,"Luke List",51,69.66,489,702,-119,"GreensorFringeinRegulation",2016
104,127,"Chris Stroud",52,69.65,514,738,-127,"GreensorFringeinRegulation",2016
105,109,"Rob Oppenheim",37,69.64,351,504,-77,"GreensorFringeinRegulation",2016
106,133,"Chesson Hadley",51,69.59,476,684,-109,"GreensorFringeinRegulation",2016
107,113,"KJ Choi",47,69.58,501,720,-122,"GreensorFringeinRegulation",2016
107,113,"Luke Guthrie",31,69.58,263,378,-62,"GreensorFringeinRegulation",2016
107,94,"Ben Martin",48,69.58,501,720,-144,"GreensorFringeinRegulation",2016
110,115,"Graeme McDowell",33,69.57,288,414,-73,"GreensorFringeinRegulation",2016
110,115,"Seung Yul Noh",54,69.57,551,792,-139,"GreensorFringeinRegulation",2016
112,68,"Tim Wilkinson",40,69.44,325,468,-87,"GreensorFringeinRegulation",2016
113,105,"Vaughn Taylor",30,69.33,312,450,-82,"GreensorFringeinRegulation",2016
114,91,"Martin Laird",46,69.3,474,684,-118,"GreensorFringeinRegulation",2016
114,100,"Scott Stallings",46,69.3,474,684,-115,"GreensorFringeinRegulation",2016
116,120,"Sung Kang",51,69.24,511,738,-126,"GreensorFringeinRegulation",2016
116,101,"Boo Weekley",53,69.24,511,738,-129,"GreensorFringeinRegulation",2016
118,126,"Hudson Swafford",52,69.09,485,702,-127,"GreensorFringeinRegulation",2016
119,119,"Mark Hubbard",73,68.93,732,1062,-171,"GreensorFringeinRegulation",2016
120,118,"Blayne Barber",44,68.86,471,684,-114,"GreensorFringeinRegulation",2016
121,128,"Freddie Jacobson",54,68.8,483,702,-125,"GreensorFringeinRegulation",2016
122,125,"Brett Stegmaier",57,68.79,582,846,-138,"GreensorFringeinRegulation",2016
123,122,"Vijay Singh",42,68.77,458,666,-106,"GreensorFringeinRegulation",2016
124,135,"Jeff Overton",51,68.69,544,792,-125,"GreensorFringeinRegulation",2016
125,132,"Bryce Molder",50,68.66,482,702,-131,"GreensorFringeinRegulation",2016
