"GoodDrivePercentage_RANKTHISWEEK_2012","GoodDrivePercentage_RANKLASTWEEK_2012","GoodDrivePercentage_PLAYERNAME_2012","GoodDrivePercentage_ROUNDS_2012","GoodDrivePercentage_Pct_2012","GoodDrivePercentage_HIT_2012","GoodDrivePercentage_TOTALATTEMPTS_2012","stat_name","year"
1,1,"Jim Furyk",85,87.02,1019,1171,"GoodDrivePercentage",2012
2,2,"Justin Rose",69,86.71,822,948,"GoodDrivePercentage",2012
3,3,"Hunter Mahan",88,86.14,988,1147,"GoodDrivePercentage",2012
4,4,"Jason Dufner",83,85.55,977,1142,"GoodDrivePercentage",2012
5,5,"Chez Reavie",83,85.54,988,1155,"GoodDrivePercentage",2012
6,6,"Tim Clark",60,85.32,715,838,"GoodDrivePercentage",2012
7,7,"David Toms",60,85.31,691,810,"GoodDrivePercentage",2012
8,8,"John Huh",99,84.96,1175,1383,"GoodDrivePercentage",2012
9,9,"Graeme McDowell",55,84.92,642,756,"GoodDrivePercentage",2012
10,10,"Mark Wilson",84,84.86,925,1090,"GoodDrivePercentage",2012
11,11,"Zach Johnson",95,84.72,1109,1309,"GoodDrivePercentage",2012
12,12,"John Senden",81,84.62,919,1086,"GoodDrivePercentage",2012
13,13,"Camilo Villegas",79,84.54,908,1074,"GoodDrivePercentage",2012
14,14,"Brian Harman",101,84.39,1189,1409,"GoodDrivePercentage",2012
15,15,"Bubba Watson",68,84.38,783,928,"GoodDrivePercentage",2012
16,16,"Ben Crane",73,84.36,852,1010,"GoodDrivePercentage",2012
17,17,"Kris Blanks",65,83.96,759,904,"GoodDrivePercentage",2012
18,18,"John Merrick",83,83.95,926,1103,"GoodDrivePercentage",2012
19,19,"DA Points",88,83.92,1033,1231,"GoodDrivePercentage",2012
20,20,"Bo Van Pelt",84,83.91,970,1156,"GoodDrivePercentage",2012
21,21,"Stuart Appleby",75,83.74,829,990,"GoodDrivePercentage",2012
22,22,"Jeff Maggert",83,83.66,968,1157,"GoodDrivePercentage",2012
23,23,"Webb Simpson",77,83.65,890,1064,"GoodDrivePercentage",2012
24,24,"Luke Donald",63,83.45,721,864,"GoodDrivePercentage",2012
25,25,"Vijay Singh",99,83.35,1151,1381,"GoodDrivePercentage",2012
26,26,"Steve Stricker",73,83.33,820,984,"GoodDrivePercentage",2012
27,27,"Greg Owen",90,83.27,1045,1255,"GoodDrivePercentage",2012
28,28,"David Hearn",95,83.2,1104,1327,"GoodDrivePercentage",2012
29,29,"KJ Choi",71,83.16,815,980,"GoodDrivePercentage",2012
30,30,"Billy Mayfair",90,83.1,998,1201,"GoodDrivePercentage",2012
31,31,"Chris Couch",61,83.05,681,820,"GoodDrivePercentage",2012
32,32,"John Mallinger",74,83.04,808,973,"GoodDrivePercentage",2012
33,33,"Charley Hoffman",88,82.95,1017,1226,"GoodDrivePercentage",2012
34,34,"Lee Westwood",60,82.94,627,756,"GoodDrivePercentage",2012
35,35,"Louis Oosthuizen",65,82.92,728,878,"GoodDrivePercentage",2012
35,35,"Tiger Woods",69,82.92,777,937,"GoodDrivePercentage",2012
37,37,"Brendan Steele",77,82.89,848,1023,"GoodDrivePercentage",2012
38,38,"Cameron Tringale",88,82.86,1015,1225,"GoodDrivePercentage",2012
39,39,"Russell Knox",72,82.84,787,950,"GoodDrivePercentage",2012
40,40,"Rory McIlroy",60,82.8,626,756,"GoodDrivePercentage",2012
41,41,"Josh Teater",97,82.73,1073,1297,"GoodDrivePercentage",2012
42,42,"Pat Perez",81,82.62,908,1099,"GoodDrivePercentage",2012
43,43,"Ryan Moore",89,82.59,1025,1241,"GoodDrivePercentage",2012
43,43,"Kevin Na",80,82.59,911,1103,"GoodDrivePercentage",2012
45,45,"Heath Slocum",93,82.54,1026,1243,"GoodDrivePercentage",2012
46,46,"Scott Dunlap",57,82.46,611,741,"GoodDrivePercentage",2012
47,47,"Chris Kirk",93,82.37,1028,1248,"GoodDrivePercentage",2012
47,47,"Richard Lee",71,82.37,771,936,"GoodDrivePercentage",2012
49,49,"Bill Haas",79,82.36,901,1094,"GoodDrivePercentage",2012
50,50,"Rickie Fowler",84,82.34,956,1161,"GoodDrivePercentage",2012
51,51,"DJ Trahan",73,82.33,792,962,"GoodDrivePercentage",2012
52,52,"John Rollins",81,82.31,884,1074,"GoodDrivePercentage",2012
53,53,"Bud Cauley",99,82.23,1134,1379,"GoodDrivePercentage",2012
54,54,"Kyle Stanley",86,82.13,965,1175,"GoodDrivePercentage",2012
55,55,"Keegan Bradley",90,82.12,1015,1236,"GoodDrivePercentage",2012
56,56,"Matt Kuchar",86,81.96,936,1142,"GoodDrivePercentage",2012
57,57,"Tim Herron",88,81.84,1005,1228,"GoodDrivePercentage",2012
58,58,"Gary Christian",91,81.78,992,1213,"GoodDrivePercentage",2012
58,58,"Harris English",98,81.78,1118,1367,"GoodDrivePercentage",2012
60,60,"Nick OHern",78,81.77,843,1031,"GoodDrivePercentage",2012
61,61,"Sean OHair",84,81.73,962,1177,"GoodDrivePercentage",2012
62,62,"Garth Mulroy",59,81.56,650,797,"GoodDrivePercentage",2012
63,63,"Tom Gillis",75,81.42,850,1044,"GoodDrivePercentage",2012
64,64,"Johnson Wagner",88,81.36,1004,1234,"GoodDrivePercentage",2012
65,65,"Jerry Kelly",84,81.3,952,1171,"GoodDrivePercentage",2012
66,66,"Robert Garrigus",89,81.28,1007,1239,"GoodDrivePercentage",2012
67,67,"Bryce Molder",83,81.25,897,1104,"GoodDrivePercentage",2012
68,68,"Scott Stallings",78,81.24,888,1093,"GoodDrivePercentage",2012
69,69,"Will Claxton",99,81.17,1121,1381,"GoodDrivePercentage",2012
70,70,"Chris DiMarco",83,81.1,914,1127,"GoodDrivePercentage",2012
71,71,"Ricky Barnes",92,81.04,996,1229,"GoodDrivePercentage",2012
72,72,"Tom Pernice Jr",62,80.94,654,808,"GoodDrivePercentage",2012
73,73,"Cameron Beckman",81,80.93,870,1075,"GoodDrivePercentage",2012
74,74,"Ian Poulter",57,80.84,633,783,"GoodDrivePercentage",2012
75,75,"Rory Sabbatini",84,80.82,948,1173,"GoodDrivePercentage",2012
76,76,"Sergio Garcia",57,80.77,630,780,"GoodDrivePercentage",2012
77,77,"Geoff Ogilvy",73,80.76,810,1003,"GoodDrivePercentage",2012
78,78,"Ken Duke",104,80.68,1169,1449,"GoodDrivePercentage",2012
79,79,"Ernie Els",80,80.61,877,1088,"GoodDrivePercentage",2012
80,80,"Davis Love III",64,80.56,721,895,"GoodDrivePercentage",2012
81,81,"Jonathan Byrd",69,80.46,766,952,"GoodDrivePercentage",2012
82,82,"Ben Curtis",62,80.41,698,868,"GoodDrivePercentage",2012
83,83,"Colt Knost",79,80.37,864,1075,"GoodDrivePercentage",2012
84,84,"Dustin Johnson",70,80.34,752,936,"GoodDrivePercentage",2012
85,85,"Adam Scott",59,80.3,652,812,"GoodDrivePercentage",2012
86,86,"Blake Adams",107,80.24,1198,1493,"GoodDrivePercentage",2012
87,87,"Ryan Palmer",81,80.21,908,1132,"GoodDrivePercentage",2012
88,88,"Trevor Immelman",76,80.13,851,1062,"GoodDrivePercentage",2012
89,89,"Chris Stroud",86,80.12,963,1202,"GoodDrivePercentage",2012
90,90,"Mathew Goggin",65,80.11,705,880,"GoodDrivePercentage",2012
91,91,"Scott Piercy",95,80.06,1064,1329,"GoodDrivePercentage",2012
92,92,"Brendon de Jonge",115,80.01,1285,1606,"GoodDrivePercentage",2012
92,92,"Seung Yul Noh",105,80.01,1129,1411,"GoodDrivePercentage",2012
94,94,"Nick Watney",97,80,1052,1315,"GoodDrivePercentage",2012
