"BonusPutting_RANKTHISWEEK_2010","BonusPutting_RANKLASTWEEK_2010","BonusPutting_PLAYERNAME_2010","BonusPutting_ROUNDS_2010","BonusPutting_VALUE_2010","BonusPutting_ATTEMPTS_2010","BonusPutting_TOTMADE20_2010","BonusPutting_TOTMADE_2010","stat_name","year"
1,1,"Paul Casey",64,103.31,604,28,596,"BonusPutting",2010
2,2,"Paul Stankowski",62,102.67,749,42,727,"BonusPutting",2010
3,3,"Stephen Ames",75,102.19,960,45,936,"BonusPutting",2010
4,4,"Dean Wilson",54,101.99,652,27,638,"BonusPutting",2010
5,5,"Chad Collins",87,101.83,1036,45,1010,"BonusPutting",2010
6,6,"Carl Pettersson",99,101.82,1152,47,1126,"BonusPutting",2010
7,7,"Padraig Harrington",57,101.74,634,21,624,"BonusPutting",2010
8,8,"Luke Donald",71,101.5,731,24,718,"BonusPutting",2010
9,9,"Steve Elkington",74,101.41,849,27,834,"BonusPutting",2010
9,9,"Steve Stricker",73,101.41,778,29,760,"BonusPutting",2010
11,11,"Greg Chalmers",93,101.35,1189,43,1162,"BonusPutting",2010
12,12,"Jeff Overton",89,101.33,977,37,953,"BonusPutting",2010
13,13,"Chris Couch",66,101.32,832,35,808,"BonusPutting",2010
14,14,"Jeff Quinney",91,101.17,1111,37,1087,"BonusPutting",2010
15,15,"Brian Gay",101,101.15,1132,36,1109,"BonusPutting",2010
16,16,"Michael Sim",64,101.07,746,27,727,"BonusPutting",2010
17,17,"Jason Bohn",84,101.04,1061,39,1033,"BonusPutting",2010
18,18,"Ryan Palmer",84,101.02,977,32,955,"BonusPutting",2010
19,19,"Andres Romero",73,100.99,1008,42,976,"BonusPutting",2010
20,20,"Zach Johnson",93,100.96,1041,43,1008,"BonusPutting",2010
21,21,"Kevin Na",94,100.94,1064,46,1028,"BonusPutting",2010
22,22,"Bryce Molder",84,100.88,1019,43,985,"BonusPutting",2010
23,23,"Webb Simpson",98,100.84,1304,43,1272,"BonusPutting",2010
24,24,"Matt Jones",89,100.81,1118,40,1087,"BonusPutting",2010
25,25,"Ben Crane",85,100.76,925,37,895,"BonusPutting",2010
25,25,"Troy Merritt",86,100.76,1053,43,1018,"BonusPutting",2010
27,27,"Blake Adams",84,100.73,1100,45,1063,"BonusPutting",2010
28,28,"Jim Furyk",76,100.7,858,26,838,"BonusPutting",2010
29,29,"Retief Goosen",75,100.69,729,20,714,"BonusPutting",2010
30,30,"Jason Day",82,100.6,996,41,961,"BonusPutting",2010
31,31,"Ryuji Imada",90,100.59,1184,38,1153,"BonusPutting",2010
32,32,"Brad Faxon",58,100.58,684,30,658,"BonusPutting",2010
33,33,"Freddie Jacobson",83,100.55,1090,42,1054,"BonusPutting",2010
34,34,"Derek Lamely",81,100.54,923,36,892,"BonusPutting",2010
35,35,"Michael Connell",89,100.47,1067,36,1036,"BonusPutting",2010
35,35,"James Driscoll",78,100.47,1061,34,1032,"BonusPutting",2010
37,37,"Robert Allenby",76,100.46,871,36,839,"BonusPutting",2010
37,37,"Johnson Wagner",85,100.46,1080,44,1041,"BonusPutting",2010
39,39,"Geoff Ogilvy",62,100.44,681,20,664,"BonusPutting",2010
40,40,"Scott McCarron",90,100.42,1186,39,1152,"BonusPutting",2010
41,41,"Chris Tidland",77,100.41,972,43,933,"BonusPutting",2010
42,42,"Vaughn Taylor",87,100.36,1123,39,1088,"BonusPutting",2010
43,43,"Matt Bettencourt",91,100.31,982,33,952,"BonusPutting",2010
44,44,"David Toms",86,100.3,998,33,968,"BonusPutting",2010
45,45,"Scott Piercy",88,100.27,1131,44,1090,"BonusPutting",2010
45,45,"Boo Weekley",88,100.27,1093,44,1052,"BonusPutting",2010
47,47,"Shaun Micheel",70,100.26,759,31,730,"BonusPutting",2010
48,48,"KJ Choi",82,100.23,879,39,842,"BonusPutting",2010
49,49,"Brett Quigley",96,100.16,1289,49,1242,"BonusPutting",2010
49,49,"Bo Van Pelt",104,100.16,1228,41,1189,"BonusPutting",2010
51,51,"Brendon de Jonge",114,100.15,1319,38,1283,"BonusPutting",2010
51,51,"Brent Delahoussaye",57,100.15,670,23,648,"BonusPutting",2010
53,53,"YE Yang",72,100.12,801,31,771,"BonusPutting",2010
54,54,"Stewart Cink",84,100.11,939,35,905,"BonusPutting",2010
55,55,"Nathan Green",86,100.09,1137,35,1103,"BonusPutting",2010
56,56,"Tom Gillis",97,100.08,1259,46,1214,"BonusPutting",2010
56,56,"Charles Howell III",103,100.08,1294,32,1263,"BonusPutting",2010
58,58,"Ben Curtis",78,100,965,26,939,"BonusPutting",2010
58,58,"Richard Johnson",90,100,1070,45,1025,"BonusPutting",2010
58,58,"Skip Kendall",58,100,694,17,677,"BonusPutting",2010
58,58,"Bill Lunde",79,100,996,35,961,"BonusPutting",2010
58,58,"Brian Stuard",81,100,1015,39,976,"BonusPutting",2010
58,58,"Scott Verplank",74,100,794,22,772,"BonusPutting",2010
64,64,"JJ Henry",92,99.91,1147,30,1116,"BonusPutting",2010
64,64,"John Rollins",81,99.91,1073,36,1036,"BonusPutting",2010
66,66,"Justin Rose",78,99.9,983,34,948,"BonusPutting",2010
67,67,"Daniel Chopra",74,99.89,952,31,920,"BonusPutting",2010
68,68,"Rich Barcelo",70,99.88,834,26,807,"BonusPutting",2010
68,68,"Cameron Beckman",68,99.88,855,29,825,"BonusPutting",2010
70,70,"Jarrod Lyle",54,99.85,661,14,646,"BonusPutting",2010
71,71,"Spencer Levin",110,99.79,1431,40,1388,"BonusPutting",2010
71,71,"Ian Poulter",55,99.79,480,11,468,"BonusPutting",2010
73,73,"Aaron Baddeley",94,99.76,1244,42,1199,"BonusPutting",2010
73,73,"Tom Pernice Jr",74,99.76,846,27,817,"BonusPutting",2010
75,75,"James Nitties",92,99.74,1136,35,1098,"BonusPutting",2010
76,76,"Martin Laird",91,99.73,1128,31,1094,"BonusPutting",2010
77,77,"Justin Leonard",89,99.71,1032,32,997,"BonusPutting",2010
78,78,"Nick Watney",91,99.69,976,29,944,"BonusPutting",2010
79,79,"Chad Campbell",95,99.66,1181,28,1149,"BonusPutting",2010
79,79,"Jerod Turner",54,99.66,581,18,561,"BonusPutting",2010
81,81,"Ryan Moore",80,99.65,860,17,840,"BonusPutting",2010
82,82,"Ernie Els",72,99.62,796,25,768,"BonusPutting",2010
82,82,"Kenny Perry",69,99.62,797,24,770,"BonusPutting",2010
84,84,"Matt Every",60,99.58,709,27,679,"BonusPutting",2010
85,85,"Pat Perez",90,99.57,1172,38,1129,"BonusPutting",2010
86,86,"Chris Riley",73,99.56,904,26,874,"BonusPutting",2010
87,87,"Brandt Snedeker",89,99.52,1031,27,999,"BonusPutting",2010
88,88,"Phil Mickelson",76,99.51,817,19,794,"BonusPutting",2010
89,89,"Hunter Mahan",85,99.47,952,28,919,"BonusPutting",2010
90,90,"Rickie Fowler",98,99.41,1187,27,1153,"BonusPutting",2010
91,91,"Roland Thatcher",72,99.39,990,29,955,"BonusPutting",2010
92,92,"Alex Prugh",88,99.38,1135,30,1098,"BonusPutting",2010
93,93,"Charley Hoffman",85,99.36,1100,32,1061,"BonusPutting",2010
93,93,"Charlie Wi",95,99.36,1241,43,1190,"BonusPutting",2010
95,95,"Matt Kuchar",97,99.33,1046,24,1015,"BonusPutting",2010
95,95,"Aron Price",70,99.33,890,27,857,"BonusPutting",2010
97,97,"Rory McIlroy",54,99.31,576,20,552,"BonusPutting",2010
97,97,"Mark Wilson",87,99.31,1152,40,1104,"BonusPutting",2010
99,99,"John Senden",103,99.29,1264,36,1219,"BonusPutting",2010
100,100,"JP Hayes",79,99.27,960,31,922,"BonusPutting",2010
101,101,"John Merrick",109,99.26,1360,32,1318,"BonusPutting",2010
102,102,"Trevor Immelman",55,99.21,631,20,606,"BonusPutting",2010
103,103,"Tim Herron",79,99.2,1001,35,958,"BonusPutting",2010
104,104,"Robert Garrigus",71,99.19,865,25,833,"BonusPutting",2010
105,105,"Lucas Glover",75,99.17,846,24,815,"BonusPutting",2010
106,106,"Heath Slocum",97,99.16,1067,24,1034,"BonusPutting",2010
107,107,"Mike Weir",59,99.14,579,11,563,"BonusPutting",2010
108,108,"Bob Estes",79,99.13,1034,31,994,"BonusPutting",2010
109,109,"Chris DiMarco",88,99.12,1135,33,1092,"BonusPutting",2010
109,109,"Tim Petrovic",105,99.12,1370,37,1321,"BonusPutting",2010
109,109,"Chris Stroud",90,99.12,1026,28,989,"BonusPutting",2010
112,112,"Bubba Watson",77,99.07,967,26,932,"BonusPutting",2010
113,113,"Tim Clark",88,99.05,946,21,916,"BonusPutting",2010
113,113,"Michael Letzig",84,99.05,1155,35,1109,"BonusPutting",2010
115,115,"Graham DeLaet",88,99.02,1124,39,1074,"BonusPutting",2010
116,116,"Dustin Johnson",83,99.01,906,31,866,"BonusPutting",2010
116,116,"Jimmy Walker",82,99.01,1007,26,971,"BonusPutting",2010
118,118,"Troy Matteson",84,98.98,1175,35,1128,"BonusPutting",2010
118,118,"Kevin Sutherland",86,98.98,1175,32,1131,"BonusPutting",2010
120,120,"George McNeill",79,98.97,972,28,934,"BonusPutting",2010
121,121,"Greg Kraft",52,98.95,571,13,552,"BonusPutting",2010
122,122,"Woody Austin",93,98.91,1192,37,1142,"BonusPutting",2010
123,123,"Kris Blanks",91,98.9,1094,26,1056,"BonusPutting",2010
123,123,"Steve Lowery",67,98.9,818,22,787,"BonusPutting",2010
125,125,"Henrik Bjornstad",72,98.87,882,24,848,"BonusPutting",2010
126,126,"Lee Janzen",77,98.82,1021,27,982,"BonusPutting",2010
