"AverageDistanceofBirdieputtsmade_RANKTHISWEEK_2009","AverageDistanceofBirdieputtsmade_RANKLASTWEEK_2009","AverageDistanceofBirdieputtsmade_PLAYERNAME_2009","AverageDistanceofBirdieputtsmade_ROUNDS_2009","AverageDistanceofBirdieputtsmade_AVG_2009","AverageDistanceofBirdieputtsmade_TOTDISTFT_2009","AverageDistanceofBirdieputtsmade_TOTBIRDIEPUTTSMADE_2009","AverageDistanceofBirdieputtsmade_LONGESTMADEFT_2009","AverageDistanceofBirdieputtsmade_SHORTESTMADEFT_2009","stat_name","year"
1,1,"Brad Faxon",59,NA,1555.5,131,60,NA,"AverageDistanceofBirdieputtsmade",2009
2,2,"Ben Curtis",63,NA,1762.917,152,57,NA,"AverageDistanceofBirdieputtsmade",2009
3,3,"Marc Turnesa",77,NA,2277.417,199,42,NA,"AverageDistanceofBirdieputtsmade",2009
4,4,"Mark Brooks",55,NA,1279.833,113,45,NA,"AverageDistanceofBirdieputtsmade",2009
5,5,"Spencer Levin",75,NA,2375.333,211,43,NA,"AverageDistanceofBirdieputtsmade",2009
6,6,"Greg Kraft",51,NA,1241,111,65,NA,"AverageDistanceofBirdieputtsmade",2009
6,6,"Corey Pavin",73,NA,1902.417,170,52,NA,"AverageDistanceofBirdieputtsmade",2009
6,6,"Ted Purdy",101,NA,3643.833,327,54,NA,"AverageDistanceofBirdieputtsmade",2009
9,9,"Greg Chalmers",85,NA,2878.5,260,57,NA,"AverageDistanceofBirdieputtsmade",2009
9,9,"Jeff Klauk",97,NA,3034,273,64,NA,"AverageDistanceofBirdieputtsmade",2009
11,11,"Brian Gay",96,NA,3005.333,276,58,NA,"AverageDistanceofBirdieputtsmade",2009
11,11,"Brendon Todd",53,NA,1405.5,129,40,NA,"AverageDistanceofBirdieputtsmade",2009
13,13,"Ben Crane",93,NA,2951.25,272,52,NA,"AverageDistanceofBirdieputtsmade",2009
13,13,"Patrick Sheehan",51,NA,1394.5,129,49,NA,"AverageDistanceofBirdieputtsmade",2009
15,15,"Matt Kuchar",82,NA,2786,260,66,NA,"AverageDistanceofBirdieputtsmade",2009
15,15,"Peter Lonard",86,NA,2398.667,224,58,NA,"AverageDistanceofBirdieputtsmade",2009
15,15,"Nick OHern",90,NA,3031.667,281,56,NA,"AverageDistanceofBirdieputtsmade",2009
18,18,"Richard Johnson",85,NA,2371.833,222,69,NA,"AverageDistanceofBirdieputtsmade",2009
18,18,"Chris Riley",77,NA,2416.667,227,49,NA,"AverageDistanceofBirdieputtsmade",2009
20,20,"Bart Bryant",58,NA,1618.25,153,60,NA,"AverageDistanceofBirdieputtsmade",2009
20,20,"Ryuji Imada",85,NA,2409.583,227,60,NA,"AverageDistanceofBirdieputtsmade",2009
20,20,"Bill Lunde",83,NA,2438.583,231,49,NA,"AverageDistanceofBirdieputtsmade",2009
20,20,"Carl Pettersson",86,NA,2530.583,240,50,NA,"AverageDistanceofBirdieputtsmade",2009
20,20,"David Toms",98,NA,3024.583,286,73,NA,"AverageDistanceofBirdieputtsmade",2009
25,25,"Todd Hamilton",83,NA,1980.417,188,66,NA,"AverageDistanceofBirdieputtsmade",2009
25,25,"Bob Heintz",59,NA,1944.167,185,46,NA,"AverageDistanceofBirdieputtsmade",2009
25,25,"Jerry Kelly",90,NA,2933.167,279,79,NA,"AverageDistanceofBirdieputtsmade",2009
28,28,"Cameron Beckman",87,NA,2341.25,225,60,NA,"AverageDistanceofBirdieputtsmade",2009
28,28,"Lee Janzen",74,NA,2075.917,200,51,NA,"AverageDistanceofBirdieputtsmade",2009
28,28,"Tom Lehman",55,NA,1039.583,100,39,NA,"AverageDistanceofBirdieputtsmade",2009
28,28,"Webb Simpson",94,NA,3061,294,58,NA,"AverageDistanceofBirdieputtsmade",2009
28,28,"Casey Wittenberg",71,NA,1609.167,155,57,NA,"AverageDistanceofBirdieputtsmade",2009
33,33,"Luke Donald",79,NA,2298.917,223,44,NA,"AverageDistanceofBirdieputtsmade",2009
33,33,"Parker McLachlin",71,NA,2224.083,215,62,NA,"AverageDistanceofBirdieputtsmade",2009
33,33,"DA Points",99,NA,3117.333,301,63,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"Woody Austin",84,NA,2656.417,259,61,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"Stewart Cink",79,NA,1866.917,182,63,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"Steve Elkington",70,NA,1977.667,193,68,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"Paul Goydos",79,NA,2260.667,221,51,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"Kent Jones",73,NA,1918.167,187,52,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"James Nitties",86,NA,2606.417,254,53,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"Rod Pampling",72,NA,2411.167,236,83,NA,"AverageDistanceofBirdieputtsmade",2009
36,36,"Johnson Wagner",81,NA,2407.583,234,57,NA,"AverageDistanceofBirdieputtsmade",2009
44,44,"David Mathis",82,NA,2138,210,62,NA,"AverageDistanceofBirdieputtsmade",2009
44,44,"Kevin Na",91,NA,2830.833,278,66,NA,"AverageDistanceofBirdieputtsmade",2009
44,44,"Justin Rose",71,NA,2176.75,214,56,NA,"AverageDistanceofBirdieputtsmade",2009
44,44,"Kevin Stadler",65,NA,1678.917,165,46,NA,"AverageDistanceofBirdieputtsmade",2009
44,44,"Kirk Triplett",60,NA,1772,175,38,NA,"AverageDistanceofBirdieputtsmade",2009
44,44,"Dean Wilson",81,NA,2587.417,254,53,NA,"AverageDistanceofBirdieputtsmade",2009
50,50,"Glen Day",79,NA,1873.083,185,44,NA,"AverageDistanceofBirdieputtsmade",2009
50,50,"Charlie Wi",92,NA,2936.167,292,51,NA,"AverageDistanceofBirdieputtsmade",2009
52,52,"Kris Blanks",60,NA,1746.25,175,60,NA,"AverageDistanceofBirdieputtsmade",2009
52,52,"Steve Flesch",77,NA,1906.5,190,49,NA,"AverageDistanceofBirdieputtsmade",2009
