"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2011","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2011","AverageDistanceofEagleputtsmade_PLAYERNAME_2011","AverageDistanceofEagleputtsmade_ROUNDS_2011","AverageDistanceofEagleputtsmade_AVG_2011","AverageDistanceofEagleputtsmade_TOTDISTFT_2011","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2011","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2011","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2011","stat_name","year"
1,1,"Charlie Wi",83,NA,71.333,2,55,17,"AverageDistanceofEagleputtsmade",2011
2,2,"Robert Allenby",84,NA,67.75,2,35,32,"AverageDistanceofEagleputtsmade",2011
3,3,"Troy Merritt",63,NA,131.167,4,75,5,"AverageDistanceofEagleputtsmade",2011
3,3,"Jhonattan Vegas",84,NA,131.25,4,69,12,"AverageDistanceofEagleputtsmade",2011
5,5,"Joe Ogilvie",75,NA,126.917,4,52,4,"AverageDistanceofEagleputtsmade",2011
6,6,"Ben Martin",74,NA,156,5,83,6,"AverageDistanceofEagleputtsmade",2011
6,6,"Billy Mayfair",94,NA,155.833,5,67,10,"AverageDistanceofEagleputtsmade",2011
8,8,"YE Yang",63,NA,31.083,1,31,31,"AverageDistanceofEagleputtsmade",2011
9,9,"Marc Turnesa",54,NA,61,2,46,15,"AverageDistanceofEagleputtsmade",2011
10,10,"Tag Ridings",87,NA,172.667,6,58,18,"AverageDistanceofEagleputtsmade",2011
11,11,"Jim Renner",65,NA,56.75,2,35,22,"AverageDistanceofEagleputtsmade",2011
12,12,"Robert Garrigus",83,NA,163.417,6,57,2,"AverageDistanceofEagleputtsmade",2011
13,13,"Stewart Cink",72,NA,81.167,3,59,10,"AverageDistanceofEagleputtsmade",2011
14,14,"JP Hayes",56,NA,81,3,48,12,"AverageDistanceofEagleputtsmade",2011
15,15,"Shane Bertsch",62,NA,53.833,2,30,24,"AverageDistanceofEagleputtsmade",2011
16,16,"Brendon de Jonge",105,NA,130.833,5,66,4,"AverageDistanceofEagleputtsmade",2011
17,17,"Joe Durant",71,NA,26,1,26,26,"AverageDistanceofEagleputtsmade",2011
18,18,"Angel Cabrera",50,NA,155.5,6,103,2,"AverageDistanceofEagleputtsmade",2011
19,19,"Nathan Green",81,NA,103.333,4,53,6,"AverageDistanceofEagleputtsmade",2011
19,19,"Gary Woodland",93,NA,155,6,39,9,"AverageDistanceofEagleputtsmade",2011
21,21,"Hunter Haas",96,NA,76.75,3,53,4,"AverageDistanceofEagleputtsmade",2011
22,22,"Kyle Stanley",98,NA,125.917,5,40,11,"AverageDistanceofEagleputtsmade",2011
23,23,"Jerry Kelly",85,NA,49.75,2,27,22,"AverageDistanceofEagleputtsmade",2011
24,24,"Jason Dufner",78,NA,49.667,2,43,7,"AverageDistanceofEagleputtsmade",2011
25,25,"Troy Matteson",91,NA,73.25,3,37,2,"AverageDistanceofEagleputtsmade",2011
26,26,"Brian Davis",105,NA,72.917,3,40,16,"AverageDistanceofEagleputtsmade",2011
27,27,"Sergio Garcia",61,NA,117.5,5,44,13,"AverageDistanceofEagleputtsmade",2011
28,28,"Tom Gillis",55,NA,46.417,2,33,13,"AverageDistanceofEagleputtsmade",2011
